timeMillis,timeNanos,x,y,z
1551336659634,1276311620992745,-0.6023571,0.006104376,0.14357531
1551336659656,1276311640992745,-0.7666799,-0.023217155,0.06110852
1551336659675,1276311660992745,-0.7153672,0.20219213,0.17595118
1551336659694,1276311680992745,-0.34029594,0.37079093,0.23764858
1551336659716,1276311700992745,0.15694837,0.5497744,0.24803329
1551336659735,1276311720992745,0.3713621,0.6701149,0.30423287
1551336659754,1276311740992745,-0.07151521,0.11911445,0.08859745
1551336659777,1276311760992745,-0.24072489,-0.32498458,-0.30846497
1551336659794,1276311780992745,0.23880433,-0.08796887,-0.4062034
1551336659815,1276311800992745,0.31760594,-0.07208637,-0.28891727
1551336659836,1276311820992845,0.090364076,-0.086136274,-0.07877962
1551336659855,1276311840992845,0.058599085,0.04153456,0.0024654523
1551336659875,1276311860992845,0.105024844,-0.12828597,-0.12642711
1551336659896,1276311880992845,0.17710693,-0.28527835,-0.23210679
1551336659915,1276311900992345,0.26690415,-0.21014193,-0.25776315
1551336659934,1276311920991145,0.21742404,0.07879734,-0.25043276
1551336659957,1276311940991270,-0.047080606,0.23151365,-0.14658566
1551336659976,1276311960991328,-0.29387018,0.17287059,-0.010973583
1551336659995,1276311980991383,-0.1771949,0.14538166,-0.032353867
1551336660016,1276312000991488,-0.16253413,0.12216877,0.007352374
1551336660035,1276312020991538,-0.25355306,0.049475808,0.11364293
1551336660057,1276312042671919,-0.26577035,-0.08796887,0.20893791
1551336660078,1276312062671919,-0.15153857,-0.25290248,0.24314636
1551336660095,1276312082671919,-0.06785002,-0.141725,0.22543126
1551336660115,1276312102671960,-0.008596096,-0.045819167,0.11669725
1551336660136,1276312122671960,0.032942742,0.07329955,0.09348437
1551336660155,1276312142671960,0.07570331,0.17836837,0.12097331
1551336660176,1276312162671997,0.019503705,0.24922875,0.10997774
1551336660198,1276312182671997,-0.163145,0.27121988,0.03239785
1551336660215,1276312202672031,-0.23828143,0.14538166,-0.10260337
1551336660235,1276312222672031,-0.070293486,0.054973595,-0.24432412
1551336660256,1276312242671764,0.12823771,-0.08247109,-0.29258245
1551336660276,1276312262671764,0.25713027,-0.30543688,-0.24554583
1551336660299,1276312282671497,0.344484,-0.590711,-0.17896153
1551336660318,1276312302671230,0.44894198,-0.817342,-0.12031846
1551336660338,1276312322670963,0.516748,-0.776414,-0.076947026
1551336660358,1276312342670696,0.44100073,-0.57727194,-0.03846252
1551336660380,1276312362670462,0.14289849,-0.400121,0.058665056
1551336660395,1276312382670228,0.10624657,-0.56138945,0.089819185
1551336660413,1276312402669661,0.11052263,-0.67439955,0.08126707
1551336660435,1276312422669027,0.0793685,-0.56322205,0.054388996
1551336660454,1276312442669527,0.0011777482,-0.31154555,0.06110852
1551336660476,1276312462668960,-0.081899926,-0.15455317,0.11791898
1551336660494,1276312482668360,-0.10755627,-0.120955594,0.17717291
1551336660609,1276312502667993,-0.097782426,-0.10018617,0.19549887
1551336660609,1276312522668626,-0.07395868,-0.06536686,0.19977494
1551336660609,1276312542668559,-0.029365515,-0.07086465,0.2144357
1551336660609,1276312562668559,-0.0067635,-0.09407752,0.20710531
1551336660609,1276312582668192,-0.023867728,-0.07208637,0.16434474
1551336660614,1276312602667525,-0.069071755,-0.010388985,0.12769282
1551336660633,1276312622666925,-0.06601743,0.05986052,0.13135801
1551336660656,1276312642666291,-0.012872152,0.081240796,0.14785138
1551336660679,1276312662665691,0.0017886134,0.07574301,0.1423536
1551336660696,1276312682665691,-0.0489132,0.061693117,0.122195035
1551336660718,1276312702665657,-0.10144762,0.06596917,0.09653869
1551336660736,1276312722665690,-0.14420818,0.1252231,0.06110852
1551336660756,1276312742665356,-0.15520374,0.1795901,0.031176118
1551336660774,1276312762664722,-0.13932125,0.13194261,0.035452176
1551336660794,1276312782664155,-0.13932125,0.091014646,0.035452176
1551336660814,1276312802663521,-0.10633454,0.02748466,0.03972823
1551336660834,1276312822662954,-0.048302338,-0.045819167,0.022013139
1551336660885,1276312842663220,-0.014704748,-0.031158403,-0.033575594
1551336660910,1276312862663220,-0.014704748,-0.031158403,-0.033575594
1551336660911,1276312882663186,-0.014704748,-0.031158403,-0.033575594
1551336660915,1276312902662852,-0.026922053,0.24800701,0.028121792
1551336660933,1276312922662518,0.058599085,0.17409232,0.06355198
1551336660954,1276312942662184,0.06715119,0.06841263,0.0947061
1551336660975,1276312962661817,0.043938316,0.06413657,0.14113186
1551336660994,1276312982661483,0.0512687,0.13438608,0.18633589
1551336661013,1276313002661449,0.10319225,0.17714666,0.22787473
1551336661035,1276313022661449,0.15755925,0.16615108,0.23642683
1551336661056,1276313042660949,0.14839627,0.23334625,0.23642683
1551336661078,1276313062694849,0.13984416,0.30848268,0.27002445
1551336661100,1276313082762115,0.12029647,0.3872843,0.3176719
1551336661123,1276313102829381,-0.059908774,0.31031528,0.27674395
1551336661139,1276313122896014,-0.3635088,0.21257682,0.23764858
1551336661160,1276313142996047,-0.5534879,0.05986052,0.1912228
1551336661181,1276313163129347,-0.3140287,-0.105073094,0.13929927
1551336661200,1276313183296380,0.08425543,-0.08430368,0.123416774
1551336661222,1276313203463646,0.36708602,0.082462534,0.14296447
1551336661239,1276313223630279,0.5643955,0.22173981,0.17839465
1551336661261,1276313243797312,0.61448646,0.19302915,0.15945782
1551336661283,1276313263964578,0.5375174,0.10995147,0.092873506
1551336661301,1276313284131244,0.3200494,0.09651244,2.1991149E-5
1551336661323,1276313304331244,-0.012261286,-0.004891198,-0.072670974
1551336661342,1276313324531210,-0.20651643,-0.12339906,-0.03479733
1551336661361,1276313344731576,-0.30669832,-0.19487028,0.044615153
1551336661383,1276313364965509,-0.31891564,-0.26817414,0.12891455
1551336661407,1276313385232742,-0.2669921,-0.2455721,0.2229878
1551336661425,1276313405500042,-0.14726251,-0.15699664,0.35859987
1551336661445,1276313425767275,0.020725435,-0.086136274,0.46977738
1551336661465,1276313446033975,0.16488963,-0.031158403,0.47832948
1551336661484,1276313466300641,0.18932424,-0.08796887,0.43740153
1551336661582,1276313486567607,0.1233508,-0.20769845,0.3775367
1551336661583,1276313506834873,0.005453805,-0.2791697,0.30117854
1551336661583,1276313527135206,-0.11427578,-0.21197452,0.19366628
1551336661583,1276313547435806,-0.15764722,-0.117901266,0.13380149
1551336661586,1276313567736406,-0.21995547,-0.047040902,0.123416774
1551336661604,1276313588036972,-0.23583797,-0.075751565,0.119140714
1551336661625,1276313608337605,-0.14665164,-0.22846788,0.07882361
1551336661646,1276313628638205,-0.007985231,-0.3042152,0.048891213
1551336661665,1276313648938238,0.11296609,-0.24679384,0.045226023
1551336661686,1276313669204904,0.16672222,-0.19181596,0.06599544
1551336661705,1276313689438237,0.11602042,-0.2089202,0.05316727
1551336661728,1276313710616802,0.047603507,-0.25534594,-0.03479733
1551336661749,1276313730883635,0.058599085,-0.35736045,-0.10687943
1551336661767,1276313751116668,0.013395053,-0.35674956,-0.14414221
1551336661784,1276313771316101,-0.12343876,-0.33475843,-0.1478074
1551336661805,1276313791482134,-0.70925856,-0.50518984,-0.19484402
1551336661827,1276313811648234,-1.1222035,-0.4263882,-0.23210679
1551336661844,1276313831814900,-0.93405694,-0.08735801,-0.15819211
1551336661865,1276313851981800,-0.19918606,0.20707904,-0.06045367
1551336661889,1276313872181833,0.6041017,0.102621086,-0.05006896
1551336661907,1276313892415166,0.8179046,-0.10140791,-0.12092933
1551336661928,1276313912615166,0.7195553,-0.23091133,-0.22111122
1551336661949,1276313932815166,0.37258384,-0.2932196,-0.43063802
1551336661968,1276313953048466,0.032331876,-0.27245018,-0.64688426
1551336661990,1276313973281832,-0.18880135,-0.109349154,-0.78921586
1551336662010,1276313993481832,-0.19185567,0.121557906,-0.78921586
1551336662028,1276314013681198,-0.06174137,0.25411567,-0.689034
1551336662050,1276314033880631,0.050046965,0.3451346,-0.5467024
1551336662071,1276314054080597,0.117853016,0.37323436,-0.41475552
1551336662088,1276314074280363,0.14167675,0.30848268,-0.3286235
1551336662110,1276314094513696,0.04210572,0.13316435,-0.29930198
1551336662132,1276314114747029,-0.14726251,-0.026882347,-0.335343
1551336662150,1276314134947295,-0.34518284,-0.026882347,-0.3817688
1551336662173,1276314155180628,-0.49851,0.06230398,-0.335343
1551336662196,1276314175447294,-0.48446012,0.12644483,-0.23455027
1551336662214,1276314195747294,-0.39099774,0.20097038,-0.07328184
1551336662234,1276314216047260,-0.2773768,0.23334625,0.035452176
1551336662256,1276314236347293,-0.13687779,0.26816556,0.09898216
1551336662274,1276314256680593,0.019503705,0.2376223,0.13257974
1551336662296,1276314277047293,0.06287514,0.16126415,0.122195035
1551336662317,1276314297413959,0.018281974,0.19119655,0.1124212
1551336662335,1276314317747259,-0.10266934,0.25839174,0.11425379
1551336662354,1276314338080192,-0.5559313,6.065892E-4,-0.023190888
1551336662378,1276314358413792,-0.79844487,-0.20097895,-0.13925529
1551336662396,1276314378747692,-0.44902995,-0.10690569,-0.14719653
1551336662416,1276314399081625,0.3029452,0.18630962,-0.018914832
1551336662437,1276314419415525,0.59127355,0.16370761,0.108756006
1551336662457,1276314439749491,0.17893954,-0.24862644,0.13441233
1551336662476,1276314460082824,-0.20224038,-0.44899023,0.19061196
1551336662499,1276314480382790,-0.2248424,-0.26878497,0.29629162
1551336662532,1276314500682823,0.025612358,-0.050095227,0.43190372
1551336662538,1276314521016156,0.24552386,-0.18082039,0.5363617
1551336662560,1276314541382856,0.21436971,-0.39951015,0.6114981
1551336662579,1276314561716189,0.19237857,-0.38668197,0.72328645
1551336662598,1276314582016155,0.4238965,-0.15699664,0.75810575
1551336662621,1276314602349488,0.5796671,-0.054982148,0.72328645
1551336662640,1276314622716754,0.5906627,0.01709995,0.6114981
1551336662660,1276314643083987,0.5521782,0.06413657,0.46489045
1551336662683,1276314663450653,0.46910053,0.029928122,0.32622403
1551336662702,1276314683850886,0.34020793,-0.08186022,0.20710531
1551336662723,1276314704250919,0.0970836,-0.15210973,0.0824888
1551336662747,1276314724683985,-0.10755627,-0.04337571,-0.020136563
1551336662764,1276314745116751,-0.20957075,0.10750801,-0.12642711
1551336662782,1276314765516751,-0.2089599,0.13011001,-0.24676757
1551336662805,1276314785883417,-0.21995547,0.0024391848,-0.31029755
1551336662824,1276314806250117,-0.2669921,-0.04826263,-0.31946054
1551336662844,1276314826616783,-0.27554423,0.045810614,-0.28769553
1551336662868,1276314846983416,-0.26638123,0.101399355,-0.21378084
1551336662884,1276314867316749,-0.4038259,-0.07941676,-0.16491163
1551336662906,1276314887616715,-0.5321076,-0.17654432,-0.14047702
1551336662926,1276314907916748,-0.43498003,-0.11606867,-0.10810116
1551336662944,1276314928216481,0.007286401,-0.08735801,-0.081223086
1551336662964,1276314948516714,0.19665463,-0.28955442,-0.17102028
1551336662986,1276314968816747,0.112355225,-0.5131311,-0.34450603
1551336663074,1276314989116747,0.015227648,-0.46487275,-0.47950724
1551336663074,1276315009416780,0.017060246,-0.2229701,-0.54425895
1551336663074,1276315029716780,-0.027532918,-0.021995423,-0.57480216
1551336663074,1276315050050080,-0.093506366,0.058638785,-0.61267585
1551336663084,1276315070383413,-6.5484754E-4,0.19608347,-0.6041237
1551336663108,1276315090716746,0.23086308,0.34635633,-0.54548067
1551336663125,1276315111016712,0.3640317,0.42149273,-0.46973336
1551336663145,1276315131283412,0.25285423,0.3506324,-0.44407704
1551336663166,1276315151516712,0.06287514,0.21440943,-0.4538509
1551336663184,1276315171750078,-0.10266934,0.12400137,-0.45568347
1551336663206,1276315191983411,-0.24316835,0.14354905,-0.45812696
1551336663228,1276315212216777,-0.31341785,0.1777575,-0.40681428
1551336663246,1276315232416777,-0.3409068,0.17836837,-0.2913607
1551336663266,1276315252616777,-0.26821384,0.17409232,-0.16246817
1551336663288,1276315272850143,-0.04524801,0.19608347,0.015904488
1551336663309,1276315293083476,0.07081638,0.17714666,0.15640348
1551336663329,1276315313283442,0.11296609,0.06841263,0.24314636
1551336663350,1276315333450408,0.07387071,-0.03543446,0.34699345
1551336663369,1276315353617641,0.008508131,0.0012174544,0.46427956
1551336663389,1276315373784341,-0.23095106,-0.11423608,0.48871416
1551336663411,1276315393951007,-0.49545568,-0.26206547,0.39403006
1551336663431,1276315414084307,-0.28043112,-0.10385136,0.3494369
1551336663449,1276315434217673,0.46482447,0.11911445,0.4166321
1551336663470,1276315454351006,0.47887436,-0.08063849,0.41052344
1551336663490,1276315474484072,0.09769446,-0.354917,0.37142807
1551336663541,1276315494617405,-0.16864279,-0.38851455,0.4166321
1551336663542,1276315514750705,0.02011457,-0.18326385,0.52231175
1551336663551,1276315534884338,0.20337415,-0.075751565,0.5779005
1551336663568,1276315555017671,0.19665463,-0.14477934,0.5901178
1551336663591,1276315575150971,0.17527434,-0.19853547,0.6518152
1551336663610,1276315595284337,0.3023343,-0.11545781,0.71901035
