timeMillis,timeNanos,value
1551336659575,1276311552992745,1009.4531
1551336659675,1276311652992745,1009.45435
1551336659777,1276311752992745,1009.4541
1551336659875,1276311852992745,1009.45483
1551336659976,1276311952992995,1009.4614
1551336660078,1276312054670919,1009.45703
1551336660176,1276312154671085,1009.4509
1551336660276,1276312254671085,1009.4409
1551336660380,1276312354670210,1009.44946
1551336660476,1276312454668321,1009.4492
1551336660609,1276312554668421,1009.44507
1551336660679,1276312654666784,1009.4365
1551336660774,1276312754665284,1009.4353
1551336660910,1276312854665284,1009.4336
1551336660975,1276312954663998,1009.4282
1551336661078,1276313054730664,1009.4263
1551336661181,1276313154980664,1009.42554
1551336661283,1276313255274781,1009.4209
1551336661383,1276313355663669,1009.42554
1551336661484,1276313456084721,1009.42505
1551336661586,1276313556534721,1009.4287
1551336661686,1276313656963292,1009.4363
1551336661784,1276313762598802,1009.43555
1551336661889,1276313863077106,1009.4375
1551336661990,1276313963660481,1009.43896
1551336662088,1276314064220201,1009.447
1551336662196,1276314164874047,1009.4292
1551336662296,1276314265614824,1009.42773
1551336662396,1276314366329109,1009.43164
1551336662499,1276314467018764,1009.43774
1551336662598,1276314567785430,1009.4302
1551336662702,1276314668652096,1009.448
1551336662805,1276314769585429,1009.448
1551336662906,1276314870552095,1009.4475
1551336663074,1276314971518728,1009.44116
1551336663108,1276315072518728,1009.4509
1551336663206,1276315173518694,1009.4573
1551336663309,1276315274618694,1009.44507
1551336663410,1276315375718927,1009.4446
1551336663541,1276315476819493,1009.46094
1551336663610,1276315577919493,1009.459
1551336663712,1276315679086759,1009.43677
1551336663812,1276315780287392,1009.4431
1551336663913,1276315881487392,1009.43945
1551336664015,1276315982754692,1009.4502
1551336664115,1276316084021358,1009.45215
1551336664217,1276316185254691,1009.4619
1551336664323,1276316286554724,1009.44995
1551336664422,1276316387788057,1009.4431
1551336664534,1276316489021390,1009.4487
1551336664624,1276316590288056,1009.45557
1551336664723,1276316691554722,1009.4509
1551336664822,1276316792821755,1009.44165
1551336664928,1276316894088388,1009.4343
1551336665026,1276316995255021,1009.4492
1551336665127,1276317096421921,1009.4663
1551336665229,1276317197555254,1009.46704
1551336665330,1276317298655254,1009.4634
1551336665431,1276317399821920,1009.43945
1551336665568,1276317501088620,1009.4573
1551336665637,1276317602355320,1009.4707
1551336665741,1276317703622020,1009.4634
1551336665843,1276317804888720,1009.4475
1551336665945,1276317906222086,1009.44165
1551336666045,1276318007555452,1009.4512
1551336666147,1276318108855185,1009.45386
1551336666249,1276318210221851,1009.45557
1551336666350,1276318311555184,1009.4426
1551336666450,1276318412888517,1009.4404
1551336666551,1276318514288517,1009.4519
1551336666654,1276318615788483,1009.4585
1551336666800,1276318717288549,1009.45605
1551336666861,1276318818855182,1009.4336
1551336666962,1276318920488515,1009.44336
1551336667066,1276319022055148,1009.438
1551336667162,1276319123588481,1009.447
1551336667262,1276319225088481,1009.4419
1551336667367,1276319326588481,1009.42944
1551336667467,1276319428088481,1009.43945
1551336667566,1276319529588514,1009.44507
1551336667669,1276319631055214,1009.4502
1551336667770,1276319732555247,1009.4475
1551336667869,1276319834022147,1009.4419
1551336667969,1276319935455480,1009.44507
1551336668067,1276320036888813,1009.4446
1551336668168,1276320138322146,1009.4568
1551336668269,1276320239688812,1009.43994
