timeMillis,timeNanos,x,y,z
1551336729177,1276381149949132,0.06943397,2.3152637,9.074302
1551336729181,1276381169982465,-0.05506832,2.169213,9.040782
1551336729201,1276381189446993,-0.15323359,2.0518935,9.014444
1551336729222,1276381209480326,-0.23224466,1.9585168,8.992896
1551336729241,1276381229513659,-0.11253092,1.89866,9.380769
1551336729261,1276381249546959,-0.102953814,1.9154198,9.531608
1551336729284,1276381269580325,-0.071828246,1.8603516,9.373586
1551336729301,1276381289613625,-0.016759925,1.9058428,9.349643
1551336729320,1276381309646991,0.14365649,2.0902019,9.347249
1551336729342,1276381329680324,0.14605077,2.0614705,9.304152
1551336729360,1276381349714224,0.17717634,1.2665714,9.04557
1551336729381,1276381369747857,1.2474172,1.201926,10.324113
1551336729402,1276381389781190,1.5012103,1.960911,10.551569
1551336729421,1276381409814523,0.9217958,1.89866,9.63935
1551336729440,1276381429847889,0.023942748,1.812466,9.196409
1551336729462,1276381449881189,-0.97446984,2.0925963,9.660899
1551336729481,1276381469914555,-0.4189981,0.08858817,8.341654
1551336729500,1276381489947888,-0.13168511,1.0175668,8.403905
1551336729521,1276381509981188,0.11492519,2.5929997,8.379962
1551336729540,1276381530014554,0.009577099,2.4086404,9.270632
1551336729560,1276381550014520,0.9289786,2.2075214,10.905922
1551336729583,1276381570014520,0.4740664,1.8819,10.242707
1551336729601,1276381590014520,0.40463245,1.9920366,9.431048
1551336729621,1276381610014520,0.50040346,2.0399222,9.545974
1551336729642,1276381630014553,0.61293435,2.1332989,9.912297
1551336729661,1276381650014553,0.7589851,2.2841382,10.168485
1551336729681,1276381670014519,0.76137936,2.3631492,9.960183
1551336729703,1276381690014552,0.69194543,2.4445546,9.584282
1551336729723,1276381710014518,0.79250497,2.5546913,9.390346
1551336729741,1276381730014551,0.81165916,2.5858169,9.45978
1551336729761,1276381750014151,0.67757976,2.5594797,9.730332
1551336729800,1276381770014151,0.5219519,2.545114,9.608225
1551336729851,1276381790013917,0.5411061,2.604971,9.390346
1551336729851,1276381810013917,0.74701375,3.007209,9.543579
1551336729851,1276381830013917,0.4740664,3.0431232,9.131764
1551336729861,1276381850013950,0.10055954,3.2274826,8.796566
1551336729884,1276381870013916,0.4956149,3.519584,8.7534685
1551336729903,1276381890047282,0.46209505,3.2897336,9.797373
1551336729923,1276381910113915,0.47885495,2.9641123,9.950606
1551336729946,1276381930180348,0.61293435,3.014392,9.617802
1551336729963,1276381950247014,0.52913475,3.1388943,9.387952
1551336729984,1276381970313647,0.70870537,3.1700199,9.067119
1551336730005,1276381990380313,0.41420954,3.1843855,8.880365
1551336730023,1276382010446979,0.40463245,2.9689007,9.225141
1551336730043,1276382030513612,0.07422252,2.779753,9.596253
1551336730066,1276382050580312,-0.4740664,2.5211713,9.27542
1551336730085,1276382070646945,-0.505192,2.743839,8.7534685
1551336730104,1276382090713645,0.3519584,3.5890179,9.210775
1551336730126,1276382110780311,0.23463893,3.8452053,8.734315
1551336730144,1276382130880277,-0.17717634,3.6584518,8.691217
1551336730166,1276382151013643,-0.33519846,3.2466366,9.141341
1551336730189,1276382171180309,-0.021548472,3.6392977,9.395134
1551336730207,1276382191346975,0.23224466,4.04393,8.925857
1551336730232,1276382211513641,0.047885496,4.1971636,8.710372
1551336730249,1276382231713607,-0.29689008,3.9337935,8.760652
1551336730268,1276382251946973,-0.33759275,3.8140798,9.126976
1551336730290,1276382272180306,0.06943397,3.929005,9.888355
1551336730311,1276382292413606,0.50040346,4.1780095,9.948212
1551336730382,1276382312680306,0.51716334,4.5084195,9.699207
1551336730382,1276382332980272,-0.4166038,5.0375543,9.72315
1551336730382,1276382353280905,-0.9864412,5.06868,8.8636055
1551336730396,1276382373580905,-1.3623424,4.563488,8.5331955
1551336730413,1276382393914505,-0.90024734,3.46691,9.256267
1551336730436,1276382414281171,-0.45251793,2.2554069,11.01127
1551336730452,1276382434647837,-0.52674043,1.7166951,12.328121
1551336730475,1276382455014470,-1.297697,1.5347302,12.206013
1551336730495,1276382475381136,-1.8316202,1.9034485,10.101445
1551336730513,1276382495714436,-1.9154198,2.3775148,8.5331955
1551336730533,1276382516014469,-1.9417568,2.403852,8.293768
1551336730554,1276382536314702,-1.5347302,1.9848539,9.158101
1551336730573,1276382556614735,-0.8547561,1.8316202,9.828498
1551336730593,1276382576914735,-0.105348095,1.8268317,9.766247
1551336730614,1276382597214735,-0.052674048,1.8819,9.110215
1551336730632,1276382617514768,-0.31604427,1.8603516,8.894731
1551336730653,1276382637814768,-0.48124924,1.924997,9.031204
1551336730674,1276382658114734,-0.54350036,2.1045675,8.456578
1551336730692,1276382678414767,-0.42139238,2.5068057,7.8340673
1551336730712,1276382698714733,-0.31604427,2.8276386,7.599428
1551336730734,1276382719014766,0.035914123,3.0191805,7.85801
1551336730751,1276382739281932,0.23224466,3.110163,7.903501
1551336730773,1276382759514965,0.23224466,3.0694604,8.107015
1551336730795,1276382779714398,0.22985038,3.1987512,8.370385
1551336730814,1276382799914398,0.13886794,3.1580484,8.449396
1551336730833,1276382820114398,-0.05506832,3.1436827,8.549955
1551336730857,1276382837978830,-0.38787252,3.031152,9.000079
1551336730872,1276382858112130,-0.63208854,2.9114382,9.428655
1551336730894,1276382878245496,-0.6847626,2.813273,10.010463
1551336730914,1276382898378829,-0.5889916,2.978478,10.609032
1551336730933,1276382918478795,-0.16281068,3.3400133,11.023241
1551336730953,1276382938545495,0.38787252,3.9673133,11.535616
1551336730974,1276382958612128,1.0510867,4.1564612,10.958596
1551336730994,1276382978678828,2.135693,3.675212,10.340873
1551336731013,1276382998712128,2.7653873,2.5211713,11.875603
1551336731034,1276383018712128,2.8372157,0.75180227,15.191673
1551336731052,1276383038712128,2.2961094,0.3040729,15.591517
1551336731073,1276383058712128,1.647261,1.1636176,11.983345
1551336731094,1276383078712128,1.6448668,1.9752767,8.502069
1551336731113,1276383098712161,1.6759924,2.1021733,7.6042166
1551336731133,1276383118712127,1.7885233,1.6568382,8.566715
1551336731154,1276383138712160,2.1117504,1.1971374,8.968953
1551336731172,1276383158712126,2.2338583,1.0798179,8.351231
1551336731193,1276383178712126,1.403045,1.132492,8.080677
1551336731216,1276383198712126,0.27055305,1.5706443,7.7143536
1551336731232,1276383218712092,-0.49082634,2.1093562,7.0535336
1551336731252,1276383238712092,-1.0989721,2.5858169,5.8204823
1551336731273,1276383258712092,-1.3862851,3.3902931,4.743058
1551336731294,1276383278712058,-1.1516461,4.0798445,4.992063
1551336731312,1276383298712091,-1.0008069,3.9673133,6.3376455
1551336731363,1276383318712057,-1.4078336,3.6009893,7.721536
1551336731364,1276383338711590,-1.4557191,3.3783216,8.394327
1551336731373,1276383358711856,-1.1731946,3.1580484,9.495694
1551336731394,1276383378712422,-1.3431882,2.8013015,10.673677
1551336731412,1276383398712455,-1.5059988,2.7342618,10.970567
1551336731432,1276383418712455,-1.3216397,2.9904492,11.2794285
1551336731454,1276383438745788,-0.90024734,3.5004299,11.976163
1551336731473,1276383458779154,-1.1205206,3.9792848,12.036019
1551336731494,1276383478812454,-0.16520496,3.7302802,11.80138
1551336731516,1276383498845820,0.27294734,2.9401696,13.283437
1551336731533,1276383518879153,-0.27055305,1.8579572,14.80859
1551336731554,1276383538912453,-0.98404694,1.6712039,13.053586
1551336731575,1276383558945819,-0.4932206,2.535537,9.809344
1551336731594,1276383578979119,0.23463893,2.7127132,8.56911
1551336731613,1276383599012452,0.50758624,1.8914771,9.979338
1551336731638,1276383619045785,0.31843856,0.8284191,11.743917
1551336731654,1276383639079118,0.11492519,0.3423813,11.533222
1551336731674,1276383659112484,0.1987248,0.5458947,10.07032
1551336731698,1276383679179150,0.1699935,0.84039044,8.947405
1551336731718,1276383699245783,-0.19393626,0.9122187,8.332076
1551336731734,1276383719312483,-0.46209505,1.1013664,7.206767
1551336731755,1276383739378516,-0.29928434,1.7023294,6.038361
1551336731775,1276383759444949,-0.014365649,2.5020173,5.087834
1551336731797,1276383779511615,0.18435916,3.0790374,4.7885494
1551336731817,1276383799578281,0.3902668,3.3902931,5.4685235
1551336731834,1276383819644947,0.9864412,3.4860642,6.2969427
1551336731854,1276383839711613,1.8699286,3.4022646,7.7071705
1551336731876,1276383859778279,2.343995,2.901861,10.015251
1551336731895,1276383879844979,2.2123098,2.0925963,11.877997
1551336731914,1276383899911612,1.6807809,1.3838909,12.347275
1551336731936,1276383919978312,1.3671309,1.5610672,10.984933
1551336731954,1276383940044945,1.2162915,2.185973,10.024829
1551336731974,1276383960111645,0.7398309,2.6648278,9.534002
1551336731997,1276383980178311,1.1300977,3.0167863,8.959376
1551336732015,1276384000244944,1.9489397,2.2625897,10.4294615
1551336732035,1276384020311610,2.2434354,1.5083932,12.675291
1551336732057,1276384040344943,2.5666625,1.7095122,12.919507
1551336732076,1276384060378243,3.4860642,2.3894863,11.049579
1551336732096,1276384080411609,3.8619652,2.49244,10.728745
1551336732117,1276384100444909,3.4094474,1.9656997,11.329708
1551336732136,1276384120511609,3.347196,1.8268317,11.248303
1551336732157,1276384140611609,3.1436827,2.0327394,10.30017
1551336732178,1276384160711575,2.5570855,2.4349775,8.542772
1551336732198,1276384180811608,1.6712039,2.8204558,6.818895
1551336732218,1276384200944941,0.74222517,3.2250881,5.2051535
1551336732241,1276384221111607,-0.043096945,3.3855045,4.0343533
1551336732259,1276384241278273,-0.44772938,3.605778,4.1253357
1551336732279,1276384261444906,-0.45012367,3.8523881,4.853195
1551336732303,1276384281611606,-1.1013664,3.3136764,6.3735595
1551336732338,1276384301811606,-1.489239,2.7151077,8.13814
1551336732342,1276384322011572,-1.8651401,2.22907,9.708784
1551336732362,1276384342212205,-1.9034485,1.9297855,10.788602
1551336732381,1276384362412438,-2.0447106,2.0159793,11.135772
1551336732401,1276384382612471,-1.6807809,2.1811843,11.233937
1551336732422,1276384402812471,-0.7781393,2.169213,11.67209
1551336732441,1276384423012471,-1.0798179,3.1676257,13.192454
1551336732461,1276384443212471,-0.6177229,3.8643596,12.285024
1551336732483,1276384463412471,0.18196489,3.5554981,12.957815
1551336732502,1276384483612437,-0.36871833,3.1029801,14.133404
1551336732521,1276384503812470,-1.3048798,3.1460772,12.088694
1551336732542,1276384524012436,-0.9433443,3.3400133,8.992896
1551336732562,1276384544245802,0.2753416,2.5906053,9.035994
1551336732581,1276384564479102,0.71828246,1.2665714,12.110242
1551336732603,1276384584712468,0.48124924,0.035914123,12.335304
