timeMillis,timeNanos,x,y,z
1551336729320,1276381309447993,38.94,18.24,-51.6
1551336729342,1276381329446993,39.18,18.66,-51.239998
1551336729360,1276381349446493,39.6,19.199999,-51.12
1551336729381,1276381369446493,39.0,19.68,-50.64
1551336729402,1276381389446243,38.7,20.1,-50.64
1551336729421,1276381409446043,37.98,20.46,-51.18
1551336729440,1276381429446043,37.14,20.82,-51.0
1551336729462,1276381449445900,37.2,20.88,-51.239998
1551336729481,1276381469445900,37.14,20.4,-51.18
1551336729500,1276381489445788,37.92,20.22,-50.52
1551336729521,1276381509445688,38.399998,19.68,-50.399998
1551336729540,1276381529445688,38.76,19.56,-50.46
1551336729560,1276381549445604,39.12,19.98,-50.64
1551336729583,1276381569445527,39.36,19.92,-51.059998
1551336729601,1276381589445455,39.48,19.98,-50.94
1551336729621,1276381609445388,39.84,19.92,-50.579998
1551336729642,1276381629445388,39.96,19.199999,-50.399998
1551336729661,1276381649445329,40.02,19.26,-49.62
1551336729681,1276381669445273,40.079998,18.66,-49.98
1551336729703,1276381689445273,40.32,18.42,-50.219997
1551336729723,1276381709445223,39.899998,18.119999,-50.399998
1551336729741,1276381729445223,39.719997,16.92,-51.0
1551336729761,1276381749444359,39.6,17.22,-51.36
1551336729800,1276381769444315,38.879997,16.8,-51.36
1551336729851,1276381789443981,38.879997,16.5,-51.48
1551336729851,1276381809443941,39.66,16.32,-50.399998
1551336729851,1276381829443902,41.52,16.56,-49.5
1551336729861,1276381849443902,41.76,16.02,-49.32
1551336729884,1276381869443866,42.66,15.719999,-48.18
1551336729903,1276381889478348,43.68,16.08,-48.18
1551336729923,1276381909544981,43.8,15.96,-49.44
1551336729946,1276381929611414,43.92,15.78,-49.559998
1551336729963,1276381949678080,43.2,16.619999,-49.26
1551336729984,1276381969744713,42.54,16.44,-49.379997
1551336730005,1276381989811379,42.36,15.719999,-49.02
1551336730023,1276382009878045,42.54,16.5,-49.44
1551336730043,1276382029944678,42.36,17.22,-49.739998
1551336730066,1276382050011378,41.76,17.46,-50.16
1551336730085,1276382070078011,42.12,17.699999,-50.28
1551336730104,1276382090144711,42.3,17.52,-50.28
1551336730125,1276382110211377,42.42,17.22,-50.64
1551336730144,1276382130311343,42.899998,17.64,-50.16
1551336730166,1276382150444709,43.5,18.42,-50.28
1551336730189,1276382170611375,43.5,17.94,-50.1
1551336730207,1276382190778041,42.84,17.22,-49.379997
1551336730232,1276382210944707,42.66,17.52,-50.039997
1551336730249,1276382231144673,42.84,17.52,-50.64
1551336730268,1276382251378039,42.719997,17.34,-50.34
1551336730290,1276382271611372,41.76,17.34,-50.94
1551336730311,1276382291844672,40.92,17.039999,-52.079998
