timeMillis,timeNanos,value
1551336729381,1276381361447993,1009.4575
1551336729482,1276381461447993,1009.4573
1551336729583,1276381561447493,1009.46533
1551336729681,1276381661447159,1009.4668
1551336729800,1276381761446909,1009.4719
1551336729884,1276381861446709,1009.46826
1551336729984,1276381961779875,1009.46533
1551336730085,1276382062065446,1009.4597
1551336730189,1276382162690321,1009.4636
1551336730290,1276382263467987,1009.45557
1551336730396,1276382364367887,1009.4441
1551336730495,1276382465367796,1009.4441
1551336730593,1276382566284379,1009.4536
1551336730692,1276382667130532,1009.4629
1551336730795,1276382767914960,1009.45703
1551336730894,1276382869979830,1009.4512
1551336730994,1276382970667330,1009.4502
1551336731094,1276383071314330,1009.4514
1551336731194,1276383171925385,1009.4646
1551336731294,1276383272504279,1009.4758
1551336731394,1276383373054229,1009.4678
1551336731494,1276383473625609,1009.4568
1551336731594,1276383574171018,1009.458
1551336731698,1276383674736191,1009.4739
1551336731798,1276383775277816,1009.4758
1551336731895,1276383875797816,1009.4678
1551336731997,1276383976297777,1009.4595
1551336732096,1276384076779258,1009.4563
1551336732198,1276384177314972,1009.4636
1551336732303,1276384277935661,1009.47876
1551336732401,1276384378568994,1009.46533
1551336732502,1276384479202294,1009.44434
1551336732603,1276384579868994,1009.45215
1551336732707,1276384680635660,1009.4585
1551336732808,1276384781502326,1009.4634
1551336732911,1276384882435659,1009.44995
1551336733010,1276384983302325,1009.45483
1551336733114,1276385084235658,1009.46826
1551336733215,1276385185102324,1009.4729
1551336733313,1276385285902324,1009.46387
1551336733414,1276385386635657,1009.4509
1551336733515,1276385487302323,1009.46533
1551336733613,1276385587969023,1009.4844
1551336733713,1276385688635656,1009.479
1551336733814,1276385789302922,1009.46436
1551336733913,1276385889969588,1009.45044
1551336734013,1276385990636254,1009.4592
1551336734117,1276386091369587,1009.4685
1551336734215,1276386192102920,1009.4668
1551336734315,1276386292836253,1009.4597
1551336734416,1276386393569586,1009.44434
1551336734514,1276386494269586,1009.4529
1551336734616,1276386594969586,1009.46265
1551336734719,1276386695636252,1009.4546
1551336734816,1276386796302918,1009.4487
1551336734917,1276386897036218,1009.4431
1551336735019,1276386997802918,1009.4463
1551336735120,1276387098602884,1009.45483
1551336735224,1276387199436217,1009.4695
1551336735340,1276387300269550,1009.4678
1551336735426,1276387401069550,1009.46606
1551336735527,1276387501869583,1009.47437
1551336735630,1276387602702883,1009.4839
1551336735729,1276387703502916,1009.468
1551336735827,1276387804202316,1009.458
1551336735931,1276387904835649,1009.44214
1551336736031,1276388005502315,1009.45483
1551336736131,1276388106135648,1009.46533
1551336736234,1276388206802314,1009.4636
1551336736338,1276388307535647,1009.4685
1551336736438,1276388408335380,1009.4763
1551336736539,1276388509135380,1009.4785
1551336736637,1276388609935346,1009.4656
1551336736738,1276388710802046,1009.45044
1551336736841,1276388811668679,1009.4424
1551336736941,1276388912602012,1009.45166
1551336737042,1276389013568678,1009.47656
1551336737146,1276389114568711,1009.4812
1551336737246,1276389215602077,1009.4651
1551336737352,1276389316668743,1009.4585
1551336737448,1276389417735443,1009.47095
1551336737548,1276389518835443,1009.4785
1551336737649,1276389619968776,1009.4739
1551336737751,1276389721101842,1009.4597
1551336737849,1276389822235175,1009.44385
1551336737953,1276389923301841,1009.4563
1551336738051,1276390024335141,1009.47144
1551336738151,1276390125401807,1009.4724
1551336738253,1276390226435107,1009.45996
1551336738357,1276390327468407,1009.4429
1551336738459,1276390428601707,1009.4519
1551336738562,1276390529801673,1009.4641
1551336738666,1276390631035006,1009.45483
1551336738761,1276390732201072,1009.4468
1551336738865,1276390833401705,1009.44336
1551336738969,1276390934668405,1009.44653
1551336739069,1276391035901738,1009.449
1551336739169,1276391137135104,1009.4385
1551336739271,1276391238335104,1009.4263
1551336739371,1276391339535104,1009.4426
1551336739471,1276391440668704,1009.44653
1551336739572,1276391541802037,1009.4419
1551336739671,1276391642935370,1009.4397
1551336739770,1276391744001403,1009.42676
1551336739872,1276391845068069,1009.4404
1551336739971,1276391946068035,1009.4426
1551336740072,1276392047034668,1009.44434
1551336740172,1276392147901334,1009.4385
1551336740271,1276392248734667,1009.44165
1551336740376,1276392349534700,1009.4629
1551336740473,1276392450334666,1009.46313
1551336740571,1276392551101366,1009.4751
1551336740671,1276392651834699,1009.44434
1551336740770,1276392752567699,1009.45703
1551336740871,1276392853301032,1009.47217
1551336740972,1276392954067698,1009.4829
1551336741077,1276393054934364,1009.4685
1551336741179,1276393155801030,1009.45386
1551336741278,1276393256634363,1009.4607
1551336741379,1276393357367696,1009.47705
1551336741478,1276393458001029,1009.47754
1551336741578,1276393558567695,1009.47217
1551336741682,1276393659034361,1009.4507
1551336741778,1276393759501361,1009.47217
1551336741880,1276393859934694,1009.46533
1551336741982,1276393960368027,1009.47485
1551336742082,1276394060868027,1009.4614
1551336742185,1276394161401327,1009.45215
1551336742288,1276394262001360,1009.4675
1551336742416,1276394362634693,1009.4551
