timeMillis,timeNanos,x,y,z
1551337672286,618377756027133,0.5602603,2.5044115,9.093455
1551337672290,618377776027133,0.5602603,2.5044115,9.093455
1551337672311,618377796027133,0.5602603,2.5044115,9.093455
1551337672330,618377816027133,0.5602603,2.5044115,9.093455
1551337672350,618377836027133,0.49800915,2.3942747,9.390346
1551337672371,618377856027133,0.33519846,2.4086404,8.760652
1551337672390,618377876027133,0.49800915,2.638491,8.877971
1551337672410,618377896027099,0.52913475,2.7845416,9.536397
1551337672431,618377916027099,0.22506183,2.6265194,9.775824
1551337672450,618377936027132,0.102953814,2.6983478,9.957788
1551337672470,618377956027132,0.15083931,2.80609,10.132571
1551337672492,618377976027132,0.12689656,3.0167863,9.581888
1551337672510,618377996027132,0.35674694,3.5387383,9.167678
1551337672530,618378016027132,0.26097596,3.8715425,8.470944
1551337672551,618378036027132,-0.12929083,3.8140798,8.317711
1551337672570,618378056027132,0.009577099,3.9002736,8.621783
1551337672590,618378076027132,0.3040729,3.8547823,9.316123
1551337672611,618378096027132,-0.028731298,3.5004299,9.349643
1551337672632,618378116211052,-0.3423813,2.997632,9.847652
1551337672650,618378136211052,-0.47885495,2.5020173,10.527626
1551337672673,618378156211085,-0.44294083,2.3655436,10.309748
1551337672691,618378176211085,-0.67757976,2.2170985,10.008069
1551337672711,618378196211085,-0.87151605,2.2170985,9.318518
1551337672732,618378216211085,-0.5554718,2.5092,8.540379
1551337672751,618378236211085,-0.27294734,2.727079,8.41827
1551337672770,618378256211051,-0.14605077,3.0119977,8.097438
1551337672792,618378276211051,0.19154198,3.4812756,7.5515428
1551337672810,618378296210784,0.2561874,3.632115,7.822096
1551337672829,618378316210184,0.29689008,3.553104,8.475733
1551337672852,618378336210217,0.6273,3.6967604,8.652909
1551337672871,618378356209283,0.75659084,3.6919718,8.906702
1551337672891,618378376209349,0.73743665,3.46691,9.380769
1551337672912,618378396209349,0.50040346,3.1580484,10.163696
1551337672930,618378416209349,0.38787252,3.0718546,10.055954
1551337672950,618378436209382,0.38787252,3.189174,10.096657
1551337672973,618378456209382,0.4644893,3.510007,10.180456
1551337672991,618378476209382,0.52674043,3.8571768,9.545974
1551337673011,618378496209415,0.5363176,4.024776,9.466963
1551337673032,618378516209415,0.45730647,3.78056,10.276228
1551337673051,618378536209415,0.57223165,3.703943,10.91071
1551337673071,618378556209415,1.1085492,3.955342,11.415902
1551337673094,618378576209415,1.2234744,4.4246197,9.234718
1551337673114,618378596209448,1.3360053,4.697567,7.3312693
1551337673134,618378616209448,1.8004947,3.9146392,8.729526
1551337673152,618378636209448,1.5443072,1.5634614,12.897959
1551337673172,618378656209448,1.228263,0.102953814,15.694471
1551337673195,618378676209181,1.1396748,0.117319465,14.459025
1551337673214,618378696208947,0.967287,0.8356019,11.202812
1551337673233,618378716209580,0.6751855,1.5586729,8.159689
1551337673252,618378736208980,0.8379962,2.5092,5.9210415
1551337673270,618378756208380,1.4365649,3.2777622,5.025583
1551337673290,618378776207780,1.8364087,3.3998702,5.8061166
1551337673311,618378796207480,1.8196489,2.8156672,6.8260775
1551337673332,618378816207213,1.8723229,2.0854135,8.648121
1551337673350,618378836206946,1.1684061,1.1348863,9.818921
1551337673369,618378856206379,0.20111908,0.48843205,10.582695
1551337673432,618378876206112,-0.105348095,0.7853221,9.950606
1551337673433,618378896205778,0.4189981,1.7166951,8.60263
1551337673433,618378916205811,0.56265455,2.4254005,8.061523
1551337673450,618378936205511,0.6464542,2.8156672,7.7957587
1551337673470,618378956205544,0.9074302,3.1963568,7.429435
1551337673491,618378976205477,1.3096683,3.5794408,7.6640735
1551337673513,618378996205210,1.3791022,3.5267668,8.554744
1551337673529,618379016204610,1.2713599,3.5674694,8.60263
1551337673549,618379036203976,0.9074302,3.4309957,8.360807
1551337673571,618379056203376,0.7398309,3.4621215,8.001666
1551337673589,618379076202809,0.54828894,3.294522,8.2387
1551337673610,618379096202775,0.19633053,3.2873392,8.080677
1551337673631,618379116202808,0.41181526,3.6823947,7.759845
1551337673650,618379136202774,0.7877164,3.929005,8.379962
1551337673671,618379156202807,0.9217958,3.8954852,9.208381
1551337673690,618379176202173,0.7350424,3.8308396,10.431855
1551337673709,618379196201939,0.60335726,4.1804037,10.4845295
1551337673733,618379216201339,0.3615355,4.3839173,10.170879
1551337673755,618379236200739,0.79250497,3.4812756,12.093482
1551337673806,618379256200139,1.5514901,1.8531687,14.166924
1551337673806,618379276199605,1.3479767,-0.27294734,17.11667
1551337673809,618379296199005,0.71588814,-1.4605076,17.782278
1551337673831,618379316198071,-0.08140534,-1.0223553,13.688069
1551337673850,618379336198037,-0.36392978,0.16041641,8.537984
1551337673870,618379356198003,-0.15562786,1.8675344,5.147691
1551337673893,618379376198636,0.27055305,2.8587642,5.260222
1551337673911,618379396198936,-0.17238778,2.588211,6.385531
1551337673934,618379416199202,0.11971374,2.1548474,7.929838
1551337673951,618379436199468,0.46927786,2.1883671,8.0687065
1551337673972,618379456233368,0.37829542,2.5115943,7.970541
1551337673994,618379476267001,0.3328042,2.011191,8.039975
1551337674014,618379496300934,-0.22506183,1.5083932,8.751075
1551337674034,618379516368167,-0.20351335,0.723071,10.551569
1551337674057,618379536468200,0.2777359,0.55307746,10.819728
1551337674074,618379556567566,0.2849187,1.8507744,9.004868
1551337674096,618379576667599,0.40223816,2.2530127,8.537984
1551337674119,618379596801199,0.047885496,2.4876516,8.063917
1551337674138,618379616968465,0.057462595,2.7246847,8.181237
1551337674158,618379637169065,0.66800267,2.8108785,8.674458
1551337674179,618379657369665,1.2426286,3.2083282,8.791777
1551337674200,618379677570231,1.5658557,3.962525,7.759845
1551337674220,618379697803564,1.2809371,4.443774,7.491686
1551337674241,618379718069930,0.7877164,3.5147953,9.038387
1551337674260,618379738336630,0.7302538,3.6967604,10.008069
1551337674281,618379758603263,0.45251793,3.2801564,10.254679
1551337674301,618379778870596,0.83081335,3.727886,11.186052
1551337674319,618379799137462,0.70870537,3.5866237,11.597867
1551337674339,618379819404728,1.3910737,3.938582,10.340873
1551337674363,618379845330820,1.1803775,3.7254915,10.89395
1551337674380,618379865598086,1.0726352,2.152453,12.895564
1551337674432,618379885865552,1.7047237,1.0008069,14.545219
1551337674433,618379906132818,2.2865324,0.25379312,14.588316
1551337674440,618379926399784,1.7166951,-0.7637737,14.485363
1551337674458,618379946667117,0.50040346,-0.50998056,10.73114
1551337674481,618379966934383,0.016759925,0.86912173,6.368771
1551337674499,618379987201016,0.07901107,2.0758362,3.8787253
1551337674519,618380007467716,0.5889916,3.0215747,3.9505534
1551337674543,618380027734382,1.228263,2.925804,5.7630196
1551337674562,618380048001048,1.7310607,2.2937152,8.051947
1551337674579,618380068234381,2.1716073,1.8364087,9.301758
1551337674601,618380088467681,2.7294734,1.5586729,8.387145
1551337674618,618380108701047,1.350371,1.673598,10.328901
1551337674639,618380128901047,0.25379312,1.132492,7.719142
1551337674661,618380149067680,-0.20351335,1.4126221,8.245882
1551337674677,618380169234380,0.6153286,1.7909175,8.968953
1551337674699,618380189401013,1.9800652,3.0000262,8.063917
1551337674720,618380209534379,1.6305012,3.3687446,7.4533772
1551337674739,618380229634379,0.8547561,3.067066,7.570697
1551337674759,618380249701045,0.65363705,3.007209,8.320105
1551337674781,618380269767745,1.0343267,3.1915684,8.971348
1551337674800,618380289834411,1.089395,3.0718546,9.80695
1551337674819,618380309867744,0.8643332,2.9665065,10.142148
1551337674843,618380329868044,0.9720756,2.7318676,10.843671
1551337674863,618380349901077,1.541913,2.456526,12.340093
1551337674882,618380369934443,2.2841382,2.6001825,12.747119
1551337674904,618380389967743,2.2697725,3.5243726,10.515655
1551337674922,618380410001109,1.8172545,3.5794408,9.670476
1551337674942,618380430034442,1.4940275,1.8364087,11.497308
1551337674962,618380450067742,1.7095122,0.34956414,12.854861
1551337674980,618380470101075,1.89866,-0.12210801,13.494133
1551337675003,618380490134408,1.541913,0.339987,11.988134
1551337675023,618380510167974,0.2753416,0.6296943,9.91948
1551337675042,618380530234674,-0.09577099,1.0917894,8.640938
1551337675062,618380550301040,0.52913475,1.802889,7.49408
1551337675083,618380570367740,1.5443072,2.3894863,6.943397
1551337675104,618380590434406,1.6855695,2.2721667,7.683228
1551337675123,618380610501039,0.818842,1.3814965,8.81572
1551337675145,618380630567739,0.5913859,1.2785428,9.299363
1551337675161,618380650634405,0.70631105,1.4389591,9.035994
1551337675183,618380670701071,0.723071,1.5036045,8.74868
1551337675203,618380690767737,0.5889916,1.1875603,8.978531
1551337675222,618380710867703,0.53392327,1.175589,9.04557
1551337675242,618380730967736,0.7446195,1.6017698,8.621783
1551337675264,618380751068002,1.0271438,2.1979442,7.9753294
1551337675283,618380771201902,1.1444633,2.5522969,7.580274
1551337675305,618380791368602,1.1013664,2.648068,7.515629
1551337675326,618380811535235,0.9481328,2.5283542,8.25546
1551337675344,618380831701935,1.1181264,2.6696165,8.609812
1551337675365,618380851901935,1.4868447,3.1460772,9.004868
1551337675388,618380872135235,1.6185298,3.294522,9.629773
1551337675418,618380892401901,1.7119064,3.2394538,10.122993
1551337675426,618380912668567,1.6424725,3.2179053,10.230737
1551337675447,618380932935200,1.3886794,2.988055,10.527626
1551337675466,618380953168800,1.6424725,2.9305923,11.162109
1551337675486,618380973402100,2.978478,3.2466366,9.615408
1551337675508,618380993635466,3.9601305,3.8212626,9.009656
1551337675530,618381013902099,3.5052183,1.8148603,11.913912
1551337675549,618381034168799,2.813273,-0.31843856,15.244348
1551337675570,618381054435465,2.257801,-0.72546524,14.815772
1551337675590,618381074735465,1.5514901,0.43336374,10.896344
1551337675611,618381095068565,1.1061549,1.1348863,8.291373
1551337675633,618381115401898,0.90982443,1.4964218,6.7039695
1551337675652,618381135701864,1.2665714,2.0973847,5.8947043
1551337675669,618381156002130,2.3463893,2.4637089,7.369578
1551337675689,618381176301496,3.014392,2.169213,9.495694
1551337675710,618381196601529,3.110163,1.9896424,10.108628
1551337675733,618381216934862,2.3870919,1.9417568,9.081485
1551337675756,618381237301495,1.6592325,1.9393626,7.980118
1551337675773,618381257668195,1.0870007,1.9273912,7.637737
1551337675792,618381278034861,0.71588814,1.8627458,7.395915
1551337675817,618381298434894,0.5913859,2.2003386,7.0271964
1551337675835,618381318834894,0.5961744,2.5618742,6.979311
1551337675853,618381339234860,0.88588166,2.80609,7.3671837
1551337675922,618381359634860,1.0127783,2.7845416,8.039975
1551337675922,618381380001526,1.0319325,2.6169424,8.813326
1551337675922,618381400334826,1.228263,2.47568,9.557945
1551337675935,618381420668192,1.297697,2.3463893,10.841276
1551337675954,618381441001492,0.73743665,2.0016139,10.96099
1551337675974,618381461301525,0.5985687,2.300898,10.240314
1551337675995,618381481568191,1.0486923,2.47568,10.671283
1551337676014,618381501801557,1.1660118,2.667222,11.358439
1551337676034,618381522034890,1.1157321,3.510007,9.565128
1551337676055,618381542268223,1.3216397,4.494054,7.656891
1551337676074,618381562501556,2.0902019,3.1748085,10.470163
1551337676094,618381582734889,1.9800652,-0.08140534,16.300222
1551337676116,618381602968189,1.3862851,-1.0343267,17.143007
1551337676135,618381623168222,1.3551595,0.5219519,12.29939
1551337676157,618381643368188,0.72785956,1.6281068,8.92825
1551337676177,618381663568221,0.15323359,1.6257126,7.649708
1551337676194,618381683734887,0.3040729,1.8507744,7.26423
1551337676216,618381703901787,0.9601042,1.7957062,7.47732
1551337676236,618381724068487,1.228263,1.4078336,8.858817
1551337676255,618381744235153,0.7541966,0.9074302,9.277815
1551337676278,618381764401819,0.026337024,0.4740664,9.201198
1551337676299,618381784569085,-0.45251793,0.33759275,8.772623
1551337676317,618381804735718,-0.45730647,0.4644893,8.118986
1551337676334,618381824868818,-0.32801566,0.86912173,7.185219
1551337676358,618381845002151,0.05985687,1.5730386,6.454965
1551337676377,618381865168784,0.43096948,1.951334,6.675238
1551337676420,618381885335484,0.8284191,2.3200524,7.0774765
1551337676420,618381905468784,1.3264283,2.5546913,7.8364615
1551337676437,618381925602150,1.4102279,2.482863,9.148524
1551337676459,618381945768816,1.0774237,2.3272352,9.809344
1551337676480,618381965935482,0.92658436,2.7127132,9.5794935
1551337676499,618381986102148,0.95531565,3.1341057,9.205987
1551337676520,618382006302148,1.0510867,3.2442424,9.222747
1551337676541,618382026502114,1.1779832,2.944958,9.692024
1551337676560,618382046702147,0.66800267,2.8707354,11.181263
1551337676580,618382066902113,1.1971374,1.9968252,12.550789
1551337676602,618382087135479,2.0447106,2.82285,12.172493
1551337676621,618382107368779,2.7845416,3.4908526,10.292988
1551337676640,618382127602145,2.5570855,3.1365,11.47097
1551337676660,618382147835211,2.2458298,0.35674694,15.517295
1551337676679,618382168067944,1.776552,-0.9337672,16.89161
1551337676701,618382188301310,1.4557191,-0.9624985,14.255512
1551337676723,618382208534643,0.5913859,-0.28013015,10.156514
1551337676741,618382228767943,0.105348095,0.40223816,7.867587
1551337676760,618382249001309,0.28013015,1.1708003,6.308914
1551337676782,618382269234609,0.85236186,1.541913,6.426234
1551337676801,618382289467975,1.9824595,1.8340145,7.9992723
1551337676822,618382309667975,2.4493432,1.6783867,9.148524
1551337676843,618382329867941,2.7917244,1.7669748,8.674458
1551337676863,618382350067974,2.2410412,1.7909175,8.032792
1551337676883,618382370301307,1.8292259,2.1500587,6.682421
1551337676904,618382390567973,1.1109436,2.221887,6.134132
1551337676923,618382410834639,0.86912173,2.4421604,6.1700463
1551337676943,618382431101539,0.6895511,2.5187771,6.263423
1551337676965,618382451368239,0.69912827,2.631308,6.8500204
1551337676985,618382471634905,0.6249057,2.6217308,7.3384523
1551337677005,618382491901538,0.6392714,2.700742,7.867587
1551337677027,618382512168238,0.5698374,2.6839821,8.741497
1551337677047,618382532434871,0.6560313,2.8611584,9.067119
1551337677066,618382552667637,0.54350036,2.7653873,9.462174
1551337677088,618382572900970,0.43815228,2.413429,10.388759
1551337677109,618382593134303,0.7805336,2.1979442,11.487731
1551337677128,618382613334303,1.1061549,1.9824595,13.577932
1551337677150,618382633534303,0.7996878,2.954535,12.13179
1551337677168,618382653734269,0.96489275,4.680807,8.253065
1551337677187,618382673934269,1.5706443,4.479688,10.0439825
1551337677209,618382694100902,1.6975409,-0.03351985,18.218037
1551337677229,618382714300935,0.84278476,-2.0399222,21.297075
1551337677249,618382734534235,0.15802214,-0.66321415,15.014498
1551337677270,618382754767868,0.16041641,1.5993756,8.688824
1551337677289,618382775001801,0.47885495,2.6648278,6.22272
1551337677310,618382795268434,1.4317763,3.213117,5.913859
1551337677334,618382815568467,1.462902,2.3846977,7.16367
1551337677353,618382835901800,1.1085492,1.3024855,8.399116
1551337677373,618382856235100,0.7350424,0.51716334,9.474146
1551337677396,618382876568433,0.4932206,0.071828246,9.613013
1551337677431,618382896935066,0.22745611,0.16281068,8.411087
1551337677435,618382917335099,-0.13886794,0.33519846,7.0607166
1551337677457,618382937735099,-0.2777359,0.61293435,5.8851275
1551337677473,618382958135065,-0.11492519,0.9984126,5.3440213
1551337677495,618382978535098,0.2561874,1.5227587,5.394301
1551337677516,618382998935098,0.8356019,2.1021733,5.8611846
1551337677535,618383019335131,1.1037607,2.4613144,6.969734
1551337677555,618383039735131,1.1133378,2.7151077,7.685622
1551337677580,618383060135131,0.89067024,2.8635526,8.971348
1551337677599,618383080535131,0.86912173,3.0646718,10.422278
1551337677619,618383100935131,1.175589,3.5746522,11.181263
1551337677641,618383121335097,1.6496553,4.130124,11.921094
1551337677660,618383141734830,2.011191,4.470111,12.019259
1551337677677,618383162135130,2.3272352,4.7717896,11.990528
1551337677699,618383182535163,2.056682,4.4653225,13.051192
1551337677721,618383202935163,2.3200524,4.817281,13.127809
1551337677740,618383223335196,2.3775148,5.9042816,10.836488
1551337677760,618383243735196,3.529161,6.1532865,10.07032
1551337677778,618383264135196,3.8260512,3.15326,14.418323
1551337677800,618383284535229,2.6744049,-0.39266106,18.787874
1551337677820,618383304935229,1.7933118,-0.6440599,14.576345
1551337677839,618383325301862,1.1660118,0.7853221,9.103033
1551337677858,618383345634928,0.42378664,1.3312168,6.3352513
1551337677880,618383365968228,0.38787252,1.7382435,4.529968
1551337677899,618383386301594,0.63208854,2.011191,4.4629283
1551337677919,618383406601594,1.3312168,1.8747171,5.6983743
1551337677941,618383426868227,1.6352897,1.594587,6.6608725
1551337677960,618383447134927,1.333611,1.525153,6.301731
1551337677979,618383467401593,1.185166,1.776552,5.6744313
1551337678001,618383487668293,1.0702409,2.142876,5.5882373
1551337678021,618383507934959,0.50758624,2.221887,6.1030064
1551337678043,618383528201592,0.18435916,2.3894863,6.421445
1551337678063,618383548468258,-0.031125572,2.6648278,6.9912825
1551337678082,618383568734924,0.16281068,3.11974,7.257047
1551337678103,618383589001557,0.6081458,3.5938065,7.74069
1551337678125,618383609268223,0.46927786,3.5985951,9.007262
1551337678147,618383629568189,0.69673395,3.840417,9.519637
1551337678164,618383649868222,0.7709565,4.103787,9.91948
1551337678187,618383670134855,0.3998439,3.955342,10.122993
1551337678207,618383690368221,0.45730647,3.938582,10.565935
1551337678226,618383710601554,0.46927786,3.397476,11.9187
1551337678249,618383730834887,1.0008069,3.265791,13.463007
1551337678267,618383751035187,1.3719195,3.840417,13.082317
1551337678286,618383771235453,0.7853221,5.29853,10.2091875
1551337678308,618383791435419,0.65842557,6.2969427,8.521224
1551337678324,618383811635452,1.9537282,4.3264546,12.155733
1551337678346,618383831835418,2.013585,0.91700727,17.504543
1551337678366,618383852035451,0.72785956,0.076616794,17.327366
1551337678386,618383872235451,0.32801566,1.5730386,11.798986
1551337678429,618383892435417,-0.09337672,2.8396099,7.4533772
