timeMillis,timeNanos,value
1551337672492,618377968025940,1009.98364
1551337672590,618378068025940,1009.97754
1551337672691,618378168211052,1009.97485
1551337672792,618378268211052,1009.9702
1551337672891,618378368211552,1009.9646
1551337672991,618378468211552,1009.9675
1551337673094,618378568211552,1009.96436
1551337673195,618378668210409,1009.95996
1551337673290,618378768208159,1009.96606
1551337673433,618378868207270,1009.97656
1551337673491,618378968207270,1009.9756
1551337673589,618379068205724,1009.97656
1551337673690,618379168204140,1009.9739
1551337673806,618379268202293,1009.96924
1551337673893,618379368202364,1009.97974
1551337673994,618379468269097,1009.98706
1551337674096,618379568456659,1009.9834
1551337674200,618379668809600,1009.98315
1551337674301,618379769254100,1009.97754
1551337674433,618379877329820,1009.979
1551337674499,618379977729820,1009.98535
1551337674601,618380078110772,1009.98145
1551337674699,618380178474408,1009.9773
1551337674800,618380278822234,1009.98535
1551337674904,618380379197234,1009.99756
1551337675003,618380479557234,1009.9978
1551337675104,618380579941849,1010.0034
1551337675203,618380680312219,1010.00244
1551337675305,618380780776540,1010.00244
1551337675418,618380881328264,1010.0034
1551337675509,618380981861630,1010.0
1551337675611,618381082494730,1009.9934
1551337675710,618381183128096,1009.9956
1551337675817,618381283861462,1009.9968
1551337675922,618381384628062,1009.99097
1551337676014,618381485394762,1009.97974
1551337676116,618381586161428,1009.99
1551337676216,618381686961694,1009.99536
1551337676317,618381787762294,1009.9873
1551337676420,618381888629227,1009.9883
1551337676520,618381989595893,1009.98755
1551337676621,618382090596459,1009.98755
1551337676723,618382191597092,1009.99585
1551337676822,618382292597892,1010.0012
1551337676924,618382393664525,1010.0054
1551337677027,618382494764525,1009.9988
1551337677129,618382595831158,1010.00146
1551337677229,618382696831191,1010.0
1551337677334,618382797864524,1009.9983
1551337677435,618382898997890,1009.9983
1551337677536,618383000197923,1010.0027
1551337677641,618383101464589,1010.00635
1551337677740,618383202764622,1009.9966
1551337677839,618383304064622,1010.0039
1551337677941,618383405331288,1009.9956
1551337678043,618383506697954,1010.0
1551337678147,618383608131287,1010.0039
1551337678249,618383709564620,1010.001
1551337678346,618383810897920,1009.99585
1551337678444,618383912131253,1009.98975
1551337678546,618384013364553,1009.9895
1551337678645,618384114498119,1009.9866
1551337678747,618384215631452,1009.9929
1551337678848,618384316664752,1009.99536
1551337678949,618384417731452,1009.99243
1551337679050,618384518864785,1009.9927
1551337679152,618384619998151,1009.9966
1551337679250,618384721131517,1009.9978
1551337679354,618384822364850,1009.9961
1551337679456,618384923631550,1009.9888
1551337679592,618385024898216,1010.0044
1551337679661,618385126131282,1009.9983
1551337679761,618385227364615,1009.99634
1551337679863,618385328697948,1009.9968
1551337679965,618385430064614,1009.99634
1551337680068,618385531464580,1010.0017
1551337680169,618385632864580,1010.0073
1551337680268,618385734231213,1010.00854
1551337680370,618385835497846,1010.0034
1551337680468,618385936664479,1009.9966
1551337680569,618386037764445,1009.9971
1551337680670,618386138797811,1010.0005
1551337680768,618386239797811,1010.00073
1551337680869,618386340797844,1009.99414
1551337680970,618386441797877,1009.99927
1551337681072,618386542731210,1009.9944
1551337681170,618386643564543,1009.9846
1551337681271,618386744397876,1009.9873
1551337681370,618386845231209,1009.9866
1551337681473,618386946164542,1009.9824
1551337681577,618387047164542,1009.9839
1551337681676,618387148164275,1009.98804
1551337681775,618387249164241,1009.9866
1551337681877,618387350230907,1009.9861
1551337681978,618387451264207,1009.97925
1551337682081,618387552330840,1009.9758
1551337682185,618387653497506,1009.9778
1551337682286,618387754697472,1009.9834
1551337682387,618387855830838,1009.98413
1551337682489,618387956864171,1009.989
1551337682589,618388057797537,1009.9983
1551337682687,618388158730903,1009.9971
1551337682788,618388259664236,1009.9951
1551337682887,618388360530902,1009.9922
1551337682987,618388461297568,1010.001
1551337683092,618388561964234,1009.99976
1551337683188,618388662597567,1009.99194
1551337683288,618388763230900,1009.98975
1551337683391,618388863864233,1009.9761
1551337683487,618388964497566,1009.9778
1551337683589,618389065130932,1009.9802
1551337683686,618389165763632,1009.9724
1551337683790,618389266396965,1009.9778
1551337683889,618389367063598,1009.97974
1551337683991,618389467763598,1009.97705
1551337684092,618389568496931,1009.9761
1551337684196,618389669296931,1009.9812
1551337684296,618389770096931,1009.98706
1551337684395,618389870896931,1009.9856
1551337684497,618389971596931,1009.9944
1551337684597,618390072230264,1009.9973
1551337684693,618390172863864,1010.0061
1551337684797,618390273563864,1010.00635
1551337684899,618390374230530,1009.9983
1551337684996,618390474863896,1010.0095
1551337685102,618390575463896,1010.00024
1551337685205,618390676030562,1009.99805
1551337685304,618390776530595,1010.0022
1551337685403,618390876997261,1010.00684
1551337685504,618390977530594,1009.9966
1551337685605,618391078063894,1009.9873
1551337685703,618391178630827,1009.99194
1551337685807,618391279264160,1009.99
1551337685910,618391379930826,1009.9968
1551337686009,618391480664159,1009.99243
1551337686115,618391581430825,1009.9973
1551337686215,618391682297491,1009.9971
1551337686318,618391783230824,1010.00073
1551337686436,618391884230824,1010.0051
1551337686520,618391985330824,1009.9966
1551337686623,618392086497190,1009.9956
1551337686723,618392187664456,1009.9944
1551337686823,618392288831089,1009.99634
1551337686984,618392389964422,1010.0005
1551337687024,618392491064422,1010.01733
1551337687126,618392592164422,1010.0083
1551337687228,618392693297788,1010.00244
1551337687329,618392794431154,1010.00366
1551337687446,618392895631187,1010.0
1551337687532,618392996931220,1009.99634
1551337687634,618393098231220,1009.99976
1551337687733,618393199531220,1010.0049
1551337687835,618393300764553,1010.0027
1551337687936,618393401997886,1010.0017
1551337688035,618393503297852,1010.0056
1551337688138,618393604597852,1010.0105
1551337688240,618393705831152,1010.01074
1551337688338,618393807064452,1010.00903
1551337688441,618393908297752,1010.0034
1551337688542,618394009464385,1009.9978
1551337688642,618394110731051,1009.99805
1551337688743,618394211964384,1010.00146
1551337688843,618394313131084,1010.00073
1551337688944,618394414264450,1009.9946
1551337689044,618394515364450,1009.999
1551337689145,618394616464483,1009.9951
1551337689245,618394717464483,1009.99097
1551337689347,618394818464483,1009.99634
1551337689446,618394919397816,1009.9922
1551337689547,618395020231149,1009.99536
1551337689648,618395120998082,1009.9995
1551337689748,618395221764748,1009.9944
1551337689849,618395322631414,1009.99023
1551337689949,618395423498080,1010.0034
1551337690053,618395524431380,1009.99585
1551337690155,618395625398080,1009.99927
1551337690254,618395726264713,1009.99805
1551337690359,618395827231379,1010.00244
1551337690457,618395928164712,1010.0176
1551337690558,618396028998045,1010.01733
1551337690661,618396129831411,1010.00684
1551337690758,618396230664744,1010.0044
1551337690857,618396331497810,1009.99805
1551337690959,618396432297810,1010.01
1551337691060,618396533097810,1010.0093
1551337691164,618396633931143,1009.99805
1551337691267,618396734831143,1009.9922
1551337691368,618396835731143,1009.9868
1551337691464,618396936631143,1009.9968
1551337691568,618397037531143,1010.0027
1551337691667,618397138330876,1010.00366
1551337691766,618397239164176,1009.99414
1551337691868,618397340064176,1009.99536
1551337691971,618397440997476,1009.9971
1551337692072,618397541997509,1010.0061
1551337692177,618397643064175,1010.00684
1551337692278,618397744197541,1010.0005
1551337692381,618397845297574,1009.999
1551337692482,618397946430907,1009.9905
1551337692580,618398047564273,1009.9883
1551337692679,618398148697006,1009.98804
1551337692781,618398249830339,1009.9934
1551337692880,618398350863672,1009.9907
1551337692981,618398451897005,1009.98584
1551337693082,618398552897005,1009.9878
1551337693180,618398653796971,1009.989
1551337693281,618398754696971,1009.99097
1551337693385,618398855496937,1009.9988
1551337693485,618398956363570,1009.9929
1551337693588,618399057296903,1009.9966
1551337693687,618399158262936,1009.99536
1551337693786,618399259229636,1009.99414
1551337693888,618399360196569,1009.99854
1551337693990,618399461163269,1009.99146
1551337694088,618399562063269,1009.9956
1551337694186,618399662863269,1009.9927
1551337694337,618399763696602,1009.9822
1551337694393,618399864596602,1009.9763
1551337694494,618399965596602,1009.97217
1551337694599,618400066696335,1009.9739
1551337694700,618400167796601,1009.9724
1551337694800,618400268863267,1009.97534
1551337694900,618400369929900,1009.9868
1551337695002,618400471029900,1009.99414
1551337695106,618400572096533,1009.99634
1551337695209,618400673129833,1009.99243
1551337695312,618400774196499,1009.9907
1551337695413,618400875329799,1009.9912
1551337695516,618400976529799,1009.9983
1551337695619,618401077796465,1009.9971
1551337695716,618401179096465,1009.98804
1551337695825,618401280496498,1009.9812
1551337695924,618401381896531,1009.9785
1551337696023,618401483329897,1009.9883
1551337696129,618401584796597,1009.99097
1551337696226,618401686329930,1009.9878
1551337696329,618401787863296,1009.9829
1551337696445,618401889496362,1009.9861
1551337696530,618401991029695,1009.9883
1551337696636,618402092596328,1009.9839
1551337696734,618402194163594,1009.9883
1551337696836,618402295730227,1009.9824
1551337696937,618402397330227,1009.98486
1551337697040,618402499030193,1009.9795
1551337697143,618402600830193,1009.9783
1551337697243,618402702696859,1009.9856
1551337697346,618402804530192,1009.9866
