timestamp,ssid,bssid,frequency,rss,wifiNo,legit
618344335364,ISILAB_2,2c:56:dc:84:dd:88,2452,-52,0,false
618344335261,HCIL guest,6e:7e:92:e0:9f:70,2432,-53,0,false
618344335185,Welcome_KAIST,00:24:6c:7d:f6:90,5220,-53,0,false
618344335174,eduroam,00:24:6c:7d:f6:91,5220,-53,0,false
618344335270,HCIL,6c:70:9f:e0:92:7e,2432,-53,0,false
618344335177,Welcome_1st_KAIST,00:24:6c:7d:f6:92,5220,-54,0,false
618344335329,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-57,0,false
618344335307,ISILAB_5,2c:56:dc:84:dd:8c,5785,-57,0,false
618344335215,eduroam,00:24:6c:7d:f6:e1,2432,-57,0,false
618344335253,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-58,0,false
618344335292,eduroam,00:24:6c:7d:f6:01,2432,-59,0,false
618344335288,Welcome_1st_KAIST,00:24:6c:7d:f6:e2,2432,-59,0,false
618344335285,Welcome_KAIST,00:24:6c:7d:f6:00,2432,-60,0,false
618344335238,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-61,0,false
618344335347,KECI,18:31:bf:46:ff:d8,2442,-61,0,false
618344335257,,a0:40:a0:56:08:f8,5745,-61,0,false
618344335234,WCSL 5GHz,64:e5:99:da:03:6c,5240,-62,0,false
618344335386,Lapras,60:38:e0:bb:ee:01,2462,-63,0,false
618344335342,Welcome_1st_KAIST,00:24:6c:7d:f6:02,2432,-63,0,false
618344335356,,9c:d6:43:c8:11:80,2447,-64,0,false
618344335139,Welcome_1st_KAIST,00:24:6c:7a:88:e2,2412,-64,0,false
618344335152,eduroam,00:24:6c:7a:88:e1,2412,-64,0,false
618344335095,Welcome_KAIST,00:24:6c:7a:8b:30,5180,-64,0,false
618344335071,eduroam,00:24:6c:7a:8b:31,5180,-64,0,false
618344335089,Welcome_1st_KAIST,00:24:6c:7a:8b:32,5180,-64,0,false
618344335422,Welcome_1st_KAIST,00:24:6c:7d:f5:82,2472,-64,0,false
618344335146,Lapras_5GHz,60:38:e0:bb:ee:02,5200,-65,0,false
618344335133,HCIL-IPTIME,64:e5:99:e3:3a:54,2412,-65,0,false
618344335413,Welcome_KAIST,00:24:6c:7d:f5:80,2472,-65,0,false
618344335418,eduroam,00:24:6c:7d:f5:81,2472,-65,0,false
618344335149,Welcome_KAIST,00:24:6c:7a:88:e0,2412,-66,0,false
618344335296,Welcome_KAIST,00:24:6c:7d:f6:f0,5785,-67,0,false
618344335299,eduroam,00:24:6c:7d:f6:f1,5785,-67,0,false
618344335304,Welcome_1st_KAIST,00:24:6c:7d:f6:f2,5785,-67,0,false
618344335312,HCIL guest,6e:7f:92:e0:9f:70,5785,-68,0,false
618344335316,HCIL,6c:70:9f:e0:92:7f,5785,-69,0,false
618344335382,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-69,0,false
618344335409,iDBLab-2.4GHz,78:54:2e:4c:f1:50,2457,-69,0,false
618344335120,iptime_dblab,90:9f:33:10:83:be,2412,-69,0,false
618344335389,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-69,0,false
618344335223,Welcome_KAIST,00:24:6c:7d:f5:90,5240,-69,0,false
618344335432,eduroam,00:24:6c:7d:f2:e1,2472,-70,0,false
618344335219,eduroam,00:24:6c:7d:f5:91,5240,-70,0,false
618344335374,Welcome_KAIST,00:24:6c:7d:f6:60,2452,-70,0,false
618344335265,KECI_5G,18:31:bf:46:ff:dc,5745,-71,0,false
618344335399,iptime,00:08:9f:d9:e3:54,2462,-71,0,false
