timeMillis,timeNanos,x,y,z
1551337793816,618498931286320,0.89545876,3.3136764,8.89952
1551337793834,618498963952986,0.89545876,3.3136764,8.89952
1551337793853,618498996619619,0.89545876,3.3136764,8.89952
1551337793872,618499029286285,0.019154198,3.050306,8.20518
1551337793893,618499061952951,0.23463893,3.1915684,8.315316
1551337793912,618499094619617,0.54828894,3.5219781,8.171659
1551337793933,618499127286283,0.44772938,3.6105664,8.035186
1551337793954,618499159952949,0.6488485,3.9601305,7.903501
1551337793974,618499192619349,0.74222517,4.008016,8.41827
1551337793991,618499225285782,0.89067024,3.9433706,8.992896
1551337794015,618499257952482,0.57462597,3.7254915,9.055147
1551337794034,618499290619182,0.42618093,3.641692,9.471751
1551337794055,618499323285882,0.58420306,3.7159145,9.608225
1551337794073,618499355952548,1.0798179,4.122941,9.794978
1551337794092,618499388619248,1.0750294,4.087027,9.454991
1551337794112,618499421285648,0.8571504,3.9146392,9.478934
1551337794133,618499453952348,0.71828246,3.9266107,9.39274
1551337794153,618499486619014,0.7326481,4.0151987,9.081485
1551337794174,618499519285680,0.86912173,4.245049,8.391933
1551337794196,618499678435171,1.0965779,4.2235007,8.011244
1551337794213,618499711101837,1.132492,3.5890179,8.767835
1551337794234,618499743768537,1.2402344,2.5092,10.850853
1551337794257,618499776435203,1.759792,1.297697,13.956228
1551337794274,618499809101869,1.9800652,0.8140534,14.485363
1551337794294,618499841768569,1.2258687,0.6488485,13.281042
1551337794314,618499874435235,0.57462597,1.3695252,9.450203
1551337794334,618499907101901,0.8044763,2.6935592,6.7279124
1551337794354,618499939768334,1.2450229,3.6704233,5.504438
1551337794376,618499972434734,1.4221992,3.7518287,5.7821736
1551337794393,618500005101167,1.0726352,3.172414,7.1157846
1551337794414,618500025100900,0.9792584,2.569057,8.296163
1551337794435,618500045100900,1.158829,2.0327394,10.2091875
1551337794453,618500065100566,0.90503585,1.3000913,11.791803
1551337794473,618500085100299,0.0,0.68236834,11.942643
1551337794561,618500105100032,-0.21069619,1.1971374,10.197216
1551337794561,618500125099732,0.18675344,2.047105,8.739103
1551337794562,618500145099732,0.74701375,2.8731298,7.6353426
1551337794562,618500165099498,0.8284191,3.1580484,6.8715687
1551337794570,618500185099164,1.0462981,3.3495905,6.859597
1551337794592,618500205099164,0.9505271,3.3328304,7.3480296
1551337794613,618500225098864,0.9433443,3.3112822,8.039975
1551337794630,618500245098230,0.9912298,3.1604428,8.595447
1551337794651,618500265097596,0.81165916,2.944958,9.205987
1551337794675,618500285097562,0.6368771,3.059883,8.966559
1551337794693,618500305097528,0.51955765,3.0239692,9.172467
1551337794714,618500325097828,0.23224466,2.8084843,9.900327
1551337794736,618500345097794,-0.15323359,2.6815877,10.518049
1551337794753,618500365097227,-0.27055305,2.7031362,10.79818
1551337794772,618500385096627,-0.2657645,3.5435266,10.26665
1551337794793,618500405095993,0.68715686,5.1788163,7.6281595
1551337794811,618500425095426,1.647261,4.9944572,9.213169
1551337794833,618500445095392,1.7454263,1.3431882,15.196463
1551337794855,618500465095392,0.6440599,-1.3024855,19.204477
1551337794874,618500485095392,-0.043096945,-1.2186859,16.372051
1551337794894,618500505095358,0.06943397,0.41181526,11.250697
1551337794913,618500525094758,-0.22506183,1.4389591,7.9920893
1551337794931,618500545094158,-0.35914123,1.9489397,6.3280683
1551337794952,618500565093791,-0.014365649,2.3392065,5.8755503
1551337794971,618500585093491,0.6344828,2.5666625,6.402291
1551337794990,618500605093124,0.7685622,2.3463893,7.814913
