timeMillis,timeNanos,x,y,z
1551337793592,618499078620760,43.92,21.66,-38.64
1551337793610,618499098619760,44.52,21.42,-38.52
1551337793631,618499118619260,44.52,21.42,-38.1
1551337793653,618499138618926,45.059998,21.9,-38.16
1551337793670,618499158618676,44.94,21.42,-37.92
1551337793691,618499178618476,44.879997,21.42,-38.28
1551337793712,618499198618309,44.579998,20.82,-37.98
1551337793733,618499218618166,44.579998,20.1,-37.8
1551337793752,618499238618041,44.64,20.1,-37.8
1551337793774,618499258617929,45.12,20.1,-37.68
1551337793791,618499278617829,44.94,20.46,-38.399998
1551337793816,618499298617738,44.879997,20.52,-38.52
1551337793834,618499318617654,45.059998,20.46,-38.46
1551337793853,618499338617577,44.7,20.699999,-38.28
1551337793872,618499358617505,45.059998,20.58,-37.8
1551337793893,618499378617438,45.539997,21.3,-36.96
1551337793912,618499398617375,45.66,21.3,-37.14
1551337793933,618499418617316,45.6,20.52,-37.559998
1551337793954,618499438617260,45.3,20.22,-38.399998
1551337793975,618499458616786,44.879997,19.32,-39.48
1551337793991,618499478616386,44.1,19.38,-39.84
1551337794015,618499498616386,43.559998,19.32,-39.899998
1551337794034,618499518616386,43.26,19.56,-39.96
1551337794055,618499538616386,43.44,19.859999,-40.079998
1551337794073,618499558616386,43.5,19.68,-40.44
1551337794092,618499578616386,43.44,19.619999,-40.68
1551337794112,618499598616039,43.14,19.26,-41.28
1551337794133,618499618616039,42.6,18.96,-41.82
1551337794153,618499638616003,42.66,18.9,-42.12
1551337794174,618499658615968,42.54,18.84,-42.42
1551337794196,618499678435171,42.42,19.02,-42.42
1551337794213,618499698435171,41.82,19.08,-42.18
1551337794234,618499718435204,41.64,19.5,-41.879997
1551337794257,618499738435204,41.52,20.279999,-42.239998
1551337794274,618499758435204,41.219997,20.939999,-42.96
1551337794294,618499778435237,41.04,21.66,-43.44
1551337794314,618499798435237,40.92,21.96,-44.28
1551337794334,618499818435237,40.98,22.26,-44.16
1551337794354,618499838435003,41.1,22.26,-43.68
1551337794376,618499858434736,41.46,21.6,-43.86
1551337794394,618499878434502,41.34,21.18,-44.04
