timeMillis,timeNanos,x,y,z
1551337949661,618655151669553,-0.20381153,0.14987029,0.054336462
1551337949682,618655171669553,-0.12684251,0.12299222,0.08060367
1551337949703,618655191669553,-0.06270165,0.04174714,0.09343184
1551337949723,618655211669553,-0.045597423,-0.008343808,0.089155786
1551337949742,618655231669553,-0.0425431,-0.046217453,0.10503828
1551337949763,618655251669753,0.022819484,-0.048660915,0.16245961
1551337949784,618655271669753,0.13399696,-0.008954674,0.24431555
1551337949803,618655291669753,0.22257242,0.0441906,0.2931848
1551337949825,618655311669753,0.24273098,0.020977724,0.2999043
1551337949843,618655331669753,0.19508348,-0.08103678,0.26386327
1551337949862,618655351669753,0.068634376,-0.17816435,0.21071798
1551337949885,618655371669753,-0.1164578,-0.1983229,0.122753374
1551337949904,618655391669836,-0.26856324,-0.1366255,0.0097433
1551337949939,618655411669836,-0.30888033,-0.08470196,-0.099601574
1551337949944,618655431669264,-0.28444573,0.0014300356,-0.15519032
1551337949962,618655451668130,-0.2746719,0.11138578,-0.120981865
1551337949983,618655471668255,-0.24290691,0.21340027,-0.012247848
1551337950004,618655491668313,-0.12317731,0.20851335,0.11481213
1551337950023,618655511668368,0.025262943,0.11260752,0.19300286
1551337950045,618655531668420,0.08940379,-0.005900347,0.22965479
1551337950064,618655551668470,0.10039937,-0.0559913,0.24370469
1551337950084,618655571668470,0.12177966,-0.08531283,0.23331998
1551337950104,618655591668515,0.1437708,-0.10241705,0.24859162
1551337950125,618655611668515,0.13216437,-0.11829955,0.24920249
1551337950143,618655631668556,0.0997885,-0.16594703,0.20583104
1551337950165,618655651668556,-0.0040585883,-0.15678406,0.043340888
1551337950186,618655671668556,-0.09324491,-0.0700412,-0.020799961
1551337950204,618655691668556,-0.12745337,0.0112038795,-0.06600399
1551337950224,618655711668556,-0.057814732,0.050910123,-0.053786688
1551337950246,618655731668556,0.07718649,0.033805892,-0.019578231
1551337950263,618655751668556,0.15537724,-0.034000147,0.041508295
1551337950284,618655771668222,0.17981185,-0.10852571,0.086712316
1551337950306,618655791668255,0.16087504,-0.13173859,0.103816554
1551337950325,618655811667988,0.09306899,-0.1140235,0.10198396
1551337950350,618655831667754,0.049697552,-0.09691927,0.04700608
1551337950365,618655851667720,0.06313659,-0.1329603,0.003023783
1551337950383,618655871667453,0.11444927,-0.13784724,-0.012858713
1551337950403,618655891667219,0.047254093,-0.11707782,-0.051343225
1551337950426,618655911666952,-0.23252219,-0.13601466,-0.13136658
1551337950444,618655931666685,-0.5239049,-0.09875186,-0.27980682
1551337950463,618655951666451,-0.56727636,-0.20626414,-0.4227493
1551337950556,618655971666184,-0.38279504,-0.21115108,-0.4636773
1551337950556,618655991665917,-0.012610703,-0.12257561,-0.35860842
1551337950556,618656011665917,0.40338853,0.21217854,-0.18084665
1551337950556,618656031665583,0.6019197,0.5292176,0.026236663
1551337950564,618656051665916,0.5750417,0.60863006,0.13374895
1551337950580,618656071665582,0.40338853,0.40704456,0.011575896
1551337950602,618656091664948,0.13827302,0.16941798,-0.20589213
1551337950624,618656111664648,-0.053538673,-0.0138415955,-0.35983017
1551337950645,618656131664381,-0.1708248,-0.09203235,-0.4367992
1551337950665,618656151664114,-0.24107431,-0.21725972,-0.47650543
1551337950684,618656171664114,-0.251459,-0.019339383,-0.5400354
1551337950705,618656191664080,-0.046819158,0.24883045,-0.29874367
1551337950727,618656211663846,0.15110119,0.32152343,-0.08432995
1551337950741,618656231663212,0.3282521,0.18041356,0.02257147
1551337950762,618656251662645,0.38078654,0.051520985,0.011575896
1551337950782,618656271662045,0.27938288,0.06129483,-0.047067165
1551337950801,618656291661445,0.10834061,0.13704212,-0.14541647
1551337950823,618656311661478,-0.046819158,0.15597895,-0.24010059
1551337950846,618656331661478,-0.119512126,0.16453105,-0.24804184
1551337950864,618656351661478,-0.10485136,0.15964414,-0.17718145
1551337950883,618656371662344,-0.024217142,0.18835479,-0.13930781
1551337950904,618656391661910,0.053362742,0.22989362,-0.112429745
1551337950923,618656411661610,0.061914857,0.22989362,-0.03912592
1551337950942,618656431661243,0.048475824,0.17125058,0.029290989
1551337950962,618656451660643,0.029539,0.0881729,0.05861252
1551337950983,618656471660309,-0.024217142,0.046634063,0.05250387
1551337951004,618656491660542,-0.104240485,0.10466626,0.036621373
1551337951033,618656511660208,-0.28261313,0.17491578,0.051282138
1551337951076,618656531659874,-0.63691497,0.015479936,-0.034238998
1551337951103,618656551659474,-1.0022124,-0.28689834,-0.2572048
1551337951103,618656571659174,-1.0022124,-0.28689834,-0.2572048
1551337951103,618656591658807,-1.0022124,-0.28689834,-0.2572048
1551337951121,618656611658007,0.6617845,0.2989214,0.58823264
1551337951143,618656631658007,0.9440043,0.30319747,0.8686198
1551337951162,618656651657640,0.8163334,0.016090801,0.79104
1551337951183,618656671657906,0.5090682,-0.41945612,0.54425037
1551337951206,618656691658506,0.27999374,-0.6076026,0.35915825
1551337951226,618656711692106,-0.043764826,-0.49459252,0.26019806
1551337951248,618656730021545,-0.19281594,-0.41701266,0.17712037
1551337951267,618656750055111,-0.14150326,-0.42128873,0.034788776
1551337951286,618656770121811,-0.11890125,-0.42189956,-0.19000962
1551337951307,618656790221811,-0.24412863,-0.20443155,-0.22543982
1551337951329,618656810322044,-0.24901555,0.17125058,-0.14175127
1551337951351,618656830422677,-0.17632258,0.32641035,0.0042455136
1551337951365,618656850522643,-0.06575598,0.20606989,0.12458597
1551337951388,618656870623243,0.033204194,-0.08042591,0.14046846
1551337951406,618656890723843,0.13033177,-0.17327742,0.147188
1551337951429,618656910857143,0.15537724,-0.116466954,0.192392
1551337951450,618656930990509,0.16698368,-0.087145425,0.20033325
1551337951469,618656951123842,0.10467542,-0.08897802,0.12030991
1551337951552,618656971256642,0.074743025,0.005095227,0.05616906
1551337951553,618656991390408,0.0044935243,0.0032626311,0.029901853
1551337951555,618657011524308,-0.1005753,-0.07370639,-0.029352076
1551337951555,618657031658274,-0.2551242,0.019145127,-0.07089092
1551337951568,618657051792207,-0.47931173,0.2549391,-0.13991868
1551337951586,618657071926140,-0.64119107,0.5835846,-0.22910501
1551337951608,618657092092806,-0.7432055,0.6367299,-0.28530464
1551337951630,618657112260072,-1.0156515,0.15903327,-0.3805996
1551337951648,618657132427338,-1.3968313,-0.24535953,-0.5479767
1551337951671,618657152627971,-1.3833923,-0.28934184,-0.532705
1551337951693,618657172861871,-0.70044494,-0.022393709,-0.13686436
1551337951713,618657193129171,0.11750359,0.19446346,0.24248296
1551337951734,618657213396637,0.7283688,0.22378498,0.47888783
1551337951754,618657233663670,0.9250674,0.14559424,0.6236628
1551337951774,618657253964270,0.75036,0.09061636,0.66398
1551337951795,618657274297603,0.44248393,0.023421185,0.45384234
1551337951816,618657294630969,0.18286619,-0.15678406,0.16490307
1551337951835,618657314930969,0.086349465,-0.3003374,-0.09471466
1551337951856,618657335264269,0.1260557,-0.21909231,-0.25781566
1551337951880,618657355630669,0.18164444,-0.040108804,-0.24071145
1551337951898,618657375963702,0.26533297,0.1565898,-0.16862935
1551337951917,618657396263735,0.3154239,0.25127393,-0.060506202
1551337951938,618657416563735,0.3789539,0.259826,-0.009804387
1551337951955,618657436864035,0.4461491,0.14559424,0.043340888
1551337951977,618657457164668,0.42171448,0.03991455,0.06960809
1551337951999,618657477498001,0.27144164,-0.08470196,0.050671272
1551337952018,618657497831367,0.050308418,-0.13784724,-0.02751948
1551337952038,618657518131367,-0.18182038,-0.09019975,-0.12159273
1551337952060,618657538464667,-0.25940028,0.07900992,-0.12831225
1551337952080,618657558832000,-0.120122984,0.0759556,-0.04340198
1551337952100,618657579198666,0.09245812,-0.06026735,0.036010507
1551337952121,618657599565299,0.14926858,-0.27284846,0.083657995
1551337952142,618657619965299,0.10039937,-0.2001555,0.123975106
1551337952162,618657640398599,0.064358324,0.06923608,0.122753374
1551337952184,618657660865299,-0.098131835,0.19324173,0.08304713
1551337952204,618657681331965,-0.46342927,-0.19160338,-0.12892312
1551337952224,618657701765331,-0.6790647,-0.52635753,-0.32623258
1551337952246,618657722231997,-0.5856023,-0.5581226,-0.401369
1551337952265,618657742698663,-0.07858415,0.005095227,-0.2083356
1551337952285,618657763132029,0.5701547,0.6257343,0.24675901
1551337952306,618657783565362,0.7118755,0.4485834,0.41780126
1551337952327,618657803998695,0.5194529,0.084507704,0.396421
1551337952347,618657824465361,0.022208616,-0.40174103,0.16734652
1551337952367,618657844932261,-0.21175277,-0.583168,0.04700608
1551337952385,618657865365627,-0.16349441,-0.497036,0.029901853
1551337952405,618657885765627,-0.027882334,-0.3107221,0.026847528
1551337952427,618657906165593,0.03442592,-0.19526857,-0.050121494
1551337952447,618657926565626,0.026484674,-0.12685166,-0.08249735
1551337952467,618657946932292,0.094901584,0.046023197,-0.006139196
1551337952556,618657967265925,0.14926858,0.12665741,0.087934054
1551337952556,618657987599525,0.16087504,0.11199664,0.17467691
1551337952556,618658007966158,0.14926858,-0.01078727,0.19483547
1551337952556,618658028332824,0.16515107,-0.120743014,0.16917913
1551337952573,618658048699157,0.16331849,-0.21848145,0.14779884
1551337952587,618658069099123,0.1278883,-0.20504242,0.08060367
1551337952611,618658089499123,0.07413217,-0.13357118,0.013408492
1551337952628,618658109899089,0.0032717944,-0.012619865,-0.057451878
1551337952649,618658130299122,-0.08591453,-0.019339383,-0.14847079
1551337952672,618658150699122,-0.09324491,-0.114634365,-0.21444425
1551337952692,618658171098488,-0.1005753,-0.081647635,-0.26148087
1551337952713,618658191531821,-0.1586075,0.094281554,-0.24376577
1551337952733,618658211965154,-0.11829039,0.2323371,-0.16985108
1551337952752,618658232365187,0.024041211,0.29647794,-0.038515054
1551337952774,618658252765187,-0.007112915,0.20301557,0.025014933
1551337952795,618658273165187,-0.40600795,-0.2740702,-0.17229454
1551337952814,618658293565187,-0.614313,-0.34676316,-0.3115718
1551337952834,618658313965153,-0.44571418,-0.08225851,-0.3134044
1551337952858,618658334365186,-0.043153964,0.28059545,-0.2675895
1551337952877,618658354798252,0.17431405,0.22928278,-0.21994203
