timeMillis,timeNanos,x,y,z
1551337949561,618655051669553,34.8,17.039999,-46.14
1551337949583,618655071669553,34.68,17.279999,-45.66
1551337949601,618655091669553,34.559998,17.52,-45.84
1551337949622,618655111669886,34.38,17.52,-46.559998
1551337949642,618655131669886,34.38,17.4,-46.44
1551337949661,618655151669886,34.32,17.4,-46.739998
1551337949682,618655171669886,34.559998,17.279999,-46.739998
1551337949703,618655191669886,34.98,17.4,-46.26
1551337949723,618655211669886,35.16,17.279999,-46.26
1551337949742,618655231669886,35.46,17.34,-45.899998
1551337949763,618655251669986,35.219997,17.34,-45.66
1551337949783,618655271669986,35.219997,16.619999,-45.48
1551337949803,618655291669986,35.1,16.38,-45.18
1551337949825,618655311669986,34.86,16.02,-45.899998
1551337949843,618655331669986,35.04,15.78,-45.78
1551337949862,618655351669986,35.219997,16.14,-45.48
1551337949885,618655371669986,35.219997,15.78,-45.36
1551337949904,618655391670044,34.86,15.9,-44.64
1551337949939,618655411670044,34.32,15.719999,-45.18
1551337949944,618655431669622,34.079998,16.08,-45.539997
1551337949962,618655451668772,33.66,16.38,-45.899998
1551337949983,618655471668867,33.899998,16.619999,-46.079998
1551337950004,618655491668912,34.079998,16.98,-45.3
1551337950023,618655511668955,33.899998,17.16,-45.899998
1551337950045,618655531668996,34.2,17.52,-45.539997
1551337950064,618655551669036,33.899998,17.16,-45.36
1551337950084,618655571669036,34.14,16.92,-45.66
1551337950104,618655591669073,34.2,16.199999,-45.3
1551337950125,618655611669073,34.44,16.08,-45.66
1551337950143,618655631669107,35.04,16.199999,-45.84
1551337950165,618655651669107,34.62,16.38,-45.84
1551337950186,618655671669107,34.32,16.02,-45.48
1551337950204,618655691669107,33.719997,15.78,-44.94
1551337950224,618655711669073,33.059998,15.24,-44.94
1551337950246,618655731669073,33.12,15.059999,-45.3
1551337950263,618655751669073,32.7,15.42,-45.12
1551337950284,618655771668739,33.18,15.599999,-46.02
1551337950306,618655791668772,33.0,15.78,-46.02
1551337950325,618655811668505,32.52,15.599999,-45.42
1551337950350,618655831668271,32.7,15.54,-45.539997
1551337950365,618655851668237,32.219997,15.24,-45.12
1551337950383,618655871667970,31.92,15.299999,-45.239998
1551337950403,618655891667736,31.8,15.179999,-45.48
1551337950426,618655911667469,31.859999,14.82,-45.42
1551337950444,618655931667202,31.5,15.24,-45.48
1551337950463,618655951666968,31.26,15.299999,-45.18
1551337950556,618655971666701,30.72,15.719999,-45.48
1551337950556,618655991666434,30.179998,16.56,-45.66
1551337950556,618656011666434,30.119999,16.38,-45.719997
1551337950556,618656031666100,30.42,16.56,-45.96
1551337950564,618656051666433,30.779999,16.32,-45.42
1551337950580,618656071666099,31.019999,15.839999,-45.6
1551337950602,618656091665465,30.9,15.839999,-45.36
1551337950624,618656111665165,30.48,15.599999,-45.059998
1551337950645,618656131664898,30.3,15.9,-44.879997
1551337950665,618656151664631,30.0,16.02,-44.579998
1551337950684,618656171664631,30.24,16.38,-44.64
1551337950705,618656191664597,30.72,16.56,-44.46
1551337950727,618656211664363,31.38,16.56,-44.46
1551337950741,618656231663729,31.32,16.68,-44.16
1551337950762,618656251663162,31.439999,16.08,-43.559998
1551337950782,618656271662562,31.439999,15.9,-43.2
1551337950801,618656291661962,31.199999,16.08,-43.32
1551337950823,618656311661995,31.74,15.96,-43.02
1551337950846,618656331661995,31.56,15.96,-42.719997
1551337950864,618656351661995,31.92,16.02,-42.78
1551337950883,618656371662861,31.74,15.96,-42.18
1551337950904,618656391662427,31.679998,15.839999,-42.239998
