timeMillis,timeNanos,value
1551337949622,618655103670553,1009.9502
1551337949723,618655203669553,1009.9424
1551337949825,618655303669053,1009.9324
1551337949939,618655403668719,1009.93506
1551337950023,618655503668719,1009.93115
1551337950126,618655603668519,1009.9282
1551337950225,618655703668352,1009.9182
1551337950325,618655803667066,1009.92236
1551337950426,618655903665941,1009.9253
1551337950556,618656003665829,1009.9326
1551337950624,618656103664929,1009.9387
1551337950727,618656203664201,1009.926
1551337950823,618656303664201,1009.9221
1551337950923,618656403662816,1009.927
1551337951033,618656503661458,1009.92773
1551337951121,618656603659791,1009.92725
1551337951226,618656703722228,1009.9375
1551337951329,618656804020545,1009.93384
1551337951429,618656904242711,1009.9404
1551337951555,618657004453184,1009.9429
1551337951630,618657104703134,1009.9402
1551337951734,618657205084038,1009.93945
1551337951835,618657305538538,1009.93335
1551337951938,618657406060233,1009.9409
1551337952038,618657506601858,1009.9397
1551337952142,618657607241818,1009.9409
1551337952246,618657707972548,1009.9375
1551337952347,618657808787325,1009.93994
1551337952447,618657909573039,1009.9404
1551337952556,618658010366107,1009.93164
1551337952649,618658111199440,1009.9353
1551337952752,618658212132806,1009.93066
1551337952858,618658313166172,1009.93896
1551337952958,618658414232605,1009.93994
1551337953058,618658515332571,1009.9414
1551337953186,618658616499271,1009.94116
1551337953264,618658717732604,1009.93604
1551337953364,618658819032870,1009.93164
1551337953466,618658920333136,1009.9387
1551337953564,618659021633136,1009.9346
1551337953663,618659122933402,1009.9336
1551337953766,618659224233635,1009.9331
1551337953867,618659325633601,1009.93555
1551337953966,618659427034167,1009.9375
1551337954069,618659528434767,1009.9463
1551337954167,618659629835600,1009.94824
1551337954270,618659731302266,1009.94995
1551337954372,618659832702299,1009.94775
1551337954470,618659934068999,1009.93945
1551337954569,618660035435699,1009.94556
1551337954672,618660136769065,1009.94824
1551337954771,618660238002398,1009.93896
1551337954870,618660339169064,1009.9446
1551337954971,618660440269064,1009.93774
1551337955069,618660541335730,1009.9348
1551337955173,618660642402396,1009.92896
1551337955277,618660743435729,1009.9424
1551337955377,618660844435729,1009.9365
1551337955479,618660945502362,1009.9387
1551337955582,618661046602362,1009.94116
1551337955683,618661147702328,1009.9468
1551337955785,618661248768961,1009.9492
1551337955886,618661349801694,1009.9509
1551337955988,618661450801927,1009.94556
1551337956088,618661551768627,1009.9419
1551337956190,618661652701960,1009.93774
1551337956290,618661753635326,1009.9404
1551337956390,618661854535359,1009.9407
1551337956567,618661955535359,1009.93994
1551337956593,618662056535392,1009.9304
1551337956694,618662157535392,1009.92554
1551337956797,618662258568725,1009.9197
1551337956903,618662359502058,1009.9158
1551337957058,618662460435391,1009.9177
1551337957098,618662561402057,1009.91504
1551337957196,618662662368690,1009.91943
1551337957299,618662763302023,1009.9192
1551337957401,618662864301989,1009.9241
1551337957587,618662965368622,1009.93994
1551337957603,618663066501688,1009.95166
1551337957706,618663167634988,1009.9426
1551337957807,618663268801688,1009.9497
1551337957908,618663370035054,1009.948
1551337958016,618663471335087,1009.94434
1551337958112,618663572701787,1009.94946
1551337958212,618663673968453,1009.95044
1551337958313,618663775168486,1009.9458
1551337958416,618663876401819,1009.9331
1551337958551,618663977568485,1009.9304
1551337958615,618664078668218,1009.9365
1551337958714,618664179701551,1009.9397
1551337958818,618664280768217,1009.9341
1551337958918,618664381802117,1009.9341
1551337959020,618664482902117,1009.93335
1551337959121,618664584035417,1009.9409
1551337959224,618664685135383,1009.9375
1551337959322,618664786168716,1009.94385
1551337959421,618664887168682,1009.9302
1551337959550,618664988068715,1009.93774
1551337959621,618665089001748,1009.9231
1551337959725,618665189968448,1009.9331
1551337959828,618665291001814,1009.9392
1551337959928,618665392068480,1009.94336
1551337960027,618665493135146,1009.93994
1551337960129,618665594168479,1009.93677
