timeMillis,timeNanos,x,y,z
1551338165616,618871107292237,0.058249667,0.085729435,-0.21627684
1551338165638,618871127292237,-0.03338012,0.07656646,-0.23338108
1551338165658,618871147292237,-0.105462216,0.13765298,-0.23887886
1551338165676,618871167292237,-0.13661635,0.17063971,-0.21627684
1551338165698,618871187292237,-0.13172942,0.17552663,-0.21383338
1551338165720,618871207292237,-0.14211413,0.15048115,-0.17962493
1551338165742,618871227292237,-0.17448999,0.097335875,-0.1466382
1551338165760,618871247292237,-0.14516845,0.05701877,-0.14052956
1551338165778,618871267292237,-0.098131835,-0.004067752,-0.12525792
1551338165798,618871287292237,-0.08896886,-0.050493512,-0.07944302
1551338165819,618871307292237,-0.11890125,-0.0999736,-0.046456303
1551338165838,618871327292327,-0.12500991,-0.11158003,-0.062949665
1551338165861,618871347292327,-0.12745337,-0.082869366,-0.07211264
1551338165880,618871367292327,-0.17876606,-0.07065206,-0.046456303
1551338165898,618871387291827,-0.22763526,-0.07614985,-0.029352076
1551338165917,618871407290627,-0.24229604,-0.06943034,-0.040958516
1551338165939,618871427290689,-0.24535036,-0.034000147,-0.044623706
1551338165959,618871447290689,-0.251459,-0.026058901,-0.006139196
1551338165979,618871467290689,-0.21725057,-0.030334957,0.026847528
1551338165999,618871487290689,-0.120122984,-0.021782845,0.053114735
1551338166018,618871507290689,0.035036784,-0.03644361,0.1520749
1551338166038,618871527290736,0.07229957,-0.043773994,0.18322903
1551338166061,618871547290736,0.074743025,-0.07737158,0.18628335
1551338166079,618871567290736,0.07107784,-0.12929513,0.14902058
1551338166100,618871587290777,0.067412645,-0.152508,0.118477315
1551338166121,618871607290777,0.039312843,-0.14395589,0.09465357
1551338166139,618871627290815,0.009380447,-0.116466954,0.06655377
1551338166160,618871647290815,-3.933972E-4,-0.11829955,0.042730022
1551338166180,618871667290815,0.012434772,-0.15556233,0.029290989
1551338166199,618871687290815,0.06496918,-0.15922752,0.038453966
1551338166220,618871707290815,0.12849918,-0.10547138,0.07754934
1551338166240,618871727290815,0.16209675,-0.053547837,0.101373084
1551338166260,618871747290848,0.1859205,-0.014452461,0.09831876
1551338166280,618871767290514,0.22318329,0.020977724,0.09831876
1551338166301,618871787290280,0.2457853,0.0032626311,0.08121453
1551338166319,618871807290013,0.233568,-0.06332168,0.038453966
1551338166340,618871827289779,0.18836397,-0.10363878,0.004856379
1551338166360,618871847290279,0.0857386,-0.10669312,-0.036071595
1551338166378,618871867290045,-0.02055195,-0.052326106,-0.056841012
1551338166399,618871887289445,-0.08408193,0.024032049,-0.07577783
1551338166420,618871907289178,-0.09446664,0.085729435,-0.096547246
1551338166506,618871927288878,-0.08835799,0.072290406,-0.12770137
1551338166506,618871947288644,-0.061479922,0.032584164,-0.19611828
1551338166506,618871967288377,-0.038267042,-0.007732943,-0.24437664
1551338166506,618871987288377,-0.07430809,-0.044384856,-0.28163943
1551338166517,618872007288710,-0.121344715,-0.04133053,-0.3189022
1551338166537,618872027288076,-0.01688676,0.094281554,-0.2840829
1551338166557,618872047287842,0.08268427,0.09855761,-0.24620925
1551338166576,618872067287242,0.14254907,0.06618176,-0.22727242
1551338166598,618872087286975,0.16759454,2.0830505E-4,-0.20528127
1551338166619,618872107287008,0.18469878,-0.051104374,-0.19734001
1551338166639,618872127286974,0.1755358,-0.06454341,-0.1887879
1551338166663,618872147287574,0.09856677,-0.028502362,-0.18023579
1551338166678,618872167286974,-0.012610703,0.06251656,-0.18939878
1551338166698,618872187286340,-0.066366844,0.13948558,-0.15335773
1551338166726,618872207285773,-0.07736242,0.18713307,-0.103877634
1551338166739,618872227285139,-0.084692806,0.1443725,-0.070280045
1551338166760,618872247285139,-0.10240789,0.049688388,-0.059895337
1551338166781,618872267285139,-0.12623164,-0.019950248,-0.06539313
1551338166800,618872287285139,-0.05170608,0.02647551,-0.04767803
1551338166820,618872307285172,0.09123639,0.09061636,0.0066889743
1551338166840,618872327284572,0.2054682,0.09244896,0.05739079
1551338166858,618872347283938,0.27877203,0.058240507,0.06227771
1551338166878,618872367283704,0.33680424,0.02647551,0.017073683
1551338166898,618872387283337,0.3477998,-0.0028460212,-0.055008415
1551338166916,618872407283037,0.29954144,8.191703E-4,-0.11426234
1551338166939,618872427283270,0.21524203,0.032584164,-0.14175127
1551338166959,618872447282170,0.15354465,0.07778819,-0.12953398
1551338167009,618872467282336,0.12300138,0.102833666,-0.08677341
1551338167035,618872487282336,0.12300138,0.102833666,-0.08677341
1551338167036,618872507281969,0.12300138,0.102833666,-0.08677341
1551338167037,618872527281669,0.0069369855,-0.106082246,0.006078109
1551338167057,618872547281069,-0.056592997,-0.15067542,0.06716464
1551338167078,618872567280769,-0.06819944,-0.11524522,0.118477315
1551338167097,618872587280402,0.020986887,-0.019339383,0.19055942
1551338167118,618872607280402,0.13399696,-0.005900347,0.27608055
1551338167143,618872624156314,0.24517444,-0.0559913,0.32006285
1551338167161,618872644156547,0.33008468,-0.054158702,0.2791349
1551338167180,618872664157147,0.3178674,0.009371283,0.20583104
1551338167202,618872684157413,0.1559881,0.059462234,0.16368133
1551338167219,618872704157379,-0.01810849,0.07167953,0.12092078
1551338167240,618872724157412,-0.11767953,0.061905693,0.089155786
1551338167262,618872744156812,-0.15677491,0.07717732,0.07082982
1551338167281,618872764157445,-0.17326826,0.13093348,0.09098838
1551338167300,618872784158078,-0.1812095,0.13459866,0.12702943
1551338167321,618872804158644,-0.120122984,0.1657528,0.16184874
1551338167340,618872824159277,-0.07736242,0.13887471,0.1783421
1551338167360,618872844159277,-0.04620829,0.10100107,0.1642922
1551338167382,618872864159277,-0.0010042625,0.042358007,0.15268576
1551338167401,618872884192643,-0.008945511,-0.047439184,0.12519683
1551338167424,618872904225943,-0.04743002,-0.034000147,0.05861252
1551338167533,618872924259909,-0.070642896,0.02525378,0.0097433
1551338167533,618872944327175,-0.04743002,0.07778819,-0.02751948
1551338167533,618872964427741,-0.002225993,0.09855761,-0.061727934
1551338167533,618872984528107,0.019154292,0.04357974,-0.10204504
1551338167533,618873004628673,0.02709554,-0.030945823,-0.124036185
1551338167541,618873024728706,0.07779735,-0.082869366,-0.12464706
1551338167564,618873044829306,0.147436,-0.10424965,-0.11976013
1551338167580,618873064929372,0.201803,-0.10730398,-0.12281446
1551338167601,618873085030005,0.20119214,-0.11829955,-0.14358388
1551338167623,618873105130638,0.16698368,-0.16289271,-0.18634443
1551338167643,618873125264538,0.1315535,-0.16533618,-0.21810943
1551338167664,618873145398738,0.12055792,-0.12379734,-0.1991726
1551338167684,618873165532371,0.11750359,-0.11524522,-0.16435328
1551338167707,618873185666337,0.13216437,-0.16228184,-0.16496415
1551338167723,618873205799937,0.15049033,-0.24841385,-0.12525792
1551338167746,618873225933270,0.123612255,-0.33821103,-0.086162545
1551338167769,618873246066603,0.030760732,-0.34065452,-0.10204504
1551338167784,618873266199936,-0.055982135,-0.3076678,-0.08432995
1551338167805,618873286333269,-0.098131835,-0.23436396,-0.04401284
1551338167826,618873306466269,-0.035212714,-0.19282512,-0.049510628
1551338167843,618873326599569,0.14865772,-0.10119533,-0.062949665
1551338167863,618873346732669,0.41560584,-0.09203235,-0.016523905
1551338167883,618873366865969,0.5078465,-0.19404684,-0.018967366
1551338167904,618873386999302,0.44553825,-0.31194386,-0.07150178
1551338167925,618873407132635,0.27510685,-0.29545048,-0.21077906
1551338167945,618873427299268,0.02709554,-0.14639935,-0.30057624
1551338167968,618873447499301,-0.28444573,0.11138578,-0.27614164
1551338167989,618873467732634,-0.47014877,0.19690692,-0.27797425
1551338168007,618873487932334,-0.49641597,0.17674837,-0.3048523
1551338168027,618873508132367,-0.41028395,0.14987029,-0.30790663
1551338168048,618873528332333,-0.27772623,0.060683962,-0.21322252
1551338168067,618873548499033,-0.19709201,-0.02483717,-0.12647966
1551338168087,618873568632366,-0.15921837,-0.087145425,-0.05561928
1551338168109,618873588765932,-0.16777048,-0.08836716,-0.0183565
1551338168128,618873608932632,-0.16838133,-0.07370639,0.00852157
1551338168149,618873629099265,-0.04865175,-0.018117653,0.07205156
1551338168170,618873649265965,0.113838404,-0.014452461,0.11359039
1551338168188,618873669432631,0.2280702,-0.106082246,0.121531636
1551338168208,618873689599264,0.2861024,-0.17755347,0.102594815
1551338168229,618873709765964,0.2806046,-0.20382069,0.08610146
1551338168248,618873729899297,0.23540059,-0.18305127,0.059834253
1551338168269,618873750032597,0.1859205,-0.06637601,0.012797627
1551338168290,618873770166230,0.20241386,0.12054876,-0.047067165
1551338168306,618873790299530,0.25555915,0.15903327,-0.09166033
1551338168326,618873810432296,0.29282194,0.13765298,-0.13503177
1551338168349,618873830565629,0.27571768,0.14131817,-0.19489656
1551338168369,618873850732295,0.22501588,0.18774395,-0.23948972
1551338168389,618873870898961,0.20730078,0.32885382,-0.26209173
1551338168410,618873891065627,0.14438167,0.31236044,-0.23338108
1551338168428,618873911232627,0.0014391985,0.22745018,-0.24315491
1551338168506,618873931399293,-0.20014633,0.2323371,-0.25353962
1551338168506,618873951566193,-0.4481576,0.26104775,-0.19367482
1551338168506,618873971732893,-0.60026306,0.33190814,-0.09715812
1551338168509,618873991899526,-0.54345256,0.4131532,0.04578435
1551338168529,618874012066226,-0.12378818,0.35084498,0.20888537
1551338168547,618874032199559,0.30809355,0.10955319,0.2400395
1551338168569,618874052332859,0.5774851,-0.2264227,0.2699719
1551338168591,618874072466225,0.49990523,-0.40846053,0.20583104
1551338168611,618874092633158,0.20302473,-0.3931889,0.14535539
1551338168632,618874112799791,-0.14700106,-0.2740702,0.058001656
1551338168654,618874132966491,-0.39684495,-0.093254074,-0.012858713
1551338168674,618874153166457,-0.39501235,0.13276607,0.03356705
1551338168694,618874173399823,-0.20136806,0.16880712,0.13924673
1551338168714,618874193633156,-0.03338012,0.0075386884,0.17528778
1551338168734,618874213833122,0.027706403,-0.15067542,0.16123788
1551338168753,618874234066488,-0.04498656,-0.16228184,0.1398576
1551338168777,618874254333121,-0.11584693,-0.05293697,0.1557401
1551338168796,618874274599821,-0.12684251,0.019145127,0.17345518
1551338168815,618874294865887,-0.054760404,0.041136276,0.1661248
1551338168837,618874315131920,0.030760732,0.030751567,0.10931434
