timeMillis,timeNanos,value
1551338165557,618871039293237,1009.92163
1551338165658,618871139292237,1009.9055
1551338165760,618871239291737,1009.89795
1551338165861,618871339291403,1009.9004
1551338165959,618871439291153,1009.8938
1551338166061,618871539290953,1009.8894
1551338166160,618871639290786,1009.8855
1551338166260,618871739290786,1009.8882
1551338166360,618871839292536,1009.8955
1551338166506,618871939291647,1009.88184
1551338166557,618872039290847,1009.8821
1551338166663,618872139292392,1009.8767
1551338166760,618872239292308,1009.87573
1551338166858,618872339290846,1009.8782
1551338166959,618872439289488,1009.8884
1551338167057,618872539287754,1009.8855
1551338167161,618872636156314,1009.8843
1551338167262,618872736156255,1009.8921
1551338167360,618872836156199,1009.886
1551338167533,618872936261409,1009.8887
1551338167564,618873036411359,1009.8889
1551338167664,618873136601835,1009.88403
1551338167769,618873236783607,1009.8877
1551338167863,618873336957172,1009.8872
1551338167968,618873437207172,1009.8894
1551338168067,618873537487172,1009.8943
1551338168170,618873637794864,1009.8811
1551338168269,618873738091123,1009.8794
1551338168369,618873838412515,1009.87695
1551338168506,618873938722825,1009.8772
1551338168569,618874039056125,1009.88696
1551338168674,618874139489458,1009.8845
1551338168777,618874240022791,1009.8928
1551338168875,618874340556124,1009.89404
1551338168977,618874441089457,1009.89307
1551338169124,618874541689457,1009.8894
1551338169177,618874642322790,1009.8877
1551338169279,618874742956090,1009.8821
1551338169380,618874843588956,1009.8772
1551338169494,618874944222556,1009.87866
1551338169578,618875044856156,1009.8882
1551338169682,618875145488889,1009.8926
1551338169781,618875246188922,1009.8948
1551338169881,618875346922855,1009.89746
1551338169984,618875447690121,1009.9026
1551338170083,618875548457621,1009.89575
1551338170184,618875649224287,1009.8884
1551338170284,618875749990953,1009.89136
1551338170385,618875850790953,1009.8877
1551338170523,618875951624286,1009.8884
1551338170587,618876052424286,1009.8899
1551338170690,618876153290919,1009.8884
1551338170793,618876254257585,1009.8823
1551338170894,618876355224485,1009.8843
1551338170996,618876456157818,1009.8833
1551338171093,618876557057818,1009.8745
1551338171196,618876657924484,1009.87305
1551338171297,618876758857850,1009.88477
1551338171398,618876859791183,1009.89355
1551338171531,618876960791216,1009.8899
1551338171598,618877061757882,1009.8872
1551338171700,618877162624548,1009.88086
1551338171801,618877263391214,1009.8821
1551338171899,618877364157880,1009.87573
1551338172001,618877464991213,1009.86816
1551338172103,618877565757879,1009.8755
1551338172204,618877666557879,1009.8887
1551338172304,618877767357879,1009.885
1551338172408,618877868257845,1009.886
1551338172511,618877969257845,1009.8977
1551338172610,618878070324478,1009.89746
