timeMillis,timeNanos,x,y,z
1551338258568,618964053973366,0.6368771,5.174028,7.719142
1551338258588,618964086640032,0.6368771,5.174028,7.719142
1551338258609,618964119306698,0.6368771,5.174028,7.719142
1551338258627,618964151973364,-0.038308397,4.7957325,8.506859
1551338258647,618964184640030,0.4860378,4.946572,9.466963
1551338258668,618964217306696,0.40463245,4.98488,9.435837
1551338258687,618964249973362,0.18196489,4.6999617,9.603436
1551338258719,618964282640028,0.15083931,4.5443335,9.950606
1551338258728,618964315306394,0.0071828244,4.520391,10.084685
1551338258745,618964347972494,-0.22027329,4.3863115,9.7135725
1551338258767,618964380639194,0.27294734,4.5946136,10.10384
1551338258788,618964413305894,0.55307746,4.8723493,9.857229
1551338258806,618964445972594,0.77574503,4.9178405,9.735122
1551338258826,618964478639260,1.1971374,5.1213536,10.029617
1551338258848,618964511305960,0.94095,4.946572,9.687236
1551338258867,618964543972593,0.71588814,4.70475,9.404712
1551338258887,618964576639259,0.45730647,4.3456087,9.153313
1551338258907,618964609305959,0.7326481,3.902668,9.352037
1551338258925,618964641972625,0.7398309,3.6512692,9.591465
1551338258945,618964674639291,0.27294734,3.0742488,9.04557
1551338258968,618964707305957,-0.021548472,2.753416,8.672064
1551338258987,618964739972623,0.05985687,2.6265194,9.091062
1551338259006,618964772639323,0.062251143,2.5475085,9.174861
1551338259028,618964805305989,-0.31604427,2.6001825,8.7534685
1551338259047,618964837972655,-0.21787901,2.7151077,8.763046
1551338259066,618964870639088,-0.2561874,2.8587642,8.875577
1551338259088,618964903305754,-0.11971374,2.9401696,8.897125
1551338259106,618964935972954,0.20111908,3.0742488,8.676852
1551338259127,618964968639620,0.2657645,3.0622776,8.540379
1551338259147,618965001305986,0.04070267,2.944958,8.379962
1551338259166,618965021305719,-0.083799616,2.8276386,8.334471
1551338259188,618965041305452,-0.17238778,3.0167863,8.111803
1551338259206,618965061304852,-0.06464542,3.3998702,8.099832
1551338259225,618965081304285,-0.11492519,3.6560576,7.5874567
1551338259246,618965101304018,-0.2083019,3.8452053,7.398309
1551338259338,618965121303784,-0.1340794,3.9170337,7.7239304
1551338259338,618965141303517,-0.05027977,3.8835137,8.463761
1551338259338,618965161303183,-0.11253092,3.9098508,8.461368
1551338259338,618965181303183,-0.10055954,4.268992,8.55235
1551338259344,618965201303483,-0.035914123,4.6281333,8.449396
1551338259364,618965221303183,0.047885496,4.8220696,8.43503
1551338259386,618965241302549,0.057462595,4.80531,8.9186735
1551338259403,618965261301915,-0.1699935,4.72151,8.909097
1551338259424,618965281301681,-0.21309046,4.8723493,8.973742
1551338259448,618965301301647,-0.035914123,4.975303,8.825297
1551338259467,618965321301680,0.14126222,5.090228,8.968953
1551338259490,618965341301680,-0.04070267,4.896292,8.851634
1551338259506,618965361301046,0.057462595,4.9154463,8.758257
1551338259525,618965381300479,0.20351335,5.0495257,8.822903
