timeMillis,timeNanos,x,y,z
1551338258445,618963933973366,-0.08591453,-0.14945367,-0.21200077
1551338258464,618963953973366,0.122390516,-0.31133297,-0.19672915
1551338258486,618963973973366,0.13582955,-0.39135632,-0.15580118
1551338258504,618963993973366,0.04114544,-0.31499818,-0.13991868
1551338258527,618964013973616,-0.090801455,-0.1598384,-0.13686436
1551338258548,618964033973616,-0.22091575,0.0032626311,-0.10937542
1551338258568,618964053973616,-0.2783371,0.074123,-0.070280045
1551338258588,618964073973616,-0.2710067,0.07717732,-0.067225724
1551338258609,618964093973616,-0.2624546,-0.0120089995,-0.05561928
1551338258628,618964113973616,-0.25268075,-0.08897802,-0.037293322
1551338258648,618964133973616,-0.25573507,-0.1738883,0.004856379
1551338258668,618964153973616,-0.2148071,-0.2563551,0.016462818
1551338258687,618964173973616,-0.106683955,-0.26673982,-0.057451878
1551338258719,618964193973616,-0.07736242,-0.21603799,-0.10021244
1551338258728,618964213973044,-0.12928596,-0.100584455,-0.04767803
1551338258745,618964233971910,-0.13844894,0.01242561,0.039064832
1551338258767,618964253971972,-0.07980588,0.06740348,0.123975106
1551338258788,618964273972030,2.1746803E-4,-0.0120089995,0.21988095
1551338258806,618964293972085,0.15049033,-0.14029069,0.2455373
1551338258826,618964313972085,0.28915673,-0.24474865,0.21499401
1551338258848,618964333972135,0.32031086,-0.3174416,0.1820073
1551338258867,618964353972135,0.13033177,0.022199454,0.09465357
1551338258887,618964373972135,-0.026660603,0.20973508,0.12764029
1551338258907,618964393972178,-0.12562077,0.23478056,0.13191634
1551338258926,618964413972178,-0.12562077,0.13582039,0.09159924
1551338258946,618964433972178,-0.021773681,0.08511858,-0.0055283303
1551338258968,618964453972178,0.07352129,0.038692813,-0.048899762
1551338258987,618964473972178,0.09306899,0.0038734965,-0.014080444
1551338259007,618964493972213,0.10589716,-0.018728517,0.023182336
1551338259028,618964513972213,0.18225531,-0.005289482,0.0097433
1551338259047,618964533972213,0.23662232,0.027697241,0.0066889743
1551338259067,618964553971979,0.20791166,0.014869071,0.040897425
1551338259088,618964573971979,0.17248146,0.028918972,0.05616906
1551338259106,618964593972512,0.15415551,0.03441676,0.07144069
1551338259127,618964613972478,0.14926858,0.028918972,0.07816021
1551338259148,618964633972211,0.093679845,0.041136276,0.05861252
1551338259167,618964653971944,-0.0034477233,0.11016405,0.053114735
1551338259188,618964673971677,-0.084692806,0.19629605,0.09159924
1551338259206,618964693971077,-0.07980588,0.25005218,0.14902058
1551338259226,618964713970510,-0.007112915,0.21645461,0.18139644
1551338259246,618964733970243,0.07596476,0.14559424,0.16184874
1551338259338,618964753970009,0.07840822,0.051520985,0.12336423
1551338259338,618964773969742,-0.0077237803,-0.038276207,0.089155786
1551338259338,618964793969408,-0.10118616,-0.0700412,0.059834253
1551338259338,618964813969408,-0.114014335,-0.014452461,0.054336462
1551338259344,618964833969708,-0.09385578,0.036249354,0.083657995
1551338259364,618964853969408,-0.045597423,0.07351213,0.11542299
