timeMillis,timeNanos,value
1551338258384,618963865974366,1009.8906
1551338258486,618963965973366,1009.8843
1551338258588,618964065972866,1009.8811
1551338258687,618964165972532,1009.876
1551338258788,618964265972532,1009.8633
1551338258887,618964365972332,1009.87744
1551338258987,618964465972165,1009.8779
1551338259088,618964565972022,1009.87573
1551338259188,618964665970897,1009.86646
1551338259338,618964765969897,1009.8718
1551338259386,618964865967997,1009.86865
1551338259490,618964965967906,1009.8711
1551338259587,618965065967906,1009.87427
1551338259686,618965165966521,1009.8699
1551338259793,618965265965235,1009.8855
1551338259884,618965365963568,1009.8911
1551338259989,618965463248363,1009.88257
1551338260090,618965563307127,1009.874
1551338260189,618965663362627,1009.87524
1551338260369,618965763415205,1009.8733
1551338260389,618965863615155,1009.8733
1551338260492,618965963805583,1009.8806
1551338260593,618966064077446,1009.88403
1551338260691,618966164337489,1009.8779
1551338260796,618966264670780,1009.8887
1551338260899,618966365070740,1009.8855
1551338261001,618966465570701,1009.885
1551338261102,618966566089219,1009.87866
1551338261204,618966666660611,1009.8828
1551338261321,618966767315783,1009.87866
1551338261408,618966868049116,1009.87085
1551338261512,618966968815816,1009.8716
1551338261613,618967069582516,1009.8738
1551338261707,618967170348582,1009.875
1551338261852,618967271181915,1009.8843
1551338261913,618967372081915,1009.8882
1551338262015,618967473081915,1009.8872
1551338262120,618967574081915,1009.8882
1551338262224,618967675148848,1009.8867
1551338262324,618967776215781,1009.88574
1551338262419,618967877283047,1009.8806
1551338262520,618967978349713,1009.88525
1551338262619,618968079416346,1009.89185
1551338262721,618968180516912,1009.8799
1551338262824,618968281717478,1009.88965
1551338262926,618968382951611,1009.89014
1551338263029,618968484251644,1009.8906
1551338263128,618968585551677,1009.8865
1551338263231,618968686951677,1009.8877
1551338263352,618968788418377,1009.8784
1551338263434,618968889884810,1009.8838
1551338263537,618968991351510,1009.8779
1551338263638,618969092751843,1009.885
1551338263734,618969194152443,1009.876
1551338263837,618969295485776,1009.88257
1551338263937,618969396752442,1009.8828
1551338264039,618969498018842,1009.88086
1551338264139,618969599252142,1009.8811
1551338264241,618969700418808,1009.8855
1551338264346,618969801485441,1009.885
1551338264438,618969902452074,1009.8828
1551338264540,618970003385407,1009.876
1551338264639,618970104318440,1009.8684
1551338264738,618970205252406,1009.8823
1551338264841,618970306118772,1009.87476
1551338264941,618970406985472,1009.87476
1551338265043,618970507852172,1009.8779
1551338265146,618970608752172,1009.88965
1551338265247,618970709652205,1009.8855
1551338265380,618970810652205,1009.8843
1551338265452,618970911718871,1009.88184
1551338265553,618971012785537,1009.8855
1551338265654,618971113918603,1009.88403
1551338265754,618971215018603,1009.8816
1551338265854,618971316018603,1009.8777
1551338265955,618971416985269,1009.88354
1551338266055,618971517885235,1009.8843
1551338266154,618971618751868,1009.88965
1551338266254,618971719518568,1009.8772
1551338266366,618971820251901,1009.8772
1551338266454,618971920885501,1009.88184
1551338266555,618972021518801,1009.87646
1551338266660,618972122152101,1009.876
1551338266755,618972222785434,1009.87305
1551338266855,618972323418767,1009.8772
1551338266959,618972424152100,1009.874
1551338267061,618972524885700,1009.87964
1551338267162,618972625652366,1009.8784
1551338267264,618972726452366,1009.87354
1551338267364,618972827318432,1009.875
1551338267466,618972928251765,1009.8723
1551338267572,618973029285065,1009.87354
1551338267672,618973130385331,1009.8699
1551338267772,618973231485297,1009.8738
1551338267873,618973332585563,1009.88477
1551338267973,618973433618896,1009.8821
1551338268071,618973534552229,1009.8882
1551338268174,618973635452262,1009.8887
1551338268273,618973736318895,1009.885
1551338268374,618973837086028,1009.88086
1551338268474,618973937786028,1009.874
1551338268572,618974038485428,1009.87354
1551338268673,618974139119028,1009.87646
1551338268775,618974239785694,1009.8733
1551338268874,618974340452360,1009.8738
1551338268974,618974441119026,1009.8718
1551338269077,618974541852359,1009.87695
1551338269178,618974642652359,1009.87573
1551338269291,618974743518992,1009.8806
1551338269407,618974844418992,1009.8767
1551338269492,618974945318958,1009.8711
