timestamp,ssid,bssid,frequency,rss,wifiNo,legit
619104290813,Welcome_KAIST,00:24:6c:7d:f6:80,2472,-30,0,false
619104290834,Welcome_1st_KAIST,00:24:6c:7d:f6:82,2472,-31,0,false
619104290866,eduroam,00:24:6c:7d:f6:81,2472,-34,0,false
619104290596,ISILAB_2,2c:56:dc:84:dd:88,2452,-42,0,false
619104290104,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-44,0,false
619104290114,eduroam,00:24:6c:7d:f6:91,5200,-44,0,false
619104290122,Welcome_1st_KAIST,00:24:6c:7d:f6:92,5200,-45,0,false
619104290484,KECI,18:31:bf:46:ff:d8,2442,-48,0,false
619104290645,,9c:d6:43:c8:11:80,2447,-48,0,false
619104290217,Welcome_KAIST,00:24:6c:7d:f6:00,2432,-53,0,false
619104290344,KECI_5G,18:31:bf:46:ff:dc,5745,-54,0,false
619104290307,eduroam,00:24:6c:7d:f6:01,2432,-55,0,false
619104290180,mliguest,92:9f:33:f0:98:04,2422,-56,0,false
619104290317,Welcome_1st_KAIST,00:24:6c:7d:f6:02,2432,-56,0,false
619104290743,iptime,00:08:9f:d9:e3:54,2462,-56,0,false
619104289989,Welcome_KAIST,00:24:6c:7a:88:e0,2412,-57,0,false
619104290505,ISILAB_5,2c:56:dc:84:dd:8c,5785,-59,0,false
619104290015,eduroam,00:24:6c:7a:88:e1,2412,-59,0,false
619104290131,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-59,0,false
619104290022,Welcome_1st_KAIST,00:24:6c:7a:88:e2,2412,-60,0,false
619104290386,Askai-ASUS_80_2G,b0:6e:bf:a3:90:80,2432,-60,0,false
619104290326,HCIL guest,6e:7e:92:e0:9f:70,2432,-61,0,false
619104290365,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-61,0,false
619104290608,JoyK,9c:d6:43:c8:11:82,5785,-61,0,false
619104290666,Welcome_KAIST,00:24:6c:7d:f3:60,2452,-61,0,false
619104290428,Welcome_1st_KAIST,00:24:6c:7d:f6:e2,2432,-62,0,false
619104290493,shheo24g,90:9f:33:a9:29:5a,2437,-62,0,false
619104290754,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-62,0,false
619104290189,eduroam,00:24:6c:7d:f6:11,5240,-63,0,false
619104290199,Welcome_1st_KAIST,00:24:6c:7d:f6:12,5240,-63,0,false
