adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
18:06:48:C6:A0:8E,255,10,NA,1,-99,0,1551337852398,127,0
CD:EA:83:5B:D5:C1,255,10,NA,1,-78,0,1551337852399,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-73,0,1551337852406,127,0
02:13:DB:5E:45:5A,255,10,NA,1,-85,0,1551337852407,127,0
3D:66:A9:83:5C:A5,255,10,NA,1,-91,0,1551337852409,127,0
C7:97:DE:46:41:55,255,10,NA,1,-92,0,1551337852410,127,0
58:EC:6D:F4:C9:63,255,10,NA,1,-84,0,1551337854419,127,0
ED:66:61:DE:C6:8B,255,10,NA,1,-88,0,1551337854428,127,0
D6:AD:0D:38:C7:D8,255,10,NA,1,-87,0,1551337854432,127,0
ED:BF:FB:2D:A4:ED,255,10,NA,1,-84,0,1551337862405,127,0
1C:B2:BA:94:BA:73,255,10,NA,1,-97,0,1551337862409,127,0
F5:C4:B3:25:DB:78,255,10,NA,1,-79,0,1551337862414,127,0
EC:FD:51:72:14:74,255,10,NA,1,-100,0,1551337862418,127,2
40:16:3B:52:CF:59,255,10,NA,1,-86,0,1551337862421,127,0
12:E8:18:EB:D0:0F,255,10,NA,1,-73,0,1551337862425,127,0
F4:C3:B2:24:DA:77,255,10,NA,1,-77,0,1551337864425,127,0
CE:47:4A:85:09:51,255,10,NA,1,-80,0,1551337864433,127,0
EE:67:62:DF:C7:8C,255,10,NA,1,-85,0,1551337864445,127,0
2A:A0:DA:AA:F3:B4,255,10,NA,1,-90,0,1551337864750,127,0
EE:67:62:DF:C7:8C,255,10,NA,1,-85,0,1551337864752,127,0
FE:60:9B:B2:DF:DD,255,10,NA,1,-99,0,1551337864754,127,0
EC:CA:DF:40:4B:95,255,10,NA,1,-94,0,1551337864755,127,2
CD:EA:83:5B:D5:C1,255,10,NA,1,-82,0,1551337864759,127,0
D7:CC:F4:C7:A0:7F,255,10,NA,1,-75,0,1551337864761,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-63,0,1551337864762,127,0
0C:84:8C:F3:91:D7,255,10,NA,1,-80,0,1551337864771,127,0
04:6E:52:2A:D9:AD,255,10,NA,1,-74,0,1551337864772,127,0
CE:47:4A:85:09:51,255,10,NA,1,-87,0,1551337864774,127,0
EE:67:62:DF:C7:8C,255,10,NA,1,-81,0,1551337864776,127,0
1B:1B:C1:1A:7B:DD,255,10,NA,1,-76,0,1551337864777,127,0
D7:CC:F4:C7:A0:7F,255,10,NA,1,-84,0,1551337864783,127,0
E1:7F:D8:0D:58:E6,255,10,NA,1,-79,0,1551337864792,127,0
3D:66:A9:83:5C:A5,255,10,NA,1,-94,0,1551337864805,127,0
D6:CB:F3:C6:9F:7E,255,10,NA,1,-86,0,1551337864807,127,0
1D:3C:67:ED:B7:A0,255,10,NA,1,-74,0,1551337864808,127,0
38:FE:69:75:92:6E,255,10,NA,1,-80,0,1551337864812,127,0
D7:FC:7B:7C:67:2E,255,10,NA,1,-88,0,1551337864818,127,0
07:0B:3D:ED:1E:44,255,10,NA,1,-90,0,1551337864837,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-73,0,1551337864840,127,0
E8:60:35:C8:0E:40,255,10,NA,1,-78,0,1551337864853,127,0
E9:61:36:C9:0F:41,255,10,NA,1,-76,0,1551337864856,127,0
E9:5E:63:83:3C:96,255,10,NA,1,-89,0,1551337864859,127,0
34:23:2F:51:A7:AB,255,10,NA,1,-78,0,1551337864862,127,0
03:60:84:C8:6D:2F,255,10,NA,1,-78,0,1551337864866,127,0
04:6E:52:2A:D9:AD,255,10,NA,1,-74,0,1551337864870,127,0
CD:1A:82:54:98:9A,255,10,NA,1,-85,0,1551337864874,127,0
CE:47:4A:85:09:51,255,10,NA,1,-78,0,1551337864878,127,0
4B:A2:3F:A8:A9:80,255,10,NA,1,-80,0,1551337864881,127,0
FE:60:9B:B2:DF:DD,255,10,NA,1,-92,0,1551337864885,127,0
CD:46:49:84:08:50,255,10,NA,1,-87,0,1551337864900,127,0
F5:C4:B3:25:DB:78,255,10,NA,1,-80,0,1551337864910,127,0
1D:3C:67:ED:B7:A0,255,10,NA,1,-80,0,1551337864919,127,0
6E:91:7E:E7:BA:C0,255,10,NA,1,-74,0,1551337864954,127,0
08:05:42:3A:41:C8,255,10,NA,1,-86,0,1551337864957,127,0
CF:96:80:00:46:A7,255,10,NA,1,-85,0,1551337864961,127,0
2A:A0:DA:AA:F3:B4,255,10,NA,1,-82,0,1551337864982,127,0
1B:1B:C1:1A:7B:DD,255,10,NA,1,-87,0,1551337864985,127,0
CE:82:88:50:8C:57,255,10,NA,1,-88,0,1551337864993,127,0
C6:E6:58:A5:89:CC,255,10,NA,1,-81,0,1551337865003,127,0
F8:00:2F:91:50:5B,255,10,NA,1,-85,0,1551337865008,127,0
CD:EA:83:5B:D5:C1,255,10,NA,1,-84,0,1551337865015,127,0
D6:CB:F3:C6:9F:7E,255,10,NA,1,-74,0,1551337865019,127,0
1D:3C:67:ED:B7:A0,255,10,NA,1,-72,0,1551337865023,127,0
F4:0F:24:3A:4F:5A,255,10,NA,1,-89,0,1551337865036,127,2
02:13:DB:5E:45:5A,255,10,NA,1,-87,0,1551337865040,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-64,0,1551337865047,127,0
55:1A:86:FB:7A:2A,255,10,NA,1,-90,0,1551337865055,127,0
E0:7E:D7:0C:57:E5,255,10,NA,1,-86,0,1551337865058,127,0
CF:96:80:00:46:A7,255,10,NA,1,-84,0,1551337865066,127,0
E9:61:36:C9:0F:41,255,10,NA,1,-89,0,1551337865072,127,0
C5:E5:57:A4:88:CB,255,10,NA,1,-92,0,1551337865075,127,0
03:60:84:C8:6D:2F,255,10,NA,1,-82,0,1551337865078,127,0
C0:CC:34:EC:D6:CE,255,10,NA,1,-86,0,1551337865090,127,0
CD:EA:83:5B:D5:C1,255,10,NA,1,-82,0,1551337865119,127,0
E1:7F:D8:0D:58:E6,255,10,NA,1,-82,0,1551337865123,127,0
F5:C4:B3:25:DB:78,255,10,NA,1,-79,0,1551337865127,127,0
38:FE:69:75:92:6E,255,10,NA,1,-71,0,1551337865130,127,0
02:13:DB:5E:45:5A,255,10,NA,1,-82,0,1551337865135,127,0
