timeMillis,timeNanos,x,y,z
1551337852388,1257791939938839,-32.4375,-44.1875,-40.0
1551337852407,1257791959938839,-32.75,-43.75,-40.3125
1551337852426,1257791979938839,-33.0625,-43.9375,-40.8125
1551337852446,1257791999938839,-32.8125,-44.0,-41.0
1551337852467,1257792019938839,-32.5,-43.875,-41.3125
1551337852487,1257792039938839,-32.0625,-43.75,-41.5
1551337852507,1257792059938839,-31.5625,-43.5625,-41.9375
1551337852527,1257792079938839,-31.3125,-43.5,-42.125
1551337852547,1257792099938839,-31.125,-43.25,-42.25
1551337852567,1257792119938839,-31.0625,-43.3125,-42.5
1551337852587,1257792139938839,-31.25,-43.3125,-42.4375
1551337852607,1257792159938839,-31.375,-43.0,-42.125
1551337852627,1257792179938839,-31.3125,-42.875,-42.125
1551337852647,1257792199938839,-31.3125,-43.1875,-42.0
1551337852666,1257792219938839,-31.6875,-43.25,-41.5625
1551337852687,1257792239938839,-32.25,-43.375,-41.0
1551337852707,1257792259938839,-32.4375,-43.25,-40.875
1551337852726,1257792279938839,-32.4375,-43.25,-40.625
1551337852747,1257792299938839,-32.4375,-43.1875,-40.625
1551337852767,1257792319938839,-32.6875,-42.9375,-40.5
1551337852787,1257792339938839,-33.0,-42.875,-40.375
1551337852806,1257792359938839,-33.0,-42.6875,-40.5
1551337852827,1257792379938839,-32.6875,-42.5625,-40.4375
1551337852847,1257792399938839,-32.625,-42.875,-40.375
1551337852867,1257792419938839,-32.75,-43.3125,-40.125
1551337852886,1257792439938839,-33.0,-43.4375,-39.8125
1551337852906,1257792459938839,-33.0,-43.5625,-40.125
1551337852926,1257792479938839,-33.0625,-43.4375,-40.25
1551337852946,1257792499938839,-33.0625,-43.25,-40.3125
1551337852967,1257792519938839,-33.1875,-43.1875,-40.4375
1551337852987,1257792539938839,-33.375,-43.375,-40.1875
1551337853006,1257792559938839,-33.1875,-43.5625,-40.3125
1551337853026,1257792579938839,-32.875,-43.8125,-40.4375
1551337853047,1257792599938839,-32.375,-43.8125,-40.4375
1551337853067,1257792619938839,-32.25,-43.875,-40.4375
1551337853087,1257792639938839,-32.3125,-44.0,-40.25
1551337853107,1257792659938839,-32.125,-44.0625,-40.3125
1551337853127,1257792679938839,-32.375,-43.9375,-40.0625
1551337853149,1257792699954464,-32.9375,-43.75,-39.6875
1551337853167,1257792719938839,-32.9375,-43.625,-40.0
1551337853187,1257792739938839,-32.9375,-43.5,-40.0
1551337853207,1257792759938839,-33.0,-43.3125,-39.625
1551337853227,1257792779938839,-33.3125,-43.1875,-39.3125
1551337853247,1257792799938839,-33.5,-43.4375,-39.0
1551337853267,1257792819938839,-33.4375,-43.5,-38.9375
1551337853287,1257792839938839,-33.25,-43.5,-39.125
1551337853306,1257792859938839,-32.8125,-43.5,-39.75
1551337853327,1257792879938839,-32.6875,-43.3125,-40.1875
1551337853346,1257792899938839,-32.75,-42.8125,-40.4375
1551337853367,1257792919938839,-33.5625,-42.375,-40.375
1551337853387,1257792939938839,-34.1875,-42.3125,-40.4375
1551337853407,1257792959938839,-34.5,-42.75,-40.1875
1551337853427,1257792979938839,-34.625,-43.1875,-39.625
1551337853447,1257792999938839,-34.6875,-43.625,-39.0625
1551337853466,1257793019938839,-34.3125,-43.6875,-39.0625
1551337853487,1257793039938839,-34.0625,-43.9375,-39.1875
1551337853507,1257793059938839,-34.125,-43.875,-39.4375
1551337853527,1257793079938839,-34.25,-43.625,-39.75
1551337853555,1257793099938839,-34.1875,-43.4375,-40.125
1551337853567,1257793119938839,-33.875,-43.4375,-40.125
1551337853586,1257793139938839,-33.4375,-43.3125,-40.3125
1551337853606,1257793159938839,-33.375,-43.5,-40.4375
1551337853627,1257793179938839,-33.3125,-43.625,-40.375
1551337853648,1257793199938839,-33.3125,-43.625,-40.6875
1551337853667,1257793219938839,-33.125,-43.375,-41.1875
1551337853687,1257793239938839,-32.1875,-43.0625,-42.0625
1551337853707,1257793259938839,-31.3125,-42.8125,-42.75
1551337853727,1257793279938839,-30.875,-42.8125,-43.0
1551337853747,1257793299938839,-30.6875,-42.75,-43.0625
1551337853767,1257793319938839,-31.125,-42.625,-43.0
1551337853787,1257793339938839,-31.5625,-41.9375,-42.875
1551337853807,1257793359938839,-32.0,-41.25,-43.0625
1551337853826,1257793379938839,-32.3125,-40.375,-43.25
1551337853847,1257793399938839,-32.375,-39.8125,-43.5625
1551337853867,1257793419938839,-32.375,-39.25,-44.0
1551337853887,1257793439938839,-32.375,-38.9375,-44.4375
1551337853907,1257793459938839,-32.1875,-38.25,-45.1875
1551337853927,1257793479938839,-32.3125,-37.375,-46.1875
1551337853947,1257793499938839,-31.75,-35.9375,-47.6875
1551337853967,1257793519938839,-31.3125,-34.9375,-48.75
1551337853987,1257793539938839,-31.0625,-35.125,-48.8125
1551337854007,1257793559938839,-31.0,-36.25,-48.375
1551337854027,1257793579938839,-31.1875,-37.625,-47.1875
1551337854047,1257793599938839,-31.5,-38.6875,-45.875
1551337854067,1257793619938839,-31.6875,-39.375,-45.3125
1551337854087,1257793639938839,-31.75,-39.75,-44.8125
1551337854106,1257793659938839,-31.75,-39.9375,-44.4375
1551337854126,1257793679938839,-31.5625,-40.25,-44.375
1551337854146,1257793699938839,-31.125,-40.5625,-44.3125
1551337854167,1257793719938839,-31.0,-40.9375,-44.1875
1551337854188,1257793739938839,-31.4375,-41.25,-43.5625
1551337854207,1257793759938839,-31.875,-41.375,-42.9375
1551337854226,1257793779938839,-32.0625,-41.5625,-42.4375
1551337854246,1257793799938839,-32.25,-41.8125,-41.875
1551337854266,1257793819938839,-32.75,-42.0,-41.3125
1551337854286,1257793839938839,-32.875,-42.3125,-40.75
1551337854307,1257793859938839,-32.8125,-42.8125,-40.0625
1551337854327,1257793879938839,-32.9375,-43.125,-39.75
1551337854347,1257793899938839,-33.0,-43.625,-39.125
1551337854367,1257793919938839,-33.25,-44.125,-38.25
1551337854387,1257793939938839,-33.375,-44.375,-37.6875
1551337854407,1257793959938839,-33.4375,-44.5,-37.5
1551337854428,1257793979938839,-33.5,-44.4375,-37.8125
1551337854449,1257793999938839,-33.0625,-44.5625,-38.375
1551337854467,1257794019938839,-32.75,-44.6875,-38.5
1551337854487,1257794039938839,-32.75,-44.9375,-38.5625
1551337854507,1257794059938839,-32.875,-45.3125,-38.25
1551337854527,1257794079938839,-32.9375,-45.5625,-37.625
1551337854555,1257794099938839,-33.3125,-45.8125,-37.125
1551337854566,1257794119938839,-33.5625,-46.0,-36.6875
1551337854586,1257794139938839,-33.875,-46.3125,-36.4375
1551337854606,1257794159938839,-33.625,-46.5625,-36.375
1551337854626,1257794179938839,-33.375,-47.0,-36.0
1551337854646,1257794199938839,-33.25,-47.5,-35.875
1551337854667,1257794219938839,-33.0,-47.875,-35.625
1551337854686,1257794239938839,-32.8125,-48.1875,-35.3125
1551337854710,1257794259938839,-33.0,-48.625,-35.125
1551337854727,1257794279938839,-32.75,-49.125,-35.0625
1551337854746,1257794299938839,-32.9375,-49.375,-34.6875
1551337854767,1257794319938839,-32.875,-49.625,-34.25
1551337854786,1257794339938839,-32.875,-49.8125,-33.6875
1551337854806,1257794359938839,-32.75,-50.125,-33.5
1551337854826,1257794379938839,-32.5625,-50.5,-33.125
1551337854846,1257794399938839,-32.5625,-50.6875,-32.875
1551337854866,1257794419938839,-32.875,-50.9375,-32.25
1551337854887,1257794439938839,-33.3125,-51.0,-31.3125
1551337854906,1257794459938839,-33.75,-50.9375,-30.5
1551337854927,1257794479938839,-34.0,-51.0625,-30.0625
1551337854946,1257794499938839,-34.4375,-51.0,-29.75
1551337854967,1257794519938839,-34.8125,-51.0,-29.5625
1551337854986,1257794539938839,-35.25,-50.875,-29.1875
1551337855007,1257794559938839,-35.75,-50.625,-29.3125
1551337855027,1257794579938839,-36.3125,-50.5,-28.75
1551337855047,1257794599938839,-36.9375,-50.0,-28.5625
1551337855066,1257794619938839,-37.375,-49.8125,-28.5625
1551337855087,1257794639938839,-37.6875,-49.4375,-28.6875
1551337855107,1257794659938839,-38.125,-49.125,-28.875
1551337855127,1257794679938839,-38.5625,-48.9375,-28.875
1551337855147,1257794699938839,-39.0,-48.625,-28.8125
1551337855166,1257794719938839,-39.4375,-48.5,-28.375
1551337855187,1257794739938839,-39.75,-48.25,-27.625
1551337855207,1257794759938839,-40.3125,-48.0625,-27.4375
1551337855227,1257794779938839,-40.8125,-48.0625,-27.1875
1551337855247,1257794799954464,-41.3125,-47.75,-26.875
1551337855267,1257794819938839,-41.75,-47.75,-26.625
1551337855287,1257794839938839,-42.1875,-47.75,-26.3125
1551337855311,1257794859938839,-42.375,-47.6875,-26.125
1551337855327,1257794879938839,-42.6875,-47.5625,-25.8125
1551337855347,1257794899938839,-42.8125,-47.4375,-25.9375
1551337855367,1257794919938839,-43.0,-47.375,-26.0625
1551337855387,1257794939938839,-43.1875,-47.4375,-26.0
1551337855407,1257794959938839,-43.3125,-47.3125,-25.875
1551337855427,1257794979938839,-43.5,-47.4375,-25.75
1551337855447,1257794999938839,-43.5625,-47.6875,-25.375
1551337855466,1257795019938839,-43.75,-47.8125,-24.9375
1551337855487,1257795039938839,-43.8125,-48.0,-24.25
1551337855507,1257795059938839,-43.625,-48.5,-24.125
1551337855527,1257795079938839,-43.5625,-48.8125,-24.0625
1551337855556,1257795099938839,-43.5,-49.125,-23.8125
1551337855568,1257795119938839,-43.375,-49.375,-23.4375
1551337855586,1257795139938839,-43.5625,-49.6875,-22.5
1551337855607,1257795159938839,-43.6875,-50.0,-21.375
1551337855627,1257795179938839,-43.875,-50.3125,-20.25
1551337855646,1257795199938839,-43.75,-50.625,-19.3125
1551337855672,1257795219938839,-43.75,-50.8125,-18.8125
1551337855686,1257795239938839,-43.5,-50.875,-18.375
1551337855707,1257795259938839,-43.125,-50.75,-18.5625
1551337855727,1257795279938839,-42.875,-50.6875,-19.0
1551337855747,1257795299938839,-42.625,-50.8125,-19.125
1551337855768,1257795319938839,-42.4375,-50.9375,-18.875
1551337855787,1257795339938839,-42.375,-51.125,-18.25
1551337855806,1257795359938839,-42.5625,-51.1875,-17.375
1551337855826,1257795379938839,-42.875,-51.375,-16.5
1551337855864,1257795399938839,-42.9375,-51.375,-16.0
1551337855874,1257795419938839,-43.125,-51.5625,-15.8125
1551337855901,1257795439938839,-43.25,-51.5625,-15.6875
1551337855907,1257795459938839,-43.1875,-51.625,-15.4375
1551337855927,1257795479938839,-43.1875,-51.4375,-15.25
1551337855947,1257795499938839,-43.1875,-51.5,-14.875
1551337855967,1257795519938839,-43.375,-51.4375,-14.5625
1551337855987,1257795539938839,-43.5625,-51.3125,-14.25
1551337856007,1257795559938839,-43.875,-50.9375,-13.5625
1551337856027,1257795579938839,-44.25,-50.8125,-12.75
1551337856046,1257795599938839,-44.25,-50.625,-11.75
1551337856066,1257795619938839,-44.4375,-50.625,-11.0625
1551337856087,1257795639938839,-44.5625,-50.375,-10.3125
1551337856107,1257795659938839,-44.8125,-50.25,-9.625
1551337856126,1257795679938839,-45.0625,-50.125,-9.0625
1551337856146,1257795699938839,-45.125,-50.0,-8.5625
1551337856167,1257795719938839,-45.4375,-49.6875,-8.0
1551337856187,1257795739938839,-45.875,-49.125,-7.375
1551337856207,1257795759938839,-46.3125,-48.625,-6.8125
1551337856227,1257795779938839,-46.9375,-48.125,-6.5625
1551337856246,1257795799938839,-47.375,-47.375,-6.3125
1551337856267,1257795819938839,-48.0625,-46.875,-5.9375
1551337856287,1257795839938839,-48.5625,-46.125,-5.1875
1551337856307,1257795859938839,-49.0,-45.375,-4.6875
1551337856327,1257795879938839,-49.5625,-44.75,-4.375
1551337856347,1257795899938839,-49.8125,-44.0625,-4.25
1551337856369,1257795919938839,-50.0,-43.75,-4.4375
1551337856387,1257795939938839,-50.0625,-43.25,-4.75
1551337856406,1257795959938839,-50.25,-42.75,-4.875
1551337856427,1257795979938839,-50.375,-42.25,-4.6875
1551337856447,1257795999938839,-50.3125,-41.8125,-3.875
1551337856466,1257796019938839,-50.625,-41.6875,-2.5
1551337856487,1257796039938839,-50.6875,-41.75,-1.125
1551337856507,1257796059938839,-50.5,-41.4375,-0.125
1551337856526,1257796079938839,-50.4375,-41.5,0.25
1551337856551,1257796099938839,-50.125,-41.125,0.3125
1551337856566,1257796119938839,-50.3125,-40.8125,0.375
1551337856586,1257796139938839,-50.375,-40.5,0.5625
1551337856607,1257796159938839,-50.25,-40.4375,1.1875
1551337856626,1257796179938839,-50.25,-40.4375,1.75
1551337856646,1257796199954464,-49.9375,-40.375,2.3125
1551337856666,1257796219938839,-49.8125,-40.0625,2.6875
1551337856687,1257796239938839,-49.75,-39.875,2.8125
1551337856707,1257796259938839,-49.8125,-39.4375,2.9375
1551337856726,1257796279938839,-50.125,-39.375,3.375
1551337856746,1257796299938839,-50.125,-39.0,4.0625
1551337856767,1257796319938839,-49.9375,-38.6875,4.6875
1551337856787,1257796339938839,-49.875,-38.25,4.875
1551337856806,1257796359938839,-49.6875,-37.875,4.75
1551337856826,1257796379938839,-49.5,-37.6875,4.4375
1551337856847,1257796399938839,-49.125,-37.5625,3.9375
1551337856867,1257796419938839,-48.5625,-37.625,3.75
1551337856887,1257796439938839,-47.875,-37.6875,3.875
1551337856907,1257796459938839,-47.1875,-37.75,4.0
1551337856927,1257796479938839,-46.5625,-37.75,4.0625
1551337856947,1257796499938839,-46.125,-37.6875,4.125
1551337856966,1257796519938839,-45.875,-37.8125,4.0625
1551337856987,1257796539938839,-45.6875,-37.6875,4.0625
1551337857007,1257796559938839,-45.1875,-37.5,4.0625
1551337857026,1257796579938839,-44.8125,-37.75,4.375
1551337857047,1257796599938839,-44.375,-37.875,4.8125
1551337857066,1257796619938839,-43.875,-38.1875,5.0
1551337857087,1257796639938839,-43.375,-38.1875,4.9375
1551337857107,1257796659938839,-43.0625,-38.375,4.75
1551337857127,1257796679938839,-42.8125,-38.4375,4.375
1551337857146,1257796699938839,-42.4375,-38.1875,4.0
1551337857166,1257796719938839,-42.25,-38.125,4.0
1551337857186,1257796739938839,-42.25,-37.6875,3.875
1551337857207,1257796759938839,-42.375,-36.75,3.8125
1551337857227,1257796779938839,-42.375,-35.9375,3.75
1551337857247,1257796799938839,-42.4375,-35.25,3.6875
1551337857266,1257796819938839,-42.4375,-34.875,3.75
1551337857286,1257796839938839,-42.1875,-34.3125,3.6875
1551337857307,1257796859938839,-42.0625,-33.8125,3.4375
1551337857327,1257796879938839,-41.9375,-33.1875,3.0625
1551337857357,1257796899938839,-42.0,-32.3125,2.4375
1551337857367,1257796919938839,-42.1875,-31.1875,2.0625
1551337857386,1257796939938839,-42.5625,-30.3125,1.8125
1551337857406,1257796959938839,-42.875,-29.625,1.625
1551337857427,1257796979938839,-43.0625,-28.6875,1.4375
1551337857446,1257796999938839,-43.0,-28.0,1.5625
1551337857466,1257797019938839,-43.1875,-27.4375,1.625
1551337857488,1257797039938839,-43.125,-26.9375,1.4375
1551337857507,1257797059938839,-43.3125,-26.4375,0.625
1551337857527,1257797079938839,-43.4375,-25.6875,-0.3125
1551337857580,1257797099938839,-43.625,-25.25,-0.9375
1551337857580,1257797119938839,-43.625,-24.5,-1.3125
1551337857587,1257797139938839,-43.875,-23.5625,-1.375
1551337857607,1257797159938839,-43.875,-23.0,-1.0625
1551337857626,1257797179938839,-44.0,-22.25,-0.75
1551337857646,1257797199938839,-43.8125,-21.625,-0.5
1551337857666,1257797219938839,-43.6875,-20.9375,-0.5
1551337857687,1257797239938839,-43.5,-20.5625,-0.5
1551337857706,1257797259938839,-43.25,-20.375,-0.375
1551337857726,1257797279938839,-43.0625,-20.0,-0.375
1551337857747,1257797299938839,-42.6875,-19.875,-0.6875
1551337857767,1257797319938839,-42.3125,-19.8125,-0.6875
1551337857786,1257797339938839,-42.0,-19.625,-0.8125
1551337857806,1257797359938839,-41.625,-19.1875,-1.125
1551337857826,1257797379938839,-41.5,-19.125,-1.375
1551337857847,1257797399938839,-41.3125,-19.0625,-1.75
1551337857866,1257797419938839,-41.0625,-18.8125,-2.0
1551337857886,1257797439938839,-40.75,-18.6875,-2.4375
1551337857907,1257797459938839,-40.375,-18.4375,-3.3125
1551337857926,1257797479938839,-40.1875,-18.0625,-4.0
1551337857946,1257797499938839,-39.9375,-17.6875,-4.75
1551337857966,1257797519938839,-39.75,-17.5625,-5.1875
1551337857986,1257797539938839,-39.625,-17.4375,-5.1875
1551337858007,1257797559938839,-39.1875,-17.0,-5.0625
1551337858027,1257797579938839,-39.0,-16.9375,-5.0625
1551337858047,1257797599938839,-38.625,-17.0625,-5.5
1551337858067,1257797619938839,-38.375,-17.0,-6.3125
1551337858087,1257797639938839,-38.25,-17.0625,-7.1875
1551337858107,1257797659938839,-38.0625,-16.9375,-7.75
1551337858127,1257797679938839,-38.0,-16.75,-8.1875
1551337858146,1257797699938839,-37.75,-16.25,-8.375
1551337858166,1257797719938839,-37.6875,-16.125,-8.4375
1551337858186,1257797739938839,-37.75,-16.0625,-8.625
1551337858207,1257797759938839,-37.5,-15.875,-8.625
1551337858227,1257797779938839,-37.25,-15.5625,-8.4375
1551337858247,1257797799938839,-37.1875,-15.4375,-8.5625
1551337858266,1257797819938839,-37.0,-14.9375,-8.625
1551337858287,1257797839938839,-37.0625,-14.75,-9.125
1551337858307,1257797859938839,-36.8125,-14.125,-9.5
1551337858327,1257797879938839,-36.9375,-13.8125,-9.625
1551337858346,1257797899938839,-37.0625,-13.4375,-9.8125
1551337858366,1257797919938839,-37.1875,-12.9375,-9.9375
1551337858386,1257797939938839,-37.375,-12.5,-10.125
1551337858406,1257797959938839,-37.4375,-12.0625,-10.4375
1551337858426,1257797979938839,-37.3125,-11.6875,-10.5
1551337858446,1257797999938839,-37.125,-11.625,-10.9375
1551337858470,1257798019938839,-36.875,-11.1875,-11.4375
1551337858486,1257798039938839,-36.875,-10.9375,-12.25
1551337858610,1257798059938839,-36.625,-10.125,-13.1875
1551337858610,1257798079938839,-36.1875,-9.5,-13.875
1551337858610,1257798099938839,-35.9375,-8.9375,-14.3125
1551337858610,1257798119938839,-35.75,-8.5,-14.3125
1551337858610,1257798139938839,-35.75,-8.3125,-14.1875
1551337858610,1257798159938839,-35.625,-7.875,-14.25
1551337858627,1257798179938839,-35.5625,-7.375,-14.5625
1551337858647,1257798199938839,-35.5,-6.9375,-15.3125
1551337858667,1257798219938839,-35.1875,-6.5,-15.6875
1551337858687,1257798239938839,-34.8125,-6.5,-16.1875
1551337858706,1257798259938839,-34.875,-6.3125,-16.4375
1551337858727,1257798279938839,-34.9375,-6.375,-16.6875
1551337858746,1257798299954464,-34.9375,-6.125,-16.875
1551337858766,1257798319938839,-34.8125,-6.0625,-17.0
1551337858786,1257798339938839,-34.875,-6.125,-17.0625
1551337858806,1257798359938839,-34.8125,-6.1875,-17.0
1551337858826,1257798379938839,-34.5625,-6.3125,-17.0
1551337858846,1257798399938839,-34.4375,-6.5625,-16.9375
1551337858866,1257798419938839,-34.5,-6.875,-17.0625
1551337858887,1257798439938839,-34.0,-7.125,-17.4375
1551337858906,1257798459938839,-33.5,-7.1875,-17.5625
1551337858926,1257798479938839,-33.0,-7.6875,-17.9375
1551337858946,1257798499938839,-32.875,-7.8125,-18.25
1551337858966,1257798519938839,-32.75,-8.0625,-18.625
1551337858986,1257798539938839,-32.25,-8.25,-18.875
1551337859007,1257798559938839,-31.875,-8.5,-19.4375
1551337859027,1257798579938839,-31.3125,-8.6875,-20.0625
1551337859047,1257798599938839,-30.9375,-8.875,-20.0625
1551337859066,1257798619938839,-30.75,-9.3125,-20.0625
1551337859087,1257798639938839,-30.6875,-9.75,-20.0
1551337859108,1257798659938839,-30.75,-9.9375,-19.8125
1551337859127,1257798679938839,-30.4375,-10.0625,-20.0
1551337859147,1257798699938839,-30.125,-10.125,-20.1875
1551337859168,1257798719938839,-29.9375,-10.1875,-20.5625
1551337859187,1257798739938839,-29.5625,-10.5,-20.75
1551337859206,1257798759938839,-29.1875,-10.875,-21.0
1551337859227,1257798779938839,-29.0625,-11.125,-21.4375
1551337859247,1257798799938839,-29.0,-11.25,-21.3125
1551337859267,1257798819938839,-28.9375,-11.5,-21.5625
1551337859286,1257798839938839,-28.8125,-11.625,-21.5625
1551337859306,1257798859938839,-28.6875,-11.8125,-21.25
1551337859326,1257798879938839,-28.375,-12.125,-21.125
1551337859347,1257798899938839,-28.125,-12.3125,-21.5
1551337859366,1257798919938839,-27.9375,-12.3125,-21.875
1551337859386,1257798939938839,-27.8125,-12.125,-22.125
1551337859406,1257798959938839,-27.75,-12.0625,-22.0625
1551337859426,1257798979938839,-27.8125,-11.9375,-22.0625
1551337859447,1257798999938839,-27.8125,-11.875,-21.875
1551337859467,1257799019938839,-27.8125,-11.9375,-21.75
1551337859487,1257799039938839,-27.9375,-12.4375,-21.75
1551337859509,1257799059938839,-28.0625,-12.625,-21.375
1551337859527,1257799079938839,-28.0,-12.75,-21.125
1551337859558,1257799099938839,-27.6875,-12.6875,-21.125
1551337859566,1257799119938839,-27.4375,-12.625,-21.4375
1551337859587,1257799139938839,-27.1875,-12.5625,-21.75
1551337859606,1257799159938839,-27.0,-12.5625,-21.8125
1551337859626,1257799179938839,-26.75,-12.625,-21.5625
