timeMillis,timeNanos,value
1551337852409,1257791959938839,1009.1636
1551337852488,1257792039938839,1009.1333
1551337852568,1257792119938839,1009.125
1551337852649,1257792199938839,1009.13135
1551337852728,1257792279938839,1009.1509
1551337852808,1257792359938839,1009.18115
1551337852888,1257792439938839,1009.21094
1551337852969,1257792519938839,1009.2412
1551337853048,1257792599938839,1009.25635
1551337853128,1257792679938839,1009.2368
1551337853208,1257792759938839,1009.2124
1551337853288,1257792839938839,1009.1821
1551337853369,1257792919938839,1009.1553
1551337853448,1257792999938839,1009.1455
1551337853529,1257793079938839,1009.1421
1551337853608,1257793159938839,1009.1294
1551337853688,1257793239938839,1009.1284
1551337853769,1257793319938839,1009.1538
1551337853848,1257793399938839,1009.15186
1551337853928,1257793479938839,1009.1489
1551337854008,1257793559938839,1009.14355
1551337854089,1257793639938839,1009.16797
1551337854168,1257793719938839,1009.14014
1551337854248,1257793799938839,1009.1533
1551337854328,1257793879938839,1009.1494
1551337854409,1257793959938839,1009.14307
1551337854488,1257794039938839,1009.14746
1551337854567,1257794119938839,1009.1494
1551337854647,1257794199938839,1009.1494
1551337854728,1257794279938839,1009.16504
1551337854808,1257794359938839,1009.14844
1551337854889,1257794439938839,1009.1577
1551337854968,1257794519938839,1009.1616
1551337855048,1257794599938839,1009.1426
1551337855129,1257794679938839,1009.1455
1551337855208,1257794759938839,1009.1387
1551337855288,1257794839938839,1009.1504
1551337855368,1257794919938839,1009.1802
1551337855448,1257794999938839,1009.1919
1551337855528,1257795079938839,1009.1836
1551337855608,1257795159938839,1009.18066
1551337855688,1257795239938839,1009.1504
1551337855769,1257795319938839,1009.12646
1551337855864,1257795399938839,1009.13135
1551337855928,1257795479938839,1009.1489
1551337856008,1257795559938839,1009.1675
1551337856089,1257795639938839,1009.18506
1551337856168,1257795719938839,1009.1904
1551337856248,1257795799938839,1009.16943
1551337856328,1257795879938839,1009.13965
1551337856408,1257795959938839,1009.14307
1551337856489,1257796039938839,1009.1538
1551337856568,1257796119938839,1009.1494
1551337856647,1257796199954464,1009.1797
1551337856728,1257796279938839,1009.2007
1551337856808,1257796359938839,1009.20215
1551337856888,1257796439938839,1009.18555
1551337856968,1257796519938839,1009.1631
