adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
E4:7D:BD:2C:B8:69,255,10,NA,1,-83,0,1551337970587,127,0
27:B0:AC:A4:B4:36,255,10,NA,1,-87,0,1551337970588,127,0
34:23:2F:51:A7:AB,255,10,NA,1,-93,0,1551337970590,127,0
52:E2:B8:24:08:15,255,10,NA,1,-85,0,1551337970598,127,2
1D:EC:0D:69:82:00,255,10,NA,1,-91,0,1551337970598,127,0
0E:0E:D5:2E:D7:F0,255,10,NA,1,-97,0,1551337970601,127,0
68:C9:6E:52:0A:09,255,10,NA,1,-87,0,1551337972611,127,0
26:E8:0A:16:33:25,255,10,NA,1,-91,0,1551337972633,127,0
19:FB:59:2F:C0:D9,255,10,NA,1,-83,0,1551337972637,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-83,0,1551337972641,127,0
11:CA:80:C1:30:62,255,10,NA,1,-87,0,1551337972644,127,0
07:70:48:F5:A1:93,255,10,NA,1,-66,0,1551337972648,127,0
02:57:42:05:22:3F,255,10,NA,1,-76,0,1551337972666,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-93,0,1551337980582,127,0
08:05:42:3A:41:C8,255,10,NA,1,-98,0,1551337980585,127,0
1D:3C:67:ED:B7:A0,255,10,NA,1,-96,0,1551337980597,127,0
0E:0E:D5:2E:D7:F0,255,10,NA,1,-85,0,1551337982624,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-88,0,1551337983001,127,0
1A:E6:83:49:3B:A0,255,10,NA,1,-94,0,1551337983003,127,0
D4:6F:6D:FC:59:95,255,10,NA,1,-96,0,1551337983009,127,0
18:06:48:C6:A0:8E,255,10,NA,1,-88,0,1551337983014,127,0
CD:96:D0:2D:C3:7C,255,10,NA,1,-97,0,1551337983016,127,0
07:70:48:F5:A1:93,255,10,NA,1,-84,0,1551337983022,127,0
0E:0E:D5:2E:D7:F0,255,10,NA,1,-90,0,1551337983024,127,0
28:8B:5B:74:24:52,255,10,NA,1,-95,0,1551337983037,127,0
27:62:82:C0:38:D4,255,10,NA,1,-73,0,1551337983045,127,0
69:29:65:B1:6C:DF,255,10,NA,1,-95,0,1551337983046,127,0
19:7D:DE:1E:D1:BF,255,10,NA,1,-84,0,1551337983059,127,0
03:60:84:C8:6D:2F,255,10,NA,1,-92,0,1551337983061,127,0
34:23:2F:51:A7:AB,255,10,NA,1,-83,0,1551337983067,127,0
20:09:E8:65:DE:68,255,10,NA,1,-84,0,1551337983082,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-87,0,1551337983105,127,0
3D:8B:F1:4C:B3:BD,255,10,NA,1,-86,0,1551337983109,127,0
02:57:42:05:22:3F,255,10,NA,1,-90,0,1551337983112,127,0
1A:E6:83:49:3B:A0,255,10,NA,1,-95,0,1551337983116,127,0
07:70:48:F5:A1:93,255,10,NA,1,-79,0,1551337983126,127,0
27:62:82:C0:38:D4,255,10,NA,1,-74,0,1551337983152,127,0
1F:F2:9B:C5:79:76,255,10,NA,1,-91,0,1551337983154,127,0
11:CA:80:C1:30:62,255,10,NA,1,-77,0,1551337983194,127,0
1D:EC:0D:69:82:00,255,10,NA,1,-95,0,1551337983233,127,0
0E:0E:D5:2E:D7:F0,255,10,NA,1,-96,0,1551337983235,127,0
D9:3E:3E:64:1D:49,255,10,NA,1,-93,0,1551337983249,127,0
19:7D:DE:1E:D1:BF,255,10,NA,1,-91,0,1551337983265,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-95,0,1551337983277,127,0
39:15:1D:38:DF:05,255,10,NA,1,-89,0,1551337983290,127,0
37:AF:E9:9E:4F:EE,255,10,NA,1,-92,0,1551337983293,127,0
11:CA:80:C1:30:62,255,10,NA,1,-75,0,1551337983300,127,0
3D:8B:F1:4C:B3:BD,255,10,NA,1,-87,0,1551337983309,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-85,0,1551337983311,127,0
18:06:48:C6:A0:8E,255,10,NA,1,-85,0,1551337983327,127,0
