adress,bond,name,rssi,time,type
A4:50:46:A8:B3:7A,10,小米手机,-80,1551337970800,1
74:59:84:86:D1:F0,10,NA,-97,1551337975753,2
43:84:1E:88:4D:B2,10,NA,-84,1551337983495,2
74:59:84:86:D1:F0,10,NA,-82,1551337984360,2
65:51:1B:03:9F:39,10,NA,-87,1551337985212,2
79:FB:24:21:E2:1A,10,NA,-78,1551337985678,2
51:A5:37:BA:DC:4A,10,NA,-86,1551337985764,2
C4:73:1E:A2:26:D8,10,TVBluetooth,-69,1551338003496,1
00:1F:47:07:FA:54,10,YAS-152  Yamaha ,-78,1551338003974,1
01:65:E5:16:F8:E3,10,NA,-85,1551338008453,2
54:FD:25:B5:B0:EA,10,NA,-91,1551338008669,2
0B:BC:5C:2E:6E:C6,10,NA,-91,1551338008756,2
54:FD:25:B5:B0:EA,10,NA,-88,1551338008791,2
EC:6C:09:40:DF:4C,10,NA,-89,1551338009131,2
EC:63:E8:D7:3B:3E,10,NA,-93,1551338009472,2
EC:08:9C:E1:18:36,10,NA,-84,1551338010222,2
EC:91:28:A9:C9:09,10,NA,-87,1551338015940,2
EC:08:9C:E1:18:36,10,NA,-87,1551338016386,2
01:65:E5:16:F8:E3,10,NA,-97,1551338016388,2
EC:96:D6:EC:F2:13,10,NA,-92,1551338016389,2
EC:BB:E9:A7:38:CD,10,NA,-90,1551338017267,2
EC:2A:B9:6B:46:0B,10,NA,-96,1551338017269,2
EC:63:E8:D7:3B:3E,10,NA,-82,1551338018539,2
C8:28:32:2E:06:2B,10,ISIMIBOX,-94,1551338038192,3
4B:A9:EF:04:FB:42,10,NA,-93,1551338041179,2
01:65:E5:16:F8:E3,10,NA,-87,1551338041221,2
73:F5:E8:94:DC:93,10,NA,-82,1551338041230,2
5D:08:51:FF:23:8E,10,NA,-93,1551338041303,2
73:F5:E8:94:DC:93,10,NA,-85,1551338041410,2
49:6A:49:A8:75:8E,10,NA,-84,1551338041461,2
75:E4:EF:30:C7:C8,10,NA,-87,1551338041610,2
0B:BC:5C:2E:6E:C6,10,NA,-86,1551338041707,2
68:F7:C6:AF:9B:48,10,NA,-80,1551338041723,2
49:6A:49:A8:75:8E,10,NA,-85,1551338041746,2
54:CC:D4:74:CB:E9,10,NA,-102,1551338042072,2
D0:D2:B0:A2:35:F7,10,NA,-94,1551338042143,3
73:F5:E8:94:DC:93,10,NA,-79,1551338042153,2
7F:0B:05:18:C5:06,10,NA,-85,1551338042162,2
7F:82:58:63:66:A9,10,NA,-73,1551338042378,2
5D:08:51:FF:23:8E,10,NA,-90,1551338042576,2
42:DB:5A:D6:D6:D6,10,NA,-88,1551338042748,2
00:12:6F:58:F2:36,10,ACTON II,-83,1551338042786,2
D0:D2:B0:A2:35:F7,10,NA,-86,1551338042868,3
73:F5:E8:94:DC:93,10,NA,-77,1551338043068,2
49:6A:49:A8:75:8E,10,NA,-88,1551338043091,2
C4:73:1E:A2:26:D8,10,TVBluetooth,-87,1551338046496,1
E8:07:BF:03:5F:02,10,Mi Bluetooth Speaker,-91,1551338047537,1
60:D1:AA:79:7E:67,10,NA,-79,1551338048383,2
68:F7:C6:AF:9B:48,10,NA,-63,1551338048804,2
5D:25:AC:1E:9B:29,10,NA,-84,1551338048837,2
0B:BC:5C:2E:6E:C6,10,NA,-67,1551338048843,2
7D:51:01:99:04:DE,10,NA,-91,1551338048976,2
6A:DA:80:25:DC:0F,10,NA,-81,1551338049070,2
