timeMillis,timeNanos,x,y,z
1551337970547,1257910096329839,-0.11566297,0.52253413,0.13723524
1551337970573,1257910116329839,-0.4047244,0.049619712,0.001850049
1551337970587,1257910136329839,-0.4924621,-0.15433946,-0.04639085
1551337970608,1257910156329839,-0.5273338,-0.054192472,0.05932374
1551337970627,1257910176329839,-0.58362067,-0.06962118,0.14116223
1551337970647,1257910196348589,-0.5468989,-0.026825711,0.16240288
1551337970667,1257910216329839,-0.29967302,-0.047647487,0.16816248
1551337970687,1257910236329839,0.013735741,0.036669366,0.19200367
1551337970707,1257910256329839,0.27881634,-0.04738569,0.20303415
1551337970727,1257910276329839,0.28883454,-0.17139134,0.12065461
1551337970748,1257910296329839,0.11599458,-0.289969,-0.11006046
1551337970768,1257910316329839,-0.106726885,-0.005078908,-0.13938199
1551337970787,1257910336329839,-0.28304005,0.1630312,-0.17854719
1551337970808,1257910356329839,-0.14721853,0.23551473,-0.1282468
1551337970828,1257910376329839,0.11009537,0.12093386,-0.072500974
1551337970847,1257910396329839,0.14341371,0.0076270886,-0.026302112
1551337970867,1257910416329839,-0.068608895,0.069184855,0.014643312
1551337970888,1257910436329839,-0.27036896,0.031887166,0.0070511303
1551337970908,1257910456329839,-0.30913273,-0.30845204,-0.08916887
1551337970928,1257910476329839,-0.25300294,-0.4882035,-0.1535017
1551337970947,1257910496329839,-0.16889551,-0.43807763,-0.1573938
1551337970967,1257910516329839,-0.078731805,-0.4969825,-0.124023095
1551337970988,1257910536329839,5.235988E-5,-0.43135813,-0.07379252
1551337971008,1257910556329839,0.036983527,-0.16786577,0.010402163
1551337971028,1257910576329839,0.05831145,0.17130406,0.049165923
1551337971049,1257910596329839,0.05708972,0.17193238,0.0068591437
1551337971068,1257910616329839,-0.01998402,-0.053791046,-0.029670598
1551337971088,1257910636329839,-0.103340946,-0.13931218,0.0028274334
1551337971108,1257910656329839,-0.050562188,-0.13086478,0.032375857
1551337971128,1257910676329839,-0.009477138,-0.21704915,0.016929694
1551337971148,1257910696329839,0.018483037,-0.25720918,-0.023265239
1551337971168,1257910716329839,-0.024312437,-0.19914207,-0.029914944
1551337971187,1257910736329839,-0.12231267,-0.008883726,-0.119991384
1551337971208,1257910756329839,0.11533136,-0.021764256,-0.14761995
1551337971227,1257910776329839,0.28879964,-0.095783666,-0.09255481
1551337971247,1257910796329839,0.23347269,0.064751714,0.011239921
1551337971267,1257910816329839,0.0953997,0.22060962,0.06693338
1551337971288,1257910836329839,0.031101767,0.15406021,0.07628834
1551337971307,1257910856329839,-0.008499754,0.009948377,0.016615534
1551337971328,1257910876329839,-0.05368633,0.06632251,-0.03382448
1551337971348,1257910896329839,-0.05920157,0.21343632,0.0012391837
1551337971369,1257910916329839,-0.018971728,0.23244295,0.03021165
1551337971388,1257910936329839,0.021729348,0.11859512,0.016737707
1551337971408,1257910956329839,0.07415904,0.080215335,-0.014625859
1551337971428,1257910976329839,0.11758283,0.07550294,-0.03111922
1551337971448,1257910996345464,0.0999201,0.18284069,-0.07534587
1551337971468,1257911016329839,3.4906584E-4,0.317615,-0.1412844
1551337971488,1257911036329839,-0.08271115,0.21956243,-0.11737339
1551337971508,1257911056329839,-0.12093386,0.11821115,-0.023666665
1551337971528,1257911076329839,-0.11194542,0.13721779,0.061453044
1551337971548,1257911096329839,-0.018744836,0.30600858,0.09847148
1551337971568,1257911116329839,0.118664935,0.31799898,0.0707731
1551337971588,1257911136329839,0.15968017,0.21745057,0.030386182
1551337971609,1257911156329839,0.039776053,0.10681415,0.043668136
1551337971628,1257911176329839,-0.16215853,0.00572468,0.07756243
1551337971651,1257911196356401,-0.19903734,-0.05297074,0.04951499
1551337971668,1257911216329839,-0.084247045,-0.15426965,-0.015655603
1551337971687,1257911236329839,0.034208454,-0.17819811,-0.049898963
1551337971708,1257911256329839,0.1110553,-0.18011798,0.02591814
1551337971736,1257911276329839,0.16399114,-0.12346459,0.09016371
1551337971747,1257911296329839,0.07663741,-0.044017203,0.0888198
1551337971768,1257911316329839,-0.06995279,0.05440191,0.03042109
1551337971787,1257911336329839,-0.06906268,0.056967545,-0.0069115036
1551337971808,1257911356329839,0.13334316,-0.1462586,-0.0056723203
1551337971829,1257911376329839,0.289777,-0.27248082,0.03499385
1551337971847,1257911396329839,0.25218263,-0.09285152,0.06979571
1551337971867,1257911416329839,0.14088298,0.1081406,0.07459537
1551337971888,1257911436329839,0.05375614,0.11194542,0.06885324
1551337971908,1257911456329839,-0.026947884,0.009616764,0.021886429
1551337971927,1257911476329839,-0.0697259,-0.04639085,0.031677727
1551337971947,1257911496329839,-0.05000368,-0.095870934,0.03275983
1551337971967,1257911516329839,-0.026651178,-0.077510074,-0.0043458696
1551337971987,1257911536329839,-0.05766568,-0.13665928,-0.01314233
1551337972008,1257911556329839,-0.14585717,-0.110444434,0.03396411
1551337972027,1257911576329839,-0.18353882,-0.011239921,0.06373943
1551337972048,1257911596329839,-0.08597492,-0.1062731,0.02942625
1551337972068,1257911616329839,0.06810275,-0.10529571,0.012653637
1551337972088,1257911636329839,0.13095206,0.014817845,0.031834807
1551337972108,1257911656329839,0.021397736,-0.006544985,0.016824974
1551337972128,1257911676329839,-0.4164181,0.38646826,-0.11836823
1551337972148,1257911696329839,-0.5423087,0.09072221,-0.088540554
1551337972168,1257911716329839,-0.22668336,-0.06780604,0.0020071287
1551337972187,1257911736329839,-0.021275563,-0.1841846,0.005427974
1551337972208,1257911756329839,0.11088077,-0.2564063,0.023684118
1551337972228,1257911776329839,0.067614056,-0.34435347,0.017366026
1551337972248,1257911796329839,-0.2295457,-0.4847652,-0.07773697
1551337972268,1257911816329839,-0.35007814,-0.27661723,-0.11836823
1551337972288,1257911836329839,-0.18505725,0.09388126,-0.06538004
1551337972308,1257911856329839,0.014189526,0.119973935,-0.015149458
1551337972327,1257911876329839,0.0155683365,0.043336526,-2.6179937E-4
1551337972348,1257911896329839,-0.12334242,-0.018273598,0.029722957
1551337972368,1257911916329839,-0.24129176,-0.15891223,0.0071383966
1551337972388,1257911936329839,-0.22193606,-0.35623914,-0.03672173
1551337972408,1257911956329839,-0.08213519,-0.36746162,-0.06853908
1551337972427,1257911976329839,0.119153626,-0.43463933,8.5521134E-4
1551337972448,1257911996329839,0.14449582,-0.043545965,0.32126275
1551337972467,1257912016329839,0.02289872,0.23600341,0.31117475
1551337972487,1257912036329839,-0.14660765,0.40650463,0.117181405
1551337972508,1257912056329839,-0.34876913,0.4739267,-0.006073746
1551337972528,1257912076329839,-0.38983673,0.45928338,-0.057752945
1551337972548,1257912096329839,-0.33098423,0.30787608,-0.065153144
1551337972567,1257912116329839,-0.12597786,0.19601792,0.042044982
1551337972588,1257912136329839,0.040212385,0.25710446,0.041765727
1551337972608,1257912156329839,0.07110471,0.091751955,-0.016772615
1551337972628,1257912176329839,0.11147418,-0.046827182,-0.06127851
1551337972648,1257912196329839,0.13540265,-0.055623643,-0.15592772
1551337972667,1257912216329839,0.13199925,0.060196407,-0.20572196
1551337972687,1257912236329839,0.11081095,0.25221753,0.05136504
1551337972708,1257912256329839,0.021554817,0.31440362,0.2908242
1551337972735,1257912276329839,-0.060144044,0.2539454,0.36438984
1551337972747,1257912296329839,-0.07909832,0.18847811,0.32529446
1551337972767,1257912316329839,-0.0559378,0.042917646,0.2035403
1551337972787,1257912336329839,0.08932595,-0.040561453,0.077003926
1551337972807,1257912356329839,0.2474877,-0.04701917,-0.054192472
1551337972828,1257912376329839,0.34791392,-0.10789625,-0.106639616
1551337972847,1257912396345464,0.406557,-0.19139281,-0.11089822
1551337972869,1257912416329839,0.3514395,-0.23523548,-0.08527679
1551337972888,1257912436329839,0.1366942,-0.4097335,-0.043650683
1551337972908,1257912456329839,-0.06419321,-0.5834112,-0.027715828
1551337972928,1257912476329839,-0.09786061,-0.62138957,-0.059393555
1551337972948,1257912496329839,0.08257153,-0.36617008,-0.07187266
1551337972968,1257912516329839,0.38266343,0.10698868,-0.019739674
1551337972988,1257912536329839,0.51216686,0.30695105,-0.04490732
1551337973008,1257912556329839,0.39901718,0.17968164,-0.16660912
1551337973028,1257912576329839,0.19064231,0.07778932,-0.3095865
1551337973047,1257912596329839,0.005899213,0.17788395,-0.40542254
1551337973067,1257912616329839,-0.06791076,0.26155505,-0.37067303
1551337973087,1257912636329839,-0.011711159,0.21821852,-0.21577506
1551337973107,1257912656329839,0.1643402,0.0996583,-0.04701917
1551337973128,1257912676329839,0.3162013,0.04045673,0.02115339
1551337973148,1257912696329839,0.33845425,0.06665412,0.0113620935
1551337973167,1257912716329839,0.2438574,0.012391837,-0.03572689
1551337973187,1257912736329839,0.13747959,-0.16119862,-0.077422805
1551337973207,1257912756329839,0.09276425,-0.43394122,-0.15381587
1551337973227,1257912776329839,0.11211995,-0.35063663,-0.24989624
1551337973248,1257912796329839,0.06101671,-0.06410594,-0.30466467
1551337973267,1257912816329839,-0.09218829,0.1616873,-0.26631978
1551337973288,1257912836329839,-0.26202628,0.25825638,-0.19074704
1551337973308,1257912856329839,-0.35311502,0.1044056,-0.09056514
1551337973328,1257912876329839,-0.33269465,-0.12519246,0.069115035
1551337973348,1257912896329839,-0.2231927,-0.21298252,0.04787438
1551337973367,1257912916329839,-0.15859807,-0.095452055,-0.046862092
1551337973387,1257912936329839,-0.16741198,0.015463617,-0.053895768
1551337973408,1257912956329839,-0.21474531,-0.06429793,-0.004049164
1551337973428,1257912976329839,-0.11938052,-0.09812241,0.0055850535
1551337973448,1257912996329839,0.085748024,-0.013055063,-0.055152405
1551337973467,1257913016329839,0.28164378,0.09192649,-0.035761796
1551337973488,1257913036329839,0.3527834,0.19252726,0.07749262
1551337973507,1257913056329839,0.27077037,0.11397,0.22202334
1551337973528,1257913076329839,0.12020083,-0.16406095,0.27604127
1551337973548,1257913096329839,0.0225322,-0.45720646,0.19633208
1551337973568,1257913116329839,0.122050874,-0.48802897,0.09334021
1551337973587,1257913136329839,0.3969577,-0.07422885,0.06913249
1551337973608,1257913156329839,0.6182829,0.28206265,0.15018559
1551337973629,1257913176329839,0.66025805,0.20596631,0.2940356
1551337973648,1257913196329839,0.4873134,0.01436406,0.30928978
1551337973669,1257913216329839,0.079220496,-0.3210184,0.20081758
1551337973688,1257913236329839,-0.30815533,-0.5457296,0.12534955
1551337973709,1257913256329839,-0.41512656,-0.3902207,0.15144221
1551337973737,1257913276329839,-0.18565068,0.03202679,0.31986648
1551337973747,1257913296329839,0.123272605,0.42338195,0.5985083
1551337973768,1257913316329839,0.31850514,0.43902013,0.77967346
1551337973787,1257913336329839,0.2644872,0.22565362,0.77311105
1551337973807,1257913356329839,0.042132247,-0.10857693,0.6200631
1551337973868,1257913376329839,-0.13618805,-0.27228883,0.49438196
1551337973868,1257913396329839,-0.16765633,-0.15959291,0.49082148
1551337973868,1257913416329839,-0.07972664,0.057264253,0.55260617
1551337973893,1257913436329839,0.030176742,0.24263567,0.52124256
1551337973907,1257913456329839,0.059306286,0.3027448,0.38702676
1551337973927,1257913476329839,0.03265511,0.21848032,0.26960102
1551337973948,1257913496329839,-0.009232792,0.061261058,0.19889772
1551337973967,1257913516329839,-0.013962634,-0.041573744,0.2017077
1551337973988,1257913536329839,0.040352013,-0.062290803,0.20463985
1551337974008,1257913556329839,0.14480996,0.02448697,0.13461724
1551337974028,1257913576329839,0.20338322,0.059864793,-0.0090408055
1551337974047,1257913596329839,0.1518611,-0.011292281,-0.15702727
1551337974068,1257913616329839,0.0940907,-0.122958444,-0.22907446
1551337974088,1257913636329839,0.110182635,-0.2589894,-0.23424064
1551337974108,1257913656329839,0.17872171,-0.35266122,-0.22139502
1551337974128,1257913676329839,0.28768262,-0.3644771,-0.22834143
1551337974147,1257913696329839,0.38741073,-0.13672909,-0.25968754
1551337974168,1257913716329839,0.40343285,0.028064894,-0.277455
1551337974188,1257913736329839,0.25289822,0.009180432,-0.3217689
1551337974208,1257913756329839,-0.08210029,-0.08433431,-0.46244243
1551337974228,1257913776329839,-0.4945565,-0.19015363,-0.6757915
1551337974247,1257913796329839,-0.7753451,-0.21019,-0.7683812
1551337974267,1257913816329839,-0.6647261,0.15254177,-0.6650228
1551337974288,1257913836329839,-0.18863519,0.66209066,-0.35646605
1551337974308,1257913856329839,0.35620424,0.9239948,-0.012496557
1551337974328,1257913876329839,0.6382669,0.7473849,0.17346828
1551337974348,1257913896329839,0.57745963,0.19783308,0.15535176
1551337974368,1257913916329839,0.30815533,-0.36435494,-0.07044149
1551337974388,1257913936329839,0.04098033,-0.44472733,-0.42760566
1551337974408,1257913956329839,-0.17458528,-0.123848565,-0.6843436
1551337974429,1257913976329839,-0.30016172,0.33665657,-0.71918035
1551337974448,1257913996329839,-0.36527997,0.5160415,-0.58941513
1551337974468,1257914016329839,-0.36484364,0.48268825,-0.37521088
1551337974488,1257914036329839,-0.3528881,0.15711454,-0.19493583
1551337974508,1257914056329839,-0.29106855,-0.05326745,-0.07346091
1551337974528,1257914076329839,-0.23247786,-0.16816248,-0.046303585
1551337974548,1257914096329839,-0.2011492,-0.39248964,-0.121387646
1551337974568,1257914116329839,-0.10641272,-0.3562915,-0.28277823
1551337974588,1257914136329839,-0.04872959,-0.42076397,-0.38210493
1551337974608,1257914156329839,0.030176742,-0.5109975,-0.26047292
1551337974628,1257914176329839,0.17933258,-0.4029965,-0.02274164
1551337974648,1257914196329839,0.33649948,-0.10594148,0.21022491
1551337974669,1257914216329839,0.3618591,-0.066881016,0.28543115
1551337974688,1257914236329839,0.34683183,-0.4077438,0.21849777
1551337974708,1257914256329839,0.50340533,-0.5480508,0.07379252
1551337974735,1257914276329839,0.7753625,-0.19249237,0.059952058
1551337974747,1257914296329839,0.9040631,0.14474015,0.24565509
1551337974767,1257914316329839,0.8971341,0.15517722,0.4837878
1551337974788,1257914336329839,0.83760095,0.12543681,0.46797514
1551337974807,1257914356329839,0.6851814,0.045238934,0.2817136
1551337974828,1257914376329839,0.36863098,-0.19973548,0.088435836
1551337974847,1257914396329839,0.04300491,-0.206263,0.028797932
1551337974867,1257914416329839,-0.06923721,0.2517114,0.1269727
1551337974887,1257914436329839,-0.0076619955,0.8540943,0.36065483
1551337974908,1257914456329839,0.06557202,1.012867,0.59883994
1551337974927,1257914476329839,9.948377E-4,0.6603977,0.6884975
1551337974947,1257914496345464,-0.14692181,0.06335545,0.64034384
1551337974968,1257914516329839,-0.20746729,-0.26384142,0.56079173
1551337974988,1257914536329839,-0.21964969,-0.26703537,0.522761
1551337975008,1257914556329839,-0.23392648,-0.070842914,0.46139523
1551337975027,1257914576329839,-0.26122344,0.10957177,0.39186132
1551337975048,1257914596329839,-0.3119427,0.29476866,0.30003956
1551337975067,1257914616329839,-0.38781217,0.46333256,0.21279055
1551337975087,1257914636329839,-0.39510763,0.48324677,0.19629718
1551337975107,1257914656329839,-0.34953707,0.41479495,0.21368065
1551337975127,1257914676329839,-0.22956316,0.18596484,0.23031364
1551337975147,1257914696329839,-0.010245083,-0.006806784,0.15018559
1551337975168,1257914716329839,0.1421047,-0.10456268,-0.012514011
1551337975188,1257914736329839,0.09672615,-0.24771458,-0.19929914
1551337975207,1257914756329839,-0.11189306,-0.32463124,-0.3940779
1551337975227,1257914776329839,-0.36215582,-0.40591124,-0.49968776
1551337975247,1257914796329839,-0.48862237,-0.4447099,-0.50316095
1551337975267,1257914816329839,-0.4563338,-0.37920767,-0.47226864
1551337975287,1257914836329839,-0.3046472,-0.29853857,-0.41341615
1551337975307,1257914856329839,0.041573744,-0.011658799,-0.25195572
1551337975328,1257914876329839,0.40591124,0.17037904,-0.10210176
1551337975347,1257914896329839,0.5658881,0.1261524,-0.021083577
1551337975368,1257914916329839,0.4820425,-0.074124135,-0.05771804
1551337975388,1257914936329839,0.28766516,-0.26207864,-0.20662953
1551337975408,1257914956329839,0.17250834,-0.18414968,-0.32817426
1551337975428,1257914976329839,0.1731192,0.096272364,-0.3223623
1551337975447,1257914996329839,0.14568263,0.17612118,-0.23764403
1551337975467,1257915016329839,0.05338962,0.17299703,-0.10848966
1551337975487,1257915036329839,-0.10093239,0.19320795,-0.007504916
1551337975507,1257915056329839,-0.2409078,0.25975734,-0.0024783674
