timeMillis,timeNanos,x,y,z
1551337970567,1257910119938839,29.5625,-1.0625,-43.75
1551337970587,1257910139938839,29.1875,-1.0625,-43.875
1551337970607,1257910159938839,29.4375,-0.5625,-44.125
1551337970627,1257910179938839,29.25,-0.25,-43.875
1551337970647,1257910199957589,29.0625,0.0,-43.625
1551337970667,1257910219938839,28.9375,0.0625,-43.1875
1551337970686,1257910239938839,28.75,-0.0625,-43.1875
1551337970706,1257910259938839,28.8125,-0.375,-43.125
1551337970727,1257910279938839,28.6875,-0.6875,-43.3125
1551337970747,1257910299938839,28.4375,-0.6875,-43.1875
1551337970767,1257910319938839,28.4375,-0.625,-42.875
1551337970787,1257910339938839,28.5,-0.3125,-42.4375
1551337970807,1257910359938839,28.75,-0.125,-42.1875
1551337970827,1257910379938839,28.8125,0.0,-42.0
1551337970847,1257910399938839,28.8125,0.0,-42.4375
1551337970866,1257910419938839,29.1875,0.0,-42.375
1551337970887,1257910439938839,29.125,0.25,-42.4375
1551337970907,1257910459938839,29.0,0.4375,-42.25
1551337970927,1257910479938839,28.5,0.5625,-42.6875
1551337970946,1257910499938839,28.0,0.9375,-43.0
1551337970966,1257910519938839,27.5,1.0625,-43.4375
1551337970987,1257910539938839,27.25,1.125,-43.5625
1551337971007,1257910559938839,27.1875,0.875,-43.8125
1551337971027,1257910579938839,27.4375,0.75,-43.5
1551337971047,1257910599938839,27.375,0.75,-43.375
1551337971067,1257910619938839,27.375,0.75,-43.125
1551337971087,1257910639938839,27.1875,0.875,-43.375
1551337971107,1257910659938839,27.125,1.0,-43.3125
1551337971127,1257910679938839,27.0625,1.125,-43.3125
1551337971147,1257910699938839,26.875,1.375,-43.5
1551337971167,1257910719938839,26.375,1.375,-43.5625
1551337971187,1257910739938839,26.4375,1.75,-43.25
1551337971207,1257910759938839,26.4375,1.8125,-43.3125
1551337971227,1257910779938839,26.5625,1.6875,-43.3125
1551337971247,1257910799938839,26.625,1.4375,-43.5625
1551337971266,1257910819938839,26.8125,1.25,-43.125
1551337971287,1257910839938839,26.8125,1.25,-43.125
1551337971307,1257910859938839,26.9375,1.0625,-43.125
1551337971327,1257910879938839,26.9375,0.6875,-42.9375
1551337971347,1257910899938839,27.25,0.8125,-43.3125
1551337971367,1257910919938839,27.375,0.625,-43.5625
1551337971387,1257910939938839,27.625,0.75,-43.5
1551337971407,1257910959938839,27.5,0.75,-43.3125
1551337971427,1257910979938839,27.625,0.6875,-43.0
1551337971447,1257910999954464,27.875,0.5,-42.9375
1551337971467,1257911019938839,28.125,0.5625,-42.8125
1551337971487,1257911039938839,28.0625,0.6875,-42.8125
1551337971507,1257911059938839,28.3125,0.875,-42.9375
1551337971527,1257911079938839,28.4375,0.8125,-42.625
1551337971547,1257911099938839,28.6875,0.9375,-42.375
1551337971567,1257911119938839,28.75,0.5,-42.25
1551337971587,1257911139938839,29.0,0.25,-42.25
1551337971607,1257911159938839,29.1875,0.25,-42.375
1551337971627,1257911179938839,29.1875,0.375,-42.5625
1551337971647,1257911199965401,28.9375,0.4375,-42.5625
1551337971667,1257911219938839,28.875,0.625,-42.5625
1551337971687,1257911239938839,28.8125,0.8125,-42.6875
1551337971707,1257911259938839,28.5,0.875,-42.625
1551337971736,1257911279938839,28.3125,0.75,-42.625
1551337971746,1257911299938839,28.4375,0.8125,-42.5625
1551337971767,1257911319938839,28.4375,0.8125,-42.4375
1551337971787,1257911339938839,28.4375,0.75,-42.3125
1551337971807,1257911359938839,28.1875,0.75,-42.4375
1551337971828,1257911379938839,28.1875,0.625,-42.5625
1551337971847,1257911399938839,28.25,0.4375,-42.8125
1551337971867,1257911419938839,28.125,0.25,-42.5625
1551337971887,1257911439938839,28.25,0.1875,-42.625
1551337971907,1257911459938839,28.25,0.0625,-42.75
1551337971927,1257911479938839,28.1875,-0.0625,-42.625
1551337971947,1257911499938839,28.125,0.0,-42.6875
1551337971967,1257911519938839,28.0625,0.0625,-42.625
1551337971987,1257911539938839,28.125,0.125,-42.75
1551337972006,1257911559938839,28.125,0.25,-42.5625
1551337972027,1257911579938839,28.0,0.4375,-42.3125
1551337972047,1257911599938839,27.9375,0.3125,-42.5625
1551337972067,1257911619938839,27.875,0.1875,-42.375
1551337972087,1257911639938839,27.75,0.1875,-42.4375
1551337972107,1257911659938839,27.6875,0.375,-42.5
1551337972127,1257911679938839,28.0,0.8125,-42.4375
1551337972147,1257911699938839,27.9375,1.3125,-42.4375
1551337972167,1257911719938839,27.5625,1.5,-42.5625
1551337972186,1257911739938839,27.4375,1.1875,-42.875
1551337972207,1257911759938839,27.0625,0.9375,-43.1875
1551337972227,1257911779938839,26.8125,1.125,-43.375
1551337972247,1257911799938839,26.4375,1.3125,-43.6875
1551337972267,1257911819938839,26.375,1.375,-43.75
1551337972287,1257911839938839,26.3125,1.5,-43.75
1551337972307,1257911859938839,26.375,1.3125,-43.6875
1551337972327,1257911879938839,26.5625,1.4375,-43.625
1551337972347,1257911899938839,26.75,1.625,-43.5
1551337972367,1257911919938839,26.5625,2.0,-43.5
1551337972387,1257911939938839,26.5,2.1875,-43.5625
1551337972407,1257911959938839,26.375,2.1875,-43.625
1551337972427,1257911979938839,26.0,2.125,-43.9375
1551337972447,1257911999938839,25.9375,1.875,-43.75
1551337972467,1257912019938839,26.125,1.6875,-43.625
1551337972486,1257912039938839,26.4375,1.75,-43.375
1551337972507,1257912059938839,26.875,1.875,-43.0625
1551337972527,1257912079938839,27.25,2.25,-42.75
1551337972547,1257912099938839,27.4375,2.6875,-42.5625
1551337972567,1257912119938839,27.5625,2.8125,-42.5
1551337972586,1257912139938839,27.75,2.875,-42.5
1551337972607,1257912159938839,27.75,2.75,-42.4375
1551337972627,1257912179938839,27.75,2.6875,-42.8125
1551337972648,1257912199938839,27.9375,2.5625,-42.8125
1551337972667,1257912219938839,27.875,2.625,-42.6875
1551337972687,1257912239938839,28.125,2.5,-42.625
1551337972707,1257912259938839,28.5,2.1875,-42.5625
1551337972735,1257912279938839,29.0,1.875,-42.375
1551337972747,1257912299938839,29.125,1.8125,-42.1875
1551337972766,1257912319938839,29.0625,1.5625,-42.25
1551337972787,1257912339938839,29.0625,1.625,-42.1875
1551337972807,1257912359938839,28.9375,1.5,-42.125
1551337972826,1257912379938839,28.8125,1.4375,-41.9375
1551337972846,1257912399954464,28.8125,1.1875,-42.0
1551337972867,1257912419938839,28.5625,0.9375,-42.25
1551337972888,1257912439938839,28.25,0.75,-42.3125
1551337972907,1257912459938839,27.6875,0.9375,-42.625
1551337972927,1257912479938839,27.1875,1.0,-42.8125
1551337972947,1257912499938839,26.875,1.125,-42.625
1551337972967,1257912519938839,26.875,0.8125,-42.5
1551337972987,1257912539938839,27.0,0.1875,-42.5
1551337973007,1257912559938839,27.375,-0.25,-42.625
1551337973027,1257912579938839,27.3125,-0.1875,-42.6875
1551337973047,1257912599938839,27.4375,-0.0625,-42.3125
1551337973067,1257912619938839,27.5,0.0625,-42.125
1551337973086,1257912639938839,27.5625,0.0,-41.8125
1551337973106,1257912659938839,27.5625,-0.3125,-41.8125
1551337973127,1257912679938839,27.6875,-0.8125,-42.125
1551337973147,1257912699938839,27.625,-1.25,-42.0625
1551337973166,1257912719938839,27.8125,-1.375,-41.5
1551337973187,1257912739938839,27.375,-1.625,-41.3125
1551337973206,1257912759938839,27.0625,-1.8125,-41.25
1551337973227,1257912779938839,26.75,-1.6875,-41.25
1551337973247,1257912799938839,26.9375,-1.5,-41.125
1551337973266,1257912819938839,27.1875,-1.375,-40.9375
1551337973286,1257912839938839,27.375,-1.0,-40.875
1551337973307,1257912859938839,27.5625,-0.75,-40.5625
1551337973327,1257912879938839,27.8125,-0.5625,-40.4375
1551337973347,1257912899938839,27.875,-0.5,-40.5625
1551337973367,1257912919938839,28.1875,-0.1875,-40.5625
1551337973386,1257912939938839,28.375,0.0,-40.5
1551337973407,1257912959938839,28.625,0.0,-40.5625
1551337973427,1257912979938839,28.4375,-0.0625,-40.625
1551337973447,1257912999938839,28.5625,0.0625,-40.5
1551337973467,1257913019938839,28.9375,-0.0625,-40.0625
1551337973487,1257913039938839,29.0625,-0.25,-39.8125
1551337973507,1257913059938839,29.0,-0.6875,-39.625
1551337973526,1257913079938839,28.9375,-1.0625,-39.625
1551337973547,1257913099938839,28.5625,-1.3125,-39.625
1551337973567,1257913119938839,28.1875,-1.625,-39.75
1551337973587,1257913139938839,28.0625,-1.9375,-39.5
1551337973607,1257913159938839,28.4375,-2.625,-39.125
1551337973627,1257913179938839,28.625,-3.75,-38.8125
1551337973647,1257913199938839,28.5625,-4.25,-38.75
1551337973667,1257913219938839,28.4375,-4.5625,-38.625
1551337973687,1257913239938839,28.0625,-4.6875,-38.75
1551337973707,1257913259938839,27.8125,-4.375,-38.875
1551337973737,1257913279938839,27.8125,-4.4375,-38.875
1551337973747,1257913299938839,28.3125,-4.9375,-38.625
1551337973767,1257913319938839,28.5,-5.625,-38.25
1551337973786,1257913339938839,28.6875,-6.3125,-38.0
1551337973807,1257913359938839,28.8125,-6.5,-38.0
1551337973868,1257913379938839,28.5,-6.9375,-37.875
1551337973868,1257913399938839,28.5,-7.3125,-37.75
1551337973868,1257913419938839,28.4375,-7.5625,-37.625
1551337973893,1257913439938839,28.5,-7.9375,-37.5
1551337973906,1257913459938839,28.8125,-8.5,-37.25
1551337973927,1257913479938839,28.6875,-8.8125,-36.75
1551337973947,1257913499938839,28.6875,-9.125,-36.6875
1551337973967,1257913519938839,28.75,-9.4375,-36.5
1551337973987,1257913539938839,28.5,-9.8125,-36.3125
1551337974007,1257913559938839,28.625,-10.0625,-36.125
1551337974027,1257913579938839,28.5,-10.4375,-36.125
1551337974046,1257913599938839,28.75,-10.4375,-35.9375
1551337974067,1257913619938839,28.625,-10.5,-35.5625
1551337974087,1257913639938839,28.5625,-10.4375,-35.4375
1551337974107,1257913659938839,28.625,-10.5,-35.5
1551337974127,1257913679938839,28.375,-10.6875,-35.375
1551337974147,1257913699938839,28.1875,-10.9375,-35.0625
1551337974166,1257913719938839,28.3125,-11.4375,-34.625
1551337974187,1257913739938839,28.4375,-11.625,-34.3125
1551337974207,1257913759938839,28.5625,-11.5,-33.875
1551337974227,1257913779938839,28.625,-11.1875,-33.5625
1551337974246,1257913799938839,28.8125,-10.5,-33.75
1551337974267,1257913819938839,29.0625,-10.125,-33.375
1551337974287,1257913839938839,29.375,-10.0625,-32.75
1551337974307,1257913859938839,30.0625,-10.375,-31.875
1551337974327,1257913879938839,30.625,-10.8125,-30.9375
1551337974347,1257913899938839,30.75,-11.1875,-30.5
1551337974367,1257913919938839,30.625,-11.4375,-30.3125
1551337974387,1257913939938839,30.375,-11.0625,-30.25
1551337974407,1257913959938839,30.3125,-10.625,-30.1875
1551337974427,1257913979938839,30.5625,-9.9375,-29.75
1551337974447,1257913999938839,30.9375,-9.125,-29.4375
1551337974467,1257914019938839,31.3125,-8.8125,-29.1875
1551337974487,1257914039938839,31.5,-8.5625,-28.9375
1551337974507,1257914059938839,31.5,-8.5,-28.6875
1551337974527,1257914079938839,31.625,-8.5625,-28.625
1551337974547,1257914099938839,31.3125,-8.5,-28.5625
1551337974567,1257914119938839,31.5,-8.5,-28.875
1551337974587,1257914139938839,31.25,-8.125,-29.0
1551337974607,1257914159938839,31.0625,-8.0,-29.0
1551337974627,1257914179938839,30.8125,-8.125,-29.0
1551337974647,1257914199938839,30.6875,-7.9375,-28.5625
1551337974667,1257914219938839,30.625,-8.25,-28.25
1551337974688,1257914239938839,30.375,-8.5625,-28.3125
1551337974707,1257914259938839,30.0625,-8.6875,-28.3125
1551337974735,1257914279938839,29.875,-9.0,-28.1875
1551337974747,1257914299938839,29.6875,-9.5,-27.75
1551337974766,1257914319938839,29.75,-10.3125,-27.5
1551337974787,1257914339938839,29.8125,-11.125,-27.0625
1551337974806,1257914359938839,29.625,-11.75,-26.6875
1551337974827,1257914379938839,29.5625,-12.3125,-26.5625
1551337974846,1257914399938839,29.3125,-12.5,-26.5
1551337974866,1257914419938839,29.25,-12.625,-26.375
1551337974887,1257914439938839,29.4375,-12.9375,-25.6875
1551337974907,1257914459938839,29.75,-13.4375,-25.0
1551337974926,1257914479938839,29.75,-14.0,-24.5
1551337974947,1257914499954464,29.5625,-14.3125,-24.3125
1551337974967,1257914519938839,29.125,-14.5,-24.4375
1551337974986,1257914539938839,28.9375,-14.8125,-24.625
1551337975007,1257914559938839,28.625,-14.875,-24.625
1551337975027,1257914579938839,28.5,-14.9375,-24.6875
1551337975047,1257914599938839,28.375,-14.9375,-24.4375
1551337975067,1257914619938839,28.4375,-14.8125,-24.125
1551337975087,1257914639938839,28.5,-14.625,-23.8125
1551337975107,1257914659938839,28.75,-14.625,-23.5
1551337975127,1257914679938839,28.6875,-14.75,-23.1875
1551337975146,1257914699938839,28.5,-14.8125,-23.125
1551337975166,1257914719938839,28.25,-14.75,-23.0625
1551337975187,1257914739938839,28.25,-14.6875,-23.1875
1551337975206,1257914759938839,28.125,-14.5,-23.1875
1551337975226,1257914779938839,28.0625,-14.0625,-23.3125
