timeMillis,timeNanos,value
1551337970573,1257910119938839,1009.13574
1551337970648,1257910199957589,1009.145
1551337970727,1257910279938839,1009.14307
1551337970809,1257910359938839,1009.1343
1551337970888,1257910439938839,1009.13086
1551337970967,1257910519938839,1009.1338
1551337971049,1257910599938839,1009.1299
1551337971129,1257910679938839,1009.1279
1551337971208,1257910759938839,1009.1304
1551337971288,1257910839938839,1009.1294
1551337971369,1257910919938839,1009.1343
1551337971448,1257910999954464,1009.1362
1551337971528,1257911079938839,1009.13086
1551337971609,1257911159938839,1009.14307
1551337971688,1257911239938839,1009.1426
1551337971769,1257911319938839,1009.14404
1551337971847,1257911399938839,1009.1416
1551337971928,1257911479938839,1009.1299
1551337972008,1257911559938839,1009.1284
1551337972088,1257911639938839,1009.1284
1551337972169,1257911719938839,1009.125
1551337972249,1257911799938839,1009.1289
1551337972328,1257911879938839,1009.1338
1551337972409,1257911959938839,1009.15283
1551337972488,1257912039938839,1009.17334
1551337972568,1257912119938839,1009.16797
1551337972648,1257912199938839,1009.1631
1551337972735,1257912279938839,1009.1489
1551337972808,1257912359938839,1009.1304
1551337972888,1257912439938839,1009.1362
1551337972968,1257912519938839,1009.146
1551337973047,1257912599938839,1009.1587
1551337973128,1257912679938839,1009.1416
1551337973208,1257912759938839,1009.1167
1551337973288,1257912839938839,1009.104
1551337973368,1257912919938839,1009.0996
1551337973448,1257912999938839,1009.11426
1551337973528,1257913079938839,1009.13477
1551337973609,1257913159938839,1009.14453
1551337973688,1257913239938839,1009.1592
1551337973768,1257913319938839,1009.14746
1551337973868,1257913399938839,1009.1367
1551337973927,1257913479938839,1009.1162
1551337974008,1257913559938839,1009.11035
1551337974088,1257913639938839,1009.1299
1551337974168,1257913719938839,1009.146
1551337974247,1257913799938839,1009.16064
1551337974328,1257913879938839,1009.1719
1551337974409,1257913959938839,1009.1426
1551337974489,1257914039938839,1009.1123
1551337974568,1257914119938839,1009.0884
1551337974648,1257914199938839,1009.1074
1551337974735,1257914279938839,1009.1372
1551337974807,1257914359938839,1009.1675
1551337974888,1257914439938839,1009.16797
1551337974968,1257914519938839,1009.1406
1551337975048,1257914599938839,1009.1113
1551337975128,1257914679938839,1009.11816
1551337975207,1257914759938839,1009.12744
1551337975288,1257914839938839,1009.14355
1551337975369,1257914919938839,1009.17334
1551337975448,1257914999938839,1009.1846
1551337975538,1257915079938839,1009.1548
1551337975608,1257915159938839,1009.1245
1551337975690,1257915239938839,1009.0947
1551337975767,1257915319938839,1009.09717
1551337975848,1257915399937276,1009.12744
1551337975928,1257915479938839,1009.1343
1551337976009,1257915559938839,1009.14453
1551337976088,1257915639938839,1009.1279
1551337976168,1257915719938839,1009.10254
1551337976248,1257915799938839,1009.1035
1551337976328,1257915879938839,1009.12744
1551337976407,1257915959938839,1009.1572
1551337976488,1257916039938839,1009.1748
1551337976568,1257916119938839,1009.1621
1551337976796,1257916199938839,1009.13184
1551337976796,1257916279938839,1009.10205
1551337976811,1257916359938839,1009.08984
1551337976888,1257916439938839,1009.1196
1551337976969,1257916519938839,1009.1499
1551337977048,1257916599938839,1009.16455
1551337977128,1257916679938839,1009.1592
1551337977207,1257916759938839,1009.1304
1551337977288,1257916839938839,1009.13086
1551337977368,1257916919938839,1009.1304
1551337977448,1257916999938839,1009.14355
1551337977528,1257917079938839,1009.1738
1551337977609,1257917159938839,1009.1924
1551337977689,1257917239938839,1009.1836
1551337977768,1257917319938839,1009.1538
1551337977847,1257917399938839,1009.12354
1551337977928,1257917479938839,1009.09814
1551337978008,1257917559938839,1009.1284
1551337978089,1257917639938839,1009.1582
1551337978168,1257917719938839,1009.17334
1551337978248,1257917799938839,1009.14307
1551337978328,1257917879938839,1009.1133
1551337978409,1257917959938839,1009.083
1551337978488,1257918039938839,1009.083
1551337978568,1257918119938839,1009.1133
1551337978648,1257918199938839,1009.14307
1551337978742,1257918279938839,1009.1533
1551337978809,1257918359938839,1009.12305
1551337978888,1257918439938839,1009.09326
1551337978969,1257918519938839,1009.08105
1551337979049,1257918599938839,1009.11084
1551337979128,1257918679938839,1009.1411
1551337979209,1257918759938839,1009.1699
1551337979288,1257918839938839,1009.15967
1551337979452,1257918919938839,1009.1294
1551337979452,1257918999938839,1009.0996
1551337979528,1257919079938839,1009.0869
1551337979608,1257919159938839,1009.1138
1551337979688,1257919239938839,1009.14355
1551337979768,1257919319938839,1009.1543
1551337979848,1257919399938839,1009.1372
1551337979928,1257919479938839,1009.10693
1551337980008,1257919559938839,1009.0879
1551337980094,1257919639938839,1009.11523
1551337980168,1257919719938839,1009.145
1551337980248,1257919799938839,1009.1753
1551337980328,1257919879938839,1009.15674
1551337980409,1257919959938839,1009.1299
1551337980488,1257920039938839,1009.1089
1551337980569,1257920119938839,1009.0928
1551337980648,1257920199957589,1009.1113
1551337980742,1257920279938839,1009.1416
1551337980808,1257920359938839,1009.16064
1551337980889,1257920439938839,1009.1333
1551337980968,1257920519938839,1009.1113
1551337981048,1257920599938839,1009.1128
1551337981128,1257920679938839,1009.0967
1551337981208,1257920759938839,1009.1216
1551337981288,1257920839938839,1009.1489
1551337981368,1257920919938839,1009.1704
1551337981448,1257920999938839,1009.1538
1551337981528,1257921079938839,1009.12354
1551337981609,1257921159938839,1009.09375
1551337981688,1257921239938839,1009.1133
1551337981768,1257921319938839,1009.14307
1551337981848,1257921399938839,1009.1636
1551337981928,1257921479938839,1009.1846
1551337982009,1257921559938839,1009.1616
1551337982088,1257921639938839,1009.13184
1551337982168,1257921719938839,1009.10156
1551337982248,1257921799938839,1009.09424
1551337982329,1257921879938839,1009.124
1551337982409,1257921959938839,1009.1543
1551337982489,1257922039938839,1009.17285
1551337982567,1257922119938839,1009.15625
1551337982649,1257922199938839,1009.126
1551337982736,1257922279938839,1009.0962
1551337982987,1257922359938839,1009.0874
1551337982987,1257922439938839,1009.1172
1551337982987,1257922519938839,1009.1406
1551337983048,1257922599938839,1009.14307
1551337983128,1257922679938839,1009.1294
1551337983207,1257922759938839,1009.0996
1551337983290,1257922839938839,1009.0923
1551337983369,1257922919938839,1009.1196
1551337983448,1257922999938839,1009.1499
1551337983527,1257923079938839,1009.16797
1551337983611,1257923159938839,1009.14404
1551337983689,1257923239938839,1009.12305
1551337983768,1257923319938839,1009.09814
1551337983849,1257923399938839,1009.1001
1551337983928,1257923479938839,1009.11426
1551337984008,1257923559938839,1009.14404
1551337984088,1257923639938839,1009.1743
1551337984168,1257923719938839,1009.1655
1551337984248,1257923799938839,1009.13525
1551337984327,1257923879938839,1009.10547
1551337984408,1257923959938839,1009.09717
1551337984488,1257924039938839,1009.12744
1551337984568,1257924119938839,1009.1572
1551337984651,1257924199938839,1009.16943
1551337984731,1257924279938839,1009.1489
1551337984967,1257924359938839,1009.11865
1551337984967,1257924439938839,1009.08984
1551337984974,1257924519938839,1009.0825
1551337985048,1257924599938839,1009.1128
1551337985131,1257924679938839,1009.1426
1551337985208,1257924759938839,1009.16846
1551337985288,1257924839938839,1009.14746
1551337985368,1257924919938839,1009.1177
1551337985447,1257924999954464,1009.0874
1551337985529,1257925079938839,1009.1074
1551337985608,1257925159938839,1009.1343
1551337985691,1257925239938839,1009.14795
1551337985771,1257925319938839,1009.15674
1551337985847,1257925399938839,1009.1416
1551337985928,1257925479938839,1009.1113
1551337986008,1257925559938839,1009.0864
1551337986088,1257925639938839,1009.1011
1551337986168,1257925719938839,1009.13086
1551337986248,1257925799938839,1009.16113
1551337986329,1257925879938839,1009.1782
1551337986408,1257925959938839,1009.15186
1551337986488,1257926039938839,1009.1221
1551337986569,1257926119938839,1009.09424
1551337986648,1257926199938839,1009.11914
1551337986739,1257926279938839,1009.1494
1551337986808,1257926359938839,1009.1543
1551337986888,1257926439938839,1009.14404
1551337986968,1257926519938839,1009.1138
1551337987048,1257926599938839,1009.10693
1551337987128,1257926679938839,1009.08154
1551337987208,1257926759938839,1009.0835
1551337987289,1257926839938839,1009.10547
1551337987368,1257926919938839,1009.13574
1551337987448,1257926999938839,1009.16504
1551337987669,1257927079938839,1009.1489
1551337987669,1257927159938839,1009.11914
1551337987688,1257927239938839,1009.09424
1551337987768,1257927319938839,1009.0947
1551337987847,1257927399938839,1009.1245
1551337987927,1257927479938839,1009.147
1551337988008,1257927559938839,1009.1494
1551337988088,1257927639938839,1009.14404
1551337988167,1257927719938839,1009.1157
1551337988248,1257927799938839,1009.10156
1551337988329,1257927879938839,1009.0957
1551337988408,1257927959938839,1009.1177
1551337988487,1257928039938839,1009.14795
1551337988569,1257928119938839,1009.1675
1551337988648,1257928199938839,1009.1675
1551337988743,1257928279998214,1009.1377
1551337988807,1257928359938839,1009.1074
1551337988888,1257928439938839,1009.0869
1551337988968,1257928519938839,1009.1094
1551337989048,1257928599938839,1009.13916
1551337989128,1257928679938839,1009.1494
1551337989208,1257928759938839,1009.13525
1551337989288,1257928839938839,1009.105
1551337989368,1257928919938839,1009.10645
1551337989448,1257928999938839,1009.1162
1551337989528,1257929079938839,1009.1289
1551337989608,1257929159938839,1009.1245
1551337989688,1257929239938839,1009.1494
1551337989768,1257929319938839,1009.13477
1551337989848,1257929399938839,1009.1138
1551337989928,1257929479938839,1009.1216
1551337990008,1257929559938839,1009.146
1551337990089,1257929639938839,1009.1655
1551337990169,1257929719938839,1009.147
1551337990248,1257929799937276,1009.1421
1551337990329,1257929879937276,1009.12256
1551337990409,1257929959937276,1009.104
1551337990489,1257930039938839,1009.1006
1551337990568,1257930119938839,1009.125
1551337990648,1257930199957589,1009.1509
1551337990728,1257930279938839,1009.16943
1551337990808,1257930359938839,1009.1587
1551337990888,1257930439938839,1009.1289
1551337990968,1257930519938839,1009.09863
1551337991048,1257930599954464,1009.1035
1551337991304,1257930679938839,1009.1333
1551337991304,1257930759938839,1009.1636
1551337991304,1257930839938839,1009.1636
1551337991368,1257930919938839,1009.1343
1551337991448,1257930999937276,1009.1094
1551337991529,1257931079937276,1009.1001
1551337991608,1257931159937276,1009.1245
