bssid,frequency,legit,rss,ssid,timestamp,wifiNo
90:9f:33:41:a7:88,2452,true,-58,artlab,1257913314824,1
90:9f:33:ad:29:e8,2472,true,-91,Jmiptime2,1257913314740,1
00:24:6c:7d:ff:a2,2472,true,-86,Welcome_1st_KAIST,1257913314736,1
00:24:6c:7d:f6:82,2472,true,-71,Welcome_1st_KAIST,1257913314734,1
00:24:6c:7d:f6:81,2472,true,-72,eduroam,1257913314729,1
00:24:6c:7d:f7:22,2472,true,-49,Welcome_1st_KAIST,1257913314726,1
00:24:6c:7d:f7:20,2472,true,-47,Welcome_KAIST,1257913314723,1
00:24:6c:7d:f3:02,2452,true,-65,Welcome_1st_KAIST,1257913314719,1
00:24:6c:7d:f3:01,2452,true,-55,eduroam,1257913314715,1
00:24:6c:7d:f3:00,2452,true,-54,Welcome_KAIST,1257913314709,1
90:9f:33:fa:11:de,2457,true,-65,wit,1257913314704,1
00:24:6c:7d:fe:02,2432,true,-83,Welcome_1st_KAIST,1257913314659,1
00:24:6c:7d:fe:01,2432,true,-80,eduroam,1257913314655,1
00:24:6c:7d:fe:00,2432,true,-84,Welcome_KAIST,1257913314652,1
00:24:6c:7d:f7:e1,2432,true,-74,eduroam,1257913314645,1
70:8b:cd:2f:82:60,2417,true,-54,LIT_2.4G,1257913314634,1
6c:f3:7f:fa:ab:22,2412,true,-59,Welcome_1st_KAIST,1257913314629,1
2c:56:dc:84:dd:88,2452,true,-68,ISILAB_2,1257916126220,2
6c:f3:7f:fa:ab:32,5805,true,-70,Welcome_1st_KAIST,1257916126216,2
6c:f3:7f:fa:ab:31,5805,true,-71,eduroam,1257916126213,2
6c:f3:7f:fa:ab:30,5805,true,-71,Welcome_KAIST,1257916126209,2
90:9f:33:f9:11:de,5805,true,-71,wit_5G,1257916126203,2
88:36:6c:92:5d:84,5785,true,-91,DILAB-519-5Ghz,1257916126197,2
6c:70:9f:e0:92:7f,5785,true,-88,HCIL,1257916126192,2
6e:7f:92:e0:9f:70,5785,true,-87,HCIL guest,1257916126187,2
2c:56:dc:84:dd:8c,5785,true,-71,ISILAB_5,1257916126183,2
00:24:6c:7d:f6:f2,5785,true,-65,Welcome_1st_KAIST,1257916126178,2
00:24:6c:7d:f6:f1,5785,true,-67,eduroam,1257916126174,2
00:24:6c:7d:f6:f0,5785,true,-67,Welcome_KAIST,1257916126170,2
a0:40:a0:56:08:f8,5745,true,-73,,1257916126166,2
00:24:6c:7d:f5:d2,5745,true,-84,Welcome_1st_KAIST,1257916126162,2
00:24:6c:7d:f5:d0,5745,true,-85,Welcome_KAIST,1257916126157,2
88:36:6c:45:40:fe,5745,true,-86,LANADA_AP_5GHz,1257916126153,2
70:8b:cd:2f:82:64,5745,true,-41,LIT_5G,1257916126148,2
00:24:6c:7d:f7:22,2472,true,-43,Welcome_1st_KAIST,1257916126144,2
00:24:6c:7d:ff:a1,2472,true,-92,eduroam,1257916126134,2
a6:40:a0:56:08:f5,2472,true,-71,NMSL_N1_721,1257916126128,2
00:24:6c:7d:f6:c2,2472,true,-93,Welcome_1st_KAIST,1257916126123,2
00:24:6c:7d:f6:82,2472,true,-65,Welcome_1st_KAIST,1257916126118,2
00:24:6c:7d:fb:42,2472,true,-81,Welcome_1st_KAIST,1257916126112,2
00:24:6c:7d:f6:81,2472,true,-65,eduroam,1257916126108,2
00:24:6c:7d:f7:f2,5240,true,-82,Welcome_1st_KAIST,1257916126104,2
00:24:6c:7d:f7:f1,5240,true,-82,eduroam,1257916126100,2
00:24:6c:7d:f7:f0,5240,true,-83,Welcome_KAIST,1257916126095,2
00:24:6c:7d:f5:00,2472,true,-84,Welcome_KAIST,1257916126089,2
00:24:6c:7d:f7:32,5240,true,-42,Welcome_1st_KAIST,1257916126085,2
00:24:6c:7d:f7:31,5240,true,-43,eduroam,1257916126079,2
00:24:6c:7d:f7:30,5240,true,-43,Welcome_KAIST,1257916126076,2
64:e5:99:da:03:6c,5240,true,-53,WCSL 5GHz,1257916126072,2
00:24:6c:7d:f7:21,2472,true,-40,eduroam,1257916126065,2
00:24:6c:7d:f2:f2,5240,true,-87,Welcome_1st_KAIST,1257916126060,2
00:24:6c:7d:f2:f1,5240,true,-88,eduroam,1257916126055,2
00:24:6c:7d:f2:f0,5240,true,-85,Welcome_KAIST,1257916126050,2
a0:40:a0:56:08:f7,5240,true,-81,NMSL_N1_721,1257916126043,2
00:24:6c:7d:f6:b2,5220,true,-66,Welcome_1st_KAIST,1257916126039,2
00:24:6c:7d:f6:b1,5220,true,-65,eduroam,1257916126036,2
00:24:6c:7d:f6:b0,5220,true,-66,Welcome_KAIST,1257916126032,2
00:24:6c:7d:f3:02,2452,true,-63,Welcome_1st_KAIST,1257916126029,2
00:24:6c:7d:f3:01,2452,true,-63,eduroam,1257916126023,2
00:24:6c:7d:f6:92,5200,true,-62,Welcome_1st_KAIST,1257916126020,2
00:24:6c:7d:f6:91,5200,true,-60,eduroam,1257916126016,2
00:24:6c:7d:f6:90,5200,true,-59,Welcome_KAIST,1257916126012,2
00:24:6c:7d:f3:11,5180,true,-64,eduroam,1257916126008,2
00:24:6c:7d:f3:12,5180,true,-65,Welcome_1st_KAIST,1257916126004,2
00:24:6c:7d:f3:10,5180,true,-64,Welcome_KAIST,1257916126000,2
00:24:6c:7a:8b:32,5180,true,-52,Welcome_1st_KAIST,1257916125996,2
00:24:6c:7a:8b:31,5180,true,-52,eduroam,1257916125991,2
00:24:6c:7a:8b:30,5180,true,-51,Welcome_KAIST,1257916125986,2
00:24:6c:7d:f3:f1,5180,true,-74,eduroam,1257916125980,2
00:24:6c:7d:f3:f0,5180,true,-72,Welcome_KAIST,1257916125972,2
90:9f:33:41:a7:88,2452,true,-58,artlab,1257916125966,2
04:8d:38:16:8d:05,5805,true,-92,,1257916125957,2
88:36:6c:8d:33:16,5785,true,-76,bongjun_5G,1257916125951,2
9c:d6:43:c8:11:82,5785,true,-83,JoyK,1257916125942,2
6c:70:9f:e3:3a:a7,5745,true,-78,Air WiFi,1257916125936,2
00:24:6c:7d:f5:d1,5745,true,-92,eduroam,1257916125929,2
88:36:6c:be:8e:74,5745,true,-71,moonlab_5G,1257916125911,2
90:9f:33:ad:29:e8,2472,false,-91,Jmiptime2,1257913314740,2
00:24:6c:7d:ff:a2,2472,false,-86,Welcome_1st_KAIST,1257913314736,2
00:24:6c:7d:f7:20,2472,false,-47,Welcome_KAIST,1257913314723,2
00:24:6c:7d:f3:00,2452,false,-54,Welcome_KAIST,1257913314709,2
90:9f:33:fa:11:de,2457,false,-65,wit,1257913314704,2
00:24:6c:7d:fe:02,2432,false,-83,Welcome_1st_KAIST,1257913314659,2
00:24:6c:7d:fe:01,2432,false,-80,eduroam,1257913314655,2
00:24:6c:7d:fe:00,2432,false,-84,Welcome_KAIST,1257913314652,2
00:24:6c:7d:f7:e1,2432,false,-74,eduroam,1257913314645,2
70:8b:cd:2f:82:60,2417,false,-54,LIT_2.4G,1257913314634,2
6c:f3:7f:fa:ab:22,2412,false,-59,Welcome_1st_KAIST,1257913314629,2
00:24:6c:7d:fe:10,5180,true,-81,Welcome_KAIST,1257913314623,2
6c:f3:7f:fa:ab:32,5805,true,-73,Welcome_1st_KAIST,1257918810613,3
6c:f3:7f:fa:ab:31,5805,true,-74,eduroam,1257918810610,3
6c:f3:7f:fa:ab:30,5805,true,-78,Welcome_KAIST,1257918810605,3
62:45:b4:ee:da:63,5785,true,-94,,1257918810599,3
6e:7f:92:e0:9f:70,5785,true,-93,HCIL guest,1257918810594,3
00:24:6c:7d:f6:f2,5785,true,-59,Welcome_1st_KAIST,1257918810590,3
00:24:6c:7d:f6:f1,5785,true,-56,eduroam,1257918810585,3
00:24:6c:7d:f6:f0,5785,true,-57,Welcome_KAIST,1257918810581,3
