timeMillis,timeNanos,x,y,z
1551337741041,1257680575478839,0.9108501,4.6103706,9.690416
1551337741047,1257680595478839,0.2498972,4.288839,11.630457
1551337741067,1257680615478839,-0.5209113,3.5135581,10.106807
1551337741087,1257680635478839,-1.0043772,3.0466888,7.753871
1551337741107,1257680655478839,-1.0801201,3.2319138,11.42696
1551337741128,1257680675478839,-0.6421536,3.4766872,9.47716
1551337741147,1257680695494464,-0.5033378,3.482673,8.878696
1551337741167,1257680715478839,-0.6301539,3.3159213,11.445816
1551337741187,1257680735478839,-0.7540873,3.0282056,9.652416
1551337741207,1257680755478839,-0.9693644,3.029709,9.3910265
1551337741228,1257680775478839,-0.80462414,3.245561,9.436276
1551337741247,1257680795478839,-0.6462142,3.4302397,9.3475
1551337741267,1257680815478839,-0.44461283,3.4996333,9.302546
1551337741287,1257680835478839,-0.54073524,3.3562112,9.188381
1551337741308,1257680855478839,-0.8051988,3.2124825,9.013135
1551337741328,1257680875478839,-0.97001565,3.3339736,9.040879
1551337741347,1257680895478839,-0.5676748,3.5448265,9.379554
1551337741367,1257680915478839,-0.32222125,3.5575347,9.355228
1551337741387,1257680935478839,-0.4900835,3.4175506,9.186016
1551337741407,1257680955478839,-0.9023267,3.239652,9.061718
1551337741427,1257680975478839,-0.7416375,3.3026767,9.228719
1551337741447,1257680995478839,-0.3388849,3.5956314,9.235988
1551337741467,1257681015478839,-0.35946545,3.6051795,8.893607
1551337741487,1257681035478839,-0.50876784,3.3854778,8.590338
1551337741507,1257681055478839,-0.6118047,3.3523993,8.842314
1551337741527,1257681075478839,-0.8531019,3.4408224,8.292442
1551337741547,1257681095478839,-0.86553264,3.644971,10.709427
1551337741567,1257681115478839,-0.7488201,3.5812852,10.230069
1551337741587,1257681135478839,-0.64407855,3.5102923,7.0085373
1551337741607,1257681155478839,-0.59856,3.5718138,10.466032
1551337741627,1257681175478839,-0.79658926,3.5269847,11.107477
1551337741650,1257681195505401,-0.88762635,3.3732195,7.597415
1551337741667,1257681215478839,-0.60620224,3.4015286,9.875402
1551337741688,1257681235478839,-0.49249685,3.620694,9.044901
1551337741707,1257681255478839,-0.60233325,3.6946268,8.824519
1551337741728,1257681275478839,-0.71328056,3.5010986,8.973344
1551337741748,1257681295478839,-0.7943291,3.3996322,9.161949
1551337741767,1257681315478839,-0.59863657,3.4156637,9.487168
1551337741787,1257681335478839,-0.33659604,3.411632,9.631586
