adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
52:E2:B8:24:08:15,255,10,NA,1,-75,0,1551337743075,127,2
20:09:E8:65:DE:68,255,10,NA,1,-101,0,1551337743080,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-71,0,1551337743092,127,0
98:9E:63:48:8C:55,255,10,NA,1,-75,0,1551337743095,127,0
C0:01:CA:1F:4B:58,255,10,NA,1,-101,0,1551337743098,127,0
52:E2:B8:24:08:15,255,10,NA,1,-74,0,1551337745097,127,2
E4:7D:BD:2C:B8:69,255,10,NA,1,-62,0,1551337745105,127,0
98:9E:63:48:8C:55,255,10,NA,1,-74,0,1551337745110,127,0
15:E4:A6:9E:32:89,255,10,NA,1,-78,0,1551337745113,127,0
66:76:99:D4:64:FF,255,10,NA,1,-74,0,1551337745116,127,2
08:00:AB:79:3D:86,255,10,NA,1,-93,0,1551337745120,127,0
07:70:48:F5:A1:93,255,10,NA,1,-86,0,1551337751051,127,0
43:56:84:E4:43:B9,255,10,NA,1,-82,0,1551337751067,127,2
03:F6:51:C2:AD:70,255,10,NA,1,-94,0,1551337751070,127,0
30:C5:81:53:84:6C,255,10,NA,1,-86,0,1551337751073,127,0
08:00:AB:79:3D:86,255,10,NA,1,-77,0,1551337753339,127,0
24:A9:9A:61:B1:E7,255,10,NA,1,-85,0,1551337753347,127,0
07:70:48:F5:A1:93,255,10,NA,1,-69,0,1551337753351,127,0
02:57:42:05:22:3F,255,10,NA,1,-88,0,1551337753364,127,0
22:CE:C1:35:2D:FA,255,10,NA,1,-95,0,1551337753376,127,0
20:09:E8:65:DE:68,255,10,NA,1,-90,0,1551337753379,127,0
11:75:58:6B:74:DF,255,10,Tivoo-light,1,-84,0,1551337753383,127,3
03:F6:51:C2:AD:70,255,10,NA,1,-93,0,1551337753386,127,0
0D:66:B1:8E:29:C7,255,10,NA,1,-84,0,1551337753389,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-70,0,1551337753419,127,0
37:AF:E9:9E:4F:EE,255,10,NA,1,-96,0,1551337753422,127,0
11:D5:B3:61:57:22,255,10,NA,1,-89,0,1551337753429,127,0
49:6F:C1:9C:98:0C,255,10,NA,1,-92,0,1551337753441,127,2
52:E2:B8:24:08:15,255,10,NA,1,-77,0,1551337753450,127,2
30:C5:81:53:84:6C,255,10,NA,1,-95,0,1551337753454,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-75,0,1551337753457,127,0
07:70:48:F5:A1:93,255,10,NA,1,-74,0,1551337753461,127,0
2A:AE:74:56:05:88,255,10,NA,1,-92,0,1551337753463,127,0
19:FB:59:2F:C0:D9,255,10,NA,1,-92,0,1551337753467,127,0
71:01:C8:A0:73:28,255,10,NA,1,-80,0,1551337753485,127,2
20:09:E8:65:DE:68,255,10,NA,1,-91,0,1551337753488,127,0
03:F6:51:C2:AD:70,255,10,NA,1,-94,0,1551337753491,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-55,0,1551337753493,127,0
D4:6F:6D:FC:59:95,255,10,NA,1,-100,0,1551337753506,127,0
08:00:AB:79:3D:86,255,10,NA,1,-77,0,1551337753544,127,0
30:C5:81:53:84:6C,255,10,NA,1,-94,0,1551337753548,127,0
7D:88:45:91:B3:0B,255,10,NA,1,-95,0,1551337753553,127,0
24:A9:9A:61:B1:E7,255,10,NA,1,-93,0,1551337753560,127,0
2A:AE:74:56:05:88,255,10,NA,1,-96,0,1551337753564,127,0
20:09:E8:65:DE:68,255,10,NA,1,-90,0,1551337753579,127,0
22:CE:C1:35:2D:FA,255,10,NA,1,-91,0,1551337753583,127,0
03:F6:51:C2:AD:70,255,10,NA,1,-96,0,1551337753587,127,0
0D:66:B1:8E:29:C7,255,10,NA,1,-90,0,1551337753599,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-82,0,1551337753611,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-67,0,1551337753620,127,0
37:AF:E9:9E:4F:EE,255,10,NA,1,-100,0,1551337753624,127,0
15:E4:A6:9E:32:89,255,10,NA,1,-97,0,1551337753627,127,0
DC:A9:04:7A:EC:58,255,10,NA,1,-92,0,1551337753642,127,2
11:D5:B3:61:57:22,255,10,NA,1,-95,0,1551337753646,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-63,0,1551337753649,127,0
08:00:AB:79:3D:86,255,10,NA,1,-70,0,1551337753654,127,0
24:A9:9A:61:B1:E7,255,10,NA,1,-84,0,1551337753661,127,0
19:FB:59:2F:C0:D9,255,10,NA,1,-92,0,1551337753674,127,0
2A:AE:74:56:05:88,255,10,NA,1,-88,0,1551337753677,127,0
38:F9:D3:60:1A:23,255,10,NA,1,-75,0,1551337753699,127,2
20:09:E8:65:DE:68,255,10,NA,1,-93,0,1551337753703,127,0
22:CE:C1:35:2D:FA,255,10,NA,1,-88,0,1551337753712,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-64,0,1551337753728,127,0
