timeMillis,timeNanos,x,y,z
1551337741046,1257680599938839,42.375,16.1875,-32.625
1551337741066,1257680619938839,42.1875,17.0,-32.25
1551337741087,1257680639938839,42.1875,17.75,-32.625
1551337741106,1257680659938839,42.0,18.25,-32.6875
1551337741127,1257680679938839,41.9375,18.8125,-33.1875
1551337741147,1257680699954464,42.0,19.1875,-33.1875
1551337741167,1257680719938839,41.75,19.1875,-33.25
1551337741186,1257680739938839,41.5,19.1875,-33.375
1551337741207,1257680759938839,41.625,19.5,-33.5
1551337741227,1257680779938839,41.6875,19.5625,-33.4375
1551337741247,1257680799938839,41.9375,20.0,-33.25
1551337741266,1257680819938839,41.9375,20.125,-32.8125
1551337741286,1257680839938839,42.0625,20.125,-32.4375
1551337741307,1257680859938839,42.0625,19.9375,-31.875
1551337741327,1257680879938839,42.0,19.8125,-31.9375
1551337741347,1257680899938839,41.875,19.6875,-31.8125
1551337741366,1257680919938839,41.9375,19.5,-31.75
1551337741387,1257680939938839,41.6875,19.1875,-31.5625
1551337741406,1257680959938839,41.625,19.125,-31.5625
1551337741427,1257680979938839,41.5,18.6875,-31.8125
1551337741447,1257680999938839,41.5625,18.625,-31.6875
1551337741467,1257681019938839,41.5625,18.625,-31.625
1551337741486,1257681039938839,41.5,18.625,-31.4375
1551337741507,1257681059938839,41.5,18.6875,-31.4375
1551337741526,1257681079938839,41.625,18.875,-31.5625
1551337741547,1257681099938839,41.8125,18.9375,-31.4375
1551337741567,1257681119938839,42.0,19.1875,-31.625
1551337741586,1257681139938839,42.0,19.25,-31.375
1551337741606,1257681159938839,41.875,19.4375,-31.375
1551337741627,1257681179938839,41.8125,19.5,-31.5
1551337741647,1257681199965401,42.0,19.6875,-31.375
1551337741667,1257681219938839,42.1875,19.625,-31.5625
1551337741687,1257681239938839,42.25,19.375,-31.375
1551337741706,1257681259938839,42.3125,19.3125,-31.4375
1551337741727,1257681279938839,42.125,19.375,-31.625
1551337741747,1257681299938839,41.9375,19.125,-31.625
1551337741767,1257681319938839,41.9375,19.0,-31.75
1551337741787,1257681339938839,41.9375,18.875,-31.6875
1551337741807,1257681359938839,41.875,18.6875,-31.6875
1551337741827,1257681379938839,41.6875,18.5625,-31.9375
1551337741847,1257681399938839,41.625,18.625,-31.875
1551337741867,1257681419938839,41.4375,18.8125,-32.0625
1551337741887,1257681439938839,41.3125,18.8125,-31.8125
1551337741907,1257681459938839,41.25,18.8125,-31.6875
1551337741927,1257681479938839,41.4375,18.875,-31.625
1551337741947,1257681499938839,41.25,19.0,-31.5
1551337741967,1257681519938839,41.1875,19.0625,-31.75
1551337741987,1257681539938839,41.25,19.1875,-31.875
1551337742007,1257681559938839,41.125,19.25,-31.8125
1551337742027,1257681579938839,41.1875,19.125,-31.8125
1551337742047,1257681599938839,41.25,18.9375,-31.625
1551337742067,1257681619938839,41.5625,18.875,-31.8125
1551337742087,1257681639938839,41.5,18.625,-31.9375
1551337742107,1257681659938839,41.125,18.625,-32.0625
1551337742127,1257681679938839,41.125,18.875,-32.25
1551337742147,1257681699938839,41.0625,18.75,-32.0625
1551337742167,1257681719938839,40.9375,18.625,-31.9375
1551337742187,1257681739938839,41.0,18.5625,-31.8125
1551337742213,1257681759938839,40.625,18.5625,-31.875
1551337742227,1257681779938839,40.6875,18.625,-32.0
1551337742249,1257681799938839,40.625,18.5625,-31.9375
1551337742267,1257681819938839,40.625,18.8125,-31.875
1551337742287,1257681839938839,40.8125,18.5,-32.1875
1551337742307,1257681859938839,40.625,18.125,-32.3125
1551337742327,1257681879938839,40.5625,17.9375,-32.4375
1551337742347,1257681899938839,40.5,17.8125,-32.5625
1551337742367,1257681919938839,40.5,17.875,-32.8125
1551337742387,1257681939938839,40.5625,17.9375,-32.8125
1551337742407,1257681959938839,40.5625,17.9375,-32.6875
1551337742427,1257681979937276,40.25,17.9375,-32.6875
1551337742448,1257681999937276,40.375,17.75,-32.5
1551337742467,1257682019937276,40.4375,17.8125,-32.1875
1551337742487,1257682039937276,40.5625,17.6875,-32.1875
1551337742507,1257682059937276,40.375,17.625,-32.1875
1551337742527,1257682079938839,40.25,17.6875,-32.375
1551337742547,1257682099954464,40.25,17.5625,-32.3125
1551337742567,1257682119938839,40.1875,17.625,-32.25
1551337742588,1257682139938839,40.125,17.6875,-32.375
1551337742607,1257682159938839,40.1875,17.5,-32.4375
1551337742627,1257682179938839,39.8125,17.5625,-32.6875
1551337742647,1257682199938839,39.75,17.75,-32.75
1551337742667,1257682219938839,39.75,17.6875,-32.6875
1551337742687,1257682239938839,40.0,17.75,-32.5625
1551337742707,1257682259938839,40.3125,17.625,-32.25
1551337742726,1257682279938839,40.125,17.5,-32.125
1551337742759,1257682299938839,40.0625,17.375,-32.25
1551337742768,1257682319938839,40.0,17.375,-32.25
1551337742787,1257682339938839,39.9375,17.375,-32.375
1551337742807,1257682359938839,40.125,17.3125,-32.375
1551337742827,1257682379938839,40.125,17.0625,-32.4375
1551337742847,1257682399938839,40.1875,17.0,-32.25
1551337742867,1257682419938839,40.1875,16.8125,-32.3125
1551337742887,1257682439937276,40.25,16.5625,-32.25
1551337742908,1257682459937276,40.4375,16.5,-32.3125
1551337742927,1257682479937276,40.75,16.5,-32.25
1551337742947,1257682499937276,40.6875,15.875,-32.25
1551337742968,1257682519937276,40.625,15.5625,-32.3125
1551337742988,1257682539938839,40.4375,15.125,-32.4375
1551337743007,1257682559938839,40.3125,14.75,-32.5
1551337743028,1257682579938839,40.0625,14.4375,-32.6875
1551337743048,1257682599938839,40.0,14.25,-32.875
1551337743067,1257682619938839,39.9375,14.0625,-33.0
1551337743088,1257682639938839,39.9375,13.75,-33.0625
1551337743107,1257682659938839,39.625,13.1875,-33.3125
1551337743127,1257682679938839,39.6875,13.0625,-33.375
1551337743148,1257682699938839,39.6875,12.4375,-33.5
1551337743168,1257682719938839,39.4375,12.1875,-33.875
1551337743187,1257682739938839,39.8125,11.875,-33.875
1551337743207,1257682759938839,39.875,12.0,-34.0625
1551337743227,1257682779938839,39.8125,12.0,-34.0625
1551337743247,1257682799938839,39.5625,11.875,-34.6875
1551337743267,1257682819938839,39.0625,11.625,-35.1875
1551337743287,1257682839938839,38.6875,11.375,-35.4375
1551337743307,1257682859938839,38.5625,11.0625,-35.5625
1551337743327,1257682879938839,38.625,11.3125,-35.6875
1551337743347,1257682899938839,38.625,11.0,-35.875
1551337743367,1257682919938839,38.1875,10.6875,-36.0625
1551337743387,1257682939938839,37.6875,10.375,-36.5
1551337743407,1257682959938839,37.375,10.3125,-37.0
1551337743427,1257682979938839,37.0,10.375,-37.1875
1551337743447,1257682999938839,36.9375,10.625,-37.5
1551337743467,1257683019938839,36.8125,10.8125,-37.6875
1551337743487,1257683039938839,36.75,11.0,-37.9375
1551337743507,1257683059938839,36.625,10.75,-38.0625
1551337743527,1257683079938839,36.4375,10.6875,-38.4375
1551337743547,1257683099938839,36.125,10.375,-38.875
1551337743567,1257683119938839,35.9375,9.875,-38.875
1551337743587,1257683139938839,35.875,9.5625,-38.9375
1551337743607,1257683159938839,35.875,9.3125,-38.875
1551337743627,1257683179938839,35.5,9.0,-39.0625
1551337743647,1257683199938839,35.3125,8.9375,-39.375
1551337743667,1257683219938839,35.125,9.125,-39.5625
1551337743687,1257683239938839,34.75,9.125,-39.6875
1551337743707,1257683259938839,34.4375,9.3125,-39.8125
1551337743727,1257683279938839,34.375,9.5,-40.0625
1551337743747,1257683299938839,34.4375,9.5625,-40.375
1551337743767,1257683319938839,34.5,9.3125,-40.75
1551337743787,1257683339938839,34.125,9.125,-41.25
1551337743807,1257683359938839,33.875,9.125,-41.4375
1551337743827,1257683379938839,33.5625,9.0,-41.6875
1551337743847,1257683399938839,33.0,8.875,-42.25
1551337743867,1257683419938839,32.625,8.875,-42.75
1551337743887,1257683439938839,32.25,8.5,-43.0
1551337743907,1257683459938839,32.25,8.25,-43.3125
1551337743928,1257683479938839,32.0625,7.8125,-43.5
1551337743947,1257683499938839,31.6875,7.75,-43.5
1551337743967,1257683519938839,31.4375,7.9375,-43.625
1551337743987,1257683539938839,31.375,8.4375,-43.9375
1551337744007,1257683559938839,31.0,9.125,-43.9375
1551337744027,1257683579938839,30.6875,9.3125,-44.125
1551337744046,1257683599938839,30.5,9.1875,-44.4375
1551337744067,1257683619938839,30.125,8.75,-44.8125
1551337744087,1257683639938839,29.8125,7.9375,-45.1875
1551337744107,1257683659938839,30.1875,6.9375,-45.375
1551337744127,1257683679938839,30.375,6.0,-45.3125
1551337744147,1257683699938839,30.9375,5.3125,-45.1875
1551337744167,1257683719938839,31.125,4.8125,-45.3125
1551337744187,1257683739938839,30.875,4.375,-45.375
1551337744214,1257683759938839,30.6875,4.25,-45.5
1551337744227,1257683779938839,30.5625,4.375,-45.5625
1551337744246,1257683799938839,30.8125,4.75,-45.5
1551337744266,1257683819938839,30.875,5.1875,-45.5
1551337744286,1257683839938839,30.625,5.6875,-45.4375
1551337744306,1257683859938839,30.875,6.0625,-45.625
1551337744326,1257683879938839,30.9375,6.3125,-45.75
1551337744347,1257683899938839,31.125,6.25,-45.8125
1551337744366,1257683919938839,31.5,6.5625,-46.0
1551337744387,1257683939938839,31.8125,6.9375,-46.0
1551337744406,1257683959938839,31.875,7.5,-45.9375
1551337744427,1257683979938839,32.125,8.25,-46.1875
1551337744448,1257683999938839,32.4375,8.875,-46.0625
1551337744469,1257684019938839,32.8125,9.3125,-45.8125
1551337744487,1257684039938839,32.9375,9.6875,-45.8125
1551337744507,1257684059938839,32.625,9.5625,-46.125
1551337744581,1257684079938839,32.1875,9.1875,-46.5
1551337744581,1257684099938839,32.125,8.1875,-47.0
1551337744581,1257684119938839,32.125,6.875,-47.4375
1551337744588,1257684139938839,31.8125,5.8125,-48.0
1551337744607,1257684159938839,31.1875,4.875,-48.25
1551337744627,1257684179938839,30.4375,4.5,-48.6875
1551337744647,1257684199954464,29.9375,4.0,-49.1875
1551337744667,1257684219938839,29.875,3.25,-49.1875
1551337744687,1257684239938839,30.0625,2.625,-49.375
1551337744707,1257684259938839,30.25,1.875,-49.375
1551337744727,1257684279938839,29.9375,1.25,-49.75
1551337744747,1257684299938839,29.625,1.0625,-50.0
1551337744768,1257684319938839,29.4375,1.0,-50.1875
1551337744787,1257684339938839,29.5625,1.0,-50.75
1551337744807,1257684359938839,29.375,0.875,-51.1875
1551337744827,1257684379938839,29.375,0.9375,-51.625
1551337744846,1257684399938839,29.5625,1.3125,-51.75
1551337744867,1257684419938839,29.8125,1.4375,-51.8125
1551337744887,1257684439938839,30.1875,1.5,-51.875
1551337744907,1257684459938839,30.5625,1.375,-51.75
1551337744926,1257684479938839,30.6875,1.0625,-51.8125
1551337744946,1257684499938839,30.6875,0.8125,-51.8125
1551337744966,1257684519938839,30.5625,0.875,-51.8125
1551337744987,1257684539938839,30.625,0.75,-51.875
1551337745006,1257684559938839,31.0625,0.875,-51.6875
1551337745027,1257684579938839,31.5625,1.125,-51.9375
1551337745047,1257684599938839,31.75,1.375,-51.875
1551337745067,1257684619938839,31.5625,1.5625,-51.9375
1551337745087,1257684639938839,31.4375,1.75,-52.125
1551337745110,1257684659938839,31.3125,2.0,-52.5
1551337745127,1257684679938839,31.375,2.3125,-52.9375
1551337745147,1257684699938839,31.5,2.0625,-53.0625
1551337745166,1257684719938839,31.75,1.875,-53.125
1551337745186,1257684739938839,31.875,1.4375,-53.3125
1551337745222,1257684759938839,31.8125,1.25,-53.4375
1551337745227,1257684779938839,31.25,1.0,-54.125
1551337745247,1257684799938839,30.6875,0.625,-54.625
1551337745267,1257684819938839,30.25,0.1875,-55.1875
1551337745287,1257684839938839,29.9375,-0.125,-55.5
1551337745307,1257684859938839,29.625,-0.3125,-55.8125
1551337745327,1257684879938839,29.5,0.0625,-56.0
1551337745347,1257684899938839,29.6875,0.4375,-56.125
1551337745367,1257684919938839,29.875,0.9375,-56.125
1551337745387,1257684939938839,29.9375,1.0,-56.125
1551337745407,1257684959938839,30.0625,0.9375,-56.375
1551337745426,1257684979938839,30.125,1.3125,-56.6875
1551337745447,1257684999938839,29.9375,1.5625,-56.875
1551337745467,1257685019938839,30.0,1.9375,-57.125
1551337745487,1257685039938839,30.1875,2.125,-57.25
1551337745507,1257685059938839,30.5,2.25,-57.3125
1551337745527,1257685079938839,30.6875,2.5625,-57.25
1551337745548,1257685099938839,30.75,2.8125,-57.4375
1551337745568,1257685119938839,30.5,2.9375,-57.75
1551337745587,1257685139938839,30.0625,3.125,-57.9375
1551337745607,1257685159938839,29.5625,3.0625,-58.4375
1551337745626,1257685179938839,29.25,3.0,-59.0
1551337745647,1257685199938839,29.0625,2.9375,-59.1875
1551337745668,1257685219938839,28.9375,3.0,-59.25
1551337745687,1257685239938839,29.0625,3.0625,-59.25
1551337745708,1257685259938839,29.125,3.0,-59.375
1551337745727,1257685279938839,29.0,2.625,-59.5625
1551337745747,1257685299938839,28.6875,2.375,-59.625
1551337745767,1257685319938839,28.5625,1.9375,-60.0
1551337745788,1257685339938839,28.5625,1.375,-59.9375
1551337745807,1257685359938839,28.6875,0.8125,-59.9375
1551337745827,1257685379938839,28.75,0.25,-59.9375
1551337745847,1257685399938839,28.75,0.0,-60.3125
1551337745867,1257685419938839,28.5,-0.0625,-60.5
1551337745886,1257685439938839,28.1875,0.0,-60.9375
1551337745906,1257685459938839,28.125,0.125,-61.4375
1551337745927,1257685479938839,27.875,-0.0625,-61.8125
1551337745947,1257685499938839,28.125,-0.5,-61.9375
1551337745967,1257685519938839,28.25,-1.125,-61.9375
1551337745986,1257685539938839,28.125,-1.5625,-62.0
1551337746014,1257685559938839,27.875,-1.6875,-62.375
1551337746027,1257685579938839,27.4375,-1.625,-62.5625
1551337746047,1257685599954464,26.9375,-1.125,-63.125
1551337746067,1257685619938839,26.4375,-1.0,-63.625
1551337746088,1257685639938839,26.0625,-0.5,-63.5625
1551337746107,1257685659938839,26.3125,-0.1875,-63.6875
1551337746127,1257685679938839,26.5,0.125,-63.625
1551337746147,1257685699938839,26.5625,0.125,-63.8125
1551337746167,1257685719938839,26.6875,0.1875,-63.6875
1551337746207,1257685739938839,26.625,0.3125,-63.75
1551337746207,1257685759938839,26.4375,0.1875,-63.875
1551337746232,1257685779938839,26.4375,0.0625,-63.8125
1551337746247,1257685799938839,26.4375,0.1875,-63.875
1551337746267,1257685819938839,26.375,0.4375,-63.9375
1551337746286,1257685839938839,26.1875,0.6875,-63.875
1551337746307,1257685859938839,26.0,0.5625,-63.9375
1551337746327,1257685879938839,25.875,0.6875,-63.875
1551337746347,1257685899938839,25.5,1.0,-64.25
1551337746440,1257685919938839,25.5,1.4375,-64.5625
1551337746440,1257685939938839,25.5,1.875,-64.625
1551337746440,1257685959938839,25.9375,1.75,-64.6875
1551337746440,1257685979938839,26.25,2.125,-64.5
1551337746452,1257685999938839,26.5,2.5,-64.5625
1551337746467,1257686019938839,26.6875,2.8125,-64.75
1551337746487,1257686039938839,27.0,2.8125,-64.6875
1551337746506,1257686059938839,27.1875,2.625,-64.75
1551337746527,1257686079938839,27.375,2.1875,-64.75
1551337746546,1257686099938839,27.4375,1.75,-64.75
1551337746567,1257686119938839,27.5625,1.4375,-64.625
1551337746587,1257686139938839,27.5625,1.5,-64.375
1551337746607,1257686159938839,27.9375,1.9375,-64.1875
1551337746627,1257686179938839,28.125,2.4375,-63.8125
1551337746647,1257686199938839,28.5625,3.0625,-63.1875
1551337746667,1257686219938839,28.4375,3.75,-63.25
1551337746687,1257686239938839,28.625,4.0625,-62.875
1551337746707,1257686259938839,28.875,4.3125,-62.375
1551337746727,1257686279938839,29.0625,4.625,-62.1875
1551337746748,1257686299938839,29.3125,4.875,-62.0
1551337746767,1257686319938839,29.3125,5.5,-61.875
1551337746787,1257686339938839,28.9375,5.8125,-61.8125
1551337746807,1257686359938839,28.625,6.3125,-61.875
1551337746827,1257686379938839,28.25,6.625,-62.25
1551337746847,1257686399938839,28.0,6.6875,-62.125
1551337746867,1257686419938839,27.75,6.625,-62.4375
1551337746887,1257686439938839,27.3125,6.375,-62.625
1551337746907,1257686459938839,27.0,6.1875,-62.625
1551337746927,1257686479938839,26.75,5.9375,-62.75
1551337746947,1257686499938839,26.625,5.4375,-63.125
