timeMillis,timeNanos,value
1551337741048,1257680599938839,1009.1802
1551337741128,1257680679938839,1009.1499
1551337741208,1257680759938839,1009.1533
1551337741287,1257680839938839,1009.15283
1551337741368,1257680919938839,1009.1582
1551337741448,1257680999938839,1009.17676
1551337741528,1257681079938839,1009.1704
1551337741608,1257681159938839,1009.1621
1551337741689,1257681239938839,1009.16455
1551337741768,1257681319938839,1009.1665
1551337741848,1257681399938839,1009.1743
1551337741929,1257681479938839,1009.18506
1551337742008,1257681559938839,1009.16943
1551337742089,1257681639938839,1009.18066
1551337742169,1257681719938839,1009.1802
1551337742249,1257681799938839,1009.1875
1551337742334,1257681879938839,1009.1802
1551337742410,1257681959938839,1009.1782
1551337742491,1257682039937276,1009.18164
1551337742569,1257682119938839,1009.1782
1551337742649,1257682199938839,1009.1831
1551337742728,1257682279938839,1009.17676
1551337742808,1257682359938839,1009.1709
1551337742889,1257682439937276,1009.17285
1551337742971,1257682519937276,1009.1787
1551337743051,1257682599938839,1009.1748
1551337743131,1257682679938839,1009.17725
1551337743209,1257682759938839,1009.1743
1551337743291,1257682839938839,1009.1787
1551337743368,1257682919938839,1009.1743
1551337743450,1257682999938839,1009.1763
1551337743529,1257683079938839,1009.17285
1551337743610,1257683159938839,1009.15967
1551337743689,1257683239938839,1009.16064
1551337743772,1257683319938839,1009.17236
1551337743850,1257683399938839,1009.18555
1551337743931,1257683479938839,1009.2036
1551337744010,1257683559938839,1009.1924
1551337744090,1257683639938839,1009.1968
1551337744170,1257683719938839,1009.1987
1551337744247,1257683799938839,1009.1865
1551337744328,1257683879938839,1009.1699
1551337744408,1257683959938839,1009.1738
1551337744489,1257684039938839,1009.1924
1551337744581,1257684119938839,1009.22217
1551337744649,1257684199954464,1009.22314
1551337744730,1257684279938839,1009.1997
1551337744808,1257684359938839,1009.16943
1551337744889,1257684439938839,1009.14844
1551337744968,1257684519938839,1009.1455
1551337745047,1257684599938839,1009.1504
1551337745128,1257684679938839,1009.16797
1551337745222,1257684759938839,1009.19775
1551337745288,1257684839938839,1009.1914
1551337745372,1257684919938839,1009.1904
1551337745448,1257684999938839,1009.1802
1551337745530,1257685079938839,1009.16943
1551337745608,1257685159938839,1009.16797
1551337745693,1257685239938839,1009.19434
1551337745772,1257685319938839,1009.2163
1551337745849,1257685399938839,1009.21436
1551337745928,1257685479938839,1009.1953
1551337746014,1257685559938839,1009.1797
1551337746091,1257685639938839,1009.16016
1551337746170,1257685719938839,1009.166
1551337746247,1257685799938839,1009.17236
1551337746328,1257685879938839,1009.18506
1551337746440,1257685959938839,1009.19336
1551337746488,1257686039938839,1009.2114
1551337746568,1257686119938839,1009.2051
1551337746649,1257686199938839,1009.1753
1551337746729,1257686279938839,1009.16504
1551337746811,1257686359938839,1009.16064
1551337746890,1257686439938839,1009.1841
1551337746970,1257686519938839,1009.20166
1551337747050,1257686599938839,1009.21484
1551337747130,1257686679938839,1009.2134
1551337747215,1257686759938839,1009.1841
1551337747288,1257686839938839,1009.1543
1551337747368,1257686919938839,1009.15186
1551337747448,1257686999938839,1009.1621
1551337747528,1257687079938839,1009.1865
1551337747608,1257687159938839,1009.1958
1551337747692,1257687239938839,1009.1953
1551337747769,1257687319938839,1009.1919
1551337747848,1257687399938839,1009.1621
1551337747930,1257687479938839,1009.146
1551337748010,1257687559938839,1009.1504
1551337748088,1257687639938839,1009.1675
1551337748170,1257687719938839,1009.18164
1551337748334,1257687799938839,1009.1987
1551337748334,1257687879938839,1009.2158
1551337748408,1257687959938839,1009.18604
1551337748488,1257688039938839,1009.16064
1551337748568,1257688119938839,1009.16943
1551337748648,1257688199938839,1009.16406
1551337748731,1257688279938839,1009.1821
1551337748811,1257688359937276,1009.2119
1551337748892,1257688439937276,1009.21387
1551337748971,1257688519938839,1009.19824
1551337749051,1257688599938839,1009.16797
1551337749132,1257688679938839,1009.147
1551337749209,1257688759938839,1009.1533
1551337749290,1257688839937276,1009.1763
1551337749368,1257688919937276,1009.20605
1551337749450,1257688999996651,1009.2202
1551337749529,1257689079937276,1009.1968
