timestamp,ssid,bssid,frequency,rss,wifiNo,legit
632086113776,Welcome_KAIST,00:24:6c:7d:f6:80,2472,-40,0,false
632086113143,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-40,0,false
632086113156,eduroam,00:24:6c:7d:f6:91,5200,-40,0,false
632086113165,Welcome_1st_KAIST,00:24:6c:7d:f6:92,5200,-40,0,false
632086113665,ISILAB_2,2c:56:dc:84:dd:88,2452,-41,0,false
632086113715,eduroam,00:24:6c:7d:f6:81,2472,-42,0,false
632086113725,Welcome_1st_KAIST,00:24:6c:7d:f6:82,2472,-43,0,false
632086113589,KECI,18:31:bf:46:ff:d8,2442,-49,0,false
632086113407,KECI_5G,18:31:bf:46:ff:dc,5745,-53,0,false
632086113632,,9c:d6:43:c8:11:80,2447,-53,0,false
632086112979,eduroam,00:24:6c:7a:88:e1,2412,-54,0,false
632086112959,Welcome_KAIST,00:24:6c:7a:88:e0,2412,-54,0,false
632086112998,Welcome_1st_KAIST,00:24:6c:7a:88:e2,2412,-54,0,false
632086113502,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-55,0,false
632086113534,ISILAB_5,2c:56:dc:84:dd:8c,5785,-56,0,false
632086113492,DIRECT-47-HP MLILABLaserJet,96:53:30:29:0e:47,2437,-57,0,false
632086113471,Welcome_1st_KAIST,00:24:6c:7d:f6:e2,2432,-57,0,false
632086113695,iptime,00:08:9f:d9:e3:54,2462,-58,0,false
632086113230,Welcome_1st_KAIST,00:24:6c:7d:f6:02,2432,-58,0,false
632086113441,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-58,0,false
632086113222,eduroam,00:24:6c:7d:f6:01,2432,-58,0,false
632086113461,eduroam,00:24:6c:7d:f6:e1,2432,-58,0,false
632086113756,Lapras,60:38:e0:bb:ee:01,2462,-59,0,false
632086113430,Welcome_KAIST,00:24:6c:7d:f6:00,2432,-59,0,false
632086113685,SmartIoT,10:6f:3f:e7:e1:a0,2462,-60,0,false
632086113765,MLILAB824_2,8a:36:6c:c9:4e:70,2472,-61,0,false
632086113523,shheo24g,90:9f:33:a9:29:5a,2437,-62,0,false
632086113253,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-64,0,false
632086113622,JoyK,9c:d6:43:c8:11:82,5785,-65,0,false
632086113115,Welcome_KAIST,00:24:6c:7a:8b:30,5180,-65,0,false
632086113025,Welcome_1st_KAIST,00:24:6c:7a:8b:32,5180,-65,0,false
632086113312,WCSL 5GHz,64:e5:99:da:03:6c,5240,-66,0,false
632086113271,mliguest,92:9f:33:f0:98:04,2422,-66,0,false
632086113335,eduroam,00:24:6c:7d:f6:11,5240,-66,0,false
632086113794,Welcome_KAIST,00:24:6c:7e:08:00,2472,-66,0,false
632086112940,eduroam,00:24:6c:7a:8b:31,5180,-66,0,false
632086113675,Welcome_1st_KAIST,00:24:6c:7d:f3:62,2452,-66,0,false
632086113813,,aa:40:a0:56:08:f5,2472,-66,0,false
632086113344,Welcome_1st_KAIST,00:24:6c:7d:f6:12,5240,-67,0,false
632086113513,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-67,0,false
632086113704,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-67,0,false
632086113804,eduroam,00:24:6c:7e:08:01,2472,-67,0,false
632086113323,Welcome_KAIST,00:24:6c:7d:f6:10,5240,-68,0,false
632086113785,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-68,0,false
632086113034,eduroam,00:24:6c:7a:88:f1,5180,-68,0,false
632086112949,Welcome_1st_KAIST,00:24:6c:7a:88:f2,5180,-68,0,false
632086113201,iptime_wl,88:36:6c:78:fc:e8,2417,-69,0,false
632086112930,Welcome_KAIST,00:24:6c:7a:88:f0,5180,-69,0,false
632086113557,eduroam,00:24:6c:7d:f6:f1,5785,-70,0,false
632086113567,Welcome_1st_KAIST,00:24:6c:7d:f6:f2,5785,-70,0,false
632086113452,,a0:40:a0:56:08:f8,5745,-70,0,false
632086113546,Welcome_KAIST,00:24:6c:7d:f6:f0,5785,-71,0,false
632086113125,Lapras_5GHz,60:38:e0:bb:ee:02,5200,-72,0,false
632086113735,WASHERE1,b0:c7:45:76:44:2a,2462,-72,0,false
632086113183,LIT_2.4G,70:8b:cd:2f:82:60,2417,-72,0,false
632086113243,RESL,00:08:9f:65:f7:84,2422,-72,0,false
632086113653,SPIRAL,88:36:6c:b3:ef:2c,2452,-73,0,false
632086113824,Welcome_KAIST,00:24:6c:7d:f7:20,2472,-73,0,false
632086113263,MLILAB824_1,90:9f:33:f5:98:04,2422,-74,0,false
632086113418,LIT_5G,70:8b:cd:2f:82:64,5745,-76,0,false
632086113354,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-77,0,false
632086113396,SmartIoT-5G,10:6f:3f:e7:e1:a1,5240,-77,0,false
632086113579,MLILAB824_25G,88:36:6c:e9:4e:70,5785,-79,0,false
632086112969,Welcome_1st_KAIST,6c:f3:7f:fa:ab:22,2412,-79,0,false
632086113080,Welcome_KAIST,00:24:6c:7d:f4:20,2412,-79,0,false
632086113481,shheo5g,90:9f:33:a8:29:5a,5745,-80,0,false
632086113642,MLILAB824_15G,90:9f:33:f5:98:06,5805,-80,0,false
632086113745,Portthru,1a:57:b5:7b:ab:dc,2462,-80,0,false
632086113599,HCIL guest,6e:7f:92:e0:9f:70,5785,-81,0,false
632086113611,HCIL,6c:70:9f:e0:92:7f,5785,-81,0,false
632086113089,eduroam,00:24:6c:7d:f4:21,2412,-81,0,false
632086113106,Welcome_1st_KAIST,00:24:6c:7d:f4:22,2412,-81,0,false
632086113174,Welcome_KAIST,6c:f3:7f:fa:ab:20,2412,-81,0,false
632086112988,KIXLAB_WIFI_5GHz,48:f8:b3:dc:ef:4d,5180,-82,0,false
632086113833,eduroam,00:24:6c:7d:f7:21,2472,-82,0,false
632086113848,iptime_dblab_5G,90:9f:33:10:83:bc,5700,-83,0,false
632086113193,eduroam,00:24:6c:7e:04:21,2412,-83,0,false
632086113072,Welcome_KAIST,00:24:6c:7d:f5:c0,2412,-83,0,false
632086113135,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-85,0,false
632086113386,Welcome_KAIST,00:24:6c:7d:f2:f0,5240,-86,0,false
632086113060,Welcome_1st_KAIST,00:24:6c:7e:08:12,5180,-87,0,false
632086113364,eduroam,00:24:6c:7d:f2:f1,5240,-87,0,false
632086113376,Welcome_1st_KAIST,00:24:6c:7d:f2:f2,5240,-87,0,false
632086113042,Welcome_KAIST,00:24:6c:7e:08:10,5180,-88,0,false
632086113291,eduroam,00:24:6c:7d:f6:d1,5220,-88,0,false
632086113016,Welcome_1st_KAIST,00:24:6c:7d:f4:32,5180,-89,0,false
632086113097,Welcome_KAIST,00:24:6c:7d:f3:f0,5180,-89,0,false
632086113281,Welcome_KAIST,00:24:6c:7d:f6:d0,5220,-89,0,false
632086113302,Welcome_1st_KAIST,00:24:6c:7d:f6:d2,5220,-89,0,false
632086113007,eduroam,00:24:6c:7d:f4:31,5180,-90,0,false
632086113051,eduroam,00:24:6c:7e:08:11,5180,-90,0,false
632086113211,eduroam,00:24:6c:7d:f5:11,5220,-90,0,false
632089343354,Welcome_KAIST,00:24:6c:7d:f6:80,2472,-38,1,true
632089343361,eduroam,00:24:6c:7d:f6:81,2472,-39,1,true
632089343323,Welcome_1st_KAIST,00:24:6c:7d:f6:82,2472,-39,1,true
632089342860,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-43,1,true
632089342901,eduroam,00:24:6c:7d:f6:91,5200,-43,1,true
632089342908,Welcome_1st_KAIST,00:24:6c:7d:f6:92,5200,-43,1,true
632089343112,KECI,18:31:bf:46:ff:d8,2442,-45,1,true
632089343259,ISILAB_2,2c:56:dc:84:dd:88,2452,-47,1,true
632089343236,,9c:d6:43:c8:11:80,2447,-47,1,true
632089343186,ISILAB_5,2c:56:dc:84:dd:8c,5785,-55,1,true
632089343033,KECI_5G,18:31:bf:46:ff:dc,5745,-56,1,true
632089343015,eduroam,00:24:6c:7d:f6:e1,2432,-56,1,true
632089343001,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-57,1,true
632089343082,Welcome_1st_KAIST,00:24:6c:7d:f6:02,2432,-57,1,true
632089342951,Welcome_1st_KAIST,00:24:6c:7d:f6:e2,2432,-57,1,true
632089343074,eduroam,00:24:6c:7d:f6:01,2432,-57,1,true
632089343089,Welcome_KAIST,00:24:6c:7d:f6:00,2432,-57,1,true
632089343136,JoyK,9c:d6:43:c8:11:82,5785,-58,1,true
632089342804,eduroam,00:24:6c:7a:88:e1,2412,-58,1,true
632089342795,Welcome_KAIST,00:24:6c:7a:88:e0,2412,-58,1,true
632089342811,Welcome_1st_KAIST,00:24:6c:7a:88:e2,2412,-58,1,true
632089343171,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-59,1,true
632089343067,HCIL,6c:70:9f:e0:92:7e,2432,-61,1,true
632089343299,Lapras,60:38:e0:bb:ee:01,2462,-62,1,true
632089342970,Welcome_KAIST,00:24:6c:7d:f6:10,5240,-62,1,true
632089343338,iptime,00:08:9f:d9:e3:54,2462,-62,1,true
632089343008,HCIL guest,6e:7e:92:e0:9f:70,2432,-62,1,true
632089342914,MLILAB824_1,90:9f:33:f5:98:04,2422,-63,1,true
632089342920,mliguest,92:9f:33:f0:98:04,2422,-63,1,true
632089342985,Welcome_1st_KAIST,00:24:6c:7d:f6:12,5240,-63,1,true
632089343379,SmartIoT,10:6f:3f:e7:e1:a0,2462,-63,1,true
632089342962,WCSL 5GHz,64:e5:99:da:03:6c,5240,-64,1,true
632089342978,eduroam,00:24:6c:7d:f6:11,5240,-64,1,true
632089342751,eduroam,00:24:6c:7a:88:f1,5180,-64,1,true
632089343059,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-65,1,true
632089343096,Askai-ASUS_80_2G,b0:6e:bf:a3:90:80,2432,-65,1,true
632089343404,MLILAB824_2,8a:36:6c:c9:4e:70,2472,-66,1,true
632089342757,Welcome_1st_KAIST,00:24:6c:7a:88:f2,5180,-66,1,true
632089342744,Welcome_KAIST,00:24:6c:7a:88:f0,5180,-66,1,true
632089342737,Welcome_1st_KAIST,00:24:6c:7a:8b:32,5180,-66,1,true
632089342818,Welcome_KAIST,00:24:6c:7a:8b:30,5180,-67,1,true
632089342729,eduroam,00:24:6c:7a:8b:31,5180,-67,1,true
632089343307,iDBLab-2.4GHz,78:54:2e:4c:f1:50,2457,-67,1,true
632089343291,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-68,1,true
632089343281,Welcome_1st_KAIST,00:24:6c:7d:f3:62,2452,-68,1,true
632089343345,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-69,1,true
