timeMillis,timeNanos,x,y,z
1551337819042,632283638177693,-2.8707354,3.469304,8.655303
1551337819062,632283670844326,-2.8707354,3.469304,8.655303
1551337819083,632283703511026,-2.8707354,3.469304,8.655303
1551337819102,632283736177692,-2.6456738,2.7725701,8.9498
1551337819123,632283768844358,-2.3296294,2.6337023,9.186832
1551337819142,632283801511024,-1.934574,2.6600394,9.507666
1551337819162,632283834177690,-1.3910737,2.569057,9.684841
1551337819184,632283866844356,-0.91461295,2.4158232,9.766247
1551337819203,632283899511022,-0.5458947,2.2745612,10.091868
1551337819223,632283932177688,-0.22745611,2.2027328,10.369604
1551337819242,632283964844354,-0.05027977,2.1644244,10.228342
1551337819263,632283997511020,0.42618093,2.169213,8.846846
1551337819284,632284030177720,0.52674043,2.013585,9.711179
1551337819302,632284062844386,0.52913475,1.4844503,9.91948
1551337819322,632284095511052,0.7829279,1.6424725,9.474146
1551337819343,632284128177718,0.9505271,2.291321,9.318518
1551337819363,632284160844351,1.333611,1.977671,8.880365
1551337819383,632284193511051,0.44054657,2.0399222,9.507666
1551337819402,632284226177717,-0.45491222,1.9992194,9.296969
1551337819422,632284258844383,0.8284191,2.013585,9.244295
1551337819443,632284291511083,0.7781393,2.0973847,9.857229
1551337819463,632284324178016,0.32562137,1.7693691,9.852441
1551337819483,632284356845016,0.7541966,2.0087965,9.77343
1551337819503,632284389511416,0.7039168,1.8411974,9.799767
1551337819541,632284422178049,0.44054657,1.7550035,9.91948
1551337819593,632284454844149,0.2681588,1.759792,9.866806
1551337819593,632284487510215,0.5602603,1.7645805,10.218765
1551337819593,632284520176248,0.39266106,1.8771114,9.897932
1551337819602,632284552843648,0.27055305,1.9058428,9.296969
1551337819623,632284585510314,0.42378664,2.1117504,9.457385
1551337819643,632284605510347,0.22985038,1.838803,9.617802
1551337819664,632284625510347,0.038308397,1.8483802,9.560339
1551337819683,632284645510313,0.16041641,1.8340145,9.763853
1551337819704,632284665510346,0.4644893,1.9393626,9.828498
1551337819723,632284685510312,0.5913859,1.8244374,9.565128
1551337819765,632284705510345,0.22985038,1.8555629,9.320911
1551337819765,632284725510311,0.3423813,1.9178141,9.294575
1551337819783,632284745510044,0.31843856,1.9489397,9.732727
