timeMillis,timeNanos,x,y,z
1551337818941,632283538177693,-1.8084317,1.2969639,1.1981255
1551337818961,632283558178693,-1.5848551,0.50772613,1.1791886
1551337818982,632283578178693,-1.1303713,0.47107422,1.1962929
1551337819001,632283598178693,-0.6734441,1.1711259,0.9659966
1551337819021,632283618178693,-0.33380303,1.6127814,8.29555E-4
1551337819042,632283638178693,-0.20735393,0.63784045,-0.60881394
1551337819062,632283658178693,-0.054026756,-0.78975165,-0.41639143
1551337819083,632283678178835,0.4193938,-0.88077056,-0.21358415
1551337819102,632283698178835,0.8335604,-1.1917009,-0.110958785
1551337819123,632283718178946,1.1200563,-1.5979264,0.17981306
1551337819142,632283738178946,1.1493778,-2.1067772,0.38811815
1551337819162,632283758179036,1.0601914,-2.4904003,0.2268497
1551337819184,632283778179036,0.8555516,-2.5221655,-0.015052942
1551337819203,632283798179036,0.70161355,-2.1049445,-0.16471492
1551337819223,632283818179036,0.61731416,-1.4940792,-0.26123163
1551337819242,632283838179036,0.5849383,-0.6956784,-0.35713747
1551337819263,632283858179036,0.5360691,-0.66635686,-0.38523728
1551337819284,632283878179094,0.4371089,-0.7421041,-0.3937894
1551337819302,632283898179094,0.305162,-0.5246361,-0.3534723
1551337819322,632283918179146,0.2349125,-0.18621677,-0.22030367
1551337819343,632283938179146,0.14328271,0.21756515,-0.045596205
1551337819363,632283958179146,0.05165293,0.40571165,0.020988109
1551337819383,632283978179191,-0.04425291,0.45152655,-0.0046682325
1551337819402,632283998179191,-0.1200002,0.4325897,-0.06575476
1551337819422,632284018179191,-0.09495473,0.29453418,-0.010166019
1551337819443,632284038179231,-0.10045251,0.12960055,0.08146377
1551337819463,632284058179231,-0.15481952,0.077066146,0.03503801
1551337819484,632284078178971,-0.14321308,0.10516594,-0.008944289
1551337819503,632284098178685,-0.079683095,0.046522886,-0.014442076
1551337819566,632284118178685,0.0015619824,-0.08664574,-0.05598091
1551337819593,632284138178118,0.0015619824,-0.08664574,-0.05598091
1551337819593,632284158177484,0.0015619824,-0.08664574,-0.05598091
1551337819593,632284178176884,0.081585325,0.10516594,-0.057202645
1551337819602,632284198177617,0.18787588,-0.0023463336,-0.088967636
1551337819623,632284218177617,0.13900667,-0.054880746,-0.10423926
1551337819643,632284238177650,0.07730927,0.02025568,-0.1158457
1551337819664,632284258177650,0.0033945781,0.12837882,-0.05109399
1551337819683,632284278177616,-0.015542244,0.07523355,-0.005889963
