timeMillis,timeNanos,value
1551337818881,632283470177693,1009.2378
1551337818982,632283570177693,1009.23535
1551337819083,632283670178193,1009.23486
1551337819184,632283770178193,1009.2483
1551337819284,632283870178443,1009.2412
1551337819383,632283970178643,1009.23193
1551337819484,632284070177476,1009.2429
1551337819593,632284170174904,1009.2544
1551337819683,632284270174904,1009.2478
1551337819783,632284370174015,1009.2488
1551337819882,632284470172215,1009.2449
1551337819984,632284570172215,1009.2495
1551337820083,632284670172215,1009.23706
1551337820184,632284770171599,1009.2449
1551337820285,632284870243027,1009.24097
1551337820385,632284970309693,1009.24146
1551337820486,632285070371755,1009.2527
1551337820588,632285170918220,1009.2334
1551337820685,632285270973386,1009.21704
1551337820789,632285371026017,1009.2124
1551337820884,632285471076067,1009.2173
1551337820986,632285571123686,1009.2156
1551337821086,632285671169140,1009.21533
1551337821186,632285771212618,1009.27075
1551337821286,632285871254284,1009.2529
1551337821386,632285971294284,1009.26465
1551337821549,632286071332437,1009.2544
1551337821585,632286171369474,1009.22
1551337821685,632286271405259,1009.2024
1551337821784,632286371439776,1009.199
1551337821885,632286471473142,1009.1948
1551337821985,632286571506508,1009.1904
1551337822086,632286671539841,1009.2351
1551337822186,632286771573174,1009.23486
1551337822285,632286871606474,1009.2551
1551337822387,632286971673107,1009.25903
1551337822486,632287071739740,1009.22363
1551337822586,632287171807006,1009.1809
1551337822686,632287271873672,1009.21094
1551337822795,632287371973938,1009.2112
1551337822888,632287472074538,1009.1985
1551337822988,632287572174571,1009.25806
1551337823087,632287672274304,1009.24634
1551337823188,632287772374604,1009.25464
1551337823289,632287872441270,1009.2876
1551337823387,632287972507970,1009.2595
1551337823494,632288072607936,1009.2085
1551337823591,632288172741269,1009.17163
1551337823689,632288272874835,1009.1924
1551337823791,632288373041501,1009.2019
1551337823891,632288473241467,1009.21436
1551337823992,632288573441467,1009.218
1551337824092,632288673674800,1009.2224
1551337824192,632288773908133,1009.2273
1551337824293,632288874174799,1009.22217
1551337824393,632288974441499,1009.229
1551337824494,632289074741765,1009.2324
1551337824594,632289175041798,1009.228
1551337824694,632289275341731,1009.2261
1551337824798,632289375641731,1009.22974
1551337824894,632289475941697,1009.23755
1551337824994,632289576241663,1009.22974
1551337825094,632289676541629,1009.22974
1551337825194,632289776841629,1009.2268
1551337825294,632289877141629,1009.2263
1551337825394,632289977408295,1009.22925
1551337825494,632290077675228,1009.23755
1551337825596,632290177941894,1009.2412
1551337825695,632290278241894,1009.23975
1551337825801,632290378508594,1009.23145
1551337825894,632290478775294,1009.23706
1551337825996,632290579041960,1009.2439
1551337826095,632290679308893,1009.2444
1551337826195,632290779575559,1009.2378
1551337826295,632290879842225,1009.23413
1551337826395,632290980108858,1009.22974
1551337826495,632291080342191,1009.2329
1551337826595,632291180542191,1009.2373
1551337826695,632291280742191,1009.24243
1551337826798,632291380942191,1009.2446
1551337826896,632291481108891,1009.24316
1551337826997,632291581308891,1009.24316
1551337827098,632291681508924,1009.24097
1551337827199,632291781742290,1009.24243
1551337827300,632291881975656,1009.2363
1551337827400,632291982208989,1009.2405
1551337827569,632292082442055,1009.24414
1551337827602,632292182675388,1009.25024
1551337827701,632292282908721,1009.2578
1551337827801,632292383142021,1009.25635
1551337827901,632292483375354,1009.2561
1551337828001,632292583608687,1009.25024
1551337828104,632292683908687,1009.23755
1551337828204,632292784242020,1009.24805
1551337828304,632292884575353,1009.24316
1551337828405,632292984942019,1009.2407
1551337828505,632293085308719,1009.23535
1551337828606,632293185708752,1009.23535
1551337828707,632293286108785,1009.23706
1551337828807,632293386508785,1009.2373
1551337828907,632293486908751,1009.2383
1551337829007,632293587308751,1009.23413
1551337829107,632293687708751,1009.2417
1551337829207,632293788142051,1009.24194
1551337829309,632293888608717,1009.23706
1551337829410,632293989075383,1009.2483
1551337829509,632294089542316,1009.2473
1551337829609,632294190008982,1009.24194
1551337829709,632294290475682,1009.24023
1551337829808,632294390909015,1009.2495
1551337829909,632294491342348,1009.2522
1551337830009,632294591742381,1009.25195
1551337830110,632294692109047,1009.2495
1551337830209,632294792442347,1009.2466
1551337830310,632294892742313,1009.24146
1551337830411,632294993042279,1009.2368
1551337830554,632295093309212,1009.2356
1551337830609,632295193575845,1009.23267
1551337830709,632295293842511,1009.2351
1551337830810,632295394142511,1009.23413
1551337830910,632295494442511,1009.24243
1551337831010,632295594742511,1009.23755
1551337831111,632295694975877,1009.2456
1551337831210,632295795175877,1009.2483
1551337831310,632295895375643,1009.2495
1551337831410,632295995542309,1009.2456
1551337831510,632296095708709,1009.23755
1551337831611,632296195842009,1009.239
1551337831711,632296295941975,1009.2407
1551337831810,632296396041941,1009.2529
1551337831911,632296496175274,1009.2571
1551337832011,632296596308574,1009.25635
1551337832111,632296696441907,1009.2544
1551337832211,632296796541907,1009.2532
1551337832311,632296896608573,1009.2422
1551337832411,632296996675273,1009.24194
1551337832512,632297096741706,1009.2346
1551337832611,632297196808406,1009.24023
1551337832714,632297296875072,1009.2334
1551337832810,632297396941738,1009.2346
1551337832911,632297497008371,1009.2329
1551337833011,632297597075004,1009.23315
1551337833111,632297697141637,1009.2346
1551337833213,632297797241637,1009.22754
1551337833313,632297897374970,1009.22974
1551337833414,632297997508303,1009.23193
1551337833549,632298097674703,1009.23267
1551337833615,632298197874736,1009.23096
1551337833715,632298298074736,1009.2307
1551337833817,632298398241436,1009.22925
1551337833915,632298498408136,1009.24194
1551337834016,632298598608169,1009.2346
1551337834117,632298698841502,1009.2351
1551337834217,632298799108168,1009.2395
1551337834318,632298899375068,1009.2444
1551337834418,632298999675068,1009.25073
1551337834518,632299099975034,1009.2554
1551337834618,632299200275034,1009.2517
1551337834719,632299300575034,1009.2529
1551337834820,632299400875034,1009.24585
1551337834919,632299501141700,1009.25024
1551337835019,632299601408400,1009.2495
1551337835119,632299701675066,1009.2466
1551337835219,632299801941766,1009.2356
1551337835318,632299902208432,1009.2444
1551337835419,632300002475098,1009.2449
1551337835519,632300102741998,1009.2429
1551337835619,632300203008631,1009.2417
1551337835719,632300303275264,1009.24634
1551337835819,632300403541930,1009.2363
1551337835918,632300503808596,1009.23706
1551337836019,632300604075262,1009.2405
1551337836119,632300704341928,1009.24194
1551337836218,632300804575261,1009.23535
1551337836319,632300904775294,1009.2334
1551337836418,632301004975327,1009.2317
1551337836546,632301105142093,1009.2322
1551337836619,632301205275426,1009.23926
1551337836718,632301305408759,1009.23706
1551337836818,632301405542059,1009.239
1551337836919,632301505675359,1009.2388
1551337837019,632301605775325,1009.24316
1551337837119,632301705841958,1009.2449
1551337837218,632301805875291,1009.2468
1551337837319,632301905908624,1009.2439
1551337837419,632302005908624,1009.23706
1551337837521,632302105908924,1009.2412
1551337837619,632302205908924,1009.23267
1551337837719,632302305908957,1009.2283
1551337837817,632302405908957,1009.23047
1551337837919,632302505908990,1009.22266
1551337838019,632302605908956,1009.22485
1551337838119,632302705908956,1009.23706
1551337838219,632302805908922,1009.24
1551337838319,632302905908922,1009.2388
1551337838419,632303005908888,1009.2373
1551337838521,632303105975554,1009.24194
1551337838622,632303206075554,1009.2395
1551337838722,632303306175554,1009.24146
1551337838821,632303406275554,1009.23975
1551337838921,632303506375587,1009.2427
1551337839022,632303606475620,1009.2439
1551337839122,632303706575653,1009.2529
1551337839222,632303806675653,1009.2549
1551337839322,632303906775653,1009.24927
1551337839421,632304006875619,1009.2495
1551337839555,632304106975785,1009.2405
1551337839622,632304207109085,1009.23975
1551337839724,632304307275751,1009.23755
1551337839826,632304407442417,1009.2312
1551337839924,632304507609083,1009.2283
1551337840023,632304607775749,1009.2388
1551337840124,632304707942415,1009.2373
1551337840225,632304808142448,1009.23413
1551337840327,632304908409148,1009.22925
1551337840428,632305008709181,1009.2339
1551337840526,632305109009681,1009.23413
1551337840628,632305209309681,1009.23267
1551337840728,632305309609681,1009.24243
1551337840827,632305409909681,1009.23926
1551337840928,632305510209647,1009.2351
1551337841028,632305610509647,1009.23315
1551337841129,632305710842980,1009.2361
1551337841230,632305811242980,1009.23486
1551337841331,632305911642980,1009.23193
1551337841432,632306012076313,1009.23755
1551337841532,632306112476313,1009.2356
1551337841633,632306212842979,1009.2278
1551337841733,632306313209679,1009.2251
1551337841833,632306413576379,1009.219
1551337841931,632306513942779,1009.2283
1551337842033,632306614309412,1009.22656
1551337842134,632306714709145,1009.2241
1551337842234,632306815109145,1009.2261
1551337842333,632306915509111,1009.2334
1551337842434,632307015909111,1009.2324
1551337842587,632307116309111,1009.23
1551337842633,632307216675777,1009.23267
1551337842733,632307317009110,1009.2339
1551337842833,632307417342476,1009.24536
1551337842934,632307517675809,1009.2378
1551337843034,632307618009175,1009.22144
1551337843134,632307718342541,1009.2185
1551337843235,632307818675874,1009.23267
1551337843336,632307918975874,1009.2278
1551337843436,632308019242507,1009.228
1551337843539,632308119541973,1009.23364
1551337843637,632308219841973,1009.23486
1551337843737,632308320141939,1009.2378
1551337843838,632308420441939,1009.2366
1551337843937,632308520741939,1009.24097
1551337844038,632308621041939,1009.2483
1551337844137,632308721308605,1009.2368
1551337844238,632308821541971,1009.23804
1551337844339,632308921808637,1009.2373
1551337844439,632309022042003,1009.2483
1551337844538,632309122241769,1009.2407
1551337844639,632309222441802,1009.2351
1551337844740,632309322641768,1009.23584
1551337844838,632309422875068,1009.23413
1551337844942,632309523175301,1009.23364
1551337845043,632309623508634,1009.2368
1551337845143,632309723808867,1009.2329
1551337845243,632309824108867,1009.23975
1551337845343,632309924408867,1009.22974
1551337845443,632310024708867,1009.2385
1551337845585,632310125008867,1009.23315
1551337845643,632310225308900,1009.24365
1551337845743,632310325608900,1009.24023
1551337845844,632310425908900,1009.2388
1551337845945,632310526275600,1009.24097
1551337846046,632310626675600,1009.2456
1551337846146,632310727075566,1009.2534
1551337846248,632310827508866,1009.2488
1551337846348,632310927942166,1009.25195
1551337846449,632311028375499,1009.2527
1551337846549,632311128775499,1009.2534
1551337846649,632311229175499,1009.25073
1551337846748,632311329575499,1009.2422
1551337846848,632311429975499,1009.23804
1551337846949,632311530375499,1009.23755
1551337847049,632311630775532,1009.2444
1551337847149,632311731175532,1009.25415
1551337847248,632311831542198,1009.24414
1551337847350,632311931875531,1009.2383
1551337847450,632312032208864,1009.2412
1551337847549,632312132575764,1009.24097
1551337847650,632312232942397,1009.24414
1551337847750,632312333342397,1009.24414
1551337847852,632312433775730,1009.24585
1551337847955,632312534175730,1009.2466
1551337848054,632312634542396,1009.2383
1551337848154,632312734942396,1009.23804
1551337848255,632312835342396,1009.24194
1551337848356,632312935775729,1009.23755
1551337848457,632313036209095,1009.23315
1551337848574,632313136675761,1009.2273
1551337848656,632313237142427,1009.23193
1551337848762,632313337609127,1009.2363
1551337848855,632313438075793,1009.22876
1551337848956,632313538475759,1009.2317
1551337849056,632313638842392,1009.2346
1551337849156,632313739209058,1009.2312
1551337849257,632313839509058,1009.23364
1551337849356,632313939775724,1009.2446
1551337849456,632314040042390,1009.2366
1551337849556,632314140309056,1009.23926
1551337849657,632314240575722,1009.23145
1551337849788,632314340842388,1009.24
1551337849855,632314441109088,1009.24194
1551337849958,632314541409121,1009.23755
1551337850059,632314641742454,1009.2412
1551337850160,632314742075787,1009.2351
1551337850260,632314842442453,1009.2322
1551337850360,632314942809119,1009.23486
1551337850460,632315043175752,1009.2373
1551337850559,632315143509085,1009.2444
1551337850660,632315243842418,1009.2405
1551337850800,632315344142418,1009.2449
1551337850858,632315444375751,1009.25977
1551337850960,632315544575751,1009.2456
1551337851061,632315644775751,1009.23584
1551337851161,632315744975784,1009.2383
1551337851261,632315845175817,1009.24414
1551337851362,632315945375850,1009.24
1551337851464,632316045575850,1009.23047
1551337851573,632316145742516,1009.23413
1551337851662,632316245909149,1009.22656
1551337851781,632316346075782,1009.2363
1551337851860,632316446242415,1009.24146
1551337851962,632316546409081,1009.25
1551337852062,632316646575747,1009.2405
1551337852162,632316746742413,1009.24097
1551337852262,632316846909079,1009.23755
1551337852363,632316947075779,1009.2412
1551337852462,632317047242445,1009.2346
1551337852561,632317147409145,1009.2356
1551337852661,632317247575811,1009.251
1551337852799,632317347809177,1009.24976
1551337852865,632317448075810,1009.2544
1551337852965,632317548309110,1009.2483
1551337853067,632317648509076,1009.2417
1551337853165,632317748709076,1009.2429
1551337853265,632317848875709,1009.24976
1551337853366,632317949042375,1009.23926
1551337853465,632318049209041,1009.2466
1551337853564,632318149375707,1009.2407
1551337853666,632318249542373,1009.24
1551337853793,632318349709073,1009.2495
1551337853864,632318449875773,1009.2556
1551337853965,632318550042473,1009.25635
1551337854065,632318650209139,1009.2505
1551337854165,632318750375805,1009.25024
1551337854268,632318850575771,1009.24146
1551337854367,632318950742404,1009.24316
1551337854470,632319050909037,1009.24976
1551337854590,632319151075703,1009.2512
1551337854669,632319251242369,1009.2466
1551337854787,632319351409035,1009.2517
1551337854870,632319451575701,1009.2573
1551337854967,632319551742367,1009.2676
1551337855067,632319651909067,1009.26733
1551337855166,632319752075767,1009.25806
1551337855267,632319852242467,1009.2532
1551337855369,632319952409133,1009.25586
1551337855467,632320052575799,1009.2522
1551337855568,632320152742432,1009.251
1551337855667,632320252909098,1009.239
1551337855803,632320353009064,1009.23975
1551337855868,632320453142397,1009.23486
1551337855968,632320553275730,1009.2329
1551337856072,632320653442396,1009.2378
1551337856170,632320753609062,1009.2366
1551337856271,632320853775762,1009.2366
1551337856369,632320953942428,1009.23535
1551337856470,632321054109128,1009.2417
1551337856569,632321154275828,1009.2444
1551337856671,632321254475861,1009.23926
1551337856813,632321354675827,1009.2417
1551337856873,632321454942460,1009.24
1551337856974,632321555242426,1009.24536
1551337857074,632321655542426,1009.24243
1551337857175,632321755842392,1009.24854
1551337857275,632321856109058,1009.2405
1551337857376,632321956409058,1009.2451
