timestamp,ssid,bssid,frequency,rss,wifiNo,legit
632277349913,ISILAB_2,2c:56:dc:84:dd:88,2452,-38,0,false
632277349489,Welcome_1st_KAIST,00:24:6c:7d:f6:92,5200,-42,0,false
632277349471,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-43,0,false
632277349480,eduroam,00:24:6c:7d:f6:91,5200,-43,0,false
632277350028,Welcome_KAIST,00:24:6c:7d:f6:80,2472,-43,0,false
632277349998,eduroam,00:24:6c:7d:f6:81,2472,-45,0,false
632277350018,Welcome_1st_KAIST,00:24:6c:7d:f6:82,2472,-45,0,false
632277349669,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-48,0,false
632277349769,KECI,18:31:bf:46:ff:d8,2442,-48,0,false
632277349973,Lapras,60:38:e0:bb:ee:01,2462,-49,0,false
632277349802,ISILAB_5,2c:56:dc:84:dd:8c,5785,-50,0,false
632277349881,,9c:d6:43:c8:11:80,2447,-52,0,false
632277349741,eduroam,00:24:6c:7d:f6:01,2432,-54,0,false
632277349750,Welcome_1st_KAIST,00:24:6c:7d:f6:02,2432,-54,0,false
632277349933,irnlp,c4:e9:84:f8:c7:73,2457,-55,0,false
632277349720,Welcome_KAIST,00:24:6c:7d:f6:00,2432,-56,0,false
632277349963,WASHERE1,b0:c7:45:76:44:2a,2462,-58,0,false
632277349322,Welcome_1st_KAIST,00:24:6c:7a:88:e2,2412,-59,0,false
632277349983,iptime,00:08:9f:d9:e3:54,2462,-59,0,false
632277349814,Welcome_KAIST,00:24:6c:7d:f6:f0,5785,-60,0,false
632277349294,eduroam,00:24:6c:7a:88:e1,2412,-60,0,false
632277349824,eduroam,00:24:6c:7d:f6:f1,5785,-61,0,false
632277349943,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-62,0,false
632277350008,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-62,0,false
632277349837,Welcome_1st_KAIST,00:24:6c:7d:f6:f2,5785,-63,0,false
632277349526,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-63,0,false
632277349357,Welcome_1st_KAIST,00:24:6c:7a:8b:32,5180,-64,0,false
632277350074,NMSL_N1_721,a6:40:a0:56:08:f5,2472,-64,0,false
632277349788,shheo24g,90:9f:33:a9:29:5a,2437,-64,0,false
632277349555,WCSL 5GHz,64:e5:99:da:03:6c,5240,-65,0,false
632277349339,Welcome_KAIST,00:24:6c:7a:8b:30,5180,-65,0,false
632277349347,eduroam,00:24:6c:7a:8b:31,5180,-65,0,false
632277349659,,a0:40:a0:56:08:f8,5745,-65,0,false
632277349365,eduroam,00:24:6c:7a:88:f1,5180,-65,0,false
632277349374,Welcome_1st_KAIST,00:24:6c:7a:88:f2,5180,-65,0,false
632277349952,SmartIoT,10:6f:3f:e7:e1:a0,2462,-65,0,false
632277349286,Welcome_KAIST,00:24:6c:7a:88:e0,2412,-66,0,false
632277349891,eduroam,00:24:6c:7a:8b:21,2452,-66,0,false
632277349711,HCIL,6c:70:9f:e0:92:7e,2432,-67,0,false
632277349760,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-67,0,false
632277349448,Lapras_5GHz,60:38:e0:bb:ee:02,5200,-67,0,false
632277349680,KECI_5G,18:31:bf:46:ff:dc,5745,-67,0,false
632277349331,Welcome_KAIST,00:24:6c:7a:88:f0,5180,-67,0,false
632277349903,Welcome_1st_KAIST,00:24:6c:7a:8b:22,2452,-68,0,false
632277349568,Welcome_KAIST,00:24:6c:7d:f6:10,5240,-69,0,false
632277349578,eduroam,00:24:6c:7d:f6:11,5240,-69,0,false
632277349587,Welcome_1st_KAIST,00:24:6c:7d:f6:12,5240,-69,0,false
632277349702,Askai-ASUS_80_2G,b0:6e:bf:a3:90:80,2432,-69,0,false
632277349730,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-69,0,false
632277350062,eduroam,00:24:6c:7d:f2:e1,2472,-69,0,false
632277349640,HCIL guest,6e:7e:92:e0:9f:70,2432,-70,0,false
632277349620,Welcome_1st_KAIST,00:24:6c:7d:f7:32,5240,-71,0,false
632277350040,Welcome_KAIST,00:24:6c:7d:f2:e0,2472,-72,0,false
632277349597,Welcome_KAIST,00:24:6c:7d:f7:30,5240,-73,0,false
632277349610,eduroam,00:24:6c:7d:f7:31,5240,-73,0,false
632277349691,LIT_5G,70:8b:cd:2f:82:64,5745,-73,0,false
632277349631,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-74,0,false
632277349849,HCIL guest,6e:7f:92:e0:9f:70,5785,-74,0,false
632277349860,HCIL,6c:70:9f:e0:92:7f,5785,-74,0,false
