timeMillis,timeNanos,x,y,z
1552036538553,63694310806324,-0.015746273,-0.66602576,-0.22687718
1552036538575,63694330806324,0.022738237,-0.20298992,-0.03995242
1552036538594,63694350806324,-0.11470644,0.07739724,0.03090795
1552036538613,63694370806324,-0.090882696,0.17941172,0.09932486
1552036538634,63694390809574,-0.06644809,0.22522663,0.13597678
1552036538654,63694410809574,-0.0627829,0.011423791,0.022966702
1552036538675,63694430809574,-0.105543464,-0.09059071,-0.039341554
1552036538697,63694450809574,-0.26742277,0.04257792,-0.024069924
1552036538716,63694470809574,-0.39020666,0.18307692,0.049233906
1552036538735,63694490809574,-0.3981479,0.10549704,0.15369186
1552036538756,63694510809574,-0.297966,-0.07715167,0.15491359
1552036538773,63694530809574,-0.18984286,-0.15167724,0.06755986
1552036538796,63694550809574,-0.14769316,-0.0026261096,0.040070925
1552036538815,63694570809574,-0.12814547,0.26187855,0.1475832
1552036538835,63694590809574,-0.06950242,0.341291,0.29052567
1552036538854,63694610809574,-0.04018088,0.16719443,0.2880822
1552036538874,63694630808261,-0.24054468,-0.23536576,0.13108984
1552036538894,63694650807790,-0.61256164,-0.46444026,0.044346984
1552036538913,63694670808456,-0.6131725,-0.14251426,0.14880495
1552036538935,63694690809034,-0.46045616,0.109162234,0.19217637
1552036538954,63694710809484,0.019073045,0.15497713,0.2587607
1552036538975,63694730809817,0.5963407,0.35839528,0.18056993
1552036538996,63694750809953,0.58473426,0.48912042,0.004640743
1552036539014,63694770809996,7.4708817E-4,0.16841616,-0.0332329
1552036539035,63694790809954,-0.31995717,0.03463667,0.024188431
1552036539061,63694810809874,-0.22466218,0.13726202,0.009527666
1552036539076,63694830809720,0.06488794,0.09144714,-0.010020022
1552036539096,63694850809571,0.26525173,-0.15289895,0.011360261
1552036539117,63694870809356,0.29823846,-0.8046922,0.121926874
1552036539136,63694890809011,0.27441472,-1.0068885,0.12559207
1552036539155,63694910808611,0.29151896,-0.89632195,0.25631723
1552036539177,63694930808377,0.4033073,-0.692293,0.29419085
1552036539193,63694950807143,0.30923405,-0.42229053,0.2813627
1552036539215,63694970806476,0.020905642,-0.15167724,0.29296914
1552036539234,63694990804876,-0.26436844,0.08350589,0.35833174
1552036539255,63695010803709,-0.28208354,0.30586085,0.4078118
1552036539274,63695030802842,-0.14952576,0.4805683,0.37787938
1552036539297,63695050801842,-0.13486499,0.63084114,0.270978
1552036539316,63695070800775,-0.17151691,0.7658423,0.16041137
1552036539334,63695090799208,-0.15929961,0.82998323,0.11765081
1552036539355,63695110797241,-0.063393764,0.7890552,0.08527496
1552036539419,63695130795907,0.12658533,0.5746415,0.038849197
1552036539419,63695150794507,0.38803566,0.37672123,-0.057056647
1552036539419,63695170793040,0.54258454,0.23133528,-0.25619873
1552036539435,63695190791440,0.4063616,0.17696828,-0.4748885
1552036539454,63695210789773,-0.043846074,0.2343896,-0.6416547
1552036539485,63695230788739,-0.5105471,0.37672123,-0.61111146
1552036539494,63695250786472,-0.6675395,0.45796627,-0.42357582
1552036539515,63695270783472,-0.36760464,0.4524685,-0.20427518
1552036539537,63695290781138,0.16873503,0.29242182,-0.014906945
1552036539554,63695310778804,0.4766111,-0.0062913015,0.03335141
1552036539574,63695330776404,0.29335153,-0.23903096,-0.07049568
1552036539598,63695350773804,-0.11348471,-0.30928046,-0.22260113
1552036539648,63695370770737,-0.40303487,-0.3263847,-0.36859792
1552036539674,63695390768037,-0.40303487,-0.3263847,-0.36859792
1552036539674,63695410764903,-0.40303487,-0.3263847,-0.36859792
1552036539674,63695430761769,-0.39020666,-0.63731515,0.026631892
