timeMillis,timeNanos,value
1552036538493,63694242806324,1015.8042
1552036538594,63694342806324,1015.80176
1552036538697,63694442806324,1015.7986
1552036538796,63694542806324,1015.8093
1552036538894,63694642804324,1015.80444
1552036538996,63694742804924,1015.801
1552036539096,63694842804257,1015.8086
1552036539193,63694942798971,1015.7998
1552036539297,63695042795221,1015.80005
1552036539419,63695142790554,1015.78613
1552036539494,63695242782954,1015.7993
1552036539598,63695342776135,1015.7998
1552036539694,63695442769551,1015.8064
1552036539798,63695542839320,1015.8091
1552036539900,63695642903248,1015.7971
1552036540000,63695745394999,1015.7915
1552036540102,63695845761874,1015.7954
1552036540204,63695946106579,1015.8303
1552036540303,63696046431467,1015.8237
1552036540445,63696146738519,1015.8152
1552036540504,63696247029619,1015.8174
1552036540602,63696347353952,1015.8174
1552036540704,63696447662906,1015.8064
1552036540806,63696547957906,1015.80444
1552036540904,63696648240031,1015.80273
1552036541005,63696748670431,1015.812
1552036541112,63696849199123,1015.8074
1552036541210,63696949708048,1015.8008
1552036541311,63697050198440,1015.80347
1552036541410,63697150671508,1015.8064
1552036541510,63697251195008,1015.8135
1552036541610,63697351718141,1015.8213
1552036541711,63697452240874,1015.82935
1552036541813,63697552796474,1015.8308
1552036541910,63697653351940,1015.8154
1552036542013,63697753939940,1015.8203
1552036542112,63697854527773,1015.8179
1552036542212,63697955116239,1015.81934
1552036542314,63698055737672,1015.82666
1552036542418,63698156525772,1015.80835
1552036542518,63698257380572,1015.8125
1552036542621,63698358235572,1015.8042
1552036542721,63698459090338,1015.8076
1552036542820,63698559911838,1015.80347
1552036542922,63698660733271,1015.8071
1552036543020,63698761521404,1015.8108
1552036543120,63698862176170,1015.8142
1552036543222,63698962830870,1015.8037
1552036543320,63699063485570,1015.7981
1552036543420,63699164140403,1015.8086
1552036543521,63699264795236,1015.8086
1552036543624,63699365549969,1015.82227
1552036543726,63699466371435,1015.8159
1552036543828,63699567192868,1015.83496
1552036543926,63699668014368,1015.813
1552036544027,63699768735768,1015.8179
1552036544131,63699869457234,1015.8047
1552036544235,63699970345100,1015.8059
1552036544340,63700071399500,1015.8081
1552036544446,63700172620800,1015.8274
1552036544546,63700273808866,1015.79443
1552036544646,63700374996899,1015.7866
1552036544748,63700476184865,1015.78
1552036544846,63700577339565,1015.7864
1552036544947,63700678494298,1015.79736
1552036545050,63700779648998,1015.7964
1552036545153,63700880936964,1015.7959
1552036545260,63700982391664,1015.79834
1552036545364,63701083979397,1015.7864
1552036545469,63701185566363,1015.7949
1552036545573,63701287088196,1015.78906
1552036545675,63701388775996,1015.79565
1552036545777,63701490630362,1015.8037
1552036545882,63701592651395,1015.8169
1552036545988,63701694839128,1015.8264
1552036546090,63701797126794,1015.82056
1552036546190,63701899414494,1015.8054
1552036546292,63702001702194,1015.8098
1552036546398,63702104156527,1015.8152
1552036546500,63702206744060,1015.81104
1552036546601,63702309365193,1015.8059
1552036546701,63702411853093,1015.80054
1552036546801,63702514274326,1015.80054
1552036546903,63702616695592,1015.801
1552036547000,63702719116825,1015.8093
1552036547102,63702821538125,1015.8074
1552036547204,63702923859358,1015.81616
1552036547302,63703026013958,1015.8152
1552036547409,63703128068591,1015.8086
1552036547507,63703229956324,1015.8059
1552036547605,63703331910624,1015.8054
1552036547710,63703433965257,1015.80273
1552036547813,63703536053223,1015.80273
1552036547911,63703638141189,1015.801
1552036548010,63703740229122,1015.8013
1552036548113,63703842317088,1015.7971
1552036548212,63703944271788,1015.7927
1552036548312,63704046059754,1015.7964
1552036548412,63704147681087,1015.7942
1552036548519,63704249136487,1015.7998
1552036548610,63704350591053,1015.80273
1552036548711,63704451879019,1015.7947
1552036548811,63704553000452,1015.79175
1552036548910,63704653955218,1015.7964
1552036549012,63704754743284,1015.80664
1552036549109,63704855431417,1015.80884
1552036549210,63704956119583,1015.81714
1552036549340,63705056807683,1015.8059
1552036549430,63705157329149,1015.80664
1552036549547,63705257717282,1015.802
1552036549629,63705358138515,1015.8074
1552036549744,63705458559715,1015.81177
1552036549889,63705558981081,1015.8252
1552036549932,63705659402547,1015.82983
1552036550033,63705759823980,1015.81006
1552036550117,63705860245413,1015.8103
1552036550244,63705960666846,1015.8059
1552036550351,63706061121646,1015.8093
1552036550526,63706161676412,1015.82275
1552036550527,63706262297845,1015.8362
1552036550622,63706362819278,1015.8259
1552036550740,63706463340411,1015.8113
1552036550877,63706563828211,1015.80054
1552036550925,63706664316144,1015.8318
1552036551027,63706764804077,1015.81885
1552036551140,63706865258643,1015.8093
1552036551248,63706965713209,1015.8059
1552036551357,63707066167809,1015.81323
1552036551431,63707166622409,1015.8115
1552036551543,63707267077042,1015.81177
1552036551644,63707367531608,1015.81494
1552036551769,63707468086208,1015.8113
1552036551887,63707568774008,1015.83374
1552036551939,63707669528608,1015.80493
1552036552058,63707770283441,1015.8147
1552036552166,63707871038274,1015.8093
1552036552246,63707971793007,1015.8181
1552036552353,63708072547807,1015.8196
1552036552462,63708173302573,1015.8301
1552036552534,63708274056706,1015.8093
1552036552655,63708374744839,1015.8047
1552036552774,63708475432905,1015.8074
1552036552896,63708576154171,1015.81055
1552036552959,63708676875271,1015.8247
1552036553063,63708777729971,1015.823
1552036553150,63708878684737,1015.7915
1552036553271,63708979672903,1015.81177
1552036553345,63709080627636,1015.80176
1552036553465,63709181415769,1015.81104
1552036553623,63709282137202,1015.8081
