timeMillis,timeNanos,x,y,z
1552036694080,63849838818601,-0.13486499,0.048686568,0.23982386
1552036694100,63849858818601,-0.14219537,0.12870991,0.24043472
1552036694122,63849878818601,-0.1733495,0.2484395,0.21844357
1552036694140,63849898818601,-0.20939055,0.30524996,0.15857878
1552036694160,63849918818601,-0.20450363,0.2136202,0.09810313
1552036694181,63849938818601,-0.18067989,0.03219321,0.06755986
1552036694201,63849958818601,-0.15807788,-0.048441,0.06328381
1552036694221,63849978818601,-0.15685613,0.030360613,0.07000332
1552036694242,63849998818601,-0.1470823,0.09938839,0.07000332
1552036694262,63850018818601,-0.10798692,0.06334733,0.054120827
1552036694283,63850038818601,-0.041402616,0.004093408,0.023577565
1552036694305,63850058818601,0.0068557407,-0.14434685,-0.018572137
1552036694325,63850078819184,0.03129035,-0.22559191,-0.057667512
1552036694342,63850098819184,0.029457754,-0.24208528,-0.05400232
1552036694363,63850118819184,0.0068557407,-0.1907726,-0.07477174
1552036694379,63850138817784,-0.028574444,-0.1223557,-0.10775846
1552036694403,63850158818534,-0.03590483,-0.08631465,-0.14868644
1552036694423,63850178819181,0.009910067,-0.05638225,-0.1951122
1552036694442,63850198819736,0.17240022,-0.029504182,-0.21221642
1552036694461,63850218820157,0.3959769,0.030360613,-0.19938825
1552036694482,63850238820457,0.5291455,0.06151474,-0.20122084
1552036694500,63850258820647,0.4491222,0.09022541,-0.19572306
1552036694523,63850278820737,0.17973061,0.063958205,-0.17678624
1552036694544,63850298820693,-0.15624529,-0.14434685,-0.112034515
1552036694565,63850318820651,-0.38287628,-0.27934805,-0.016128676
1552036694582,63850338820611,-0.34133747,-0.21826154,0.059618615
1552036694603,63850358820495,-0.026130984,-0.03866716,0.07611198
1552036694622,63850378820235,0.38803566,0.041967053,0.009527666
1552036694641,63850398819913,0.69041395,-0.18955088,-0.1670124
1552036694661,63850418818809,0.37520748,-0.18099876,-0.20427518
1552036694679,63850438818209,-0.106765196,-0.03805629,-0.27513552
1552036694700,63850458816942,-0.574688,0.04379965,-0.34355247
1552036694722,63850478816308,-0.85568595,0.029749747,-0.35027197
1552036694740,63850498814974,-0.8617946,0.14031637,-0.26047477
1552036694760,63850518813774,-0.59667915,0.29853046,-0.08026952
1552036694783,63850538812874,-0.23871209,0.27165237,0.11581822
1552036694803,63850558811907,-0.05728511,0.10366444,0.184846
1552036694824,63850578810807,-0.05728511,0.032804072,0.13964197
