timeMillis,timeNanos,x,y,z
1552036693980,63849739645956,38.219997,-1.02,-40.559998
1552036694002,63849758818601,38.64,-1.26,-40.2
1552036694020,63849778818601,38.94,-1.92,-39.78
1552036694040,63849798818601,39.6,-2.3999999,-39.719997
1552036694061,63849818818601,39.66,-2.58,-39.66
1552036694080,63849838818601,39.6,-2.58,-40.32
1552036694100,63849858818601,39.36,-2.1599998,-40.8
1552036694122,63849878818601,39.18,-2.1,-41.04
1552036694140,63849898818601,39.12,-1.92,-41.1
1552036694160,63849918818601,38.94,-2.34,-40.98
1552036694181,63849938818601,38.94,-2.34,-40.559998
1552036694201,63849958818601,39.0,-2.22,-40.379997
1552036694221,63849978818601,39.239998,-2.6399999,-39.78
1552036694242,63849998818601,39.78,-2.3999999,-39.239998
1552036694262,63850018818601,40.2,-2.34,-39.78
1552036694283,63850038818601,40.02,-2.22,-40.02
1552036694305,63850058818601,39.84,-2.3999999,-40.62
1552036694325,63850078819012,39.059998,-2.58,-40.92
1552036694342,63850098819012,38.28,-2.82,-40.86
1552036694363,63850118819012,37.92,-3.1799998,-40.92
1552036694379,63850138817962,37.559998,-3.1799998,-40.86
1552036694403,63850158818533,37.86,-3.36,-40.8
1552036694423,63850178819033,38.34,-2.82,-40.739998
1552036694442,63850198819467,38.399998,-2.76,-40.68
1552036694461,63850218819800,38.28,-2.52,-41.16
1552036694482,63850238820040,38.16,-2.6399999,-42.0
1552036694500,63850258820193,37.44,-3.72,-42.3
1552036694523,63850278820267,37.38,-4.5,-42.6
1552036694544,63850298820231,37.38,-4.98,-42.239998
1552036694565,63850318820196,37.2,-5.2799997,-41.82
1552036694582,63850338820162,37.62,-4.74,-42.239998
1552036694603,63850358820062,37.2,-4.38,-42.239998
1552036694622,63850378819828,36.84,-4.8599997,-42.54
1552036694641,63850398819528,36.239998,-5.22,-42.899998
1552036694661,63850418818461,35.88,-6.18,-42.78
1552036694679,63850438817861,36.18,-6.8399997,-43.14
1552036694700,63850458816594,35.88,-7.08,-42.96
1552036694722,63850478815960,35.94,-6.8399997,-42.96
1552036694740,63850498814626,35.76,-6.12,-42.96
1552036694760,63850518813426,35.399998,-5.46,-42.84
1552036694783,63850538812526,35.52,-4.8599997,-43.44
1552036694803,63850558811559,36.0,-4.3199997,-43.739998
1552036694824,63850578810459,36.48,-4.2599998,-43.98
1552036694841,63850598808592,36.66,-4.44,-44.34
1552036694862,63850618806658,36.84,-4.2599998,-44.34
1552036694883,63850638805358,36.78,-4.92,-43.92
1552036694903,63850658803924,36.36,-4.8599997,-44.28
1552036694923,63850678802190,36.059998,-5.22,-44.46
1552036694942,63850698800623,35.399998,-5.3399997,-44.52
1552036694990,63850718798923,35.16,-4.74,-45.0
1552036694990,63850738799289,34.92,-4.56,-45.18
1552036695001,63850758796389,35.28,-3.8999999,-44.94
1552036695025,63850778794155,36.059998,-3.54,-44.94
1552036695043,63850798791821,36.18,-3.6599998,-44.94
1552036695070,63850818789487,36.48,-3.78,-44.7
1552036695084,63850838787153,36.66,-3.78,-45.3
1552036695111,63850858784119,36.36,-3.9599998,-45.6
1552036695163,63850878781019,36.3,-3.84,-45.899998
1552036695188,63850898777952,36.36,-3.78,-45.78
1552036695188,63850918774818,36.66,-3.84,-45.18
1552036695188,63850938771551,37.02,-4.08,-45.12
1552036695201,63850958768984,37.62,-4.14,-46.02
1552036695221,63850978766484,37.32,-4.14,-47.039997
1552036695241,63850998763984,37.14,-5.04,-46.98
1552036695263,63851018762117,37.98,-6.72,-46.5
1552036695283,63851038759717,38.219997,-8.4,-46.86
1552036695303,63851058757917,37.8,-9.48,-46.079998
1552036695325,63851078755350,36.96,-10.0199995,-45.36
1552036695345,63851098753416,35.82,-10.98,-46.68
1552036695363,63851118751282,35.76,-11.16,-47.879997
1552036695384,63851138748782,35.76,-11.28,-47.879997
1552036695405,63851158746248,35.34,-11.58,-48.3
1552036695423,63851178743781,35.76,-11.94,-48.539997
1552036695442,63851198742014,36.0,-12.059999,-48.6
1552036695461,63851218740180,35.94,-11.88,-48.899998
1552036695481,63851238737646,35.88,-12.36,-48.18
1552036695504,63851258735179,36.42,-13.08,-47.94
1552036695524,63851278732712,36.96,-13.259999,-48.239998
1552036695544,63851298730178,36.84,-12.719999,-48.239998
1552036695564,63851318727711,36.78,-12.48,-48.539997
1552036695585,63851338723811,36.18,-12.66,-49.26
1552036695604,63851358722011,35.94,-13.0199995,-49.559998
1552036695625,63851378719511,36.18,-12.599999,-49.44
1552036695643,63851398717144,35.88,-12.059999,-50.039997
1552036695663,63851418714777,34.559998,-12.36,-50.7
1552036695686,63851438604388,34.68,-13.259999,-50.64
1552036695704,63851458635988,35.94,-14.28,-50.399998
1552036695726,63851478700988,35.34,-15.179999,-49.86
