timeMillis,timeNanos,x,y,z
1552036975248,64131007395805,-0.051176455,0.10122099,0.11765081
1552036975269,64131027395805,-0.09760222,0.1678053,0.14819407
1552036975289,64131047395805,-0.1965624,0.1885747,0.16835263
1552036975308,64131067395805,-0.27108794,0.17574653,0.16346571
1552036975329,64131087395805,-0.2576489,0.16291836,0.130479
1552036975349,64131107395805,-0.19350806,0.1360403,0.095659666
1552036975370,64131127395805,-0.14097364,0.1397055,0.043125257
1552036975392,64131147395805,-0.06583723,0.1323751,-0.0014679092
1552036975411,64131167395805,0.013575259,0.09694492,0.0034190128
1552036975430,64131187395805,0.020905642,0.070066854,0.034573138
1552036975452,64131207395805,-0.06705895,0.06456907,0.07427938
1552036975472,64131227395805,-0.17029518,0.07251032,0.09810313
1552036975491,64131247395805,-0.23077084,0.06456907,0.13292244
1552036975508,64131267394805,-0.26559016,0.034025807,0.16774176
1552036975527,64131287393590,-0.32178977,-0.006902166,0.2092806
1552036975549,64131307393790,-0.31262678,0.0022608123,0.23127174
1552036975571,64131327393852,-0.26497927,0.05540609,0.23676953
1552036975590,64131347393910,-0.2613141,0.08778194,0.270978
1552036975608,64131367393854,-0.35172218,0.09694492,0.3290102
1552036975630,64131387393748,-0.5814075,0.20262462,0.36260778
1552036975649,64131407393548,-0.642494,0.30036303,0.32717758
1552036975669,64131427393309,-0.3877632,0.13848376,0.32106894
1552036975690,64131447393081,-0.008415891,-0.13335127,0.239213
1552036975709,64131467392689,0.16384812,-0.33127162,0.08649669
1552036975728,64131487392230,0.067331396,-0.26224384,0.091383606
1552036975750,64131507391710,-0.18556681,-0.1767227,0.2813627
1552036975768,64131527391133,-0.56980103,-0.18344222,0.30640817
1552036975787,64131547390429,-0.59240305,-0.3227195,0.24409992
1552036975808,64131567388929,-0.44335195,-0.26590902,0.13231158
1552036975826,64131587388135,-0.18495595,-0.25552434,0.101768315
1552036975846,64131607386601,0.05694669,-0.26346558,0.21905445
1552036975868,64131627384934,0.09420947,-0.21154203,0.42430517
1552036975889,64131647383900,-0.07683279,-0.045997545,0.5434239
1552036975908,64131667382800,-0.36455032,0.1659727,0.5330392
1552036975931,64131687381566,-0.542923,0.30524996,0.4713418
1552036975948,64131707379566,-0.5136014,0.43108824,0.40353572
1552036975967,64131727377499,-0.48855597,0.5337136,0.21661098
1552036975991,64131747376065,-0.40059137,0.5202745,0.039460063
1552036976011,64131767374498,-0.22466218,0.37000167,-0.09676289
1552036976028,64131787372864,-0.03651569,0.19590509,-0.20305343
1552036976050,64131807371164,0.13880263,0.20567894,-0.2830768
1552036976072,64131827402264,0.31228837,0.1641401,-0.3692088
1552036976088,64131847433030,0.56763005,-0.045386676,-0.47549933
1552036976110,64131867464163,1.0660961,-0.49925956,-0.5194816
1552036976130,64131887496063,0.7747134,-0.23597664,-0.36310014
1552036976192,64131907527163,0.18706098,0.13298598,-0.48099715
1552036976217,64131927557563,0.18706098,0.13298598,-0.48099715
1552036976217,64131947587896,0.18706098,0.13298598,-0.48099715
1552036976217,64131967618162,0.009910067,-0.05760398,-0.57445955
1552036976229,64131987648395,-0.35660908,0.45307937,-0.23054238
1552036976249,64132007679328,-0.40486744,0.4738488,0.21050234
1552036976267,64132027709528,-0.5991226,0.40909708,0.28014097
1552036976291,64132047740294,-0.29246822,-0.24330702,0.06145121
1552036976310,64132067771127,0.21638252,-0.48032272,0.0070842043
1552036976329,64132087801960,0.6623142,-0.66419315,-0.21343815
1552036976351,64132107832726,0.7282876,-0.46871626,-0.3160635
1552036976370,64132127863492,0.49249363,-0.3807517,-0.30079186
1552036976390,64132147894325,0.3147318,-0.35570621,-0.25558785
1552036976411,64132167925858,0.422855,-0.3807517,-0.15784942
1552036976429,64132187956624,0.58290166,-0.3440998,-0.027735116
1552036976450,64132207988090,0.5291455,-0.027060721,0.13475503
1552036976471,64132228019656,0.31412098,0.27226326,0.27647576
1552036976490,64132248050456,0.14430042,0.2484395,0.3760468
1552036976509,64132268081256,-0.093937024,-0.040499754,0.4499615
1552036976531,64132288112122,-0.27841833,-0.28179154,0.50188506
1552036976549,64132308143688,-0.16907346,-0.11197098,0.4994416
1552036976569,64132328175188,0.20538695,0.47812486,0.5770215
1552036976592,64132348205988,0.5456389,0.75667936,0.62466896
1552036976609,64132368236854,0.62199706,0.4982834,0.55503035
