timeMillis,timeNanos,x,y,z
1552381109761,1675574058593161,-6.18,-63.719997,-40.68
1552381109781,1675574078593161,-6.72,-64.14,-40.68
1552381109802,1675574098593161,-7.08,-63.899998,-40.86
1552381109821,1675574118593494,-7.2,-63.84,-40.8
1552381109841,1675574138593494,-6.96,-63.6,-41.04
1552381109862,1675574158593494,-6.6,-63.539997,-41.34
1552381109884,1675574178593494,-6.8999996,-63.84,-41.16
1552381109903,1675574198593636,-6.96,-63.719997,-41.579998
1552381109925,1675574218593636,-7.08,-63.719997,-41.28
1552381109943,1675574238593636,-7.44,-63.42,-41.219997
1552381109964,1675574258593636,-7.5,-62.82,-41.1
1552381109983,1675574278593636,-7.3799996,-62.82,-40.559998
1552381110004,1675574298593636,-7.62,-62.76,-41.1
1552381110023,1675574318593636,-7.74,-63.3,-41.219997
1552381110043,1675574338593707,-7.3799996,-63.48,-41.219997
1552381110062,1675574358593707,-7.5,-63.539997,-41.34
1552381110084,1675574378593707,-7.56,-63.059998,-41.34
1552381110104,1675574398593707,-7.3199997,-62.1,-40.92
1552381110123,1675574418593707,-7.3799996,-61.98,-40.86
1552381110143,1675574438593338,-7.44,-62.219997,-40.92
1552381110162,1675574458592438,-6.96,-62.34,-40.5
1552381110182,1675574478592438,-6.7799997,-62.16,-40.62
1552381110203,1675574498592483,-7.3199997,-62.52,-40.739998
1552381110222,1675574518592483,-7.2599998,-62.34,-40.379997
1552381110244,1675574538592483,-7.8599997,-62.699997,-40.68
1552381110263,1675574558592483,-8.099999,-63.48,-40.98
1552381110285,1675574578592483,-7.68,-63.3,-41.219997
1552381110306,1675574598592520,-8.04,-63.18,-41.579998
1552381110324,1675574618592520,-7.8599997,-62.82,-41.579998
1552381110348,1675574638592520,-8.28,-62.64,-41.219997
1552381110364,1675574658592553,-8.5199995,-62.1,-41.219997
1552381110385,1675574678592553,-8.639999,-61.98,-41.579998
1552381110405,1675574698592586,-8.639999,-62.1,-41.879997
1552381110425,1675574718592552,-8.46,-62.039997,-42.18
1552381110445,1675574738592552,-8.5199995,-62.28,-42.059998
1552381110465,1675574758592585,-7.98,-62.039997,-41.94
1552381110484,1675574778592585,-8.099999,-61.859997,-41.879997
1552381110506,1675574798592551,-7.98,-61.44,-42.12
1552381110524,1675574818592584,-8.04,-61.26,-42.42
1552381110545,1675574838625850,-8.4,-60.899998,-42.719997
1552381110565,1675574858659050,-8.5199995,-60.539997,-42.96
1552381110585,1675574878692050,-8.76,-60.059998,-43.079998
1552381110606,1675574898725150,-8.7,-59.579998,-43.14
1552381110624,1675574918757883,-8.639999,-59.94,-43.14
1552381110673,1675574938790916,-8.88,-59.82,-43.079998
1552381110673,1675574958824249,-9.12,-60.18,-43.079998
1552381110685,1675574978857582,-9.48,-60.3,-43.44
1552381110705,1675574998890648,-9.78,-59.699997,-43.5
1552381110724,1675575018923748,-9.9,-59.82,-43.62
1552381110745,1675575038957314,-9.9,-59.52,-43.559998
1552381110763,1675575058991014,-9.96,-59.64,-43.8
1552381110784,1675575079024080,-10.38,-59.579998,-44.16
1552381110809,1675575099056780,-10.679999,-59.82,-44.46
1552381110825,1675575119089880,-10.32,-59.76,-45.12
1552381110845,1675575139123213,-10.5,-59.16,-45.18
1552381110866,1675575159156546,-10.26,-58.62,-45.239998
1552381110888,1675575179189646,-9.96,-58.02,-45.42
1552381110905,1675575199223379,-10.0199995,-57.3,-45.6
1552381110923,1675575219256145,-9.719999,-57.239998,-45.719997
1552381110944,1675575239288878,-9.48,-57.6,-46.02
1552381110964,1675575259321578,-9.059999,-57.48,-46.14
1552381110986,1675575279354944,-9.42,-58.079998,-46.14
1552381111005,1675575299388244,-9.3,-58.02,-45.84
1552381111024,1675575319421577,-9.599999,-58.079998,-45.84
1552381111046,1675575339454643,-9.599999,-58.14,-45.719997
1552381111066,1675575360888423,-9.42,-58.559998,-45.539997
1552381111083,1675575380921189,-9.54,-59.039997,-45.78
1552381111106,1675575400953922,-9.54,-59.28,-45.6
1552381111123,1675575420986622,-10.38,-59.82,-45.3
1552381111143,1675575440986122,-10.98,-59.82,-44.94
1552381111165,1675575460985922,-11.7,-59.76,-44.7
1552381111184,1675575480986022,-12.12,-59.879997,-44.579998
1552381111245,1675575500988988,-12.24,-60.059998,-44.399998
1552381111272,1675575520988988,-12.36,-60.12,-44.1
1552381111272,1675575540988688,-12.12,-60.359997,-43.559998
1552381111272,1675575560988088,-12.059999,-61.26,-43.26
1552381111282,1675575580987488,-11.7,-61.98,-43.559998
1552381111303,1675575600987188,-11.16,-61.379997,-43.68
1552381111328,1675575620987154,-10.8,-61.44,-44.1
1552381111342,1675575640986587,-10.86,-61.859997,-43.92
1552381111364,1675575660986220,-10.2,-62.219997,-43.62
1552381111385,1675575680986286,-10.08,-62.76,-43.92
1552381111405,1675575700986886,-10.98,-63.18,-43.26
1552381111424,1675575720987119,-11.4,-63.239998,-43.14
1552381111446,1675575740987119,-11.58,-63.359997,-43.68
1552381111468,1675575760987119,-11.34,-63.6,-43.559998
1552381111487,1675575780987352,-11.28,-63.66,-42.96
1552381111506,1675575800986952,-11.219999,-64.14,-42.6
1552381111525,1675575820987518,-11.88,-64.5,-42.84
1552381111545,1675575840988151,-12.42,-65.1,-42.0
1552381111566,1675575860988484,-13.139999,-65.58,-41.1
1552381111585,1675575880988184,-14.04,-65.34,-40.62
1552381111605,1675575900988217,-14.82,-65.64,-39.66
1552381111625,1675575920988217,-15.299999,-66.0,-39.899998
1552381111689,1675575940988483,-15.54,-65.939995,-40.079998
1552381111689,1675575960988849,-15.96,-66.0,-39.66
1552381111689,1675575980989415,-16.38,-66.18,-39.719997
1552381111705,1675576000990048,-16.859999,-66.0,-38.94
1552381111724,1675576020990648,-17.279999,-65.76,-38.76
1552381111744,1675576040991214,-17.64,-66.299995,-38.82
1552381111764,1675576060991580,-18.18,-66.479996,-37.559998
1552381111784,1675576080991813,-18.48,-66.479996,-37.38
1552381111805,1675576100989079,-18.779999,-66.9,-37.38
