timeMillis,timeNanos,x,y,z
1552381195680,1675659979338263,72.0,38.94,-10.92
1552381195700,1675659999338263,71.88,38.879997,-11.099999
1552381195720,1675660019338763,72.06,38.94,-11.28
1552381195740,1675660039338763,71.64,38.64,-10.679999
1552381195760,1675660059339013,72.0,37.98,-10.44
1552381195780,1675660079339013,72.0,38.219997,-10.08
1552381195800,1675660099339013,72.119995,38.16,-10.139999
1552381195820,1675660119339013,71.939995,37.86,-10.74
1552381195842,1675660139339013,71.82,37.86,-10.2
1552381195861,1675660159339013,71.64,37.8,-10.32
1552381195880,1675660179337913,71.58,38.04,-10.32
1552381195901,1675660199337913,71.82,38.219997,-9.96
1552381195921,1675660219337996,71.52,39.239998,-10.38
1552381195942,1675660239337996,71.159996,39.48,-11.34
1552381195961,1675660259337996,70.56,39.66,-11.4
1552381195981,1675660279338062,70.08,40.079998,-11.82
1552381196002,1675660299338062,70.619995,39.66,-11.88
1552381196022,1675660319338062,70.56,39.78,-11.88
1552381196041,1675660339338062,70.92,40.079998,-12.059999
1552381196061,1675660359338062,70.32,40.26,-12.54
1552381196081,1675660379338112,69.78,40.68,-13.139999
1552381196123,1675660399338112,70.08,41.04,-13.38
1552381196185,1675660419337657,69.72,41.04,-13.32
1552381196185,1675660439339743,70.32,40.86,-13.32
1552381196185,1675660459339743,70.74,40.8,-12.36
1552381196185,1675660479339783,70.5,41.64,-12.599999
1552381196201,1675660499339783,69.6,41.94,-13.0199995
1552381196224,1675660519339783,69.78,41.82,-13.0199995
1552381196242,1675660539339533,69.96,42.0,-13.08
1552381196261,1675660559339533,70.619995,42.12,-12.599999
1552381196281,1675660579339533,70.979996,42.12,-12.42
1552381196301,1675660599339566,70.619995,42.36,-13.259999
1552381196323,1675660619339532,70.38,42.42,-13.62
1552381196342,1675660639339565,69.84,41.879997,-12.719999
1552381196362,1675660659339531,69.479996,41.76,-12.36
1552381196383,1675660679339531,69.9,42.18,-13.0199995
1552381196402,1675660699339531,70.439995,42.54,-13.259999
1552381196423,1675660719339531,69.96,42.42,-12.9
1552381196443,1675660739339531,69.479996,42.059998,-13.139999
1552381196462,1675660759339564,69.36,41.76,-13.08
1552381196483,1675660779339930,68.76,41.879997,-13.139999
1552381196503,1675660799339963,68.76,42.12,-13.139999
1552381196522,1675660819339929,69.24,42.3,-13.08
1552381196543,1675660839339962,69.54,42.36,-13.679999
1552381196563,1675660859339962,69.119995,42.48,-13.679999
1552381196631,1675660879339928,68.58,42.36,-13.44
1552381196631,1675660899339928,68.22,41.879997,-13.259999
1552381196631,1675660919339928,68.22,42.36,-13.98
1552381196644,1675660939339928,68.64,42.6,-14.58
1552381196661,1675660959339961,68.22,42.42,-13.679999
1552381196680,1675660979339927,67.92,42.18,-13.559999
1552381196701,1675660999339960,68.52,42.66,-13.98
1552381196721,1675661019340293,68.04,42.96,-13.799999
1552381196743,1675661039338693,67.14,42.36,-13.679999
1552381196762,1675661059338726,67.92,42.48,-13.38
1552381196783,1675661079338692,68.04,42.899998,-13.62
1552381196802,1675661099338692,67.32,42.54,-13.799999
1552381196822,1675661119338725,67.08,42.48,-14.16
1552381196843,1675661139338958,66.659996,43.379997,-14.639999
1552381196862,1675661159338991,66.96,43.559998,-14.46
1552381196883,1675661179338991,67.02,43.559998,-14.7
1552381196903,1675661199338957,66.78,43.5,-14.46
1552381196924,1675661219338990,66.659996,42.719997,-14.639999
1552381196943,1675661239338956,66.9,42.96,-14.759999
1552381196963,1675661259338956,66.78,43.2,-14.34
1552381196983,1675661279338956,66.84,42.78,-14.219999
1552381197003,1675661299338956,67.02,42.42,-13.799999
1552381197022,1675661319338989,66.659996,41.82,-13.5
1552381197045,1675661339372322,66.42,42.12,-14.219999
1552381197066,1675661359405022,66.24,42.42,-14.759999
1552381197084,1675661379471722,65.34,41.16,-15.42
1552381197106,1675661399538355,65.34,40.62,-15.839999
1552381197123,1675661419605055,65.4,41.1,-15.9
1552381197143,1675661439671421,64.92,40.98,-16.619999
1552381197166,1675661459738087,64.799995,40.98,-17.34
1552381197184,1675661479804753,64.619995,40.44,-16.859999
1552381197204,1675661499871419,64.619995,39.899998,-16.619999
1552381197225,1675661519938085,64.86,39.239998,-17.1
1552381197245,1675661540004785,64.26,38.28,-17.279999
1552381197265,1675661560071418,63.66,37.98,-17.1
1552381197288,1675661579682362,64.26,38.579998,-16.68
1552381197305,1675661599748995,64.86,38.46,-15.96
1552381197324,1675661619815695,65.1,37.5,-15.78
1552381197347,1675661639882361,65.64,37.32,-15.48
1552381197365,1675661659948994,65.939995,37.92,-14.82
1552381197384,1675661680015660,65.46,38.1,-15.12
1552381197404,1675661700082326,64.799995,38.94,-15.54
1552381197424,1675661720148959,64.92,39.899998,-15.179999
1552381197445,1675661740215659,65.28,39.66,-14.7
1552381197465,1675661760282292,65.52,39.78,-14.099999
1552381197485,1675661780348992,65.82,39.96,-13.679999
1552381197505,1675661800415658,64.979996,39.12,-14.04
1552381197525,1675661820482291,64.32,38.94,-15.299999
1552381197545,1675661840548991,64.38,40.02,-16.08
1552381197564,1675661860615657,63.719997,40.32,-16.14
1552381197648,1675661880682323,62.82,40.62,-16.32
1552381197648,1675661900748989,62.039997,42.239998,-17.039999
1552381197648,1675661920815622,61.32,44.04,-17.82
1552381197648,1675661940848988,61.379997,45.78,-18.42
1552381197664,1675661960882921,60.719997,46.5,-19.8
1552381197683,1675661980882887,58.559998,46.68,-21.42
