timeMillis,timeNanos,x,y,z
1552453870399,312777315972896,0.14511836,0.4217597,-0.23713851
1552453870421,312777335972896,0.039438684,0.5775303,-0.090530835
1552453870438,312777355972896,0.007062824,0.54576534,-0.03127691
1552453870458,312777375972896,0.106023,0.4040446,-0.11374372
1552453870476,312777395972896,0.2550741,0.25926954,-0.2072061
1552453870498,312777415972896,0.441388,0.12915525,-0.27684474
1552453870520,312777435972896,0.6380866,0.07234477,-0.28173167
1552453870537,312777455972896,0.6900102,0.0717339,-0.2072061
1552453870558,312777475972896,0.6142629,0.03813632,-0.11985237
1552453870580,312777495972896,0.57455665,-0.024782803,-0.055711523
1552453870599,312777515972896,0.61304116,-0.011343767,-0.13390227
1552453870620,312777535973259,0.75109667,0.030805934,-0.24385801
1552453870642,312777555973259,0.83600694,0.017977765,-0.23408417
1552453870659,312777575973259,0.9007587,-0.016841555,-0.19437793
1552453870680,312777595973259,0.96489954,-0.10053009,-0.19376706
1552453870698,312777615972525,0.86227417,-0.22453573,-0.18949102
1552453870717,312777635973087,0.61304116,-0.30883515,-0.16872159
1552453870738,312777655973557,0.40473607,-0.32777196,-0.12779361
1552453870761,312777675973890,0.31371716,-0.23614219,-0.109467655
1552453870780,312777695974100,0.33509746,-0.03394578,-0.14123265
1552453870800,312777715974200,0.32837793,0.039968915,-0.1491739
1552453870822,312777735974200,0.12740327,-0.08159327,-0.16200207
1552453870840,312777755974154,-0.152373,-0.27523756,-0.16078036
1552453870860,312777775974067,-0.32036096,-0.46521664,-0.11252199
1552453870883,312777795973983,-0.37228447,-0.54157484,-0.08197873
1552453870900,312777815973823,-0.49934444,-0.5110315,-0.1051916
1552453870919,312777835972707,-0.6300696,-0.4132931,-0.08991998
1552453870944,312777855972336,-0.6667216,-0.37480858,-0.08258959
1552453870958,312777875971157,-0.62212837,-0.5140859,-0.18399322
1552453870979,312777895970605,-0.57387,-0.6661913,-0.35014856
1552453871004,312777915969638,-0.4614708,-0.58128107,-0.36603108
1552453871017,312777935968271,-0.3716736,-0.33693492,-0.2475232
1552453871039,312777955967237,-0.5054531,-0.21964882,-0.12046324
1552453871060,312777975965670,-0.7546862,-0.2410291,-0.06792883
1552453871078,312777995964570,-0.7198668,-0.2795136,-0.13023707
1552453871099,312778015963570,-0.18963578,-0.30700254,-0.1846041
1552453871121,312778035962436,0.34914738,-0.2905092,-0.13940005
1552453871140,312778055961236,0.38274497,-0.13229509,-0.06365277
1552453871158,312778075959269,0.093805686,-0.037610974,0.00842933
1552453871181,312778096939569,-0.13343619,-0.005235115,-0.022724798
1552453871198,312778116938102,-0.0821235,-0.039443567,-0.12962621
1552453871219,312778136936468,0.14023145,-0.17566653,-0.1387892
1552453871243,312778156934901,0.2501872,-0.3778629,-0.09236343
1552453871259,312778176933201,0.22208738,-0.5605116,-0.08930911
1552453871279,312778196931434,0.30149987,-0.63259375,-0.09725036
1552453871349,312778216929967,0.56722623,-0.4676601,0.020646635
1552453871350,312778236927067,0.59776956,-0.13779287,0.2057388
