timeMillis,timeNanos,x,y,z
1552453870277,312777195972896,-36.719997,-43.559998,-35.88
1552453870295,312777215972896,-36.96,-44.399998,-35.64
1552453870316,312777235972896,-36.719997,-44.64,-35.82
1552453870339,312777255972896,-36.3,-45.059998,-35.88
1552453870356,312777275972896,-36.12,-44.82,-36.36
1552453870376,312777295972896,-35.82,-45.18,-36.899998
1552453870399,312777315972896,-35.04,-45.719997,-36.36
1552453870421,312777335972896,-34.2,-45.96,-36.42
1552453870438,312777355972896,-33.48,-46.14,-36.48
1552453870458,312777375972896,-31.98,-45.539997,-36.36
1552453870476,312777395972896,-31.32,-45.36,-36.66
1552453870498,312777415972896,-31.08,-45.36,-36.6
1552453870520,312777435972896,-30.48,-45.78,-36.18
1552453870537,312777455972896,-30.48,-46.379997,-35.7
1552453870558,312777475972896,-30.359999,-47.399998,-34.98
1552453870580,312777495972896,-29.939999,-48.18,-34.8
1552453870599,312777515972896,-30.06,-48.539997,-34.38
1552453870620,312777535973131,-29.82,-49.5,-33.66
1552453870642,312777555973131,-29.64,-50.039997,-33.6
1552453870659,312777575973131,-29.519999,-50.579998,-32.76
1552453870680,312777595973131,-29.22,-51.3,-31.74
1552453870698,312777615972607,-29.34,-51.719997,-31.439999
1552453870717,312777635973016,-29.46,-52.8,-30.48
1552453870738,312777655973363,-29.64,-53.16,-29.76
1552453870761,312777675973613,-29.76,-53.64,-29.16
1552453870780,312777695973773,-29.939999,-54.18,-28.68
1552453870800,312777715973849,-30.0,-54.18,-28.32
1552453870822,312777735973849,-29.82,-54.84,-27.48
1552453870840,312777755973813,-29.16,-55.14,-27.18
1552453870860,312777775973744,-28.74,-55.26,-26.519999
1552453870883,312777795973677,-28.8,-55.02,-26.22
1552453870900,312777815973543,-29.039999,-54.899998,-26.279999
1552453870919,312777835972576,-29.88,-55.079998,-26.64
1552453870944,312777855972242,-30.3,-54.66,-27.0
1552453870958,312777875971142,-30.599998,-54.42,-27.3
1552453870979,312777895970608,-30.9,-54.18,-27.48
1552453871004,312777915969641,-30.96,-54.0,-27.539999
1552453871017,312777935968274,-30.84,-54.42,-27.539999
1552453871039,312777955967240,-31.08,-54.899998,-27.42
1552453871060,312777975965673,-30.84,-55.079998,-28.14
