timeMillis,timeNanos,x,y,z
1552453964461,312871381915591,0.24530026,-0.27340496,-0.284786
1552453964486,312871401915591,0.69611883,-0.6234307,-0.25790793
1552453964503,312871421915591,0.85555464,-0.049828276,-0.04838114
1552453964523,312871441915591,0.2850065,1.603784,0.27232313
1552453964541,312871461915591,-0.12916012,1.9770225,-0.014172684
1552453964564,312871481915591,0.15244874,0.9110627,-0.402683
1552453964582,312871501915591,0.91541946,-0.749269,-0.7221655
1552453964602,312871521915591,1.6325752,-1.1762638,-0.6965092
1552453964625,312871541915591,1.6173036,-0.776147,-0.27806646
1552453964644,312871561915591,0.8867088,-0.19277075,0.13304584
1552453964663,312871581915591,0.10113607,-0.118245184,0.32241407
1552453964686,312871601915591,-0.14687522,-0.5825027,0.45252836
1552453964704,312871621915591,0.016836667,-1.3308127,0.5099497
1552453964724,312871641915591,0.2520198,-1.3961753,0.49345633
1552453964747,312871661915876,-0.42237547,0.8896825,0.5844753
1552453964760,312871681915076,-0.34968245,1.0857702,0.41404384
1552453964782,312871701915513,0.06998194,0.58608246,0.14220881
1552453964804,312871721915807,0.4908681,-0.13229509,0.07806797
1552453964823,312871741915862,0.47987252,0.20673512,0.15442611
1552453964845,312871761915809,0.22453085,0.7528486,0.15137179
1552453964866,312871781915709,-0.087621294,1.0833268,0.06768326
1552453964884,312871801915518,-0.30570018,1.2531474,0.05607682
1552453964905,312871821915336,-0.34113038,1.358216,0.08784181
1552453964927,312871841915075,-0.4596382,1.1798435,0.104335174
1552453964944,312871861914741,-0.63984346,-0.28867656,0.059131145
1552453964965,312871881914261,-0.32036096,-0.8476183,0.014537982
1552453964987,312871901952184,-0.07540398,-0.12252124,-0.19804312
1552453965007,312871921988628,0.12801415,0.35334277,-0.16933246
1552453965024,312871942023628,0.25629583,0.15542243,0.04813557
1552453965046,312871962824809,0.45360532,-0.083425865,0.11471988
1552453965063,312871982856642,0.63686484,-0.017452419,0.1318241
1552453965083,312872002888408,0.6692407,-0.069986835,0.05180076
1552453965106,312872022920741,0.66435385,-0.123742975,-0.058154985
1552453965122,312872042952307,0.6820689,-0.0687651,-0.084422186
1552453965146,312872062984507,0.6472496,0.045466702,-0.08503305
1552453965167,312872083016573,0.514081,0.18230052,-0.07098316
1552453965185,312872103048573,0.332654,0.21284378,-0.044715945
1552453965205,312872123080073,0.23308297,0.09983371,-0.039829027
1552453965225,312872143111239,0.23735902,-0.03150232,-0.087476514
1552453965245,312872163143005,0.27645442,-0.12496471,-0.15039563
1552453965265,312872183174705,0.2941695,-0.08648019,-0.18521495
1552453965286,312872203206338,0.24530026,0.030805934,-0.198654
1552453965305,312872223237904,0.12373808,0.069290444,-0.16627814
1552453965324,312872243269337,-0.0021001545,0.030805934,-0.14611958
1552453965344,312872263300570,-0.047915045,-0.050439145,-0.22980812
1552453965411,312872283331536,-0.026534766,-0.14878845,-0.32937914
1552453965411,312872303362136,-0.048525915,-0.17383392,-0.30005762
1552453965411,312872323393069,-0.0839561,-0.10297356,-0.24141455
1552453965423,312872343424069,-0.049747642,-9.5905847E-4,-0.22797552
1552453965443,312872363455069,-0.021036977,-0.03700011,-0.2689035
