timeMillis,timeNanos,x,y,z
1552453964340,312871261915591,41.28,22.14,-33.899998
1552453964360,312871281915591,41.46,22.439999,-33.54
1552453964383,312871301920591,41.76,23.039999,-33.42
1552453964401,312871321920591,42.0,23.1,-33.36
1552453964421,312871341920591,42.0,23.1,-32.88
1552453964443,312871361920591,42.239998,23.039999,-32.399998
1552453964461,312871381920591,42.3,23.34,-32.399998
1552453964486,312871401920591,42.36,23.039999,-32.64
1552453964503,312871421920591,42.6,22.8,-32.76
1552453964523,312871441920591,42.78,22.619999,-32.7
1552453964541,312871461920591,43.86,21.9,-31.38
1552453964564,312871481920591,44.82,22.439999,-30.359999
1552453964582,312871501920591,44.94,22.92,-30.48
1552453964602,312871521920591,44.1,22.74,-31.199999
1552453964625,312871541920591,43.26,22.56,-32.82
1552453964644,312871561920591,42.3,21.6,-34.32
1552453964663,312871581920591,41.82,20.88,-34.559998
1552453964686,312871601920591,41.94,20.34,-34.62
1552453964704,312871621920591,41.579998,20.1,-34.68
1552453964724,312871641920591,41.399998,19.26,-34.92
1552453964747,312871661920791,41.28,18.66,-35.579998
1552453964760,312871681920219,41.219997,18.18,-35.82
1552453964782,312871701920537,41.399998,17.4,-36.059998
1552453964804,312871721920754,41.1,17.52,-36.059998
1552453964823,312871741920795,41.1,17.1,-35.7
1552453964845,312871761920755,41.16,16.619999,-36.0
1552453964866,312871781920678,41.34,16.32,-35.52
1552453964884,312871801920529,42.12,15.839999,-34.559998
1552453964905,312871821920386,42.6,16.02,-33.719997
1552453964927,312871841920179,43.68,16.32,-32.579998
1552453964944,312871861919912,44.04,16.8,-31.92
1552453964965,312871881919512,44.1,17.16,-31.679998
1552453964987,312871901952045,43.98,16.92,-31.619999
1552453965007,312871921984845,43.32,16.92,-31.8
1552453965024,312871942017511,43.32,16.92,-32.04
1552453965045,312871962824809,43.2,17.039999,-31.8
1552453965063,312871982856642,43.32,16.98,-31.8
1552453965083,312872002888408,43.14,16.56,-31.679998
1552453965105,312872022920741,42.84,15.48,-31.74
1552453965122,312872042952307,43.02,14.639999,-32.28
1552453965146,312872062984507,42.48,13.679999,-32.219997
1552453965167,312872083016573,42.84,13.2,-32.219997
1552453965185,312872103048573,42.54,12.9,-32.34
1552453965205,312872123080073,42.6,12.66,-32.34
1552453965225,312872143111239,42.66,12.54,-32.94
1552453965245,312872163143005,41.82,11.82,-33.239998
1552453965265,312872183174705,41.94,11.4,-33.239998
1552453965286,312872203206338,41.76,10.92,-33.719997
1552453965305,312872223237904,42.059998,10.44,-33.66
1552453965324,312872243269337,42.36,10.559999,-33.899998
1552453965344,312872263300570,42.54,10.62,-34.14
1552453965411,312872283331536,41.94,10.38,-33.96
1552453965411,312872303362136,41.46,10.26,-34.02
1552453965411,312872323393069,41.28,10.26,-34.02
1552453965423,312872343424069,40.98,10.08,-34.32
1552453965443,312872363455069,40.62,9.78,-34.26
1552453965468,312872383485969,40.26,9.9,-34.98
1552453965485,312872403516169,40.14,9.78,-35.28
1552453965542,312872423546569,39.54,9.78,-35.52
1552453965567,312872443576635,39.36,10.559999,-36.059998
1552453965567,312872463606701,38.579998,11.219999,-36.6
1552453965567,312872483636834,38.46,11.34,-37.32
1552453965585,312872503634334,37.739998,11.16,-37.86
1552453965604,312872523631767,37.26,11.7,-38.52
1552453965624,312872543629267,36.84,12.42,-39.3
1552453965645,312872563627467,35.82,12.36,-39.78
1552453965664,312872583625633,35.28,12.9,-40.44
1552453965684,312872603623799,34.559998,12.84,-40.44
1552453965707,312872623621332,34.32,11.219999,-39.66
1552453965724,312872643619565,34.8,9.78,-39.54
1552453965743,312872663617031,34.8,9.059999,-40.26
1552453965765,312872683614564,34.86,8.58,-40.68
1552453965785,312872703645430,34.8,7.68,-40.079998
1552453965806,312872723709996,34.5,6.7799997,-40.8
1552453965828,312872743808162,34.38,6.6,-41.82
1552453965847,312872763938995,33.78,6.12,-41.76
1552453965868,312872784103095,34.079998,5.7,-41.28
1552453965891,312872804300528,34.26,6.0,-40.8
1552453965911,312872824531294,34.02,5.16,-41.52
1552453965932,312872844761827,34.26,4.3199997,-42.0
1552453965956,312872864992693,34.44,4.14,-41.64
1552453965972,312872885257626,35.1,3.9599998,-41.399998
1552453965995,312872905554792,35.16,4.14,-41.46
1552453966018,312872925885658,34.92,3.72,-41.34
1552453966037,312872946249858,34.68,2.6399999,-41.16
1552453966057,312872966613991,34.5,1.62,-41.16
1552453966079,312872986978191,34.5,0.96,-41.64
1552453966097,312873007343091,34.2,0.0,-41.76
1552453966117,312873027707724,34.26,-1.14,-42.18
1552453966136,312873048072624,34.14,-2.1599998,-43.079998
1552453966157,312873068470857,33.66,-2.3999999,-43.32
1552453966179,312873088902423,33.0,-2.3999999,-43.8
1552453966201,312873109366556,32.579998,-3.6,-44.46
1552453966221,312873129864089,31.92,-4.56,-44.52
1552453966242,312873150394955,31.859999,-4.98,-45.42
1552453966264,312873170959088,32.7,-5.2799997,-45.96
1552453966283,312873191556588,32.16,-5.52,-45.84
1552453966304,312873212187421,31.32,-6.0,-46.5
1552453966328,312873232851521,31.08,-6.8999996,-46.32
1552453966345,312873253515654,31.38,-7.02,-46.26
1552453966418,312873274179854,31.98,-6.72,-46.26
1552453966418,312873294843987,31.439999,-6.96,-46.739998
1552453966418,312873315508120,30.539999,-6.2999997,-48.3
1552453966424,312873336138286,30.0,-4.44,-49.26
1552453966448,312873356769086,29.46,-3.12,-48.66
1552453966466,312873377399886,29.46,-2.3999999,-49.379997
1552453966490,312873398030752,29.099998,-1.68,-50.7
1552453966512,312873418661552,28.439999,-1.0799999,-50.399998
1552453966531,312873439259018,27.66,-0.65999997,-51.84
1552453966548,312873459856784,26.519999,0.29999998,-53.52
1552453966570,312873480454217,25.92,1.8,-53.46
1552453966589,312873501018250,25.74,3.24,-53.879997
1552453966611,312873521549716,25.56,5.3399997,-54.239998
1552453966631,312873542047149,25.199999,7.14,-53.94
1552453966652,312873562511182,25.859999,7.7999997,-54.059998
1552453966668,312873582975282,26.939999,9.0,-54.18
1552453966691,312873603439382,27.119999,11.219999,-53.82
1552453966709,312873623903482,27.84,12.66,-53.699997
1552453966733,312873647700808,28.439999,14.099999,-53.039997
1552453966753,312873668198274,29.099998,16.02,-52.86
1552453966772,312873688695740,29.699999,16.98,-52.98
1552453966793,312873709159806,30.42,17.699999,-52.98
1552453966815,312873729623939,31.14,18.119999,-52.739998
1552453966834,312873750088072,31.439999,17.88,-52.26
1552453966855,312873770552138,33.12,17.699999,-52.26
1552453966878,312873790982938,34.5,17.1,-51.18
1552453966896,312873811413738,34.92,15.66,-50.879997
1552453966917,312873831844471,36.96,13.92,-51.36
1552453966941,312873852275271,38.64,11.759999,-50.82
1552453966959,312873872739371,39.719997,8.28,-50.579998
1552453966984,312873893236804,40.559998,5.94,-50.28
1552453967003,312873913767704,40.379997,4.7999997,-50.76
1552453967022,312873934298604,40.14,2.1599998,-51.48
1552453967042,312873954830137,40.32,0.48,-52.199997
1552453967065,312873975361037,40.32,0.24,-52.199997
1552453967084,312873995891937,40.26,-1.5,-51.3
1552453967108,312874016422770,41.219997,-3.54,-51.239998
1552453967127,312874036920336,41.82,-4.3199997,-50.28
1552453967145,312874057417902,41.94,-5.22,-50.039997
1552453967167,312874077915468,41.879997,-6.24,-50.46
