timeMillis,timeNanos,value
1552453964206,312871113915591,1011.79175
1552453964301,312871213915591,1011.7971
1552453964401,312871313915591,1011.78735
1552453964503,312871413915591,1011.79834
1552453964602,312871513915591,1011.7937
1552453964704,312871613915591,1011.7866
1552453964804,312871713916424,1011.76465
1552453964906,312871813915852,1011.7693
1552453965007,312871914038852,1011.77637
1552453965106,312872014837809,1011.78345
1552453965205,312872114932309,1011.78296
1552453965305,312872215018399,1011.771
1552453965411,312872315096149,1011.77563
1552453965541,312872415165995,1011.77563
1552453965604,312872515230780,1011.76904
1552453965707,312872615290513,1011.7749
1552453965806,312872715470638,1011.7771
1552453965911,312872815933579,1011.77
1552453966018,312872916536856,1011.75415
1552453966117,312873017160382,1011.75757
1552453966221,312873117952032,1011.7532
1552453966328,312873218943412,1011.75586
1552453966424,312873319933730,1011.7571
1552453966531,312873421055208,1011.7512
1552453966631,312873522129458,1011.7444
1552453966733,312873639700808,1011.7444
1552453966834,312873740845308,1011.7505
1552453966941,312873842095048,1011.77856
1552453967042,312873943442655,1011.77856
1552453967145,312874044846827,1011.771
1552453967253,312874146337060,1011.7583
1552453967356,312874247960160,1011.7583
1552453967453,312874349582460,1011.7798
1552453967553,312874451204793,1011.7905
1552453967653,312874552826659,1011.7905
1552453967753,312874654448125,1011.7925
1552453967855,312874756068991,1011.7793
1552453967955,312874857723091,1011.7832
1552453968054,312874959344057,1011.7947
1552453968157,312875060965157,1011.80786
1552453968258,312875162686690,1011.81104
1552453968359,312875264474356,1011.7883
1552453968469,312875366328756,1011.7815
1552453968563,312875468283556,1011.7837
1552453968664,312875570237989,1011.79224
1552453968766,312875672192322,1011.7908
1552453968864,312875774080055,1011.7864
1552453968965,312875875834421,1011.7932
1552453969068,312875977488754,1011.781
1552453969165,312876079109887,1011.7827
1552453969264,312876180597687,1011.78906
1552453969441,312876281918887,1011.79956
1552453969463,312876383207353,1011.7859
1552453969563,312876484361886,1011.77026
1552453969667,312876585516419,1011.7849
1552453969763,312876686670952,1011.78784
1552453969865,312876787692118,1011.7761
1552453969967,312876888579984,1011.7815
1552453970067,312876989401117,1011.7805
1552453970172,312877090288983,1011.7761
1552453970279,312877191210416,1011.7722
1552453970422,312877292131916,1011.782
1552453970480,312877393053749,1011.781
1552453970583,312877494041815,1011.76074
1552453970682,312877595029915,1011.76074
1552453970782,312877696051348,1011.75586
1552453970890,312877797239414,1011.7671
1552453970993,312877898527480,1011.7671
1552453971093,312877999815313,1011.75635
1552453971195,312878101103079,1011.7468
1552453971293,312878202291012,1011.7468
1552453971437,312878303445778,1011.7522
1552453971499,312878404700478,1011.749
1552453971602,312878506021811,1011.749
1552453971706,312878607443144,1011.7573
1552453971808,312878708864510,1011.75464
1552453971912,312878810452543,1011.7593
1552453972014,312878912073876,1011.75366
1552453972114,312879013695209,1011.76416
1552453972214,312879115316375,1011.7656
1552453972318,312879217104275,1011.76
1552453972423,312879318925575,1011.7532
1552453972518,312879420746941,1011.75635
1552453972624,312879522701541,1011.7573
1552453972730,312879624822741,1011.7688
1552453972833,312879727110707,1011.7883
1552453972937,312879829564573,1011.7749
1552453973041,312879932019173,1011.781
1552453973138,312880034407039,1011.7864
1552453973237,312880136628205,1011.7827
1552453973340,312880238682471,1011.7803
1552453973445,312880340636971,1011.7842
1552453973540,312880442591637,1011.78174
1552453973645,312880544646237,1011.7798
1552453973750,312880646867470,1011.7798
1552453973852,312880749188636,1011.7898
1552453973960,312880851476569,1011.79517
1552453974061,312880953664435,1011.79517
1552453974159,312881055852335,1011.7898
1552453974260,312881158040235,1011.78735
1552453974360,312881260227935,1011.78735
1552453974458,312881362448868,1011.7988
1552453974567,312881464603268,1011.8013
1552453974662,312881566591068,1011.8013
1552453974767,312881668478801,1011.7883
1552453974866,312881770366567,1011.79565
1552453974962,312881872087633,1011.7883
1552453975064,312881973775433,1011.79663
1552453975166,312882075463233,1011.7981
1552453975265,312882177150999,1011.7825
1552453975366,312882278672132,1011.78296
1552453975466,312882380159798,1011.7783
1552453975564,312882481647664,1011.7888
1552453975664,312882583002430,1011.80273
1552453975766,312882684190530,1011.79614
1552453975865,312882785211930,1011.79443
1552453975964,312882886067396,1011.7903
1552453976066,312882986922162,1011.7971
1552453976162,312883087776995,1011.7998
1552453976267,312883188731728,1011.8008
1552453976372,312883289786494,1011.7959
1552453976474,312883390941027,1011.79565
1552453976580,312883492228727,1011.7988
1552453976683,312883593516693,1011.8042
1552453976788,312883694804793,1011.8069
1552453976893,312883796126226,1011.81445
1552453977001,312883897480892,1011.8032
1552453977103,312883998968925,1011.8032
1552453977209,312884100623625,1011.80273
1552453977314,312884202444925,1011.8113
1552453977433,312884304266258,1011.8113
1552453977513,312884406054224,1011.8074
1552453977615,312884507775457,1011.80176
1552453977716,312884609563323,1011.80176
1552453977816,312884711351356,1011.80347
1552453977918,312884813139322,1011.7976
1552453978017,312884914927322,1011.7976
1552453978117,312885016715322,1011.77295
1552453978219,312885118503288,1011.77
1552453978326,312885220457921,1011.78
1552453978427,312885322445854,1011.7925
1552453978525,312885424433854,1011.79175
1552453978623,312885526421620,1011.78955
1552453978726,312885628409220,1011.782
1552453978828,312885730397086,1011.79297
1552453978924,312885832385019,1011.7881
1552453979024,312885934372985,1011.7964
1552453979127,312886036360885,1011.7903
1552453979225,312886138348785,1011.79346
1552453979324,312886240236718,1011.7986
1552453979452,312886342024684,1011.8069
1552453979523,312886443712584,1011.80786
1552453979623,312886545267217,1011.82715
1552453979727,312886646655017,1011.8164
1552453979825,312886747876017,1011.8074
1552453979926,312886848930550,1011.8013
1552453980026,312886949818483,1011.8069
1552453980124,312887050573049,1011.81323
1552453980225,312887151194282,1011.81274
1552453980334,312887251815548,1011.81494
1552453980436,312887352436748,1011.81274
1552453980533,312887453024648,1011.8054
1552453980632,312887553579214,1011.81274
1552453980730,312887654067114,1011.81885
1552453980830,312887754554914,1011.8252
1552453980934,312887855042914,1011.81323
1552453981032,312887955531080,1011.80566
1552453981133,312888056019246,1011.80615
1552453981233,312888156507379,1011.81055
1552453981330,312888256828912,1011.812
1552453981436,312888357183745,1011.80786
1552453981534,312888457538578,1011.81274
1552453981633,312888557893378,1011.81274
1552453981737,312888658248178,1011.81885
1552453981836,312888758602811,1011.83496
1552453981935,312888858957311,1011.83496
1552453982035,312888959312011,1011.844
1552453982137,312889059666844,1011.822
1552453982235,312889160021677,1011.822
1552453982339,312889260509810,1011.8286
1552453982442,312889361031276,1011.8501
1552453982540,312889461552776,1011.8501
1552453982639,312889562074276,1011.83057
1552453982743,312889662595742,1011.81836
1552453982842,312889763117208,1011.81836
1552453982941,312889863671908,1011.8386
1552453983046,312889964359874,1011.84033
1552453983151,312890065181307,1011.84033
1552453983255,312890166136073,1011.833
1552453983360,312890267056773,1011.82446
1552453983468,312890368078173,1011.8296
1552453983566,312890469232939,1011.8296
1552453983667,312890570387639,1011.8357
1552453983769,312890671609039,1011.8335
1552453983868,312890772830439,1011.8252
1552453983970,312890874051672,1011.8408
1552453984068,312890975272738,1011.8445
1552453984168,312891076493938,1011.8523
1552453984273,312891177715338,1011.85913
1552453984368,312891278936671,1011.8386
1552453984470,312891380091371,1011.83154
1552453984571,312891481279404,1011.8506
1552453984670,312891582467470,1011.8589
1552453984769,312891683655536,1011.8572
1552453984872,312891784843502,1011.84717
1552453984970,312891886031535,1011.83936
1552453985070,312891987219401,1011.8269
1552453985179,312892088407134,1011.83716
1552453985269,312892189595000,1011.8462
1552453985372,312892290649533,1011.84717
1552453985490,312892391737399,1011.83887
1552453985575,312892492891899,1011.8264
1552453985674,312892594046432,1011.8462
1552453985775,312892695200898,1011.8462
1552453985876,312892796455431,1011.8457
1552453985981,312892897776531,1011.8508
1552453986083,312892998964397,1011.8428
1552453986181,312893099985530,1011.8428
1552453986281,312893200839963,1011.8357
1552453986383,312893301562163,1011.86475
1552453986480,312893402183663,1011.86475
1552453986579,312893502671796,1011.87524
1552453986683,312893603159996,1011.85376
1552453986781,312893703581496,1011.85376
1552453986881,312893804002996,1011.85547
1552453986981,312893904424462,1011.86816
1552453987081,312894004845928,1011.86816
1552453987182,312894105267228,1011.855
1552453987284,312894205688394,1011.84644
1552453987385,312894306109660,1011.84644
1552453987482,312894406531160,1011.8567
1552453987583,312894506919326,1011.85596
1552453987679,312894607307459,1011.85596
1552453987779,312894707695592,1011.84204
1552453987882,312894808083825,1011.83887
1552453987980,312894908471991,1011.83887
1552453988080,312895008860124,1011.8484
1552453988184,312895109248257,1011.8533
1552453988283,312895209636290,1011.8533
1552453988381,312895310057723,1011.8386
1552453988486,312895410479156,1011.83325
1552453988588,312895510867389,1011.83545
1552453988689,312895611388855,1011.8386
1552453988797,312895712076988,1011.844
1552453988901,312895812831754,1011.8264
