timeMillis,timeNanos,x,y,z
1552453378132,312285052556973,-33.719997,-27.96,-50.28
1552453378154,312285072556973,-33.0,-27.66,-50.399998
1552453378172,312285092556973,-32.579998,-28.32,-50.1
1552453378193,312285112556973,-32.52,-28.38,-50.28
1552453378214,312285132556973,-32.1,-28.859999,-50.039997
1552453378234,312285152556973,-31.98,-29.279999,-50.28
1552453378253,312285172556973,-31.98,-28.619999,-50.579998
1552453378279,312285192558258,-31.5,-28.74,-50.28
1552453378294,312285212558258,-31.439999,-28.619999,-50.28
1552453378313,312285232558258,-30.96,-28.32,-49.8
1552453378335,312285252558258,-31.019999,-28.32,-49.739998
1552453378355,312285272558258,-31.38,-28.14,-49.98
1552453378374,312285292558258,-31.08,-27.779999,-50.34
1552453378395,312285312558258,-30.72,-27.24,-50.94
1552453378415,312285332558900,-29.939999,-27.359999,-51.0
1552453378435,312285352558900,-29.519999,-27.18,-51.059998
1552453378458,312285372558900,-29.039999,-27.42,-50.94
1552453378477,312285392558900,-29.279999,-27.84,-50.579998
1552453378496,312285412558900,-28.92,-27.539999,-51.0
1552453378519,312285432558900,-28.56,-27.84,-51.12
1552453378535,312285452558900,-28.56,-27.66,-51.3
1552453378552,312285472558328,-28.14,-27.84,-51.96
1552453378576,312285492558691,-28.08,-28.32,-51.84
1552453378595,312285512559038,-28.26,-27.9,-52.02
1552453378615,312285532559288,-28.32,-27.48,-52.199997
1552453378637,312285552559368,-28.08,-27.0,-52.079998
1552453378657,312285572559368,-28.199999,-26.34,-52.559998
1552453378676,312285592559330,-27.96,-26.34,-52.559998
1552453378697,312285612559294,-28.019999,-26.58,-52.92
1552453378715,312285632559225,-27.96,-26.16,-53.039997
1552453378750,312285652559091,-27.779999,-26.22,-52.559998
1552453378757,312285672558891,-27.66,-26.22,-52.559998
1552453378775,312285692558557,-27.119999,-26.34,-52.02
1552453378797,312285712558157,-27.119999,-26.939999,-51.84
1552453378819,312285732557690,-26.82,-26.76,-52.079998
1552453378834,312285752557156,-26.76,-26.82,-52.26
1552453378853,312285772555789,-27.359999,-26.46,-52.739998
1552453378876,312285792554055,-27.96,-26.16,-53.039997
1552453378893,312285812552555,-28.32,-26.4,-53.219997
1552453378913,312285832551755,-28.32,-26.279999,-53.46
1552453378936,312285852550755,-27.9,-25.98,-53.699997
1552453378955,312285872549688,-27.42,-26.099998,-53.94
1552453378976,312285892548554,-27.119999,-25.92,-53.82
1552453378997,312285912546854,-27.3,-26.16,-54.12
1552453379013,312285932545720,-27.599998,-26.64,-54.18
1552453379036,312285952544320,-27.48,-27.24,-54.239998
1552453379057,312285972542853,-27.779999,-27.119999,-54.539997
1552453379090,312285992541253,-27.359999,-27.0,-54.239998
1552453379095,312286012539619,-27.3,-27.06,-54.0
1552453379116,312286032537919,-27.599998,-27.0,-53.52
1552453379140,312286052536085,-27.539999,-27.84,-53.039997
1552453379205,312286072533885,-27.66,-28.38,-52.559998
1552453379205,312286092806997,-27.779999,-28.92,-52.26
1552453379205,312286112804697,-28.019999,-28.98,-52.379997
1552453379217,312286132802330,-28.68,-29.099998,-52.5
1552453379236,312286152800030,-29.58,-29.099998,-52.86
1552453379253,312286172797730,-30.3,-29.46,-52.739998
1552453379278,312286192794630,-30.179998,-29.699999,-52.26
1552453379314,312286212792163,-30.179998,-29.64,-51.84
1552453379337,312286232789163,-30.119999,-30.48,-51.42
1552453379362,312286252785963,-30.599998,-30.539999,-51.539997
1552453379362,312286272782696,-32.1,-31.32,-51.12
1552453379371,312286292779496,-32.16,-31.5,-50.219997
1552453379392,312286312776996,-31.8,-31.8,-51.0
1552453379416,312286332774696,-31.92,-31.08,-51.239998
1552453379436,312286352772129,-33.059998,-30.779999,-51.18
1552453379456,312286372770329,-32.82,-30.9,-51.42
1552453379475,312286392768529,-31.74,-30.72,-51.18
1552453379494,312286412766695,-32.04,-31.08,-51.719997
1552453379515,312286432764095,-32.52,-31.38,-51.78
1552453379537,312286452761628,-32.399998,-30.96,-51.12
1552453379555,312286472759161,-32.1,-30.48,-51.12
1552453379576,312286492756627,-32.88,-30.72,-51.239998
1552453379596,312286512753893,-33.899998,-31.26,-51.539997
1552453379615,312286532750926,-33.719997,-31.439999,-51.899998
1552453379635,312286552748159,-33.54,-31.5,-52.02
1552453379657,312286572745625,-34.26,-31.199999,-51.899998
1552453379676,312286592743158,-34.8,-31.26,-52.02
1552453379696,312286612740658,-34.14,-31.619999,-52.02
1552453379718,312286632738091,-33.66,-31.56,-51.42
1552453379735,312286652735624,-34.38,-31.92,-50.76
1552453379755,312286672733957,-34.86,-32.04,-50.579998
1552453379779,312286692732323,-35.399998,-32.579998,-50.34
1552453379794,312286712730023,-36.42,-33.42,-50.399998
1552453379815,312286732727856,-36.6,-33.239998,-50.1
1552453379837,312286752725689,-36.719997,-33.84,-49.44
1552453379856,312286772723455,-37.92,-34.739998,-49.44
1552453379876,312286792721988,-38.52,-35.579998,-48.66
1552453379898,312286812719821,-38.16,-36.239998,-48.18
1552453379916,312286832718087,-37.92,-35.64,-48.239998
1552453379935,312286852716553,-38.579998,-35.16,-47.1
1552453379958,312286872715086,-39.3,-36.54,-45.899998
1552453379976,312286892713619,-40.079998,-37.5,-45.36
1552453379997,312286912711385,-41.04,-38.04,-44.46
