timeMillis,timeNanos,value
1552453377997,312284904543973,1011.947
1552453378094,312285004556973,1011.9563
1552453378193,312285104563473,1011.9514
1552453378294,312285204567806,1011.95264
1552453378395,312285304571056,1011.94556
1552453378496,312285404573656,1011.94556
1552453378595,312285504577156,1011.95215
1552453378697,312285604578870,1011.94336
1552453378797,312285704578995,1011.9414
1552453378893,312285804575439,1011.94775
1552453378997,312285904571639,1011.95044
1552453379095,312286004568366,1011.949
1552453379205,312286104825997,1011.95264
1552453379314,312286204821227,1011.9592
1552453379392,312286304815941,1011.9563
1552453379494,312286404810141,1011.9492
1552453379596,312286504802641,1011.949
1552453379696,312286604796111,1011.9507
1552453379794,312286704789611,1011.9563
1552453379898,312286804782926,1011.9685
1552453379997,312286904775876,1011.9719
1552453380096,312287004768590,1011.9678
1552453380214,312287104761090,1011.96655
1552453380295,312287204753350,1011.9617
1552453380398,312287304745433,1011.95703
1552453380499,312287404737273,1011.94434
1552453380598,312287504728965,1011.94434
1552453380696,312287604720557,1011.95044
1552453380802,312287709146305,1011.96313
1552453380907,312287809413511,1011.96313
1552453381005,312287909704744,1011.96533
1552453381107,312288009995077,1011.9724
1552453381210,312288110385010,1011.9724
1552453381308,312288210807843,1011.959
1552453381411,312288311230276,1011.96387
1552453381509,312288411652309,1011.96387
1552453381608,312288512073609,1011.9568
1552453381709,312288612494842,1011.9487
1552453381809,312288712915975,1011.9487
1552453381909,312288813338008,1011.95557
1552453382012,312288913793274,1011.9592
1552453382111,312289014281407,1011.9592
1552453382210,312289114769540,1011.97144
1552453382313,312289215257706,1011.9783
1552453382412,312289315845872,1011.9675
1552453382517,312289416600672,1011.97437
1552453382627,312289517522772,1011.96606
1552453382727,312289618544205,1011.9663
1552453382830,312289719665371,1011.96826
1552453382938,312289820953071,1011.9695
1552453383039,312289922407771,1011.9702
1552453383140,312290023895804,1011.96655
1552453383242,312290125450504,1011.9629
1552453383342,312290227071837,1011.9602
1552453383442,312290328693203,1011.9702
1552453383547,312290430314569,1011.97144
1552453383646,312290531935935,1011.97534
1552453383744,312290633557201,1011.9724
1552453383847,312290735045234,1011.9668
1552453383944,312290836399167,1011.97217
1552453384045,312290937720400,1011.969
1552453384152,312291039208500,1011.9863
1552453384247,312291140629866,1011.9863
1552453384349,312291242017932,1011.98047
1552453384454,312291343405932,1011.97314
1552453384553,312291444860632,1011.97314
1552453384657,312291546481998,1011.97144
1552453384764,312291648236598,1011.9761
1552453384865,312291750157931,1011.9761
1552453384971,312291852245697,1011.97266
1552453385079,312291954466630,1011.9624
1552453385199,312292056687830,1011.95557
1552453385277,312292158942363,1011.9595
1552453385379,312292261196929,1011.97095
1552453385479,312292363351495,1011.97046
1552453385579,312292465339395,1011.96826
1552453385683,312292567160728,1011.95996
1552453385780,312292668881961,1011.9634
1552453385880,312292770503261,1011.96313
1552453385982,312292871957961,1011.96484
1552453386082,312292973379027,1011.96484
1552453386230,312293074833360,1011.9668
1552453386285,312293176221160,1011.96606
1552453386387,312293277542360,1011.9695
1552453386484,312293378863460,1011.96655
1552453386587,312293480184626,1011.9668
1552453386684,312293581505759,1011.96484
1552453386784,312293682826959,1011.96436
1552453386888,312293784148125,1011.96265
1552453386985,312293885469925,1011.9685
1552453387095,312293986791125,1011.9636
1552453387239,312294087945458,1011.96704
1552453387283,312294189066724,1011.9697
1552453387384,312294290188157,1011.97534
1552453387491,312294391309590,1011.978
1552453387584,312294492364323,1011.9739
1552453387696,312294593252423,1011.97363
1552453387789,312294694007256,1011.9741
1552453387884,312294794595422,1011.9807
1552453387984,312294895016888,1011.9785
1552453388086,312294995271754,1011.9812
1552453388233,312295095492987,1011.9746
1552453388282,312295195680887,1011.9719
1552453388388,312295295935620,1011.97046
1552453388485,312295396190453,1011.97266
1552453388585,312295496445353,1011.9785
1552453388692,312295596700153,1011.97437
1552453388786,312295696955019,1011.97437
1552453388886,312295797209852,1011.9712
1552453388988,312295897464685,1011.9717
1552453389085,312295997586218,1011.9717
1552453389232,312296097707751,1011.9778
1552453389288,312296197829184,1011.97705
1552453389388,312296297950550,1011.97705
1552453389487,312296398072116,1011.9768
1552453389593,312296498226949,1011.9829
1552453389689,312296598381815,1011.9829
1552453389788,312296698536681,1011.9907
1552453389896,312296798858181,1011.9971
1552453389997,312296899312581,1011.9971
1552453390100,312296999834047,1011.9868
1552453390223,312297100355513,1011.9868
1552453390297,312297200876113,1011.9868
1552453390398,312297301397246,1011.99316
1552453390502,312297401918512,1011.98706
1552453390603,312297502506645,1011.98706
1552453390706,312297603261411,1011.98584
