timeMillis,timeNanos,x,y,z
1552444172824,303079743429691,0.10055954,3.2610023,8.535589
1552444172846,303079776092357,0.10055954,3.2610023,8.535589
1552444172863,303079808755090,0.10055954,3.2610023,8.535589
1552444172885,303079841417756,0.090982445,2.6145482,9.4142885
1552444172907,303079874080422,0.16759923,2.6648278,9.500483
1552444172926,303079906743155,0.17957062,2.6791935,9.45978
1552444172946,303079939405821,-0.031125572,2.7653873,9.313729
1552444172968,303079972068487,-0.23942748,2.7845416,9.311335
1552444172986,303080004731153,-0.09577099,2.8276386,9.385557
1552444173005,303080037393186,0.05506832,2.813273,9.512454
1552444173025,303080070055152,0.05985687,2.813273,9.5244255
1552444173044,303080102717818,0.03351985,2.8515813,9.268238
1552444173064,303080135380551,-0.03351985,2.9234095,9.136553
1552444173088,303080168043184,-0.045491222,2.997632,9.296969
1552444173104,303080200705817,-0.0047885496,3.0383348,9.342461
1552444173127,303080233368450,0.062251143,3.0431232,9.648928
1552444173149,303080266031183,0.14126222,3.0287576,9.364009
1552444173166,303080298693849,0.18435916,3.0287576,9.208381
1552444173185,303080331356515,0.24421602,3.3208592,8.561927
1552444173208,303080364019248,0.43575802,3.553104,9.067119
1552444173226,303080396681914,0.679974,3.6536634,9.026416
1552444173245,303080429344580,0.84278476,3.6584518,8.530801
1552444173267,303080462007246,1.036721,3.5674694,7.798153
1552444173285,303080494669979,1.4150164,3.4980354,7.7502675
1552444173303,303080527332179,1.5131817,3.553104,8.269825
1552444173325,303080559994779,1.3360053,3.4190245,8.8636055
1552444173342,303080592656612,1.3934679,3.4046588,8.722343
1552444173363,303080625318778,1.4533248,3.2370596,8.813326
1552444173385,303080657981444,1.8938714,3.2179053,9.284998
1552444173405,303080690644177,1.8292259,3.2801564,9.3831625
1552444173426,303080710641910,1.2857256,3.4716985,8.894731
1552444173448,303080730639676,0.9864412,3.6871831,8.509253
1552444173463,303080750637009,0.74701375,3.7207031,8.751075
1552444173495,303080770634142,0.6153286,3.6967604,9.115005
1552444173509,303080790631975,0.98404694,3.6704233,9.1628895
1552444173525,303080810629741,1.0510867,3.7302802,8.81572
1552444173545,303080830627574,0.818842,3.8547823,8.758257
1552444173567,303080850625407,0.66321415,3.8571768,9.06233
1552444173585,303080870623173,0.61293435,3.79732,9.203592
1552444173606,303080890621206,0.82602483,3.727886,9.265843
1552444173662,303080910619039,0.9816527,3.7302802,9.160496
1552444173662,303080930616172,0.88588166,3.7087317,8.887548
1552444173680,303080950613938,0.51716334,3.6656346,8.803748
1552444173688,303080970611771,0.57462597,3.6392977,9.198804
1552444173703,303080990609604,0.74222517,3.7087317,9.361614
1552444173723,303081010606670,0.7948992,3.6991546,9.385557
1552444173761,303081030603703,0.6488485,3.7518287,9.3280945
1552444173811,303081050601069,0.18435916,3.8523881,9.526819
1552444173811,303081070598169,0.1340794,3.8092911,10.024829
1552444173811,303081090595202,0.4956149,3.8188684,10.455798
1552444173822,303081110593002,0.74701375,3.8045027,10.357633
1552444173844,303081130590802,0.79250497,3.634509,10.099051
1552444173866,303081150588635,0.5219519,3.2729738,9.957788
