timeMillis,timeNanos,value
1552444172463,303079375552970,1012.521
1552444172562,303079475462691,1012.5237
1552444172665,303079575449691,1012.5205
1552444172763,303079675437357,1012.5205
1552444172863,303079775425107,1012.51855
1552444172968,303079875412507,1012.52124
1552444173064,303079975400007,1012.52124
1552444173166,303080075387435,1012.52515
1552444173267,303080175374935,1012.5217
1552444173364,303080275361046,1012.5217
1552444173464,303080375348146,1012.51636
1552444173568,303080475336509,1012.51514
1552444173680,303080575324675,1012.51514
1552444173811,303080675311828,1012.53564
1552444173866,303080775300042,1012.5242
1552444173964,303080875288108,1012.5242
1552444174066,303080975276170,1012.5305
1552444174169,303081075322934,1012.5293
1552444174269,303081176284991,1012.5293
1552444174369,303081276325517,1012.5293
1552444174469,303081376363467,1012.5303
1552444174567,303081476399181,1012.5303
1552444174685,303081576478090,1012.5222
1552444174772,303081676726959,1012.5249
1552444174874,303081777131542,1012.5276
1552444174979,303081877719422,1012.5281
1552444175085,303081978361152,1012.52124
1552444175184,303082078978596,1012.5183
1552444175283,303082179573560,1012.5205
1552444175383,303082280147560,1012.51587
1552444175484,303082380735360,1012.5061
1552444175584,303082481323426,1012.5178
1552444175728,303082582011592,1012.51636
1552444175790,303082682832992,1012.5198
1552444175889,303082783687725,1012.52075
1552444175993,303082884542491,1012.51685
1552444176093,303082985397257,1012.5112
1552444176193,303083086285390,1012.51
1552444176299,303083187306790,1012.51807
1552444176400,303083288428590,1012.5227
1552444176504,303083389650123,1012.5276
1552444176610,303083491004523,1012.5281
1552444176725,303083592392623,1012.5283
1552444176806,303083693814423,1012.5325
1552444176914,303083795402356,1012.5393
1552444177020,303083897157022,1012.5393
1552444177128,303083999078322,1012.5283
1552444177228,303084101033022,1012.53467
1552444177327,303084203020955,1012.53467
1552444177427,303084305008955,1012.53394
1552444177530,303084406996888,1012.53735
1552444177635,303084509084721,1012.53735
1552444177728,303084611139354,1012.5337
1552444177831,303084713093987,1012.5239
1552444177932,303084814915287,1012.5254
1552444178029,303084916569953,1012.5237
1552444178134,303085018157986,1012.52637
