timeMillis,timeNanos,x,y,z
1552444297873,303204733693809,-0.17478207,1.6352897,9.332883
1552444297891,303204766356542,-0.17478207,1.6352897,9.332883
1552444297911,303204799019208,-0.17478207,1.6352897,9.332883
1552444297934,303204831681874,0.14844504,1.5203645,9.692024
1552444297955,303204864344540,0.083799616,1.5921928,9.632168
1552444297973,303204897007206,0.08619389,1.637684,9.703996
1552444297996,303204929669739,0.1987248,1.6879637,9.718362
1552444298013,303204962332272,0.2370332,1.6137413,9.766247
1552444298033,303204994994838,0.17957062,1.5897985,9.75667
1552444298055,303205027656871,0.25379312,1.5514901,9.766247
1552444298071,303205060319637,0.2777359,1.5610672,9.979338
1552444298091,303205092982437,0.29210153,1.6017698,9.873989
1552444298114,303205125645370,0.32801566,1.647261,9.871595
1552444298133,303205158308236,0.33759275,1.6688095,9.833286
1552444298153,303205190971102,0.40463245,1.673598,9.881172
1552444298175,303205223633968,0.43575802,1.6999351,10.012857
1552444298193,303205256296901,0.4644893,1.776552,10.173274
1552444298215,303205288959767,0.47885495,1.8819,9.703996
1552444298235,303205321622633,0.45012367,2.300898,9.064724
1552444298255,303205354285566,0.55786604,2.2410412,9.098245
1552444298273,303205386948432,0.8786988,2.2170985,9.153313
1552444298294,303205419611298,1.0606637,2.2170985,9.28021
1552444298312,303205452274164,0.9960183,2.1644244,9.323306
1552444298333,303205484937730,0.89545876,2.1548474,9.232324
1552444298352,303205517600563,0.88109314,2.205127,9.100638
1552444298371,303205550262663,1.0055954,2.2506182,9.107821
1552444298391,303205582924863,1.1061549,2.4373717,8.913885
1552444298411,303205615586996,1.0295382,2.5858169,8.91628
1552444298431,303205648249829,0.7972935,2.6624336,9.026416
1552444298452,303205680912662,0.73743665,2.6744049,9.165284
1552444298474,303205700910462,0.7853221,2.6720107,9.06233
1552444298491,303205720907528,0.79250497,2.6193366,8.93304
1552444298511,303205740904661,0.6656084,2.5044115,9.004868
1552444298537,303205760902494,0.4285752,2.3559663,9.25866
1552444298555,303205780900327,0.4668836,2.2673783,9.5483675
1552444298579,303205800898093,0.679974,2.264984,9.536397
1552444298594,303205820895926,0.69673395,2.3416007,9.2419
1552444298612,303205840893759,0.69194543,2.3631492,9.040782
1552444298631,303205860891059,0.749408,2.3655436,8.913885
1552444298653,303205861891059,0.5650489,2.430189,8.935433
