timeMillis,timeNanos,x,y,z
1552444297752,303204670958455,0.12618154,-0.06387818,-0.022724798
1552444297774,303204690955455,0.09563828,-0.03394578,-0.034942105
1552444297790,303204710952955,0.02294532,-0.051050007,-0.044105083
1552444297812,303204730950621,-0.033254284,-0.07976067,-0.032498643
1552444297830,303204750948371,-0.011263133,-0.058991257,-0.012340089
1552444297850,303204770945771,0.066316746,-0.0406653,0.0017098119
1552444297873,303204790943271,0.10113607,-0.054715198,0.019424904
1552444297891,303204810940842,0.07181454,-0.106638744,0.024922691
1552444297911,303204830938217,0.041882142,-0.14573412,0.007207599
1552444297934,303204850935661,0.05104512,-0.15367536,-0.021503067
1552444297955,303204870933161,0.07303627,-0.11702345,-0.035552967
1552444297973,303204890930706,0.080977514,-0.069986835,-0.03799643
1552444297996,303204910928122,0.07547973,-0.09197798,-0.043494217
1552444298013,303204930925583,0.07059281,-0.13779287,-0.039829027
1552444298034,303204950923154,0.06937108,-0.13351682,-0.04166162
1552444298055,303204970919554,0.08158839,-0.10114096,-0.05632239
1552444298071,303204990917429,0.10296866,-0.08648019,-0.065485366
1552444298091,303205010915370,0.12495982,-0.110914804,-0.09358516
1552444298114,303205030913425,0.120072894,-0.12191038,-0.11863064
1552444298133,303205050911372,0.106023,-0.09442144,-0.1070242
1552444298153,303205070909322,0.12251636,-0.035778377,-0.080146134
1552444298176,303205090907274,0.16161172,0.005760459,-0.087476514
1552444298193,303205110905228,0.19643104,-0.007678576,-0.13756746
1552444298215,303205130903097,0.22941777,-0.06265645,-0.19132361
1552444298235,303205150900972,0.25690672,-0.06509991,-0.19926485
1552444298255,303205170898852,0.2520198,0.012479977,-0.13756746
1552444298273,303205190896659,0.1958202,0.08334035,-0.04654854
1552444298294,303205210894473,0.11762943,0.05707314,-0.011118359
1552444298313,303205230892294,0.060818966,-0.0388327,-0.039218158
1552444298333,303205250890776,0.038827814,-0.09197798,-0.06976142
1552444298352,303205270888542,0.03699522,-0.06509991,-0.06059844
1552444298371,303205290885608,0.027221376,-0.04677395,-0.034942105
1552444298391,303205310882708,0.012560611,-0.06265645,-0.030055182
1552444298411,303205330879741,-2.67559E-4,-0.09564317,-0.07281575
1552444298431,303205350877474,-0.03264342,-0.102362685,-0.12840448
1552444298452,303205370875274,-0.054634567,-0.08098241,-0.15161738
1552444298474,303205390873074,-0.030810822,-0.045552224,-0.14306524
1552444298491,303205410870140,0.017447533,0.002706133,-0.12962621
1552444298511,303205430867273,0.019890996,0.05340795,-0.1210741
1552444298538,303205450865106,-0.036919475,0.09677938,-0.10152641
1552444298555,303205470862939,-0.11327763,0.06867958,-0.06792883
1552444298579,303205490860705,-0.15054041,-0.024782803,-0.03799643
1552444298594,303205510858538,-0.104114644,-0.10724961,-0.036163833
1552444298612,303205530856371,-0.048525915,-0.11641259,-0.052657194
1552444298632,303205550853671,-0.043638993,-0.064489044,-0.055100653
1552444298653,303205570628941,-0.065630145,-0.016841555,-0.061820175
1552444298705,303205590626074,-0.09678427,0.005149594,-0.08686565
1552444298705,303205610623640,-0.13526878,0.025308147,-0.08503305
1552444298717,303205630621073,-0.15298387,0.060127463,-0.07953526
1552444298731,303205650618573,-0.11511022,0.11449447,-0.10152641
1552444298751,303205670615373,-0.050358508,0.1633637,-0.12535016
1552444298810,303205690612439,-0.008208807,0.1596985,-0.10335901
1552444298839,303205710609872,-0.008208807,0.1596985,-0.10335901
1552444298839,303205730606672,-0.008208807,0.1596985,-0.10335901
1552444298839,303205750603472,-0.01798265,0.13098784,0.05729855
1552444298850,303205770600205,-0.021036977,0.09922284,0.07990056
1552444298870,303205790597705,-0.019815248,0.09128159,0.09028527
1552444298893,303205810595205,-0.0021001545,0.11510534,0.089674406
1552444298912,303205830626005,0.049212523,0.19268523,0.07440278
1552444298933,303205850656171,0.050434258,0.2720977,0.054244224
1552444298954,303205870687037,-0.022869574,0.3142474,0.05607682
1552444298971,303205890718637,-0.10106032,0.3038627,0.04813557
1552444298993,303205910750137,-0.100449465,0.22689368,-0.009285763
1552444299014,303205930781703,-0.072960526,0.1493138,-0.0367747
1552444299033,303205950812569,-0.057688892,0.06867958,-0.045326814
1552444299055,303205970843369,-0.042417258,0.07784256,-0.10274815
1552444299076,303205990874169,-0.024702169,0.14625946,-0.2652383
1552444299095,303206010905702,0.018058399,0.05707314,-0.35442463
1552444299114,303206030937235,0.10785559,-0.09564317,-0.34831598
1552444299137,303206050968068,0.21353528,-0.12313211,-0.3214379
1552444299155,303206070998968,0.28989342,-0.060823854,-0.27134696
1552444299175,303206091029934,0.30883026,-0.036389243,-0.21514736
1552444299197,303206111060834,0.27034575,-0.039443567,-0.1613912
1552444299214,303206131091734,0.22391999,0.0033169982,-0.096028626
1552444299235,303206151123134,0.20498317,0.06379265,0.014537982
1552444299257,303206171154500,0.18910067,0.06379265,0.16053477
1552444299274,303206191185866,0.17932683,0.010647381,0.26010582
1552444299295,303206211216766,0.2202548,-0.018063286,0.2570515
1552444299317,303206231247732,0.24896546,-0.027226264,0.25094283
1552444299334,303206251278698,0.20925921,-0.018063286,0.22345391
1552444299354,303206271310298,0.05532118,0.07295564,0.24849938
1552444299376,303206291341631,-0.12671667,0.14137255,0.3645638
1552444299396,303206311372597,-0.15176214,0.08028602,0.37311587
1552444299414,303206331404197,-0.10594724,2.6267205E-4,0.23261687
1552444299436,303206351435797,0.011949746,-0.08098241,0.044470377
1552444299454,303206371467463,0.07975579,-0.1793317,-0.07953526
1552444299475,303206391498429,0.083420984,-0.18910556,-0.13023707
1552444299498,303206411529329,0.057153773,-0.07365202,-0.077702664
1552444299516,303206431560262,0.021112725,0.05096449,-0.010507493
1552444299535,303206451591228,-0.016150055,0.14381601,0.0047641383
1552444299558,303206471622128,-0.047304183,0.17435926,0.015148847
1552444299576,303206491653028,-0.06929533,0.15664418,0.012705387
1552444299596,303206511683994,-0.100449465,0.085172944,0.026755286
1552444299617,303206531714960,-0.13893397,0.05462968,0.0652398
1552444299635,303206551745860,-0.17497502,0.030195069,0.09883739
1552444299655,303206571776826,-0.18719232,-0.045552224,0.11533075
1552444299721,303206591807792,-0.15664907,-0.10541701,0.10922209
1552444299721,303206611838692,-0.10472552,-0.1426798,0.08906355
1552444299722,303206631869592,-0.06440841,-0.18177518,0.08295489
1552444299737,303206651900492,-0.044249855,-0.20376633,0.08356576
1552444299754,303206671931325,-0.046082452,-0.19032729,0.0774571
1552444299773,303206691962091,-0.054634567,-0.19887939,0.076846235
1552444299795,303206711992924,-0.06501927,-0.1866621,0.09639393
1552444299813,303206732023757,-0.043638993,-0.19093816,0.095783055
1552444299836,303206752054523,0.011949746,-0.17383392,0.052411627
1552444299856,303206772085589,0.074258,-0.1426798,-7.336491E-4
1552444299874,303206792116422,0.11029905,-0.13351682,-0.029444315
1552444299894,303206812147255,0.13900971,-0.10847134,-0.035552967
1552444299916,303206832178021,0.16833125,-0.077317216,-0.042272486
1552444299933,303206852208821,0.20742662,-0.057769526,-0.045326814
1552444299953,303206872239687,0.26545882,-0.07059769,-0.0630419
1552444299975,303206892270553,0.2972238,-0.07487375,-0.039218158
1552444299997,303206912301353,0.24041334,-0.08648019,0.05607682
1552444300017,303206932365553,0.13106847,-0.096254036,0.16603257
1552444300039,303206952429753,0.07059281,-0.083425865,0.19657582
1552444300058,303206972527219,0.025999647,-0.002180789,0.16053477
1552444300079,303206992658019,-0.05280197,0.0595166,0.1935215
1552444300101,303207012822219,-0.0680736,0.03874718,0.21123658
1552444300121,303207032986352,0.030275704,-0.058991257,0.089674406
1552444300146,303207053183785,0.22453085,-0.19399248,-0.2524101
1552444300164,303207073414618,0.27462178,-0.16161662,-0.3495377
1552444300183,303207093678851,0.21597874,-0.04677395,-0.20842783
1552444300205,303207113976484,0.0883079,0.05096449,0.061574604
1552444300228,303207134307484,-0.021036977,-0.011343767,0.17763901
1552444300246,303207154671917,-0.014928325,-0.07304116,0.089674406
1552444300267,303207175069683,0.0052302284,-0.069986835,-0.023335664
1552444300292,303207195500716,-0.0033218851,-0.032724053,-0.05021373
1552444300310,303207215965149,0.018058399,-0.015619825,-0.03127691
1552444300330,303207236462915,0.06692762,-0.019895881,-0.05632239
