timeMillis,timeNanos,value
1552444297503,303204402986455,1012.48706
1552444297590,303204502978455,1012.48413
1552444297692,303204602968455,1012.49023
1552444297790,303204702957455,1012.49414
1552444297891,303204802946205,1012.4929
1552444297996,303204902934405,1012.4946
1552444298091,303205002923905,1012.4861
1552444298193,303205102913476,1012.4829
1552444298294,303205202902601,1012.48267
1552444298391,303205302889267,1012.4751
1552444298491,303205402875967,1012.4807
1552444298594,303205502864694,1012.4817
1552444298705,303205602645941,1012.4758
1552444298839,303205702634402,1012.48486
1552444298893,303205802622830,1012.49
1552444298993,303205902677830,1012.49585
1552444299095,303206002728642,1012.5044
1552444299197,303206102775877,1012.50244
1552444299295,303206202819821,1012.5012
1552444299396,303206302860821,1012.50854
1552444299498,303206402899071,1012.5093
1552444299596,303206502982594,1012.5
1552444299721,303206603061684,1012.4973
1552444299795,303206703136814,1012.5029
1552444299894,303206803208314,1012.50684
1552444299997,303206903276434,1012.5027
1552444300101,303207003495318,1012.50806
1552444300205,303207103890984,1012.5095
1552444300310,303207204450734,1012.51685
1552444300417,303207322578940,1012.50684
1552444300520,303207423400506,1012.511
1552444300621,303207524321872,1012.5049
1552444300721,303207625243272,1012.5083
1552444300819,303207726164638,1012.5083
1552444300920,303207827086004,1012.5139
1552444301023,303207928007437,1012.5215
1552444301122,303208028928570,1012.5215
1552444301222,303208129882970,1012.51514
1552444301324,303208230837503,1012.5176
1552444301423,303208331792736,1012.5176
1552444301524,303208432814602,1012.51587
1552444301630,303208533969102,1012.521
1552444301729,303208635123568,1012.521
1552444301828,303208736311434,1012.5161
1552444301930,303208837499234,1012.51807
1552444302028,303208938653734,1012.51807
1552444302130,303209039808267,1012.5027
1552444302232,303209140962667,1012.51514
1552444302329,303209242117200,1012.51514
1552444302429,303209343271900,1012.50244
1552444302532,303209444426666,1012.49634
1552444302629,303209545581399,1012.49634
1552444302735,303209646902799,1012.499
1552444302837,303209748290832,1012.5051
1552444302941,303209849812198,1012.51074
1552444303039,303209951333531,1012.5178
1552444303144,303210052721531,1012.51416
1552444303244,303210154042697,1012.50684
1552444303349,303210255363797,1012.5027
1552444303457,303210356718463,1012.50806
1552444303554,303210457906496,1012.5034
1552444303654,303210559027929,1012.50024
1552444303757,303210660149329,1012.49634
1552444303854,303210761270729,1012.501
1552444303954,303210862392162,1012.51
1552444304058,303210963513528,1012.5044
1552444304157,303211064668261,1012.50903
1552444304261,303211165956261,1012.50146
1552444304366,303211267344227,1012.5061
1552444304469,303211368898793,1012.5005
1552444304575,303211470553493,1012.49146
1552444304686,303211572140826,1012.49854
1552444304775,303211673728826,1012.49854
1552444304877,303211775383492,1012.5049
1552444304987,303211877204858,1012.50806
1552444305088,303211979159491,1012.50806
1552444305190,303212081180757,1012.51
1552444305292,303212183202023,1012.5088
1552444305391,303212285223189,1012.5088
1552444305490,303212387244189,1012.5083
1552444305593,303212489265355,1012.5071
1552444305703,303212591253288,1012.5071
1552444305788,303212693074554,1012.5032
1552444305890,303212794829187,1012.51416
1552444305988,303212896450487,1012.5161
1552444306089,303212998071820,1012.51294
1552444306191,303213099693153,1012.5132
1552444306291,303213201247786,1012.50684
1552444306391,303213302635752,1012.5
1552444306493,303213403856918,1012.50024
1552444306592,303213505077984,1012.501
1552444306699,303213606331817,1012.5095
1552444306798,303213707752250,1012.5032
1552444306895,303213809173450,1012.50757
1552444306997,303213910594550,1012.50366
1552444307098,303214012015750,1012.50195
1552444307197,303214113403550,1012.50464
1552444307299,303214214691416,1012.5066
1552444307403,303214315912516,1012.50586
1552444307500,303214416967049,1012.5056
1552444307600,303214517854849,1012.5088
1552444307729,303214618676749,1012.51855
1552444307800,303214719564915,1012.5156
1552444307902,303214820386348,1012.5166
1552444308008,303214921041148,1012.51587
1552444308104,303215021562614,1012.5166
1552444308203,303215122017447,1012.51465
1552444308305,303215222472347,1012.50366
1552444308404,303215322927147,1012.5137
1552444308507,303215423481947,1012.5112
1552444308614,303215524203213,1012.501
1552444308711,303215624924313,1012.5027
1552444308811,303215725679013,1012.5049
1552444308915,303215826433846,1012.5022
1552444309015,303215927188612,1012.5022
1552444309113,303216027976745,1012.49976
1552444309215,303216128764811,1012.5066
1552444309317,303216229552977,1012.5066
1552444309414,303216330341077,1012.5149
1552444309518,303216431162477,1012.51636
1552444309619,303216532150543,1012.51636
1552444309720,303216633072543,1012.5254
1552444309821,303216733827876,1012.52026
1552444309918,303216834582642,1012.52026
1552444310020,303216935337475,1012.5176
1552444310123,303217036092208,1012.51587
1552444310220,303217136847008,1012.51587
1552444310321,303217237568441,1012.51733
1552444310423,303217338256607,1012.5166
1552444310522,303217438978073,1012.5166
1552444310621,303217539699473,1012.5293
1552444310731,303217640420839,1012.51855
1552444310822,303217741075239,1012.51855
1552444310920,303217841696405,1012.51855
1552444311027,303217942384471,1012.52783
1552444311129,303218043239271,1012.51733
1552444311232,303218144160637,1012.51855
1552444311333,303218245082003,1012.51514
1552444311431,303218346003403,1012.52295
1552444311531,303218446824803,1012.51904
1552444311631,303218547478869,1012.51465
1552444311729,303218648133635,1012.51416
1552444311830,303218748788235,1012.5071
1552444311937,303218849575968,1012.5044
1552444312043,303218950530501,1012.5049
1552444312146,303219051618367,1012.50146
1552444312251,303219152772900,1012.50146
1552444312349,303219253927400,1012.4988
1552444312447,303219355081933,1012.501
1552444312551,303219456203133,1012.5073
1552444312647,303219557156966,1012.5012
1552444312755,303219658144799,1012.5054
1552444312851,303219759132732,1012.5034
1552444312949,303219860120465,1012.49634
1552444313050,303219961108198,1012.49805
1552444313153,303220062096298,1012.5012
1552444313256,303220163251064,1012.4956
1552444313356,303220264405797,1012.49146
1552444313458,303220365560530,1012.5073
1552444313559,303220466781896,1012.5073
1552444313663,303220568103329,1012.4971
1552444313763,303220669424662,1012.501
1552444313865,303220770746062,1012.501
1552444313959,303220872067395,1012.4961
1552444314063,303220973321828,1012.5039
1552444314162,303221074409628,1012.5039
1552444314262,303221175464394,1012.4988
1552444314366,303221276585827,1012.5032
1552444314465,303221377707227,1012.5032
1552444314565,303221478828627,1012.4927
1552444314668,303221579984027,1012.4922
1552444314766,303221681138793,1012.4922
1552444314865,303221782260193,1012.49585
1552444314967,303221883248259,1012.50024
1552444315069,303221984169625,1012.50024
1552444315174,303222085090925,1012.4944
1552444315279,303222186012358,1012.49097
1552444315375,303222286900458,1012.4878
1552444315476,303222387788591,1012.4905
1552444315577,303222488676657,1012.4829
1552444315676,303222589565523,1012.4883
1552444315775,303222690420289,1012.49097
1552444315876,303222791275022,1012.4917
1552444315973,303222892129822,1012.4885
1552444316076,303222993017922,1012.4885
1552444316181,303223094005655,1012.4966
1552444316279,303223194826721,1012.48584
1552444316379,303223295614854,1012.4895
1552444316482,303223396402920,1012.4846
1552444316580,303223497091020,1012.49
1552444316732,303223597679053,1012.5005
1552444316780,303223698267186,1012.4971
1552444316877,303223798855319,1012.4971
1552444316978,303223899443419,1012.49536
1552444317086,303224000131519,1012.49805
1552444317187,303224100986219,1012.49146
1552444317289,303224201907285,1012.4905
1552444317392,303224302761718,1012.4939
1552444317491,303224403616318,1012.49023
1552444317595,303224504604184,1012.48584
1552444317722,303224605592017,1012.4905
1552444317793,303224706579850,1012.4888
1552444317893,303224807567716,1012.49243
1552444318000,303224908622249,1012.50024
1552444318102,303225009743349,1012.50024
1552444318207,303225110864515,1012.50024
1552444318313,303225212085581,1012.49805
1552444318417,303225313439914,1012.49805
1552444318521,303225414961214,1012.4866
1552444318623,303225516482580,1012.4929
1552444318739,303225618003913,1012.4929
1552444318819,303225719525246,1012.4907
1552444318922,303225821046612,1012.4978
1552444319019,303225922567978,1012.4971
1552444319120,303226024055978,1012.49976
