bssid,frequency,legit,rss,ssid,timestamp,wifiNo
02:15:99:ea:c4:04,2462,true,-48,DIRECT-wdC410 Series,303344726392,1
00:24:6c:7d:f3:00,2432,true,-51,Welcome_KAIST,303344726163,1
00:24:6c:7d:f3:02,2432,true,-51,Welcome_1st_KAIST,303344726201,1
00:24:6c:7d:f3:01,2432,true,-51,eduroam,303344726169,1
90:9f:33:b8:40:4c,2427,true,-52,ynhan,303344726133,1
00:24:6c:7d:f3:12,5745,true,-60,Welcome_1st_KAIST,303344726194,1
00:24:6c:7d:fe:00,2452,true,-60,Welcome_KAIST,303344726336,1
00:24:6c:7d:fe:01,2452,true,-60,eduroam,303344726304,1
00:24:6c:7d:fe:02,2452,true,-60,Welcome_1st_KAIST,303344726310,1
00:24:6c:7d:f3:11,5745,true,-61,eduroam,303344726188,1
00:24:6c:7d:f3:10,5745,true,-62,Welcome_KAIST,303344726174,1
6c:70:9f:e3:3a:a6,2462,true,-63,Air WiFi,303344726386,1
98:84:e3:1f:5b:e8,2437,true,-64,Bose Wave ST (62087C),303344726206,1
1a:4f:32:93:be:f1,2462,true,-65,DIRECT-f1-HP M402 LaserJet,303344726372,1
00:24:6c:7d:f3:e0,2472,true,-65,Welcome_KAIST,303344726397,1
00:24:6c:7d:f7:e1,2472,true,-65,eduroam,303344726403,1
f0:99:bf:09:32:40,2412,true,-65,Broccoli,303344725995,1
00:24:6c:7d:f3:e2,2472,true,-66,Welcome_1st_KAIST,303344726485,1
b2:52:16:12:63:77,2412,true,-67,HP-Setup>77-M477 LaserJet,303344726003,1
00:24:6c:7d:f3:e1,2472,true,-67,eduroam,303344726450,1
88:36:6c:27:2a:10,2422,true,-68,DILAB-516-2.4Ghz,303344726035,1
00:24:6c:7d:f2:a1,2452,true,-68,eduroam,303344726354,1
00:24:6c:7d:f2:a2,2452,true,-68,Welcome_1st_KAIST,303344726360,1
00:24:6c:7d:f2:a0,2452,true,-68,Welcome_KAIST,303344726348,1
00:24:6c:7d:f7:e2,2472,true,-69,Welcome_1st_KAIST,303344726412,1
00:24:6c:7d:f5:01,2472,true,-69,eduroam,303344726438,1
00:24:6c:7d:f5:00,2472,true,-70,Welcome_KAIST,303344726431,1
00:24:6c:7d:f3:f0,5805,true,-73,Welcome_KAIST,303344725968,1
fa:da:0c:49:f0:5f,2462,true,-73,DIRECT-5f-HP M377 LaserJet,303344726379,1
34:68:95:09:c6:90,2437,true,-74,HP-Print-90-Color LaserJet MFP,303344726279,1
96:53:30:7c:92:23,2437,true,-74,DIRECT-23-HP M402 LaserJet,303344726322,1
00:24:6c:7d:f3:f1,5805,true,-74,eduroam,303344726265,1
00:24:6c:7d:f3:f2,5805,true,-74,Welcome_1st_KAIST,303344726272,1
64:e5:99:d4:8d:e6,2437,true,-74,N1-814,303344726315,1
00:24:6c:7d:fe:11,5200,true,-75,eduroam,303344726046,1
00:24:6c:7d:f7:40,2432,true,-75,Welcome_KAIST,303344726213,1
00:24:6c:7d:fd:a0,2412,true,-76,Welcome_KAIST,303344726140,1
00:24:6c:7d:f7:41,2432,true,-76,eduroam,303344726220,1
00:24:6c:7d:f7:42,2432,true,-76,Welcome_1st_KAIST,303344726225,1
00:24:6c:7e:03:c2,2412,true,-77,Welcome_1st_KAIST,303344726057,1
00:24:6c:7d:fe:12,5200,true,-77,Welcome_1st_KAIST,303344726051,1
00:24:6c:7d:f5:11,5220,true,-77,eduroam,303344726068,1
00:24:6c:7d:f5:12,5220,true,-77,Welcome_1st_KAIST,303344726077,1
6c:70:9f:e3:3a:a7,5745,true,-77,Air WiFi,303344726181,1
00:24:6c:7d:fd:a2,2412,true,-77,Welcome_1st_KAIST,303344725989,1
00:24:6c:7d:fe:10,5200,true,-77,Welcome_KAIST,303344726040,1
00:08:9f:0b:e7:9c,2452,true,-77,WL24G,303344726329,1
00:24:6c:7d:f5:10,5220,true,-78,Welcome_KAIST,303344726062,1
64:e5:99:19:4d:ba,2462,true,-78,iptime_shin,303344726419,1
2a:56:5a:61:f9:0b,2437,true,-78,DIRECT-0b-HP M477 LaserJet,303344726258,1
00:24:6c:7d:f5:90,5240,true,-79,Welcome_KAIST,303344726146,1
00:24:6c:7d:f7:20,2472,true,-79,Welcome_KAIST,303344726425,1
00:24:6c:7d:f7:22,2472,true,-79,Welcome_1st_KAIST,303344726456,1
00:24:6c:7d:f5:91,5240,true,-81,eduroam,303344726151,1
00:24:6c:7d:f5:92,5240,true,-81,Welcome_1st_KAIST,303344726158,1
00:24:6c:7d:f5:02,2472,true,-81,Welcome_1st_KAIST,303344726444,1
00:24:6c:7d:f7:f1,5785,true,-82,eduroam,303344726245,1
00:24:6c:7d:f7:f2,5785,true,-82,Welcome_1st_KAIST,303344726252,1
5e:ea:1d:bf:d1:00,2452,true,-82,DIRECT-00-HP M477 LaserJet,303344726342,1
00:08:9f:94:77:70,2437,true,-82,Science_Museum,303344726233,1
00:24:6c:7d:f7:f0,5785,true,-83,Welcome_KAIST,303344726240,1
00:24:6c:7d:f2:b0,5200,true,-85,Welcome_KAIST,303344726016,1
00:24:6c:7d:f2:b1,5200,true,-85,eduroam,303344726023,1
00:24:6c:7d:f2:b2,5200,true,-85,Welcome_1st_KAIST,303344726029,1
00:24:6c:7d:ff:22,2412,true,-86,Welcome_1st_KAIST,303344726010,1
00:24:6c:7d:f7:51,5805,true,-86,eduroam,303344726291,1
00:24:6c:7d:f7:52,5805,true,-86,Welcome_1st_KAIST,303344726298,1
00:24:6c:7d:f6:a2,2472,true,-86,Welcome_1st_KAIST,303344726465,1
70:8b:cd:2f:82:60,2417,true,-87,LIT_2.4G,303344726125,1
00:24:6c:7d:f7:50,5805,true,-87,Welcome_KAIST,303344726285,1
00:24:6c:7d:f5:62,2472,true,-88,Welcome_1st_KAIST,303344726479,1
00:24:6c:7d:fd:b2,5180,true,-89,Welcome_1st_KAIST,303344725981,1
00:24:6c:7d:f5:61,2472,true,-89,eduroam,303344726472,1
64:e5:99:ec:34:3a,2457,true,-90,IVYLab#414,303344726365,1
