timeMillis,timeNanos,x,y,z
1552444521224,303428144005763,-0.42618093,1.8651401,9.830893
1552444521244,303428176672429,-0.42618093,1.8651401,9.830893
1552444521265,303428209339095,-0.42618093,1.8651401,9.830893
1552444521283,303428242005761,-1.228263,1.7214836,9.471751
1552444521306,303428274672427,-1.3360053,1.7143008,9.344854
1552444521330,303428307339093,-1.3168511,1.7717633,9.311335
1552444521346,303428340005426,-0.99362403,1.7981004,9.507666
1552444521366,303428372672426,-0.8284191,1.8603516,9.555551
1552444521388,303428405339092,-0.8834874,1.9680939,9.545974
1552444521407,303428438005758,-1.1348863,2.0447106,9.502876
1552444521423,303428470671724,-1.1612233,2.0375278,9.6585045
1552444521446,303428503338690,-1.1827718,2.0231621,9.3592205
1552444521465,303428536005623,-1.1420691,2.011191,9.28021
1552444521485,303428568672556,-1.0558752,2.0447106,9.076695
1552444521508,303428601339422,-0.9385557,2.1021733,9.340066
1552444521526,303428634006155,-0.85236186,2.176396,9.514848
1552444521547,303428666672821,-0.76137936,2.2266755,9.541185
1552444521568,303428699339454,-0.6488485,2.2554069,9.191621
1552444521586,303428732006087,-0.04070267,2.3775148,8.612206
1552444521607,303428764672653,-0.0071828244,2.4086404,9.047964
1552444521628,303428797339153,-0.117319465,2.3487835,9.500483
1552444521645,303428830004886,-0.21787901,2.3056867,9.703996
1552444521666,303428862671186,-0.090982445,2.3894863,9.890749
1552444521687,303428895336719,0.14126222,2.439766,9.859624
1552444521704,303428928002185,0.14605077,2.3846977,9.895537
1552444521725,303428960668218,0.09577099,2.2601955,10.149331
1552444521748,303428993334184,0.09577099,2.135693,10.259467
1552444521764,303429025999384,0.021548472,2.056682,10.362421
1552444521785,303429058664784,-0.09577099,1.9537282,10.357633
1552444521805,303429091330950,0.076616794,2.0662591,10.278622
1552444521825,303429111329916,0.1340794,2.1189332,10.331296
1552444521847,303429131328816,-0.026337024,2.2458298,10.273833
1552444521873,303429151327649,-0.22985038,2.2410412,10.118205
1552444521884,303429171325649,-0.090982445,1.9058428,10.127783
1552444521906,303429191323582,0.24182175,1.2761484,10.192428
1552444521927,303429211322148,0.8571504,0.8356019,10.240314
1552444521949,303429231320581,1.3216397,0.8547561,10.292988
1552444521972,303429251318614,1.4533248,1.1229149,10.170879
1552444521987,303429271316914,0.7853221,1.3982565,9.783007
1552444522032,303429291315180,0.409421,1.4796618,9.668081
1552444522032,303429311313313,0.4740664,1.3886794,9.768641
1552444522047,303429331310379,0.62251145,1.1995317,9.627379
1552444522064,303429351308112,0.6057515,1.063058,9.294575
1552444522086,303429371305712,0.7733508,0.9816527,8.978531
1552444522105,303429391302612,1.0008069,1.0486923,8.830086
1552444522131,303429411299578,1.0271438,1.0415095,8.6984005
1552444522182,303429431296544,1.063058,1.1540405,8.564321
1552444522182,303429451293377,0.84278476,1.1348863,8.612206
1552444522182,303429471290210,0.845179,1.1013664,9.110215
1552444522203,303429491287710,0.9984126,1.1277034,9.567522
1552444522226,303429511285143,1.2067145,1.2210802,9.632168
1552444522245,303429531316609,1.350371,1.5299416,9.390346
1552444522267,303429551347442,1.4581133,1.7909175,9.182044
1552444522288,303429571378975,1.3743137,2.073442,8.9976845
1552444522305,303429591410441,1.0223553,2.3200524,8.679246
1552444522326,303429611441274,0.81644773,2.4852571,8.3679905
1552444522347,303429631472107,1.0175668,2.5068057,8.490098
1552444522366,303429651503573,1.2641771,2.47568,8.822903
1552444522388,303429671534673,1.2785428,2.3799093,8.81572
1552444522407,303429691565239,1.158829,2.248224,8.456578
1552444522428,303429711595639,1.0917894,2.116539,8.379962
1552444522447,303429731626439,1.5203645,2.0782306,8.988108
1552444522467,303429751657239,1.7645805,2.116539,9.445415
1552444522487,303429752657239,1.6233183,2.1596358,9.5483675
1552444522506,303429772722072,1.1516461,2.1907616,9.325701
1552444522528,303429792786205,0.86193895,2.257801,9.136553
1552444522549,303429812850405,0.79250497,2.264984,9.289786
1552444522568,303429832914605,0.71588814,2.2889266,9.545974
1552444522592,303429852978738,0.54350036,2.3224466,9.873989
1552444522608,303429873042838,0.10055954,2.4206119,9.826104
1552444522630,303429893107738,0.14365649,2.710319,9.811738
1552444522651,303429913172671,0.48124924,2.8252442,9.869201
1552444522669,303429933236904,0.49082634,2.9425638,9.766247
1552444522688,303429953301204,0.6344828,2.8515813,9.926663
1552444522710,303429973366204,0.6153286,2.8300328,10.343267
1552444522728,303429993431137,0.4956149,2.7749646,10.68086
1552444522748,303430013496070,0.38787252,2.8372157,10.836488
1552444522772,303430033561103,0.7039168,2.9042554,10.831699
1552444522790,303430053659336,1.063058,2.82285,10.702409
1552444522811,303430073790236,0.99362403,2.300898,11.3105545
1552444522833,303430093954536,0.6751855,1.7262721,11.667301
1552444522851,303430114085436,0.28970724,1.2569942,11.58829
1552444522872,303430134249669,-0.1699935,0.8667275,11.511673
1552444522896,303430154447235,-0.6703969,0.67757976,11.298583
1552444522914,303430174678135,-0.88588166,0.81165916,10.757477
1552444522935,303430194942368,-1.1516461,1.0032011,9.864412
1552444522961,303430215239934,-1.1061549,1.2546,8.865999
1552444522977,303430235570834,-1.3264283,1.4245936,8.387145
1552444522998,303430255935167,-1.6616267,1.6975409,7.8197017
1552444523105,303430276299367,-2.0255566,1.462902,8.224334
1552444523105,303430296664000,-1.6975409,1.3719195,8.609812
1552444523105,303430317028233,-1.5778271,1.0175668,9.055147
1552444523105,303430337392466,-1.0079896,1.0175668,9.660899
1552444523105,303430357756699,-0.66321415,1.1923488,9.799767
1552444523117,303430378120932,-0.5961744,1.4485363,9.136553
1552444523141,303430398518498,-0.5554718,1.7478206,8.480521
1552444523164,303430418949398,-0.41181526,1.9034485,8.375174
1552444523181,303430439413564,0.03351985,2.0494993,8.171659
1552444523203,303430459911130,0.3615355,2.126116,8.056735
1552444523221,303430480408696,0.53392327,2.1213274,7.980118
1552444523241,303430500906162,0.5123748,2.1572416,7.937021
1552444523263,303430521403595,0.13886794,2.0710478,8.427847
1552444523282,303430541901028,0.102953814,1.9297855,9.201198
1552444523304,303430562398461,0.08140534,2.020768,9.797373
1552444523324,303430582895827,0.19154198,2.1572416,10.324113
1552444523343,303430603393260,0.17478207,2.3392065,10.508472
1552444523366,303430623890693,0.16759923,2.5403256,10.525232
1552444523399,303430644388059,-0.0071828244,2.727079,10.118205
1552444523402,303430664852159,-0.16281068,2.875524,9.727939
1552444523421,303430685282925,-0.12210801,3.007209,9.37598
1552444523445,303430705680391,-0.090982445,3.1819913,9.040782
1552444523465,303430726077857,-0.22027329,3.3663504,8.846846
1552444523481,303430746442090,-0.19393626,3.4429672,8.791777
1552444523510,303430766806223,-0.11492519,3.3950818,8.822903
1552444523525,303430787170356,0.014365649,3.3160706,9.182044
1552444523547,303430807501156,0.0,3.1580484,9.270632
1552444523572,303430827798622,-0.08858817,3.0527003,9.431048
1552444523585,303430848062755,-0.339987,3.0024207,9.498088
1552444523605,303430868293555,-0.11492519,3.0431232,9.8237095
1552444523628,303430888524355,0.45491222,3.3064935,10.005674
1552444523647,303430908788521,0.72785956,3.4357843,9.79019
1552444523667,303430929085987,0.5985687,3.3831103,9.256267
1552444523692,303430949416887,0.37111259,3.2873392,8.947405
1552444523713,303430969781187,0.17957062,2.8420043,8.983319
1552444523730,303430990145553,0.08858817,2.2003386,9.883567
1552444523754,303431010509986,-0.011971374,1.5730386,11.202812
1552444523771,303431030874352,0.22266756,1.3958622,12.086299
1552444523793,303431051238785,0.9864412,1.5658557,12.107848
1552444523815,303431071603218,1.462902,1.5730386,11.810958
1552444523836,303431092000918,1.6951466,1.611347,11.09507
1552444523856,303431112432018,1.6592325,1.6305012,10.194822
1552444523879,303431132896451,1.6783867,1.5203645,9.136553
1552444523899,303431153394151,1.9728824,1.5826156,8.470944
1552444523919,303431173925184,2.2769554,1.5443072,8.171659
1552444523941,303431194489617,2.4684973,1.4652961,8.379962
1552444523961,303431215087317,2.2266755,1.4221992,8.681641
