timeMillis,timeNanos,x,y,z
1552452819610,311726525500651,1.7214836,2.466103,9.766247
1552452819626,311726558167617,1.7214836,2.466103,9.766247
1552452819646,311726590834283,1.7214836,2.466103,9.766247
1552452819669,311726623500949,0.3974496,3.3208592,9.09585
1552452819687,311726656167615,0.45012367,3.6560576,9.380769
1552452819707,311726688834281,0.46927786,3.7494342,9.119793
1552452819730,311726721500947,0.33759275,3.806897,8.940222
1552452819749,311726754167613,0.31604427,4.0151987,9.277815
1552452819769,311726786834279,0.61293435,4.192375,9.751882
1552452819790,311726819500945,0.409421,4.879532,9.929058
1552452819806,311726852167611,0.38787252,4.913052,10.075109
1552452819827,311726884833911,0.39505535,4.8292522,9.799767
1552452819848,311726917500844,0.3902668,4.5898247,9.8237095
1552452819867,311726950167744,0.42139238,4.2139235,9.953
1552452819888,311726982834644,0.5123748,3.7685885,10.455798
1552452819910,311727015501477,0.6368771,3.3352249,10.846065
1552452819928,311727048168177,0.66321415,2.997632,11.358439
1552452819948,311727080834810,0.6105401,2.8467927,11.028029
1552452819970,311727113501410,0.038308397,2.9665065,8.535589
1552452819989,311727146167943,-0.08858817,3.1748085,7.848433
1552452820008,311727178834476,-0.2681588,3.0024207,8.061523
1552452820029,311727211500942,-0.08858817,2.6624336,8.511647
1552452820048,311727244167342,-0.26337022,2.6456738,8.516436
1552452820075,311727276833608,-0.3519584,2.5714512,8.444607
1552452820087,311727309499108,-0.5123748,2.5307484,9.332883
1552452820108,311727342198241,-0.44054657,1.9130256,9.727939
1552452820126,311727374896874,-0.5554718,1.4557191,9.888355
1552452820148,311727407596707,-0.3902668,2.1979442,10.079897
1552452820165,311727440295907,-0.3328042,2.4206119,9.440625
1552452820188,311727473027940,-0.35914123,2.8779182,8.27222
1552452820208,311727493092906,0.076616794,3.581835,8.128563
1552452820229,311727513158206,0.023942748,3.8906965,8.004061
1552452820250,311727533223739,-0.16281068,3.9337935,7.8364615
1552452820272,311727553289139,-0.2849187,3.9744961,8.18842
1552452820293,311727573354039,-0.023942748,4.2905407,8.909097
1552452820319,311727593418605,0.15083931,4.0726614,9.313729
1552452820333,311727613483805,-0.102953814,4.163644,8.71516
1552452820350,311727633548871,0.105348095,4.348003,8.114198
1552452820375,311727653613871,0.2849187,4.381523,8.688824
1552452820487,311727673678804,0.24182175,4.1756153,9.282603
1552452820487,311727693743637,0.045491222,4.2594147,8.959376
1552452820488,311727713808770,0.076616794,4.5012364,8.605023
1552452820488,311727733873203,0.26337022,4.558699,8.609812
1552452820488,311727753936903,0.12450229,4.537151,8.45179
1552452820488,311727774000469,0.102953814,4.4461684,8.013638
1552452820508,311727794064735,0.32083282,4.7143273,8.032792
1552452820548,311727814128701,0.3974496,4.9106574,8.336864
1552452820574,311727834192267,0.31125572,4.9369946,8.413482
1552452820602,311727854255800,0.07422252,5.0136113,9.244295
1552452820602,311727874319600,0.41181526,5.2578273,8.688824
1552452820608,311727894383066,1.2833313,4.8938975,8.181237
1552452820628,311727914447166,1.4916332,3.5339496,11.008876
1552452820647,311727934510832,1.3671309,2.300898,13.714406
1552452820670,311727954608332,1.8340145,2.3535721,13.98017
1552452820692,311727974706465,1.8866886,3.7709827,11.025636
1552452820710,311727994770565,2.0758362,4.2977233,8.844451
1552452820730,311728014835431,2.482863,4.556305,7.637737
1552452820752,311728034899031,2.8372157,4.328849,7.472532
1552452820770,311728054963131,3.1029801,3.9481592,7.5850625
1552452820791,311728074994331,2.7582045,3.46691,7.9968777
1552452820813,311728095025864,2.221887,3.059883,7.953781
1552452820829,311728115055997,1.2857256,2.8420043,7.616188
1552452820851,311728135086797,0.011971374,2.8779182,6.7566433
1552452820875,311728136086797,-0.5865973,3.4453614,6.038361
1552452820891,311728156118097,-0.35914123,4.1349125,6.25624
1552452820911,311728176149597,-0.009577099,4.767001,6.409474
1552452820933,311728196180397,0.06464542,4.975303,6.533976
1552452820952,311728216211263,-0.17238778,4.635316,6.9218483
1552452820971,311728236242129,-0.5889916,4.0726614,7.1373334
1552452820993,311728256272929,-0.6560313,3.7709827,7.822096
1552452821011,311728276303762,-0.39266106,3.6033835,8.8324795
1552452821033,311728296334628,-0.023942748,3.6488748,9.802161
1552452821055,311728316365528,0.31843856,4.168432,9.833286
1552452821070,311728336397128,0.45251793,4.745453,9.103033
1552452821091,311728356428794,0.28731298,5.154874,8.511647
1552452821113,311728376459760,0.14365649,5.190788,8.320105
1552452821131,311728396491026,0.117319465,5.025583,8.844451
1552452821151,311728416522692,0.31604427,4.9106574,9.909904
1552452821173,311728436554358,0.11253092,5.375147,9.8787775
1552452821191,311728456585691,-0.0071828244,5.7558365,8.004061
1552452821212,311728476617291,-0.05027977,5.3679643,7.728719
1552452821234,311728496648257,0.11971374,3.4836698,10.841276
1552452821251,311728516679657,0.071828246,2.2554069,13.434276
1552452821271,311728536677223,-0.48843205,2.030345,12.866833
1552452821292,311728556674856,-0.76616794,2.595394,9.792584
1552452821311,311728576672489,-0.20590763,2.3870919,9.557945
1552452821331,311728596670055,0.55307746,1.673598,11.231544
1552452821357,311728616667621,0.9074302,0.88109314,11.90194
1552452821371,311728636665254,1.063058,0.76616794,11.549982
1552452821399,311728656662887,1.3455825,1.0295382,10.755082
1552452821540,311728676660453,1.2665714,1.1899546,10.029617
1552452821541,311728696658719,1.1516461,1.5371244,9.124581
1552452821541,311728716656352,1.2569942,2.0973847,7.778999
1552452821541,311728736653985,1.4006507,2.7031362,6.428628
1552452821541,311728756651551,1.4533248,3.294522,5.320079
1552452821541,311728776649184,1.2593886,3.727886,4.652076
1552452821541,311728796646817,1.2043202,3.7781656,4.783761
1552452821549,311728816644383,1.1516461,3.668029,5.6361227
1552452821569,311728836641949,1.0032011,3.1484714,7.1540933
1552452821590,311728856639582,0.79250497,2.8635526,8.102226
1552452821608,311728876637215,0.5602603,2.8970726,8.406299
1552452821629,311728896634748,0.4860378,3.083826,8.758257
1552452821652,311728916632248,0.6105401,2.9856608,9.3280945
1552452821668,311728936629748,0.7446195,2.7055306,10.146936
1552452821689,311728956627181,1.0055954,2.47568,10.982538
1552452821712,311728976624614,1.3048798,2.6959534,12.16531
1552452821731,311728996622114,1.4533248,3.284945,11.583502
1552452821752,311729016619614,2.0518935,3.675212,11.528433
1552452821773,311729036617047,2.3368123,2.875524,13.340899
1552452821792,311729056614547,2.595394,1.7262721,15.356878
1552452821811,311729076612047,3.1412885,1.2785428,16.336138
1552452821833,311729096609480,3.3591676,1.9728824,14.044816
1552452821851,311729116606946,3.3519847,2.3823035,11.353651
1552452821871,311729136604479,3.7638,2.3966691,9.945818
1552452821894,311729156602012,4.304906,2.3032923,9.787795
1552452821910,311729176599478,4.6281333,2.1883671,9.201198
1552452821932,311729196597011,4.4461684,2.0399222,7.9513865
1552452821954,311729216594544,3.8667538,1.9537282,6.8069234
1552452821971,311729236592077,2.9928436,1.9465454,5.8252707
1552452821992,311729256589543,1.8914771,1.9321798,4.740664
1552452822013,311729276587076,0.76137936,2.1045675,3.8643596
1552452822031,311729296584609,0.3519584,2.3487835,3.5554981
1552452822051,311729316582042,-0.011971374,2.8611584,3.5602865
1552452822073,311729336579508,-0.15802214,3.1508656,3.9433706
1552452822091,311729356577141,-0.5913859,3.258608,5.030371
1552452822111,311729376574841,-0.84996754,3.1652312,6.282577
1552452822135,311729396605874,-1.175589,3.2610023,7.0726876
1552452822153,311729416670340,-1.2402344,3.265791,7.8795586
1552452822179,311729436768206,-1.3695252,3.0957973,9.4142885
1552452822196,311729456899339,-1.359948,2.6145482,11.463788
1552452822215,311729477063805,-1.1971374,2.2099156,13.417516
1552452822236,311729497261671,-0.82123625,2.238647,15.03844
1552452822260,311729517492804,-0.32801566,3.1125572,14.14777
1552452822279,311729537757270,-0.10055954,3.6967604,12.806976
1552452822303,311729558055070,-0.16281068,2.9234095,14.001719
1552452822324,311729578386203,-0.2083019,2.176396,14.605077
1552452822341,311729598750669,-0.32801566,2.2506182,12.972181
1552452822362,311729619148402,-0.34956414,2.482863,10.812545
1552452822384,311729639579535,-0.10055954,2.2075214,10.111023
1552452822449,311729660044001,0.51955765,1.3982565,11.265063
1552452822449,311729680508401,1.0008069,0.7877164,12.395161
1552452822450,311729700972867,1.1492519,0.4740664,11.727158
1552452822462,311729721437300,1.0678465,0.58420306,10.362421
1552452822484,311729741935066,0.9433443,0.8356019,8.889942
1552452822507,311729762466132,1.0606637,1.2857256,7.656891
1552452822528,311729783030598,1.2354459,1.6520497,6.88354
1552452822549,311729803628398,1.403045,2.1500587,6.124555
1552452822571,311729824259464,1.3096683,2.6456738,5.253039
1552452822590,311729844923864,1.3216397,3.1341057,4.723904
1552452822610,311729865621664,1.515576,3.7590115,4.7071443
1552452822631,311729886319397,1.7095122,3.9840732,5.4230323
1552452822649,311729907017130,1.541913,3.8092911,6.318491
1552452822671,311729927714930,1.3024855,3.545921,7.6066113
1552452822693,311729948412630,1.4078336,3.7350688,8.777411
1552452822714,311729969110230,1.5778271,4.0151987,9.244295
1552452822731,311729989807763,1.6017698,4.173221,8.966559
1552452822753,311730010471963,1.812466,4.170827,9.464568
1552452822771,311730031102729,1.8723229,4.0918155,10.956202
