timeMillis,timeNanos,x,y,z
1552452819385,311726305500651,-35.219997,-31.679998,-47.16
1552452819405,311726325500651,-34.8,-32.04,-46.86
1552452819427,311726345500651,-34.5,-32.16,-46.62
1552452819445,311726365500651,-34.68,-32.579998,-46.14
1552452819466,311726385500651,-34.559998,-33.84,-45.239998
1552452819488,311726405500651,-34.079998,-33.96,-45.12
1552452819505,311726425500651,-33.6,-34.86,-44.579998
1552452819530,311726445500651,-33.0,-35.52,-44.28
1552452819548,311726465500651,-32.94,-35.88,-44.219997
1552452819575,311726485500651,-33.18,-37.26,-43.379997
1552452819590,311726505500651,-33.54,-38.1,-43.079998
1552452819610,311726525500651,-33.66,-39.0,-42.54
1552452819627,311726545501401,-33.96,-39.78,-42.18
1552452819647,311726565501401,-33.66,-40.079998,-42.3
1552452819669,311726585501401,-33.3,-40.2,-42.66
1552452819687,311726605501401,-33.18,-40.32,-42.719997
1552452819708,311726625501401,-33.239998,-40.379997,-42.96
1552452819731,311726645501401,-33.239998,-40.559998,-42.78
1552452819749,311726665501401,-33.6,-40.26,-42.36
1552452819769,311726685501401,-34.14,-40.379997,-42.36
1552452819791,311726705501401,-33.96,-40.62,-41.879997
1552452819806,311726725501401,-34.44,-40.86,-41.34
1552452819827,311726745500901,-34.38,-41.7,-40.92
1552452819848,311726765501248,-34.14,-42.12,-40.86
1552452819867,311726785501539,-34.32,-42.12,-40.86
1552452819888,311726805501819,-34.38,-42.12,-41.16
1552452819911,311726825502011,-34.8,-42.3,-41.28
1552452819928,311726845502048,-35.16,-43.14,-40.739998
1552452819948,311726865502012,-35.399998,-44.1,-40.379997
1552452819971,311726885501943,-35.399998,-44.64,-39.96
1552452819989,311726905501809,-34.5,-45.12,-38.94
1552452820008,311726925501675,-34.38,-45.18,-38.7
1552452820030,311726945501475,-34.2,-45.239998,-37.86
1552452820049,311726965501208,-33.54,-45.899998,-37.44
1552452820076,311726985500808,-34.14,-46.739998,-37.32
1552452820087,311727005499641,-34.26,-47.34,-36.78
1552452820108,311727025532441,-34.5,-48.12,-36.54
1552452820126,311727045564407,-35.399998,-48.42,-36.0
1552452820148,311727065597573,-35.52,-48.12,-35.76
1552452820166,311727085630106,-35.64,-48.42,-35.34
1552452820188,311727105695472,-35.64,-48.48,-35.16
1552452820208,311727125760438,-35.82,-48.6,-34.92
1552452820229,311727145825738,-36.3,-48.6,-34.8
1552452820251,311727165891271,-36.84,-48.3,-34.62
1552452820272,311727185956671,-37.38,-48.42,-34.8
1552452820293,311727206021571,-37.559998,-48.0,-34.86
1552452820321,311727226086137,-37.98,-47.879997,-35.04
1552452820333,311727246151337,-38.46,-47.7,-35.28
1552452820350,311727266216403,-39.18,-47.16,-35.04
1552452820375,311727286281403,-39.66,-47.34,-34.98
1552452820487,311727306346336,-40.2,-47.28,-34.38
1552452820487,311727326411169,-40.68,-47.16,-33.84
1552452820488,311727346476302,-40.739998,-47.16,-33.36
1552452820488,311727366540735,-40.8,-47.039997,-33.36
1552452820488,311727386604435,-40.8,-47.52,-33.66
1552452820488,311727406668001,-40.379997,-47.94,-33.3
1552452820508,311727426732267,-40.559998,-48.36,-32.7
1552452820548,311727446796233,-41.04,-48.48,-31.92
1552452820602,311727466859799,-41.399998,-49.02,-30.06
1552452820602,311727486923332,-42.059998,-49.62,-29.34
1552452820602,311727506987132,-42.18,-50.76,-28.26
1552452820608,311727527050598,-42.78,-51.539997,-27.3
1552452820628,311727547114698,-43.079998,-52.02,-26.58
