timeMillis,timeNanos,x,y,z
1552452928150,311835068334373,-0.34174123,0.16886148,0.34562695
1552452928168,311835088334373,-0.5396616,0.070512176,0.4873477
1552452928188,311835108336373,-0.73391676,0.070512176,0.59913605
1552452928210,311835128336373,-0.8053879,0.11938139,0.46413478
1552452928228,311835148336373,-0.8072205,0.4406965,0.34868127
1552452928249,311835168336373,-0.8011119,0.72535974,0.4238177
1552452928271,311835188336373,-0.6709976,0.5530957,0.5007867
1552452928290,311835208336373,-0.42420805,0.124268316,0.19840841
1552452928308,311835228336373,-0.037530337,-0.14084719,-0.17116505
1552452928333,311835248337484,0.40534696,-0.18421863,-0.33670953
1552452928350,311835268337484,0.826844,0.089448996,-0.3813027
1552452928370,311835288337484,1.234902,0.5689782,-0.3495377
1552452928393,311835308337484,1.3057623,0.7766724,-0.33487695
1552452928409,311835328337484,0.36014295,0.3686144,-0.4759868
1552452928431,311835348337484,-0.21345954,0.29653233,-0.4918693
1552452928448,311835368336084,-0.29409376,0.66916007,-0.21820168
1552452928467,311835388335396,-0.40832552,0.84631103,-0.10152641
1552452928489,311835408335866,-0.25316578,0.79255486,-0.14184353
1552452928511,311835428336254,-0.05952149,0.724138,-0.14428699
1552452928530,311835448336569,-0.21101607,0.27576292,-0.15955861
1552452928550,311835468336769,-0.16520117,-0.15428624,-0.077091806
1552452928572,311835488336864,0.08586444,-0.39618888,-0.08625478
1552452928590,311835508336864,0.26362622,-0.2269792,-0.09114171
1552452928611,311835528336820,0.20559402,0.19390695,0.05852028
1552452928632,311835548336736,0.14206403,0.31608,0.10311344
1552452928650,311835568336656,0.14572923,-0.11152566,-0.01478355
1552452928678,311835588336502,0.19826365,-0.5098098,-0.10824593
1552452928692,311835608336205,0.22880691,-0.40351924,-0.1051916
1552452928709,311835628335240,0.17016385,-0.07792808,-0.029444315
1552452928731,311835648334826,0.13839886,-0.08098241,0.032253075
1552452928750,311835668334359,0.1903224,-0.40657356,0.024922691
1552452928768,311835688333059,0.20681576,-0.6570283,0.03408567
1552452928789,311835708331992,0.19093326,-0.6741326,0.07990056
1552452928811,311835728331258,0.15550308,-0.55990076,0.08295489
1552452928830,311835748331024,0.12862502,-0.47071445,0.018203173
1552452928849,311835768330090,0.12495982,-0.42306694,-0.03310951
1552452928872,311835788329090,0.11213165,-0.37908465,-0.013561819
1552452928890,311835808328023,0.08952963,-0.34793052,0.0353074
1552452928908,311835828326089,0.06692762,-0.26302028,0.059131145
1552452928932,311835848323789,0.05104512,-0.104806155,0.034696534
1552452928949,311835868322455,0.07792319,0.013701708,-7.336491E-4
1552452928969,311835888321055,0.09136223,0.034471128,-0.03127691
1552452928991,311835908319521,0.042493008,-0.015619825,-0.036163833
1552452929008,311835928317921,0.0088954205,-0.058991257,-0.009285763
1552452929030,311835948316287,0.039438684,-0.06632164,0.0041532726
1552452929128,311835968315587,0.120072894,-0.06143472,-7.336491E-4
1552452929128,311835988313420,0.16894211,-0.07120857,-0.002566245
1552452929128,311836008311253,0.16649866,-0.11457999,0.017592307
1552452929128,311836028309053,0.14023145,-0.16894701,0.046302974
1552452929133,311836048306753,0.13106847,-0.17749912,0.075013645
1552452929148,311836068303753,0.17505077,-0.1475667,0.10922209
1552452929169,311836088300753,0.22697432,-0.14145806,0.120217666
1552452929209,311836108298386,0.23369384,-0.12129951,0.109832965
1552452929234,311836128295286,0.21109182,-0.06509991,0.10616777
1552452929260,311836148292152,0.21109182,-0.06509991,0.10616777
1552452929260,311836168289218,0.21109182,-0.06509991,0.10616777
1552452929270,311836188193063,0.29966727,-0.16344921,0.115941614
1552452929291,311836208190563,0.36686245,-0.19215988,0.10800037
1552452929309,311836228188629,0.37969062,-0.16039488,0.04019432
1552452929328,311836248186062,0.26118276,-0.16772527,-0.03799643
1552452929351,311836268183495,0.0088954205,-0.16406007,-0.052657194
1552452929369,311836288181695,-0.08945389,-0.09258884,0.04996817
1552452929391,311836308179461,0.050434258,0.026529877,0.15137179
1552452929413,311836328176894,0.13778798,0.06257093,0.1617565
1552452929431,311836348173794,0.09502742,-0.04860655,0.055465955
1552452929450,311836368171327,0.08464271,-0.14512326,-0.083200455
