timeMillis,timeNanos,x,y,z
1552452928030,311834948334373,37.079998,3.78,-57.78
1552452928047,311834968334373,36.84,3.6,-58.02
1552452928066,311834988334373,36.6,3.48,-58.32
1552452928089,311835008334373,36.719997,3.6599998,-58.079998
1552452928107,311835028334373,36.899998,3.84,-57.84
1552452928127,311835048334373,37.26,4.14,-58.02
1552452928150,311835068334373,37.739998,3.8999999,-57.539997
1552452928168,311835088334373,37.92,3.8999999,-57.239998
1552452928188,311835108334873,38.28,4.02,-57.0
1552452928210,311835128334873,38.46,4.3199997,-57.059998
1552452928228,311835148334873,38.76,5.22,-56.82
1552452928249,311835168334873,39.42,5.7,-57.0
1552452928271,311835188334873,39.78,6.48,-57.18
1552452928290,311835208334873,40.44,7.02,-56.52
1552452928308,311835228334873,40.8,7.2,-56.1
1552452928333,311835248335539,40.559998,7.3799996,-55.86
1552452928350,311835268335539,40.68,7.2599998,-55.44
1552452928370,311835288335539,40.8,6.3599997,-54.96
1552452928392,311835308335539,41.28,5.8199997,-55.14
1552452928409,311835328335539,42.239998,5.2799997,-54.719997
1552452928431,311835348335539,43.02,4.7999997,-54.18
1552452928448,311835368334539,43.379997,4.74,-54.18
1552452928467,311835388334039,43.62,5.1,-53.94
1552452928489,311835408334386,43.739998,5.4,-53.28
1552452928511,311835428334677,44.34,5.2799997,-52.44
1552452928530,311835448334917,45.3,6.0,-52.32
1552452928550,311835468335070,46.26,6.7799997,-51.899998
1552452928572,311835488335144,46.559998,7.3199997,-52.079998
1552452928590,311835508335144,46.079998,7.8599997,-52.739998
1552452928611,311835528335109,45.539997,7.5,-53.1
1552452928632,311835548335042,44.76,6.8999996,-52.86
1552452928650,311835568334975,44.46,6.2999997,-52.98
1552452928678,311835588334841,44.46,6.54,-53.219997
1552452928692,311835608334574,44.399998,6.54,-53.039997
1552452928709,311835628333674,44.579998,6.6,-53.34
1552452928731,311835648333274,44.399998,7.08,-53.46
1552452928750,311835668332807,44.579998,6.72,-53.76
1552452928768,311835688331507,43.98,6.8999996,-54.18
1552452928789,311835708330440,43.86,6.8999996,-54.48
1552452928811,311835728329706,43.44,6.06,-55.26
1552452928830,311835748329472,42.3,5.8199997,-55.379997
1552452928849,311835768328538,41.94,5.4,-55.32
1552452928872,311835788327538,40.98,4.7999997,-55.92
1552452928890,311835808326471,40.92,5.22,-55.739998
1552452928908,311835828324537,41.1,4.92,-56.16
1552452928932,311835848322237,40.86,5.04,-56.64
1552452928949,311835868320903,40.739998,5.04,-56.76
1552452928969,311835888319503,40.5,4.68,-57.18
1552452928991,311835908317969,39.84,4.68,-57.539997
1552452929008,311835928316369,39.84,4.44,-57.84
1552452929030,311835948314735,39.96,4.44,-58.199997
1552452929128,311835968314035,39.48,4.02,-58.44
1552452929128,311835988311868,39.54,4.14,-58.32
1552452929128,311836008309701,39.36,4.2,-58.02
1552452929128,311836028307501,38.64,3.78,-57.96
1552452929133,311836048305201,38.52,3.72,-57.899998
1552452929148,311836068302201,38.399998,3.6,-57.96
1552452929169,311836088299201,37.92,3.12,-58.62
1552452929209,311836108296834,37.8,3.1799998,-58.739998
1552452929260,311836128293734,37.739998,2.8799999,-58.62
1552452929260,311836148290600,37.62,2.34,-58.739998
1552452929260,311836168287666,37.38,1.86,-58.859997
1552452929270,311836188193063,36.96,1.62,-59.039997
1552452929291,311836208190563,37.2,0.42,-59.28
1552452929309,311836228188629,36.899998,-0.24,-59.399998
1552452929328,311836248186062,36.54,-0.17999999,-59.16
1552452929351,311836268183495,36.48,-0.17999999,-59.699997
1552452929369,311836288181695,36.42,-0.53999996,-60.12
1552452929391,311836308179461,36.42,-0.42,-59.94
1552452929413,311836328176894,36.54,0.17999999,-60.12
1552452929430,311836348173794,36.42,-0.29999998,-60.6
1552452929450,311836368171327,36.42,-1.1999999,-60.18
1552452929471,311836388168860,36.3,-1.3199999,-59.94
1552452929492,311836408166326,35.34,-1.3199999,-60.96
1552452929511,311836428164592,35.28,-1.74,-61.32
1552452929532,311836448162825,35.579998,-1.86,-60.6
1552452929551,311836468160291,35.34,-1.56,-60.66
1552452929572,311836488157757,36.0,-1.38,-60.96
1552452929593,311836508155290,36.0,-1.1999999,-61.02
1552452929610,311836528152823,35.7,-1.02,-61.14
1552452929632,311836548150256,35.82,-0.53999996,-61.32
1552452929652,311836568147389,35.46,0.06,-60.78
1552452929671,311836588145622,35.1,0.17999999,-60.78
1552452929691,311836608143255,35.1,0.17999999,-60.96
1552452929713,311836628140921,35.16,0.0,-61.44
