timeMillis,timeNanos,value
1552452927887,311834800334373,1011.9414
1552452927987,311834900334373,1011.95557
1552452928089,311835000334373,1011.96924
1552452928188,311835100335706,1011.97437
1552452928290,311835200335706,1011.9778
1552452928393,311835300335706,1011.9597
1552452928489,311835400337039,1011.96655
1552452928590,311835500337039,1011.96704
1552452928692,311835600336039,1011.9729
1552452928789,311835700332927,1011.9717
1552452928890,311835800329727,1011.9612
1552452928991,311835900325545,1011.959
1552452929128,311836000320795,1011.9558
1552452929209,311836100315333,1011.96216
1552452929291,311836200212063,1011.9602
1552452929391,311836300205729,1011.95703
1552452929492,311836400198979,1011.9514
1552452929593,311836500191920,1011.9529
1552452929692,311836600184808,1011.95483
1552452929791,311836700177650,1011.9475
1552452929895,311836800170250,1011.94434
1552452929991,311836900162535,1011.94434
1552452930090,311837000154625,1011.9453
1552452930207,311837100146494,1011.9419
1552452930290,311837200138202,1011.9419
1552452930391,311837300169762,1011.9431
1552452930497,311837400314954,1011.94775
1552452930596,311837500491398,1011.94775
1552452930696,311837600661040,1011.9441
1552452930797,311837700824557,1011.9409
1552452930894,311837800982157,1011.9409
1552452930994,311837901139357,1011.948
1552452931093,311838001295457,1011.93945
1552452931194,311838101451690,1011.93945
1552452931293,311838201607656,1011.9304
1552452931399,311838301763156,1011.9275
1552452931496,311838401917989,1011.9275
1552452931596,311838502072722,1011.9319
1552452931700,311838602293922,1011.9292
1552452931803,311838702682022,1011.9292
1552452931907,311838803203522,1011.9304
1552452932014,311838903791688,1011.9409
1552452932121,311839004446488,1011.9387
1552452932209,311839105101288,1011.927
1552452932313,311839205822788,1011.91455
1552452932418,311839306710888,1011.9197
1552452932523,311839407765621,1011.9331
1552452932627,311839508887021,1011.9324
1552452932727,311839610008254,1011.92554
1552452932824,311839711129354,1011.9114
1552452932929,311839812250587,1011.91504
1552452933023,311839913372020,1011.9231
1552452933123,311840014526786,1011.93774
1552452933226,311840115681519,1011.9343
1552452933324,311840216836252,1011.92896
1552452933425,311840317957618,1011.9426
1552452933529,311840418978951,1011.9546
1552452933627,311840519967017,1011.94727
1552452933726,311840620955083,1011.9524
1552452933828,311840721943049,1011.93994
1552452933926,311840822931015,1011.93823
