timeMillis,timeNanos,x,y,z
1552443820758,302727665535715,-1.4389591,3.2729738,8.966559
1552443820768,302727698202048,-1.4389591,3.2729738,8.966559
1552443820789,302727730869048,-1.4389591,3.2729738,8.966559
1552443820811,302727763535714,-1.2186859,3.3567734,8.983319
1552443820828,302727796202380,-1.3982565,3.2298768,9.222747
1552443820850,302727828869046,-1.5131817,3.0287576,9.215564
1552443820872,302727861535712,-1.4868447,3.1125572,9.069513
1552443820889,302727894202378,-1.4317763,3.1843855,8.901914
1552443820906,302727926868744,-1.3216397,3.2729738,8.784595
1552443820929,302727959535710,-1.3144568,3.2633965,8.8085375
1552443820947,302727992202376,-1.3551595,3.258608,8.897125
1552443820967,302728024868676,-1.350371,3.2562137,9.119793
1552443820990,302728057535642,-1.324034,3.2370596,8.856422
1552443821009,302728090202542,-1.3575538,3.2202997,8.837268
1552443821030,302728122869408,-1.3695252,3.1915684,8.561927
1552443821051,302728155536241,-1.3862851,3.2011454,8.741497
1552443821069,302728188203074,-1.3120626,3.371139,9.170073
1552443821089,302728220869774,-1.1420691,3.3759274,9.47654
1552443821112,302728253536407,-1.1229149,3.301705,9.239507
1552443821129,302728286203007,-1.2234744,3.0981915,9.074302
1552443821149,302728318869540,-1.333611,3.014392,8.777411
1552443821171,302728351536073,-1.2929084,3.1772027,8.834874
1552443821191,302728384202539,-1.0678465,3.318465,9.002473
1552443821211,302728416868939,-1.0175668,3.2681851,9.0838785
1552443821232,302728449535205,-1.3120626,3.0742488,9.047964
1552443821248,302728482200705,-1.4126221,2.9760835,9.239507
1552443821273,302728514866205,-1.2258687,3.0766432,9.304152
1552443821288,302728547531505,-1.1636176,3.1245286,9.232324
1552443821308,302728580196738,-1.2043202,3.1293173,9.29218
1552443821329,302728612862604,-1.0846065,3.1939626,9.517242
1552443821359,302728632861737,-0.93616146,3.0622776,9.2490835
1552443821368,302728652860737,-1.1157321,3.2490308,9.1940155
1552443821388,302728672859337,-1.0343267,3.2274826,9.229929
1552443821412,302728692858203,-1.1061549,3.0527003,9.287392
